Date,Open,High,Low,Close,Volume,Adj Close
2002-03-19,10.64,10.64,10.56,10.56,6600,5.27
2002-03-20,10.64,10.8,10.64,10.72,3600,5.35
2002-03-21,10.8,10.88,10.8,10.88,6300,5.43
2002-03-22,11.0,11.16,11.0,11.16,12400,5.57
2002-03-25,11.48,11.48,11.4,11.4,6300,5.69
2002-03-26,11.64,12.08,11.56,12.08,18900,6.03
2002-03-27,12.48,12.88,12.48,12.88,14400,6.43
2002-03-28,13.08,13.08,13.0,13.0,12600,6.49
2002-04-01,13.08,13.16,12.64,12.64,143800,6.31
2002-04-02,12.64,12.8,12.08,12.56,84100,6.27
2002-04-03,12.5,12.6,12.4,12.45,171900,6.22
2002-04-04,12.45,12.5,12.0,12.25,244900,6.12
2002-04-05,12.25,12.25,12.08,12.08,84000,6.03
2002-04-08,12.15,12.15,11.93,11.93,108100,5.96
2002-04-09,12.15,12.19,12.0,12.1,108900,6.04
2002-04-10,12.3,12.3,11.87,12.0,119800,5.99
2002-04-11,12.0,12.12,11.9,11.95,163300,5.97
2002-04-12,12.0,12.7,12.0,12.7,224800,6.34
2002-04-15,12.7,12.7,12.0,12.4,151500,6.19
2002-04-16,12.35,13.25,12.35,13.25,90000,6.62
2002-04-17,13.2,13.25,12.8,12.94,43000,6.46
2002-04-18,12.95,13.0,12.8,13.0,11700,6.49
2002-04-19,13.0,13.0,12.75,12.75,28900,6.37
2002-04-22,12.85,12.85,12.06,12.2,169600,6.09
2002-04-23,12.3,12.63,12.2,12.5,43000,6.24
2002-04-24,12.5,12.65,12.35,12.35,93300,6.17
2002-04-25,12.35,12.65,12.35,12.59,9400,6.29
2002-04-26,12.65,12.78,12.5,12.77,51100,6.38
2002-04-29,12.77,12.8,12.25,12.4,45300,6.19
2002-04-30,12.45,12.55,11.65,11.65,93000,5.82
2002-05-01,11.75,11.96,11.6,11.94,66000,5.96
2002-05-02,11.9,12.1,11.81,11.95,124300,5.97
2002-05-03,11.95,12.65,11.95,12.65,117900,6.32
2002-05-06,12.55,13.0,12.55,12.9,271900,6.44
2002-05-07,12.9,13.05,12.85,12.95,136200,6.47
2002-05-08,12.98,13.1,12.9,13.1,72100,6.56
2002-05-09,13.09,13.12,12.88,12.88,44500,6.45
2002-05-10,12.88,13.0,12.7,13.0,79600,6.51
2002-05-13,12.9,13.34,12.9,13.31,58300,6.67
2002-05-14,13.32,14.0,13.3,13.76,107200,6.89
2002-05-15,13.8,13.95,13.53,13.9,35100,6.96
2002-05-16,13.8,13.9,13.6,13.65,16900,6.84
2002-05-17,13.79,14.9,13.61,14.87,153300,7.45
2002-05-20,14.87,14.87,14.38,14.45,90300,7.24
2002-05-21,14.45,14.47,14.25,14.29,16200,7.16
2002-05-22,14.35,14.43,14.26,14.42,13600,7.22
2002-05-23,14.43,14.43,14.18,14.25,21000,7.14
2002-05-24,14.24,14.25,13.64,13.64,67200,6.83
2002-05-28,13.74,13.79,13.25,13.44,40800,6.73
2002-05-29,13.45,13.45,13.2,13.45,24900,6.74
2002-05-30,13.45,13.5,13.3,13.45,26500,6.74
2002-05-31,13.45,13.45,13.25,13.3,25800,6.66
2002-06-03,13.35,13.35,13.0,13.0,25300,6.51
2002-06-04,13.0,13.04,12.55,12.55,119400,6.28
2002-06-05,12.55,12.75,12.55,12.75,105400,6.38
2002-06-06,12.75,12.8,12.65,12.79,29100,6.4
2002-06-07,12.79,12.95,12.79,12.95,7600,6.48
2002-06-10,12.9,12.9,12.67,12.88,65800,6.45
2002-06-11,12.9,13.05,12.85,12.9,79200,6.46
2002-06-12,12.9,13.35,12.85,13.35,54400,6.69
2002-06-13,13.45,13.49,13.15,13.15,28900,6.59
2002-06-14,13.11,13.2,12.92,12.99,7300,6.5
2002-06-17,12.98,13.1,12.95,13.0,50700,6.51
2002-06-18,12.95,13.2,12.95,13.1,57700,6.56
2002-06-19,13.05,13.23,12.95,12.95,55200,6.48
2002-06-20,12.9,13.15,12.9,12.99,35500,6.5
2002-06-21,13.0,13.11,12.96,13.1,59100,6.56
2002-06-24,13.05,13.35,12.85,13.34,130900,6.68
2002-06-25,13.38,13.4,12.81,12.88,98200,6.45
2002-06-26,12.88,12.95,12.88,12.9,69400,6.46
2002-06-27,12.94,12.94,12.8,12.85,35100,6.43
2002-06-28,12.85,12.85,12.65,12.8,72600,6.41
2002-07-01,12.8,12.9,12.75,12.8,59700,6.41
2002-07-02,12.78,12.84,12.75,12.84,13000,6.43
2002-07-03,12.94,12.94,12.72,12.85,69400,6.43
2002-07-05,12.85,12.85,12.75,12.85,20800,6.43
2002-07-08,12.84,12.85,12.8,12.81,77400,6.41
2002-07-09,12.81,12.94,12.8,12.9,64600,6.46
2002-07-10,12.82,13.0,12.8,12.94,57100,6.48
2002-07-11,12.9,12.95,12.65,12.7,58200,6.36
2002-07-12,12.8,12.83,12.55,12.55,5500,6.28
2002-07-15,12.5,12.54,12.01,12.5,123100,6.26
2002-07-16,12.4,12.58,12.1,12.34,70800,6.18
2002-07-17,12.29,12.5,12.29,12.45,102400,6.23
2002-07-18,12.4,12.5,12.25,12.25,8700,6.13
2002-07-19,12.25,12.25,12.0,12.05,12300,6.03
2002-07-22,12.0,12.05,11.75,11.9,49600,5.96
2002-07-23,11.65,11.7,11.35,11.35,35400,5.68
2002-07-24,11.34,11.34,10.9,11.0,32500,5.51
2002-07-25,11.05,11.25,10.9,10.98,15600,5.5
2002-07-26,10.97,11.2,10.95,11.0,21900,5.51
2002-07-29,10.6,11.2,10.5,11.2,51400,5.61
2002-07-30,11.15,11.15,10.82,11.0,26100,5.51
2002-07-31,11.0,11.0,9.93,9.93,82000,4.97
2002-08-01,9.93,10.0,9.9,9.95,51900,4.98
2002-08-02,9.95,9.99,9.95,9.95,26700,4.98
2002-08-05,9.95,9.95,9.4,9.4,53100,4.71
2002-08-06,9.42,9.55,7.99,8.2,152500,4.11
2002-08-07,8.2,8.3,7.99,8.0,108300,4.02
2002-08-08,8.05,8.38,7.85,8.13,104800,4.09
2002-08-09,8.1,8.43,8.05,8.4,56200,4.23
2002-08-12,8.4,8.47,8.35,8.47,12300,4.26
2002-08-13,8.4,8.41,8.3,8.35,17500,4.2
2002-08-14,8.4,8.69,8.4,8.69,18300,4.37
2002-08-15,8.7,8.85,8.55,8.85,149500,4.45
2002-08-16,8.83,9.1,8.83,9.1,7000,4.58
2002-08-19,9.1,9.4,9.1,9.4,8400,4.73
2002-08-20,9.4,9.4,9.15,9.16,25000,4.61
2002-08-21,9.12,9.3,9.12,9.3,9400,4.68
2002-08-22,9.26,9.45,9.2,9.45,4000,4.75
2002-08-23,9.4,9.45,9.25,9.25,3700,4.65
2002-08-26,9.2,9.28,9.15,9.28,6000,4.67
2002-08-27,9.3,9.3,9.2,9.2,7600,4.63
2002-08-28,9.15,9.24,9.1,9.1,10000,4.58
2002-08-29,9.1,9.25,9.1,9.2,7300,4.63
2002-08-30,9.15,9.2,9.0,9.0,6100,4.53
2002-09-03,8.9,8.92,8.85,8.9,20200,4.48
2002-09-04,8.85,9.1,8.85,9.1,21700,4.58
2002-09-05,9.05,9.05,8.85,8.9,45700,4.48
2002-09-06,8.91,8.98,8.9,8.95,13000,4.5
2002-09-09,8.9,8.9,8.86,8.9,11500,4.48
2002-09-10,8.9,8.93,8.8,8.86,25500,4.46
2002-09-11,8.81,8.95,8.81,8.95,4800,4.5
2002-09-12,8.9,8.92,8.87,8.87,34500,4.46
2002-09-13,8.8,8.9,8.8,8.87,13300,4.46
2002-09-16,8.8,8.81,8.76,8.8,52800,4.43
2002-09-17,8.8,8.8,8.59,8.59,58800,4.32
2002-09-18,8.55,8.65,8.44,8.61,24300,4.33
2002-09-19,8.55,8.55,8.0,8.0,59400,4.02
2002-09-20,8.0,8.0,7.75,7.8,58200,3.92
2002-09-23,7.8,7.95,7.62,7.62,46600,3.83
2002-09-24,7.57,7.7,7.41,7.66,49500,3.85
