Date,Open,High,Low,Close,Volume,Adj Close
1999-06-30,13.5,17.94,13.12,16.38,3286500,16.38
1999-07-01,17.25,17.75,16.12,16.75,710400,16.75
1999-07-02,17.5,17.5,16.5,17.31,151400,17.31
1999-07-06,17.5,17.5,16.5,17.19,192500,17.19
1999-07-07,17.38,17.38,15.94,16.5,136300,16.5
1999-07-08,16.62,17.25,16.0,17.0,182400,17.0
1999-07-09,17.25,17.25,16.88,17.06,99500,17.06
1999-07-12,17.44,22.5,17.25,21.0,486800,21.0
1999-07-13,21.25,23.88,20.75,23.38,543500,23.38
1999-07-14,25.25,29.88,23.5,26.0,1078600,26.0
1999-07-15,27.25,28.12,25.5,25.62,310100,25.62
1999-07-16,25.5,26.0,23.5,25.38,296100,25.38
1999-07-19,26.12,26.44,22.0,22.0,255700,22.0
1999-07-20,21.25,23.75,21.25,22.75,217000,22.75
1999-07-21,23.75,24.38,22.38,23.0,92600,23.0
1999-07-22,23.25,23.25,19.75,22.38,129500,22.38
1999-07-23,22.38,23.0,20.5,22.56,114600,22.56
1999-07-26,22.56,23.0,21.38,22.12,63000,22.12
1999-07-27,22.56,22.75,21.75,22.12,55200,22.12
1999-07-28,22.12,23.12,21.62,21.88,87400,21.88
1999-07-29,22.0,22.0,21.0,21.62,68000,21.62
1999-07-30,21.94,21.94,19.0,19.75,402800,19.75
1999-08-02,20.0,21.75,19.0,19.25,152200,19.25
1999-08-03,19.0,19.5,16.5,17.0,160500,17.0
1999-08-04,17.12,17.12,15.5,16.5,143500,16.5
1999-08-05,16.38,17.88,15.88,17.88,84400,17.88
1999-08-06,17.88,20.0,16.88,17.88,110900,17.88
1999-08-09,18.0,18.0,17.25,17.69,39400,17.69
1999-08-10,17.88,17.88,15.5,16.38,100700,16.38
1999-08-11,16.38,16.81,15.88,16.12,144300,16.12
1999-08-12,16.28,16.88,16.0,16.38,104700,16.38
1999-08-13,16.0,16.75,15.75,16.25,96800,16.25
1999-08-16,16.38,16.38,15.88,16.0,44500,16.0
1999-08-17,16.12,16.12,15.5,15.62,59500,15.62
1999-08-18,15.81,15.81,15.0,15.12,53900,15.12
1999-08-19,15.12,15.81,15.12,15.5,31200,15.5
1999-08-20,15.56,17.25,14.88,17.0,67700,17.0
1999-08-23,16.69,18.25,16.5,18.19,45000,18.19
1999-08-24,18.5,18.62,17.25,18.38,56900,18.38
1999-08-25,18.75,18.75,17.25,18.19,28500,18.19
1999-08-26,18.38,18.38,17.0,17.0,27300,17.0
1999-08-27,17.75,17.75,17.0,17.5,51400,17.5
1999-08-30,17.56,18.0,16.75,17.38,22300,17.38
1999-08-31,17.28,17.5,16.62,17.0,14900,17.0
1999-09-01,16.62,17.0,16.5,17.0,12800,17.0
1999-09-02,16.75,17.0,16.12,16.56,25200,16.56
1999-09-03,16.75,17.0,16.06,17.0,31000,17.0
1999-09-07,17.25,18.5,17.12,18.5,61800,18.5
1999-09-08,17.78,18.62,17.5,17.5,21200,17.5
1999-09-09,17.5,17.88,17.38,17.5,34200,17.5
1999-09-10,17.88,18.12,17.62,17.75,109800,17.75
1999-09-13,18.0,18.12,17.75,18.0,33000,18.0
1999-09-14,17.94,18.0,17.69,17.69,46700,17.69
1999-09-15,17.88,17.88,17.62,17.75,31400,17.75
1999-09-16,18.0,18.0,17.75,17.88,35200,17.88
1999-09-17,17.75,18.06,17.75,18.0,16200,18.0
1999-09-20,18.0,18.0,17.62,17.75,14200,17.75
1999-09-21,17.97,18.06,17.62,18.0,35600,18.0
1999-09-22,17.62,18.0,16.5,16.5,32400,16.5
1999-09-23,17.06,17.06,15.38,15.38,44000,15.38
1999-09-24,15.75,16.0,14.25,14.56,85900,14.56
1999-09-27,15.0,15.38,14.5,14.75,80800,14.75
1999-09-28,15.0,15.0,12.62,14.5,59200,14.5
1999-09-29,14.0,15.0,13.25,13.38,55700,13.38
1999-09-30,13.25,14.62,13.25,14.62,52900,14.62
1999-10-01,14.0,14.69,14.0,14.62,69000,14.62
1999-10-04,15.25,15.62,14.5,15.12,23300,15.12
1999-10-05,15.25,15.25,13.06,14.12,21400,14.12
1999-10-06,14.38,14.62,13.56,13.56,49600,13.56
1999-10-07,14.0,14.62,13.5,13.5,43600,13.5
1999-10-08,13.75,14.5,13.06,13.5,39500,13.5
1999-10-11,13.88,14.62,13.25,13.31,78400,13.31
1999-10-12,14.88,16.5,13.0,13.5,269800,13.5
1999-10-13,14.62,14.62,12.81,13.12,152100,13.12
1999-10-14,13.44,13.75,12.56,12.94,114300,12.94
1999-10-15,12.88,13.0,11.75,11.88,53400,11.88
1999-10-18,12.88,12.88,11.75,11.75,63300,11.75
1999-10-19,12.38,12.38,11.5,11.75,128800,11.75
1999-10-20,12.0,12.38,11.81,12.06,76600,12.06
1999-10-21,12.16,13.5,11.62,12.75,110600,12.75
1999-10-22,12.81,13.0,12.0,12.44,38800,12.44
1999-10-25,12.34,12.56,11.5,11.62,47700,11.62
1999-10-26,11.66,11.88,10.62,11.0,35600,11.0
1999-10-27,11.25,11.38,10.69,11.25,32300,11.25
1999-10-28,11.12,11.75,11.06,11.19,102300,11.19
1999-10-29,11.69,12.31,10.38,11.38,140700,11.38
1999-11-01,11.75,11.88,10.75,10.75,59800,10.75
1999-11-02,11.0,11.0,10.25,10.25,37800,10.25
1999-11-03,10.56,11.94,10.38,11.94,146600,11.94
1999-11-04,12.62,12.88,11.75,12.12,159400,12.12
1999-11-05,13.25,13.5,11.75,11.88,70600,11.88
1999-11-08,11.94,12.62,11.88,12.5,21900,12.5
1999-11-09,12.56,12.75,11.75,11.75,39000,11.75
1999-11-10,11.88,12.19,11.38,12.0,32100,12.0
1999-11-11,11.62,12.12,11.06,11.06,41300,11.06
1999-11-12,11.62,11.62,11.06,11.38,36100,11.38
1999-11-15,11.66,11.88,11.19,11.62,43400,11.62
1999-11-16,11.69,11.69,11.19,11.44,23800,11.44
1999-11-17,11.31,11.62,11.12,11.31,37800,11.31
1999-11-18,11.38,11.62,11.25,11.38,33600,11.38
1999-11-19,11.31,11.62,11.31,11.44,36000,11.44
1999-11-22,11.69,12.12,11.44,12.0,102000,12.0
1999-11-23,12.38,13.0,12.0,12.88,110800,12.88
1999-11-24,13.19,13.38,12.75,12.75,30000,12.75
1999-11-26,13.0,13.0,12.44,12.62,40300,12.62
1999-11-29,12.75,12.94,11.5,11.81,43800,11.81
1999-11-30,12.0,12.25,11.75,12.06,19300,12.06
1999-12-01,12.12,12.38,11.75,11.75,9600,11.75
1999-12-02,11.94,12.12,11.75,11.75,31500,11.75
1999-12-03,11.97,16.06,11.75,15.81,483800,15.81
1999-12-06,17.75,17.75,14.0,15.38,279200,15.38
1999-12-07,15.38,15.44,14.25,14.5,139000,14.5
1999-12-08,14.5,15.44,14.25,15.0,51100,15.0
1999-12-09,15.0,15.0,14.25,14.25,47600,14.25
1999-12-10,14.0,14.5,13.0,13.62,48500,13.62
1999-12-13,13.03,14.25,13.03,13.69,46100,13.69
1999-12-14,13.62,17.5,13.62,15.5,112200,15.5
1999-12-15,15.88,16.0,14.5,14.88,58500,14.88
1999-12-16,15.0,15.75,13.75,14.38,73900,14.38
1999-12-17,13.88,15.06,13.88,14.5,61600,14.5
1999-12-20,14.41,14.69,14.06,14.19,30300,14.19
1999-12-21,14.31,14.5,13.94,14.38,54700,14.38
1999-12-22,14.34,15.12,14.31,14.88,33000,14.88
1999-12-23,15.0,17.0,15.0,16.75,131500,16.75
1999-12-27,17.0,18.12,16.75,17.62,207100,17.62
1999-12-28,17.81,17.94,15.12,16.94,255300,16.94
1999-12-29,17.03,17.75,16.62,17.25,65400,17.25
1999-12-30,18.0,18.88,16.88,17.59,127700,17.59
1999-12-31,17.66,18.62,17.12,18.5,57800,18.5
2000-01-03,18.5,22.56,18.0,20.88,311800,20.88
2000-01-04,21.81,21.94,17.5,17.81,300100,17.81
2000-01-05,17.69,19.75,16.0,19.5,108300,19.5
2000-01-06,19.31,19.88,18.0,18.25,76400,18.25
2000-01-07,18.38,18.88,18.19,18.81,78600,18.81
2000-01-10,18.81,20.0,18.38,18.94,96500,18.94
2000-01-11,18.78,18.81,17.25,18.0,55000,18.0
2000-01-12,18.25,18.25,17.25,17.5,47600,17.5
2000-01-13,18.0,18.62,17.38,17.5,49600,17.5
2000-01-14,17.62,18.0,16.5,17.0,73700,17.0
2000-01-18,17.38,17.81,16.5,17.25,105100,17.25
2000-01-19,17.12,17.75,17.0,17.5,52700,17.5
2000-01-20,17.5,17.75,16.0,17.25,42200,17.25
2000-01-21,17.38,20.38,17.25,20.38,128700,20.38
2000-01-24,20.94,21.06,18.5,18.5,138900,18.5
2000-01-25,19.12,19.38,18.0,18.5,68100,18.5
2000-01-26,18.62,19.38,18.12,19.38,64500,19.38
2000-01-27,19.53,20.0,19.19,19.62,42700,19.62
2000-01-28,19.5,20.0,17.5,17.75,111800,17.75
2000-01-31,18.12,18.75,17.12,18.75,35600,18.75
2000-02-01,18.53,18.53,17.25,17.94,20800,17.94
2000-02-02,17.62,18.25,16.5,17.62,58600,17.62
2000-02-03,17.72,18.0,16.5,17.25,71500,17.25
2000-02-04,17.25,18.0,16.5,17.0,43900,17.0
2000-02-07,16.88,17.5,16.12,16.81,64400,16.81
2000-02-08,16.5,16.75,16.12,16.62,31700,16.62
2000-02-09,16.38,16.5,15.0,15.62,85300,15.62
2000-02-10,15.75,16.5,15.5,16.25,40500,16.25
2000-02-11,16.0,17.0,15.0,16.88,51400,16.88
2000-02-14,16.75,18.5,16.5,17.5,96800,17.5
2000-02-15,18.0,18.25,17.0,17.88,129500,17.88
2000-02-16,17.88,18.06,17.75,18.06,52900,18.06
2000-02-17,18.0,19.25,17.88,18.0,298600,18.0
2000-02-18,18.31,18.31,17.81,18.0,76700,18.0
2000-02-22,18.25,18.25,17.88,17.94,58700,17.94
2000-02-23,17.94,18.0,17.75,18.0,48800,18.0
2000-02-24,17.97,18.06,17.06,17.31,69400,17.31
2000-02-25,17.31,17.31,16.0,16.62,42400,16.62
2000-02-28,16.88,17.25,16.12,17.25,37800,17.25
2000-02-29,16.78,17.69,16.75,17.25,39100,17.25
2000-03-01,17.25,20.25,17.12,19.5,148700,19.5
2000-03-02,20.25,20.44,18.25,18.88,80700,18.88
2000-03-03,19.19,19.5,18.81,18.94,27500,18.94
2000-03-06,18.88,23.0,18.75,21.0,141500,21.0
2000-03-07,22.31,24.88,21.0,21.25,203100,21.25
2000-03-08,22.12,23.25,19.69,21.0,97900,21.0
2000-03-09,21.5,21.5,20.0,20.62,22000,20.62
2000-03-10,21.12,21.5,19.5,20.0,23800,20.0
2000-03-13,19.12,22.0,18.75,19.62,49500,19.62
2000-03-14,21.0,21.0,18.88,19.75,46800,19.75
2000-03-15,18.94,19.12,18.38,19.12,24900,19.12
2000-03-16,19.62,19.62,19.0,19.38,8000,19.38
2000-03-17,18.5,19.0,17.0,18.25,51600,18.25
2000-03-20,18.56,18.56,16.88,18.0,29800,18.0
2000-03-21,17.56,18.0,16.62,17.0,62300,17.0
2000-03-22,16.88,18.12,16.38,18.12,47400,18.12
2000-03-23,17.94,18.12,16.75,16.75,68300,16.75
2000-03-24,17.25,17.38,16.75,17.38,30000,17.38
2000-03-27,17.16,17.31,16.5,17.12,17800,17.12
2000-03-28,16.88,17.0,15.0,15.38,114100,15.38
2000-03-29,15.38,16.38,15.0,15.38,50500,15.38
2000-03-30,15.5,16.44,15.5,16.12,29800,16.12
2000-03-31,16.5,16.5,15.12,15.5,7600,15.5
2000-04-03,16.25,16.25,15.25,15.5,30000,15.5
2000-04-04,16.0,16.31,13.0,15.25,113400,15.25
2000-04-05,15.25,15.25,13.88,14.5,40300,14.5
2000-04-06,14.62,15.5,14.62,15.38,27100,15.38
2000-04-07,15.5,15.5,15.0,15.0,17900,15.0
2000-04-10,15.25,16.0,15.0,15.0,23800,15.0
2000-04-11,15.62,15.62,14.5,14.75,25900,14.75
2000-04-12,14.81,14.88,13.88,14.19,63500,14.19
2000-04-13,14.34,15.0,14.12,14.62,39800,14.62
2000-04-14,14.38,14.62,12.25,12.25,62400,12.25
2000-04-17,12.25,13.5,11.62,11.88,66600,11.88
2000-04-18,11.84,14.12,11.75,14.0,32000,14.0
2000-04-19,14.0,14.0,12.5,13.0,19700,13.0
2000-04-20,13.0,14.0,12.5,13.62,18400,13.62
2000-04-24,13.5,14.12,13.25,13.88,13000,13.88
2000-04-25,13.5,14.12,12.5,12.88,15200,12.88
2000-04-26,13.0,13.0,12.5,12.62,16100,12.62
2000-04-27,12.62,12.88,12.0,12.06,56700,12.06
2000-04-28,14.06,14.5,13.0,14.06,49500,14.06
2000-05-01,15.38,16.12,14.88,16.12,47500,16.12
2000-05-02,15.88,16.25,15.0,15.62,19200,15.62
2000-05-03,16.5,19.56,15.62,16.56,313100,16.56
2000-05-04,16.5,16.5,15.31,15.75,37500,15.75
2000-05-05,15.88,15.88,15.25,15.38,34800,15.38
2000-05-08,15.38,15.5,15.25,15.5,28600,15.5
2000-05-09,15.5,15.5,14.0,14.88,14900,14.88
2000-05-10,14.75,14.75,13.62,14.38,14200,14.38
2000-05-11,14.06,14.88,13.5,14.62,51300,14.62
2000-05-12,15.25,16.25,14.75,15.25,16700,15.25
2000-05-15,15.38,15.81,14.75,14.88,19500,14.88
2000-05-16,14.69,14.88,14.5,14.88,11900,14.88
2000-05-17,14.62,14.75,14.0,14.12,6600,14.12
2000-05-18,14.12,14.44,14.12,14.12,9300,14.12
2000-05-19,14.38,14.38,13.88,14.0,9000,14.0
2000-05-22,13.88,14.06,11.62,12.75,45200,12.75
2000-05-23,12.88,13.38,12.62,13.0,10600,13.0
2000-05-24,13.25,13.25,11.62,12.5,16900,12.5
2000-05-25,13.0,13.5,12.88,12.88,49200,12.88
2000-05-26,14.0,15.5,13.0,13.5,31800,13.5
2000-05-30,13.44,13.62,13.25,13.25,10100,13.25
2000-05-31,13.25,14.0,13.25,13.5,3100,13.5
2000-06-01,13.75,14.0,13.5,14.0,13600,14.0
2000-06-02,14.62,16.75,14.25,16.0,58300,16.0
2000-06-05,16.62,16.88,15.5,16.12,29500,16.12
2000-06-06,16.12,17.0,16.12,17.0,47100,17.0
2000-06-07,17.0,18.38,16.94,18.0,83200,18.0
2000-06-08,18.06,19.25,18.0,18.56,91000,18.56
2000-06-09,18.62,18.62,17.5,17.94,44100,17.94
2000-06-12,18.12,18.44,16.38,17.38,57400,17.38
2000-06-13,17.25,18.06,17.25,17.88,33800,17.88
2000-06-14,18.0,18.12,17.88,18.06,32000,18.06
2000-06-15,18.19,18.19,17.88,18.0,52800,18.0
2000-06-16,17.81,18.19,17.56,17.88,36700,17.88
2000-06-19,17.88,18.5,17.88,18.12,56300,18.12
2000-06-20,18.25,18.5,17.88,18.25,54200,18.25
2000-06-21,18.5,18.62,18.0,18.5,36500,18.5
2000-06-22,18.56,18.88,18.25,18.5,71300,18.5
2000-06-23,18.5,18.94,18.5,18.75,58300,18.75
2000-06-26,18.94,21.0,18.75,19.94,126500,19.94
2000-06-27,19.88,21.12,19.81,21.06,64900,21.06
2000-06-28,20.75,22.62,20.75,22.62,204800,22.62
2000-06-29,22.84,26.5,22.38,25.56,376100,25.56
2000-06-30,25.81,27.25,19.0,21.88,412400,21.88
2000-07-03,21.62,23.06,21.0,22.0,37900,22.0
2000-07-05,22.81,25.0,22.81,24.0,86200,24.0
2000-07-06,24.25,24.25,23.25,23.62,41300,23.62
2000-07-07,23.69,26.0,23.5,24.5,89600,24.5
2000-07-10,24.44,26.38,24.0,25.06,129100,25.06
2000-07-11,25.69,26.5,24.25,25.25,132300,25.25
2000-07-12,26.0,28.25,26.0,26.38,214100,26.38
2000-07-13,27.81,27.81,24.62,24.75,153600,24.75
2000-07-14,24.84,25.0,22.75,23.5,74300,23.5
2000-07-17,24.75,25.0,23.75,24.81,63600,24.81
2000-07-18,24.75,24.75,24.0,24.5,44600,24.5
2000-07-19,24.44,24.5,24.0,24.5,19400,24.5
2000-07-20,23.97,24.88,23.97,24.5,58400,24.5
2000-07-21,25.06,25.75,24.25,25.12,59300,25.12
2000-07-24,24.75,24.75,21.75,22.12,34400,22.12
2000-07-25,22.03,24.94,22.03,23.62,70900,23.62
2000-07-26,23.62,25.0,23.12,24.38,43400,24.38
2000-07-27,24.0,25.0,22.44,23.31,67600,23.31
2000-07-28,23.5,24.0,19.0,19.5,110400,19.5
2000-07-31,20.62,23.75,20.0,23.5,60700,23.5
2000-08-01,22.75,23.5,21.44,21.5,31400,21.5
2000-08-02,21.5,23.0,21.5,22.25,20100,22.25
2000-08-03,21.0,22.75,21.0,22.75,20200,22.75
2000-08-04,21.97,23.0,21.97,23.0,25600,23.0
2000-08-07,21.94,24.5,21.94,24.19,53200,24.19
2000-08-08,24.38,24.38,23.81,24.0,44200,24.0
2000-08-09,24.0,24.25,23.88,24.0,31300,24.0
2000-08-10,23.88,23.88,22.94,22.94,37400,22.94
2000-08-11,23.25,23.88,22.88,23.44,21000,23.44
2000-08-14,23.06,23.88,23.0,23.88,38200,23.88
2000-08-15,24.0,24.12,23.75,23.88,31500,23.88
2000-08-16,23.81,24.0,23.5,23.56,17100,23.56
2000-08-17,23.88,24.0,23.69,24.0,50300,24.0
2000-08-18,24.0,24.0,23.5,23.75,15800,23.75
2000-08-21,23.56,23.58,23.08,23.08,24300,23.08
2000-08-22,23.44,23.44,22.69,22.69,17800,22.69
2000-08-23,22.62,23.12,21.0,21.38,36600,21.38
2000-08-24,21.12,21.5,20.0,21.25,42800,21.25
2000-08-25,21.25,21.5,21.0,21.38,13600,21.38
2000-08-28,21.62,22.5,21.06,21.77,11600,21.77
2000-08-29,22.0,22.75,22.0,22.38,7600,22.38
2000-08-30,22.12,23.19,22.12,23.19,24600,23.19
2000-08-31,22.94,25.06,22.94,24.75,94500,24.75
2000-09-01,25.31,26.75,25.25,26.25,117400,26.25
2000-09-05,25.91,26.69,25.5,26.5,83400,26.5
2000-09-06,26.59,26.62,24.62,25.5,63600,25.5
2000-09-07,25.75,26.0,24.25,24.31,24600,24.31
2000-09-08,24.25,24.25,23.5,23.75,28800,23.75
2000-09-11,24.0,24.38,22.94,23.75,24600,23.75
2000-09-12,23.75,23.75,23.0,23.5,11000,23.5
2000-09-13,23.25,23.5,21.62,21.62,43800,21.62
2000-09-14,22.5,22.88,22.44,22.56,28700,22.56
2000-09-15,22.5,22.73,22.44,22.56,20900,22.56
2000-09-18,22.5,23.44,21.0,21.0,25500,21.0
2000-09-19,21.69,23.12,21.69,23.12,14900,23.12
2000-09-20,21.88,22.81,21.56,22.75,19300,22.75
2000-09-21,21.62,23.38,21.62,22.75,15500,22.75
2000-09-22,22.5,23.62,21.5,23.38,39400,23.38
2000-09-25,24.38,25.5,23.0,23.5,65700,23.5
2000-09-26,24.06,24.19,22.19,22.56,20600,22.56
2000-09-27,22.62,23.38,22.62,22.88,8000,22.88
2000-09-28,22.62,23.5,22.5,23.5,16900,23.5
2000-09-29,22.88,23.75,22.12,23.38,22500,23.38
2000-10-02,23.0,23.0,22.0,22.94,11000,22.94
2000-10-03,22.94,23.25,22.0,22.06,21500,22.06
2000-10-04,22.02,22.94,21.81,22.44,16400,22.44
2000-10-05,21.58,23.19,21.58,23.19,23900,23.19
2000-10-06,23.19,23.19,22.62,22.69,25600,22.69
2000-10-09,25.88,26.0,22.88,24.0,143100,24.0
2000-10-10,24.33,26.5,24.31,24.44,154800,24.44
2000-10-11,25.06,25.75,24.0,25.0,70100,25.0
2000-10-12,25.23,25.38,24.25,24.62,52200,24.62
2000-10-13,24.5,25.0,23.0,25.0,32100,25.0
2000-10-16,26.81,27.56,25.5,26.0,181600,26.0
2000-10-17,27.86,28.25,25.5,25.88,147300,25.88
2000-10-18,25.42,27.31,25.0,26.88,71000,26.88
2000-10-19,27.34,31.5,27.31,29.5,403100,29.5
2000-10-20,30.03,32.5,29.81,30.81,356900,30.81
2000-10-23,31.47,32.5,29.31,30.38,207500,30.38
2000-10-24,30.66,31.0,30.19,30.38,135500,30.38
2000-10-25,30.59,32.5,30.12,32.38,145300,32.38
2000-10-26,32.22,36.88,31.5,32.25,355400,32.25
2000-10-27,32.16,33.44,29.5,30.5,178600,30.5
2000-10-30,30.5,31.06,26.06,27.0,183400,27.0
2000-10-31,27.0,29.0,27.0,27.44,131100,27.44
2000-11-01,27.88,28.06,27.25,28.0,53400,28.0
2000-11-02,27.84,29.25,27.5,28.31,69100,28.31
2000-11-03,29.03,30.38,28.75,30.0,154600,30.0
2000-11-06,30.72,31.81,30.0,30.19,122400,30.19
2000-11-07,30.38,31.12,30.12,31.0,35100,31.0
2000-11-08,31.38,32.25,31.38,31.69,134900,31.69
2000-11-09,31.88,32.0,27.12,28.44,134900,28.44
2000-11-10,26.97,28.06,25.12,26.25,150100,26.25
2000-11-13,25.69,26.56,23.12,25.19,141000,25.19
2000-11-14,26.06,27.0,25.62,26.62,33500,26.62
2000-11-15,26.78,28.88,26.62,28.25,51200,28.25
2000-11-16,28.5,28.5,26.0,26.0,26500,26.0
2000-11-17,27.38,28.0,26.56,27.5,34200,27.5
2000-11-20,25.78,27.0,24.12,24.25,66200,24.25
2000-11-21,24.19,25.38,24.19,24.25,63100,24.25
2000-11-22,23.97,24.0,21.31,22.25,113700,22.25
2000-11-24,23.0,25.81,23.0,25.69,27000,25.69
2000-11-27,26.12,26.75,23.75,24.94,69600,24.94
2000-11-28,24.25,24.5,23.19,23.62,14500,23.62
2000-11-29,23.38,23.38,21.88,22.5,50400,22.5
2000-11-30,22.34,22.62,20.06,21.34,98700,21.34
2000-12-01,20.47,23.75,20.44,22.12,47900,22.12
2000-12-04,21.78,22.25,21.06,21.25,27400,21.25
2000-12-05,21.84,25.0,21.84,24.25,87500,24.25
2000-12-06,24.19,24.25,22.75,22.75,31000,22.75
2000-12-07,23.0,23.12,21.75,21.81,49600,21.81
2000-12-08,22.62,23.25,22.19,23.12,55100,23.12
2000-12-11,23.09,27.5,23.09,26.88,147600,26.88
2000-12-12,27.06,29.0,27.0,28.19,338400,28.19
2000-12-13,29.28,29.38,25.88,26.06,165900,26.06
2000-12-14,26.28,26.5,22.19,23.12,80900,23.12
2000-12-15,23.62,23.62,21.19,22.31,65300,22.31
2000-12-18,22.38,23.25,22.12,22.75,39700,22.75
2000-12-19,20.97,22.94,20.5,21.12,81000,21.12
2000-12-20,20.69,20.69,17.81,18.75,225100,18.75
2000-12-21,17.62,17.75,16.38,17.38,180600,17.38
2000-12-22,17.06,17.5,16.06,16.88,85600,16.88
2000-12-26,17.94,22.0,17.5,20.0,424300,20.0
2000-12-27,20.0,20.0,18.31,18.56,129800,18.56
2000-12-28,17.88,19.19,17.88,18.38,114300,18.38
2000-12-29,18.5,19.56,18.19,19.5,77500,19.5
2001-01-02,20.06,20.06,18.5,18.75,69300,18.75
2001-01-03,18.06,19.56,17.75,19.25,78100,19.25
2001-01-04,19.67,19.69,17.88,17.88,47700,17.88
2001-01-05,18.33,18.38,17.12,17.19,237500,17.19
2001-01-08,17.19,17.31,15.38,16.06,88900,16.06
2001-01-09,16.19,16.31,15.38,15.75,107200,15.75
2001-01-10,16.05,16.12,15.75,15.81,75100,15.81
2001-01-11,16.0,17.12,15.88,16.75,145500,16.75
2001-01-12,17.5,20.12,17.25,19.25,149100,19.25
2001-01-16,19.23,22.5,18.94,22.25,156500,22.25
2001-01-17,23.94,24.06,20.56,20.62,187600,20.62
2001-01-18,20.39,22.0,20.0,21.31,47800,21.31
2001-01-19,21.38,22.5,21.27,22.0,44300,22.0
2001-01-22,22.44,22.75,22.06,22.5,49600,22.5
2001-01-23,22.83,24.5,22.62,24.0,110500,24.0
2001-01-24,23.64,24.44,23.62,24.44,31600,24.44
2001-01-25,23.89,25.0,23.88,24.19,51100,24.19
2001-01-26,24.61,24.75,23.12,24.06,63700,24.06
2001-01-29,24.06,26.19,24.06,25.5,141300,25.5
2001-01-30,26.31,28.69,25.88,27.31,131100,27.31
2001-01-31,27.56,27.88,25.06,25.12,91100,25.12
2001-02-01,24.33,24.98,23.25,23.75,101300,23.75
2001-02-02,23.39,23.81,22.75,23.12,74800,23.12
2001-02-05,23.25,24.5,23.02,23.88,20000,23.88
2001-02-06,23.98,25.44,23.81,25.38,19300,25.38
2001-02-07,25.38,25.38,23.36,23.94,40700,23.94
2001-02-08,24.06,24.38,23.31,23.75,97600,23.75
2001-02-09,25.0,25.94,24.0,24.0,96600,24.0
2001-02-12,25.94,27.75,25.88,27.33,429000,27.33
2001-02-13,27.88,27.88,25.62,25.94,171200,25.94
2001-02-14,26.0,26.25,24.19,25.0,92700,25.0
2001-02-15,25.33,26.06,25.33,26.0,75600,26.0
2001-02-16,25.88,26.06,25.19,26.0,133400,26.0
2001-02-20,26.19,26.31,24.25,25.0,89800,25.0
2001-02-21,24.61,24.61,23.56,23.62,56100,23.62
2001-02-22,23.12,23.5,22.06,22.19,97000,22.19
2001-02-23,22.06,22.62,20.0,22.62,147900,22.62
2001-02-26,23.31,25.06,23.23,25.06,51100,25.06
2001-02-27,25.02,26.69,24.69,26.0,154200,26.0
2001-02-28,25.98,26.06,24.12,24.94,64100,24.94
2001-03-01,24.75,24.75,24.12,24.38,45300,24.38
2001-03-02,24.69,25.12,23.81,24.0,33500,24.0
2001-03-05,24.08,25.69,24.06,24.31,21200,24.31
2001-03-06,24.67,24.69,23.25,23.31,47400,23.31
2001-03-07,23.11,23.12,21.44,22.38,172600,22.38
2001-03-08,22.12,22.88,21.44,21.94,39100,21.94
2001-03-09,22.19,22.5,21.75,21.94,90700,21.94
2001-03-12,22.05,22.44,18.12,18.12,150300,18.12
2001-03-13,18.5,20.06,18.25,18.44,505700,18.44
2001-03-14,18.23,19.25,17.38,17.81,153100,17.81
2001-03-15,18.95,19.5,18.56,19.19,92000,19.19
2001-03-16,19.25,19.38,18.12,18.38,78400,18.38
2001-03-19,18.44,18.94,17.44,18.19,128400,18.19
