Date,Open,High,Low,Close,Volume,Adj Close
2010-04-22,10.26,12.69,10.25,12.58,1385800,12.58
2010-04-23,12.4,13.47,12.11,12.39,324700,12.39
2010-04-26,12.88,12.88,11.11,11.59,321200,11.59
2010-04-27,11.4,12.2,10.8,12.0,199400,12.0
2010-04-28,12.0,12.0,11.33,11.4,35400,11.4
2010-04-29,11.34,11.5,10.8,10.91,36400,10.91
2010-04-30,11.5,12.25,10.4,10.6,64500,10.6
2010-05-03,10.77,10.81,10.06,10.06,36100,10.06
2010-05-04,10.04,10.19,8.21,8.7,148200,8.7
2010-05-05,8.42,9.48,8.42,9.02,66500,9.02
2010-05-06,8.8,8.9,8.26,8.7,20600,8.7
2010-05-07,8.43,8.7,8.06,8.38,22900,8.38
2010-05-10,8.21,8.44,8.08,8.11,9200,8.11
2010-05-11,8.1,8.25,7.91,8.25,24600,8.25
2010-05-12,8.3,8.46,8.02,8.46,33600,8.46
2010-05-13,8.43,8.44,8.13,8.25,5300,8.25
2010-05-14,8.47,9.0,8.31,8.7,30600,8.7
2010-05-17,8.69,8.7,8.3,8.4,7300,8.4
2010-05-18,8.37,8.4,7.01,7.2,42700,7.2
2010-05-19,7.5,7.5,6.5,6.6,39600,6.6
2010-05-20,6.31,7.25,6.3,7.17,22800,7.17
2010-05-21,7.17,7.4,6.94,7.19,10200,7.19
2010-05-24,7.39,7.39,6.98,7.29,5600,7.29
2010-05-25,7.19,7.37,6.89,6.89,7800,6.89
2010-05-26,7.3,7.46,7.04,7.2,15200,7.2
2010-05-27,7.46,7.69,7.46,7.69,13000,7.69
2010-05-28,7.73,7.88,7.49,7.76,16000,7.76
2010-06-01,7.75,8.0,7.7,8.0,10600,8.0
2010-06-02,7.95,8.0,7.71,7.93,11600,7.93
2010-06-03,7.79,7.79,7.26,7.26,300,7.26
2010-06-04,7.56,7.74,7.56,7.57,600,7.57
2010-06-07,7.74,7.74,7.49,7.51,2400,7.51
2010-06-08,7.8,7.8,7.15,7.2,1600,7.2
2010-06-09,7.26,7.28,6.85,6.85,12800,6.85
2010-06-10,7.1,7.5,6.9,7.0,6000,7.0
2010-06-11,6.66,7.79,6.6,7.62,11000,7.62
2010-06-14,7.67,7.75,7.15,7.15,4400,7.15
2010-06-15,7.5,7.5,7.15,7.2,1900,7.2
2010-06-16,7.35,7.35,6.71,6.74,6800,6.74
2010-06-17,7.2,7.2,7.02,7.02,1200,7.02
2010-06-18,7.14,7.39,6.85,6.85,2100,6.85
2010-06-21,7.2,7.2,6.88,6.89,900,6.89
2010-06-22,6.94,7.4,6.7,7.0,15200,7.0
2010-06-23,7.01,7.01,6.8,6.9,800,6.9
2010-06-24,6.83,7.07,6.64,6.79,3400,6.79
2010-06-25,6.6,6.6,6.5,6.6,6000,6.6
2010-06-28,6.7,6.7,6.32,6.45,1200,6.45
2010-06-29,6.45,6.45,6.24,6.3,6200,6.3
2010-06-30,6.3,6.3,6.3,6.3,1700,6.3
2010-07-01,6.2,6.2,6.0,6.03,6400,6.03
2010-07-02,5.92,5.92,5.92,5.92,1000,5.92
2010-07-06,5.92,6.14,5.55,6.0,14600,6.0
2010-07-07,6.15,6.41,6.15,6.28,6800,6.28
2010-07-08,6.25,6.25,5.99,5.99,1900,5.99
2010-07-09,6.0,6.0,5.66,5.97,1700,5.97
2010-07-12,5.99,5.99,5.18,5.25,4300,5.25
2010-07-13,5.99,5.99,5.39,5.55,2900,5.55
2010-07-14,5.5,5.5,5.4,5.48,1000,5.48
2010-07-15,5.32,5.34,5.24,5.24,1300,5.24
2010-07-16,5.14,5.14,4.84,4.9,5400,4.9
2010-07-19,4.87,5.15,4.75,4.75,3000,4.75
2010-07-20,4.95,5.47,4.86,5.23,6500,5.23
2010-07-21,5.26,5.26,5.26,5.26,200,5.26
2010-07-22,5.47,5.5,5.15,5.15,10100,5.15
