Date,Open,High,Low,Close,Volume,Adj Close
2009-12-18,0.37,0.37,0.37,0.37,0,0.37
2009-12-21,0.36,0.36,0.36,0.36,2000,0.36
2009-12-22,0.36,0.36,0.36,0.36,0,0.36
2009-12-23,0.43,0.43,0.43,0.43,3000,0.43
2009-12-24,0.43,0.43,0.43,0.43,0,0.43
2009-12-28,0.43,0.43,0.43,0.43,0,0.43
2009-12-29,0.52,0.52,0.52,0.52,1000,0.52
2009-12-30,0.52,0.52,0.52,0.52,0,0.52
2009-12-31,0.52,0.52,0.52,0.52,0,0.52
2010-01-04,0.52,0.52,0.52,0.52,0,0.52
2010-01-05,0.52,0.52,0.52,0.52,0,0.52
2010-01-06,0.52,0.52,0.52,0.52,0,0.52
2010-01-07,0.52,0.52,0.52,0.52,0,0.52
2010-01-08,0.52,0.52,0.52,0.52,0,0.52
2010-01-11,0.52,0.52,0.52,0.52,0,0.52
2010-01-12,0.52,0.52,0.52,0.52,0,0.52
2010-01-13,0.54,0.73,0.54,0.73,43000,0.73
2010-01-14,0.7,0.72,0.69,0.72,12000,0.72
2010-01-15,0.72,0.72,0.72,0.72,0,0.72
2010-01-19,0.72,0.72,0.72,0.72,0,0.72
2010-01-20,0.72,0.72,0.72,0.72,0,0.72
2010-01-21,0.62,0.64,0.62,0.63,9300,0.63
2010-01-22,0.6,0.6,0.6,0.6,1000,0.6
2010-01-25,0.64,0.64,0.6,0.6,22000,0.6
2010-01-26,0.6,0.6,0.6,0.6,0,0.6
2010-01-27,0.62,0.62,0.57,0.57,2000,0.57
2010-01-28,0.57,0.57,0.57,0.57,0,0.57
2010-01-29,0.52,0.52,0.52,0.52,1000,0.52
2010-02-01,0.52,0.52,0.52,0.52,0,0.52
2010-02-02,0.52,0.52,0.52,0.52,0,0.52
2010-02-03,0.47,0.47,0.47,0.47,1000,0.47
2010-02-04,0.47,0.47,0.47,0.47,0,0.47
2010-02-05,0.51,0.51,0.51,0.51,10000,0.51
2010-02-08,0.51,0.51,0.51,0.51,0,0.51
2010-02-09,0.51,0.51,0.51,0.51,0,0.51
2010-02-10,0.51,0.51,0.51,0.51,0,0.51
2010-02-11,0.51,0.51,0.51,0.51,0,0.51
2010-02-12,0.51,0.51,0.51,0.51,0,0.51
2010-02-16,0.51,0.51,0.51,0.51,0,0.51
2010-02-17,0.51,0.51,0.51,0.51,0,0.51
2010-02-18,0.46,0.46,0.46,0.46,1000,0.46
2010-02-19,0.46,0.46,0.46,0.46,0,0.46
2010-02-22,0.46,0.46,0.46,0.46,0,0.46
2010-02-23,0.46,0.46,0.46,0.46,0,0.46
2010-02-24,0.46,0.46,0.46,0.46,0,0.46
2010-02-25,0.46,0.46,0.46,0.46,0,0.46
2010-02-26,0.46,0.46,0.46,0.46,0,0.46
2010-03-01,0.46,0.46,0.46,0.46,0,0.46
2010-03-02,0.46,0.46,0.46,0.46,0,0.46
2010-03-03,0.46,0.46,0.46,0.46,0,0.46
2010-03-04,0.46,0.46,0.46,0.46,0,0.46
2010-03-05,0.46,0.46,0.46,0.46,0,0.46
2010-03-08,0.46,0.46,0.46,0.46,0,0.46
2010-03-09,0.46,0.46,0.46,0.46,0,0.46
2010-03-10,0.46,0.46,0.46,0.46,0,0.46
2010-03-11,0.63,0.63,0.59,0.59,1100,0.59
2010-03-12,0.59,0.59,0.59,0.59,0,0.59
2010-03-15,0.59,0.59,0.59,0.59,0,0.59
2010-03-16,0.59,0.59,0.59,0.59,0,0.59
2010-03-17,0.59,0.59,0.59,0.59,0,0.59
2010-03-18,0.59,0.59,0.59,0.59,0,0.59
2010-03-19,0.59,0.59,0.59,0.59,0,0.59
2010-03-22,0.6,0.6,0.6,0.6,2000,0.6
2010-03-23,0.61,0.61,0.61,0.61,1000,0.61
2010-03-24,0.61,0.61,0.61,0.61,1000,0.61
2010-03-25,0.58,0.58,0.58,0.58,1500,0.58
2010-03-26,0.58,0.58,0.58,0.58,0,0.58
2010-03-29,0.65,0.65,0.65,0.65,2000,0.65
2010-03-30,0.64,0.64,0.64,0.64,800,0.64
2010-03-31,0.64,0.64,0.64,0.64,0,0.64
2010-04-01,0.64,0.64,0.64,0.64,0,0.64
2010-04-05,0.06,0.06,0.06,0.06,0,0.06
2010-04-06,0.06,0.06,0.06,0.06,0,0.06
2010-04-07,0.06,0.06,0.06,0.06,0,0.06
2010-04-08,0.06,0.06,0.06,0.06,0,0.06
2010-04-09,0.64,0.64,0.64,0.64,0,0.64
2010-04-12,0.58,0.58,0.58,0.58,500,0.58
2010-04-13,0.57,0.57,0.57,0.57,100,0.57
2010-04-14,0.61,0.61,0.61,0.61,10000,0.61
2010-04-15,0.6,0.6,0.6,0.6,1800,0.6
2010-04-16,0.6,0.6,0.6,0.6,0,0.6
2010-04-19,0.6,0.6,0.6,0.6,0,0.6
2010-04-20,0.6,0.6,0.6,0.6,0,0.6
2010-04-21,0.6,0.6,0.6,0.6,0,0.6
2010-04-22,0.6,0.6,0.6,0.6,0,0.6
2010-04-23,0.6,0.6,0.6,0.6,0,0.6
2010-04-26,0.6,0.6,0.6,0.6,0,0.6
2010-04-27,0.6,0.6,0.6,0.6,0,0.6
2010-04-28,0.6,0.6,0.6,0.6,0,0.6
2010-04-29,0.64,0.64,0.57,0.57,2500,0.57
2010-04-30,0.57,0.57,0.57,0.57,0,0.57
2010-05-03,0.57,0.57,0.57,0.57,1500,0.57
2010-05-04,0.57,0.57,0.57,0.57,2000,0.57
2010-05-05,0.57,0.57,0.57,0.57,0,0.57
2010-05-06,0.57,0.57,0.57,0.57,4000,0.57
2010-05-07,0.47,0.47,0.44,0.44,4000,0.44
2010-05-10,0.44,0.44,0.44,0.44,0,0.44
2010-05-11,0.44,0.44,0.44,0.44,0,0.44
2010-05-12,0.44,0.44,0.44,0.44,0,0.44
2010-05-13,0.44,0.44,0.44,0.44,0,0.44
2010-05-14,0.44,0.44,0.44,0.44,0,0.44
2010-05-17,0.48,0.48,0.48,0.48,3000,0.48
2010-05-18,0.48,0.48,0.48,0.48,0,0.48
2010-05-19,0.48,0.48,0.48,0.48,0,0.48
2010-05-20,0.48,0.48,0.48,0.48,0,0.48
2010-05-21,0.48,0.48,0.48,0.48,0,0.48
2010-05-24,0.48,0.48,0.48,0.48,0,0.48
2010-05-25,0.48,0.48,0.48,0.48,0,0.48
2010-05-26,0.48,0.48,0.48,0.48,0,0.48
2010-05-27,0.48,0.48,0.48,0.48,0,0.48
2010-05-28,0.48,0.48,0.48,0.48,0,0.48
2010-06-01,0.48,0.48,0.48,0.48,0,0.48
2010-06-02,0.5,0.5,0.5,0.5,1000,0.5
2010-06-03,0.5,0.5,0.5,0.5,0,0.5
2010-06-04,0.5,0.5,0.5,0.5,0,0.5
2010-06-07,0.5,0.5,0.5,0.5,0,0.5
2010-06-08,0.5,0.5,0.5,0.5,0,0.5
2010-06-09,0.5,0.5,0.5,0.5,0,0.5
2010-06-10,0.5,0.5,0.5,0.5,0,0.5
2010-06-11,0.5,0.5,0.5,0.5,0,0.5
2010-06-14,0.47,0.47,0.47,0.47,1000,0.47
2010-06-15,0.47,0.47,0.47,0.47,0,0.47
2010-06-16,0.4,0.41,0.4,0.4,7000,0.4
2010-06-17,0.41,0.41,0.41,0.41,2000,0.41
2010-06-18,0.41,0.41,0.41,0.41,0,0.41
2010-06-21,0.41,0.41,0.41,0.41,0,0.41
2010-06-22,0.41,0.41,0.41,0.41,0,0.41
2010-06-23,0.41,0.41,0.41,0.41,0,0.41
2010-06-24,0.41,0.41,0.41,0.41,0,0.41
2010-06-25,0.41,0.41,0.41,0.41,0,0.41
2010-06-28,0.41,0.41,0.41,0.41,0,0.41
2010-06-29,0.41,0.41,0.41,0.41,0,0.41
2010-06-30,0.38,0.38,0.38,0.38,2000,0.38
2010-07-01,0.38,0.38,0.38,0.38,0,0.38
2010-07-02,0.38,0.38,0.38,0.38,0,0.38
2010-07-06,0.35,0.35,0.35,0.35,200,0.35
2010-07-07,0.35,0.35,0.35,0.35,0,0.35
2010-07-08,0.35,0.35,0.35,0.35,0,0.35
2010-07-09,0.35,0.35,0.35,0.35,1000,0.35
2010-07-12,0.35,0.35,0.35,0.35,0,0.35
2010-07-13,0.35,0.35,0.35,0.35,0,0.35
2010-07-14,0.35,0.35,0.35,0.35,0,0.35
2010-07-15,0.35,0.35,0.35,0.35,0,0.35
2010-07-16,0.35,0.35,0.35,0.35,0,0.35
2010-07-19,0.35,0.35,0.35,0.35,0,0.35
2010-07-20,0.35,0.35,0.35,0.35,0,0.35
2010-07-21,0.35,0.35,0.35,0.35,0,0.35
2010-07-22,0.35,0.35,0.35,0.35,0,0.35
2010-07-23,0.35,0.35,0.35,0.35,0,0.35
2010-07-26,0.35,0.35,0.35,0.35,0,0.35
2010-07-27,0.35,0.35,0.35,0.35,0,0.35
2010-07-28,0.35,0.35,0.35,0.35,0,0.35
2010-07-29,0.35,0.35,0.35,0.35,0,0.35
2010-07-30,0.35,0.35,0.35,0.35,0,0.35
2010-08-02,0.35,0.35,0.35,0.35,0,0.35
2010-08-03,0.35,0.35,0.35,0.35,0,0.35
2010-08-04,0.35,0.35,0.35,0.35,0,0.35
2010-08-05,0.35,0.35,0.35,0.35,0,0.35
2010-08-06,0.35,0.35,0.35,0.35,0,0.35
2010-08-09,0.35,0.35,0.35,0.35,0,0.35
2010-08-10,0.35,0.35,0.35,0.35,0,0.35
2010-08-11,0.35,0.35,0.35,0.35,0,0.35
2010-08-12,0.35,0.35,0.35,0.35,0,0.35
2010-08-13,0.37,0.37,0.37,0.37,2000,0.37
2010-08-16,0.37,0.37,0.37,0.37,0,0.37
2010-08-17,0.37,0.37,0.37,0.37,0,0.37
2010-08-18,0.37,0.37,0.37,0.37,0,0.37
2010-08-19,0.37,0.37,0.37,0.37,0,0.37
