Date,Open,High,Low,Close,Volume,Adj Close
2013-02-22,1.5,1.7,1.5,1.7,40000,1.7
2013-02-25,1.7,1.71,1.7,1.71,7200,1.71
2013-02-26,1.72,1.74,1.5,1.74,130200,1.74
2013-02-27,1.85,3.4,1.85,3.4,7700,3.4
2013-02-28,3.25,3.25,2.01,2.2,4000,2.2
2013-03-01,2.2,2.2,2.05,2.1,3500,2.1
2013-03-04,2.1,2.1,2.1,2.1,0,2.1
2013-03-05,2.1,2.1,2.1,2.1,100,2.1
2013-03-06,2.25,3.0,2.25,2.45,10000,2.45
2013-03-07,2.5,2.5,2.45,2.45,4800,2.45
2013-03-08,2.45,2.45,2.45,2.45,500,2.45
2013-03-11,2.25,2.25,2.25,2.25,2000,2.25
2013-03-12,2.1,2.1,1.8,1.8,14600,1.8
2013-03-13,2.25,2.25,2.25,2.25,400,2.25
2013-03-14,2.0,2.0,1.85,1.85,3000,1.85
2013-03-15,1.86,2.24,1.5,1.99,77900,1.99
2013-03-18,1.68,1.99,1.6,1.99,27100,1.99
2013-03-19,1.67,1.67,1.5,1.59,94600,1.59
2013-03-20,1.52,1.6,1.5,1.5,3200,1.5
2013-03-21,1.5,1.5,1.25,1.4,34500,1.4
2013-03-22,1.32,1.49,1.3,1.4,56100,1.4
2013-03-25,1.47,1.47,1.45,1.46,58300,1.46
2013-03-26,1.47,1.55,1.45,1.55,71500,1.55
2013-03-27,1.5,1.56,1.5,1.56,4400,1.56
2013-03-28,1.57,1.57,1.47,1.54,13800,1.54
2013-04-01,1.56,1.65,1.56,1.65,40200,1.65
2013-04-02,1.65,1.7,1.57,1.7,8800,1.7
2013-04-03,1.7,1.75,1.67,1.75,16100,1.75
2013-04-04,1.75,1.75,1.75,1.75,45000,1.75
2013-04-05,1.8,1.8,1.8,1.8,3600,1.8
2013-04-08,1.8,1.8,1.8,1.8,0,1.8
2013-04-09,1.8,1.9,1.75,1.85,114300,1.85
2013-04-10,1.9,1.9,1.87,1.87,7000,1.87
2013-04-11,1.86,1.86,1.86,1.86,16500,1.86
2013-04-12,1.85,1.85,1.85,1.85,23000,1.85
2013-04-15,1.84,1.86,1.84,1.85,26400,1.85
2013-04-16,1.85,1.85,1.85,1.85,0,1.85
2013-04-17,1.85,1.9,1.85,1.9,1700,1.9
2013-04-18,1.9,1.9,1.9,1.9,0,1.9
2013-04-19,1.9,1.9,1.9,1.9,2000,1.9
2013-04-22,1.9,1.9,1.9,1.9,0,1.9
2013-04-23,1.9,1.9,1.9,1.9,0,1.9
2013-04-24,1.9,2.11,1.9,1.92,57800,1.92
2013-04-25,2.04,2.05,2.0,2.05,1800,2.05
2013-04-26,2.05,2.05,2.05,2.05,0,2.05
2013-04-29,2.05,2.05,2.05,2.05,0,2.05
2013-04-30,2.05,2.05,1.92,2.05,16200,2.05
2013-05-01,2.05,2.05,2.05,2.05,0,2.05
2013-05-02,1.95,1.95,1.94,1.94,1100,1.94
2013-05-03,1.9,1.98,1.9,1.95,5500,1.95
2013-05-06,1.95,1.95,1.95,1.95,3700,1.95
2013-05-07,1.97,2.09,1.97,2.09,54600,2.09
2013-05-08,2.05,2.05,1.95,1.96,30000,1.96
2013-05-09,2.24,2.24,2.24,2.24,11800,2.24
2013-05-10,2.2,2.2,2.2,2.2,200,2.2
2013-05-13,2.24,2.24,2.24,2.24,10100,2.24
2013-05-14,2.25,2.25,2.25,2.25,7800,2.25
2013-05-15,2.3,2.3,2.02,2.24,20400,2.24
2013-05-16,2.24,2.24,2.24,2.24,11000,2.24
2013-05-17,2.0,2.48,2.0,2.45,13700,2.45
2013-05-20,2.1,2.1,2.1,2.1,5000,2.1
2013-05-21,2.1,2.1,2.1,2.1,0,2.1
2013-05-22,2.1,2.1,1.94,2.0,20000,2.0
2013-05-23,2.0,2.25,2.0,2.0,8600,2.0
2013-05-24,2.1,2.15,2.0,2.15,76000,2.15
2013-05-28,2.19,2.19,2.19,2.19,1000,2.19
2013-05-29,2.25,2.25,2.1,2.1,8900,2.1
2013-05-30,2.25,2.25,2.25,2.25,5400,2.25
2013-05-31,2.4,2.4,2.25,2.3,8200,2.3
2013-06-03,2.35,2.35,2.33,2.33,10500,2.33
2013-06-04,2.39,2.39,1.55,1.95,7600,1.95
2013-06-05,2.0,2.1,2.0,2.1,300,2.1
2013-06-06,2.1,2.1,2.1,2.1,0,2.1
2013-06-07,2.0,2.2,2.0,2.0,2600,2.0
2013-06-10,2.0,2.0,2.0,2.0,5000,2.0
2013-06-11,2.0,2.0,2.0,2.0,0,2.0
2013-06-12,2.0,2.0,2.0,2.0,0,2.0
2013-06-13,2.0,2.0,2.0,2.0,0,2.0
2013-06-14,2.0,2.2,2.0,2.2,600,2.2
2013-06-17,2.2,2.2,2.2,2.2,700,2.2
2013-06-18,2.0,2.0,2.0,2.0,700,2.0
2013-06-19,2.0,2.0,2.0,2.0,0,2.0
2013-06-20,2.2,2.2,2.2,2.2,200,2.2
2013-06-21,1.86,2.1,1.61,2.1,2800,2.1
2013-06-24,2.1,2.1,2.1,2.1,0,2.1
2013-06-25,2.1,2.1,2.1,2.1,0,2.1
2013-06-26,2.0,2.0,1.99,2.0,1900,2.0
2013-06-27,2.0,2.0,2.0,2.0,0,2.0
2013-06-28,2.0,2.15,2.0,2.1,900,2.1
2013-07-01,2.04,2.04,1.62,1.62,10900,1.62
2013-07-02,1.65,1.65,1.65,1.65,3100,1.65
2013-07-03,1.61,1.61,1.6,1.6,600,1.6
2013-07-05,1.6,1.6,1.6,1.6,500,1.6
2013-07-08,1.65,1.65,1.2,1.2,44100,1.2
2013-07-09,1.22,1.23,1.15,1.15,6500,1.15
2013-07-10,1.15,1.15,1.15,1.15,7400,1.15
2013-07-11,1.15,1.2,1.09,1.2,88800,1.2
2013-07-12,1.15,1.15,1.09,1.1,13200,1.1
2013-07-15,1.09,1.09,1.0,1.0,5100,1.0
2013-07-16,1.0,1.1,1.0,1.1,6200,1.1
2013-07-17,1.1,1.15,1.1,1.15,55000,1.15
2013-07-18,1.15,1.15,1.05,1.1,6600,1.1
2013-07-19,1.1,1.1,1.05,1.1,18200,1.1
2013-07-22,1.1,1.1,1.1,1.1,0,1.1
2013-07-23,1.1,1.1,1.1,1.1,9900,1.1
2013-07-24,1.1,1.1,1.1,1.1,16300,1.1
2013-07-25,1.12,1.12,1.12,1.12,100,1.12
2013-07-26,1.15,1.15,1.1,1.14,41000,1.14
2013-07-29,1.15,1.16,1.15,1.15,11300,1.15
2013-07-30,1.15,1.15,1.15,1.15,0,1.15
2013-07-31,1.15,1.16,1.15,1.15,23000,1.15
2013-08-01,1.2,1.2,1.2,1.2,500,1.2
2013-08-02,1.25,1.25,1.25,1.25,500,1.25
2013-08-05,1.2,1.2,1.15,1.15,10200,1.15
2013-08-06,1.15,1.15,1.0,1.01,41000,1.01
2013-08-07,1.15,1.15,1.15,1.15,500,1.15
2013-08-08,1.05,1.07,1.03,1.07,6000,1.07
2013-08-09,1.15,1.15,1.0,1.05,106600,1.05
2013-08-12,1.1,1.11,1.1,1.11,10100,1.11
2013-08-13,1.11,1.14,1.11,1.14,5800,1.14
2013-08-14,1.14,1.14,1.14,1.14,3000,1.14
2013-08-15,1.12,1.12,1.01,1.05,3900,1.05
2013-08-16,1.12,1.12,1.12,1.12,500,1.12
2013-08-19,1.13,1.13,1.0,1.01,4700,1.01
2013-08-20,1.12,1.12,1.1,1.1,7600,1.1
2013-08-21,1.11,1.11,1.07,1.07,3000,1.07
2013-08-22,1.15,1.15,1.1,1.13,17100,1.13
2013-08-23,1.13,1.14,1.13,1.14,600,1.14
2013-08-26,1.14,1.14,1.09,1.14,5000,1.14
2013-08-27,1.14,1.14,1.14,1.14,0,1.14
2013-08-28,1.11,1.11,1.09,1.09,2900,1.09
2013-08-29,1.09,1.09,1.08,1.08,4700,1.08
2013-08-30,1.08,1.08,1.08,1.08,200,1.08
2013-09-03,1.01,1.01,1.0,1.0,4000,1.0
2013-09-04,1.03,1.05,1.03,1.05,12000,1.05
2013-09-05,1.05,1.05,1.05,1.05,0,1.05
2013-09-06,1.05,1.05,1.05,1.05,300,1.05
2013-09-09,1.02,1.02,1.0,1.0,5200,1.0
2013-09-10,1.0,1.02,1.0,1.02,6400,1.02
2013-09-11,1.02,1.02,1.02,1.02,0,1.02
2013-09-12,1.03,1.08,1.02,1.02,15800,1.02
2013-09-13,1.0,1.0,1.0,1.0,3000,1.0
2013-09-16,1.01,1.01,1.01,1.01,2000,1.01
2013-09-17,1.02,1.02,1.0,1.01,5600,1.01
2013-09-18,1.0,1.0,1.0,1.0,3000,1.0
2013-09-19,1.0,1.0,1.0,1.0,700,1.0
2013-09-20,1.0,1.0,1.0,1.0,6000,1.0
2013-09-23,1.0,1.0,0.9,0.9,5000,0.9
2013-09-24,0.9,0.9,0.9,0.9,0,0.9
2013-09-25,1.01,1.01,1.0,1.0,6200,1.0
2013-09-26,0.99,0.99,0.95,0.95,5800,0.95
2013-09-27,0.95,0.98,0.94,0.98,25200,0.98
2013-09-30,0.98,0.98,0.98,0.98,2500,0.98
2013-10-01,1.1,1.1,1.0,1.0,2700,1.0
2013-10-02,1.09,1.1,1.09,1.1,8300,1.1
2013-10-03,1.05,1.08,0.9,0.92,24900,0.92
2013-10-04,1.12,1.12,1.05,1.09,22200,1.09
2013-10-07,1.1,1.34,1.1,1.25,16500,1.25
2013-10-08,1.35,1.5,0.93,1.1,7200,1.1
2013-10-09,1.1,1.3,1.1,1.2,4500,1.2
2013-10-10,1.25,1.25,1.06,1.06,5100,1.06
2013-10-11,1.06,1.15,0.98,1.0,18800,1.0
2013-10-14,1.0,1.0,1.0,1.0,9200,1.0
2013-10-15,1.0,1.0,1.0,1.0,12400,1.0
2013-10-16,1.0,1.0,1.0,1.0,0,1.0
2013-10-17,1.0,1.0,1.0,1.0,6100,1.0
2013-10-18,1.29,1.29,1.13,1.13,1200,1.13
2013-10-21,1.13,1.13,1.13,1.13,0,1.13
2013-10-22,1.14,1.14,1.0,1.0,3000,1.0
2013-10-23,1.02,1.02,0.96,1.0,34500,1.0
2013-10-24,1.1,1.2,1.1,1.2,1200,1.2
2013-10-25,1.2,1.2,1.2,1.2,0,1.2
2013-10-28,1.18,1.18,1.18,1.18,100,1.18
2013-10-29,1.0,1.01,1.0,1.0,4500,1.0
2013-10-30,1.02,1.1,1.01,1.1,3000,1.1
2013-10-31,1.1,1.24,1.1,1.24,200,1.24
2013-11-01,1.15,1.24,1.1,1.1,3600,1.1
2013-11-04,1.1,1.48,1.1,1.12,61100,1.12
2013-11-05,1.2,1.2,1.1,1.18,10600,1.18
2013-11-06,1.18,1.18,1.18,1.18,0,1.18
2013-11-07,1.18,1.18,1.18,1.18,0,1.18
2013-11-08,1.03,1.2,1.03,1.19,1800,1.19
2013-11-11,1.19,1.19,1.1,1.1,700,1.1
2013-11-12,1.06,1.06,0.91,0.91,60100,0.91
2013-11-13,0.95,1.0,0.95,1.0,6000,1.0
2013-11-14,1.05,1.06,1.05,1.06,6500,1.06
2013-11-15,1.05,1.05,1.03,1.05,12100,1.05
2013-11-18,1.0,1.1,1.0,1.06,9300,1.06
2013-11-19,1.1,1.11,1.05,1.08,12500,1.08
2013-11-20,1.11,1.11,1.05,1.1,13000,1.1
2013-11-21,1.1,1.1,1.1,1.1,100,1.1
2013-11-22,1.1,1.18,1.1,1.18,31600,1.18
2013-11-25,1.19,1.19,1.14,1.14,8900,1.14
2013-11-26,1.15,1.15,0.91,1.0,17200,1.0
2013-11-27,1.03,1.15,1.03,1.14,32500,1.14
2013-11-29,1.1,1.2,1.1,1.2,25200,1.2
2013-12-02,1.18,1.18,0.93,1.01,447400,1.01
2013-12-03,1.01,1.01,1.0,1.0,24000,1.0
