Date,Open,High,Low,Close,Volume,Adj Close
1994-06-21,19.75,19.88,19.75,19.75,667800,2.15
1994-06-22,19.75,20.0,19.75,20.0,102400,2.17
1994-06-23,20.0,20.0,19.88,19.88,122400,2.16
1994-06-24,19.88,20.0,19.88,19.88,36400,2.16
1994-06-27,19.88,20.0,19.88,19.88,32900,2.16
1994-06-28,19.88,20.0,19.88,19.88,28500,2.16
1994-06-29,19.88,20.0,19.88,19.88,16900,2.16
1994-06-30,19.88,20.0,19.88,19.88,12600,2.16
1994-07-01,19.88,20.0,19.88,19.88,10400,2.16
1994-07-05,19.88,20.0,19.88,19.88,14100,2.16
1994-07-06,19.88,20.0,19.88,19.88,16900,2.16
1994-07-07,19.88,20.0,19.88,19.88,36900,2.16
1994-07-08,19.88,19.88,19.88,19.88,219800,2.16
1994-07-11,19.88,19.88,19.62,19.62,166200,2.13
1994-07-12,19.62,19.62,19.5,19.5,48700,2.12
1994-07-13,19.5,19.62,19.5,19.62,19000,2.13
1994-07-14,19.62,19.75,19.62,19.75,24500,2.15
1994-07-15,19.75,19.88,19.62,19.88,15500,2.16
1994-07-18,19.88,20.0,19.88,20.0,140900,2.17
1994-07-19,20.0,20.12,19.88,20.0,39600,2.17
1994-07-20,20.0,20.0,19.88,20.0,35600,2.17
1994-07-21,20.0,20.0,19.62,19.62,51600,2.13
1994-07-22,19.75,20.0,19.75,19.88,34600,2.16
1994-07-25,19.88,20.0,19.88,20.0,64000,2.17
1994-07-26,20.0,20.12,19.88,20.12,153800,2.19
1994-07-27,20.12,20.12,19.88,20.0,85600,2.17
1994-07-28,20.0,20.0,19.88,20.0,51500,2.17
1994-07-29,20.0,20.0,19.88,20.0,53900,2.17
1994-08-01,20.0,20.0,19.88,20.0,65400,2.17
1994-08-02,20.0,20.0,19.88,20.0,29100,2.17
1994-08-03,20.0,20.0,19.88,20.0,39100,2.17
1994-08-04,20.0,20.0,19.75,19.88,33800,2.16
1994-08-05,19.88,19.88,19.75,19.88,42900,2.16
1994-08-08,19.88,20.0,19.88,19.88,27300,2.16
1994-08-09,19.88,20.0,19.75,19.75,48200,2.15
1994-08-10,19.75,19.88,19.75,19.88,15100,2.16
1994-08-11,19.88,19.88,19.62,19.88,18000,2.16
1994-08-12,19.88,19.88,19.75,19.88,19000,2.16
1994-08-15,19.88,19.88,19.62,19.75,35800,2.15
1994-08-16,19.75,19.88,19.75,19.88,38400,2.16
1994-08-17,19.88,20.0,19.75,20.0,44900,2.17
1994-08-18,20.0,20.0,19.88,19.88,30700,2.16
1994-08-19,19.88,20.0,19.75,19.88,30900,2.16
1994-08-22,19.88,20.0,19.75,19.88,33800,2.16
1994-08-23,19.88,20.0,19.75,19.88,34600,2.16
1994-08-24,19.88,20.0,19.88,20.0,38700,2.17
1994-08-25,20.0,20.0,19.75,19.88,39500,2.16
1994-08-26,19.88,19.88,19.62,19.75,42400,2.15
1994-08-29,19.75,19.88,19.75,19.88,31400,2.16
1994-08-30,19.88,19.88,19.62,19.88,24300,2.16
1994-08-31,19.88,19.88,19.75,19.88,23400,2.16
1994-09-01,19.88,20.0,19.75,20.0,43500,2.17
1994-09-02,20.0,20.0,19.88,20.0,31600,2.17
1994-09-06,20.0,20.0,19.88,20.0,48300,2.17
1994-09-07,20.0,20.0,19.88,19.88,42700,2.16
1994-09-08,19.88,20.0,19.88,19.88,43500,2.16
1994-09-09,19.88,19.88,19.62,19.75,101200,2.15
1994-09-12,19.75,19.75,19.62,19.75,12900,2.15
1994-09-13,19.75,19.75,19.62,19.75,19400,2.15
1994-09-14,19.75,19.88,19.62,19.75,10000,2.15
1994-09-15,19.75,19.88,19.75,19.88,16600,2.16
1994-09-16,19.88,19.88,19.75,19.75,17800,2.15
1994-09-19,19.75,19.88,19.62,19.75,33900,2.15
1994-09-20,19.75,19.75,19.5,19.62,55200,2.13
1994-09-21,19.62,19.62,19.5,19.62,27700,2.13
1994-09-22,19.62,19.62,19.5,19.62,7200,2.13
1994-09-23,19.62,19.62,19.5,19.62,11100,2.13
1994-09-26,19.62,19.62,19.5,19.5,19700,2.12
1994-09-27,19.5,19.62,19.38,19.5,36400,2.12
1994-09-28,19.5,19.62,19.5,19.62,42700,2.13
1994-09-29,19.62,19.62,19.5,19.62,24100,2.13
1994-09-30,19.62,19.62,19.5,19.5,22200,2.12
1994-10-03,19.5,19.62,19.5,19.62,31400,2.13
1994-10-04,19.62,19.62,19.5,19.62,12200,2.13
1994-10-05,19.62,19.62,19.25,19.38,47100,2.11
1994-10-06,19.38,19.62,19.38,19.62,16200,2.13
1994-10-07,19.62,19.62,19.5,19.62,10000,2.13
1994-10-10,19.62,19.62,19.25,19.38,22500,2.11
1994-10-11,19.38,19.5,19.25,19.5,18900,2.12
1994-10-12,19.5,19.5,19.5,19.5,12900,2.12
1994-10-13,19.5,19.5,19.38,19.5,14600,2.12
1994-10-14,19.5,19.5,19.38,19.5,7700,2.12
1994-10-17,19.5,19.5,19.38,19.38,19000,2.11
1994-10-18,19.38,19.5,19.25,19.25,20500,2.09
1994-10-19,19.25,19.38,19.0,19.12,30900,2.08
1994-10-20,19.12,19.25,19.0,19.0,13000,2.06
1994-10-21,18.88,18.88,18.38,18.5,42100,2.01
1994-10-24,18.5,18.75,18.5,18.75,7200,2.04
