Date,Open,High,Low,Close,Volume,Adj Close
2013-04-09,2.6,2.6,2.0,2.49,709600,2.49
2013-04-10,2.52,2.77,2.52,2.65,148900,2.65
2013-04-11,2.75,2.77,2.67,2.75,84600,2.75
2013-04-12,2.77,2.87,2.77,2.77,79600,2.77
2013-04-15,3.0,3.0,2.8,2.8,37200,2.8
2013-04-16,2.8,2.85,2.61,2.7,35900,2.7
2013-04-17,2.7,2.84,2.7,2.84,400,2.84
2013-04-18,2.81,2.81,2.6,2.65,19900,2.65
2013-04-19,2.7,2.8,2.49,2.58,69600,2.58
2013-04-22,2.58,2.58,2.3,2.5,79900,2.5
2013-04-23,2.5,2.6,2.48,2.51,137200,2.51
2013-04-24,2.55,2.7,2.55,2.65,107500,2.65
2013-04-25,2.7,2.82,2.7,2.77,140700,2.77
2013-04-26,2.8,2.93,2.8,2.9,133900,2.9
2013-04-29,0.29,0.29,0.27,0.27,60300,0.27
2013-04-30,0.27,0.27,0.26,0.26,55100,0.26
2013-05-01,0.26,0.28,0.26,0.27,58300,0.27
2013-05-02,0.27,0.28,0.26,0.27,52900,0.27
2013-05-03,0.27,0.27,0.26,0.26,50000,0.26
2013-05-06,2.61,2.61,2.45,2.5,44000,2.5
2013-05-07,2.52,2.6,2.52,2.6,1800,2.6
2013-05-08,2.56,2.65,2.56,2.65,11000,2.65
2013-05-09,2.65,2.75,2.65,2.75,23300,2.75
2013-05-10,2.95,2.95,2.73,2.85,57500,2.85
2013-05-13,2.95,3.06,2.95,3.05,177700,3.05
2013-05-14,3.03,3.03,2.9,2.9,50400,2.9
2013-05-15,2.95,3.06,2.9,2.9,194200,2.9
2013-05-16,3.06,3.06,2.85,2.9,128300,2.9
2013-05-17,2.89,3.0,2.89,3.0,64400,3.0
2013-05-20,3.06,3.1,2.95,2.97,129200,2.97
2013-05-21,2.9,3.06,2.85,2.9,39600,2.9
2013-05-22,2.95,3.05,2.95,2.99,152500,2.99
2013-05-23,2.99,3.0,2.95,2.98,4600,2.98
2013-05-24,2.95,3.03,2.93,3.0,16200,3.0
2013-05-28,3.03,3.1,3.01,3.01,24600,3.01
2013-05-29,3.01,3.01,2.9,2.9,14000,2.9
2013-05-30,2.95,3.0,2.9,2.99,23800,2.99
2013-05-31,2.99,3.0,2.9,2.9,15600,2.9
2013-06-03,3.0,3.0,2.85,2.86,29800,2.86
2013-06-04,3.1,3.1,2.7,2.85,20000,2.85
2013-06-05,2.85,3.0,2.71,2.99,98000,2.99
