Date,Open,High,Low,Close,Volume,Adj Close
1999-10-26,3.12,3.12,3.1,3.12,5000,3.12
1999-10-27,2.8,3.05,2.6,2.6,15000,2.6
1999-10-28,3.05,3.1,2.73,3.05,22400,3.05
1999-10-29,2.98,2.98,2.7,2.98,22800,2.98
1999-11-01,2.62,2.62,2.62,2.62,300,2.62
1999-11-02,2.7,3.0,2.7,2.7,9500,2.7
1999-11-03,2.8,2.85,2.8,2.8,5500,2.8
1999-11-04,2.8,2.8,2.8,2.8,0,2.8
1999-11-05,2.9,3.06,2.9,2.9,24500,2.9
1999-11-08,3.0,3.0,3.0,3.0,2100,3.0
1999-11-09,3.0,3.06,2.85,3.0,10000,3.0
1999-11-10,3.0,3.0,3.0,3.0,10400,3.0
1999-11-11,3.0,3.0,3.0,3.0,0,3.0
1999-11-12,3.06,3.06,3.0,3.06,5400,3.06
1999-11-15,2.86,2.86,2.75,2.86,12400,2.86
1999-11-16,2.86,2.86,2.86,2.86,0,2.86
1999-11-17,2.88,2.88,2.8,2.88,21500,2.88
1999-11-18,2.88,2.88,2.55,2.88,23000,2.88
1999-11-19,2.95,2.98,2.7,2.95,14400,2.95
1999-11-22,2.95,2.95,2.95,2.95,0,2.95
1999-11-23,2.88,2.9,2.8,2.88,26100,2.88
1999-11-24,2.88,2.9,2.5,2.5,11000,2.5
1999-11-26,2.75,2.75,2.73,2.75,8000,2.75
1999-11-29,2.78,2.8,2.75,2.8,10000,2.8
1999-11-30,2.85,2.85,2.85,2.85,3200,2.85
1999-12-01,2.75,2.75,2.6,2.75,6500,2.75
1999-12-02,2.5,2.5,2.0,2.5,15400,2.5
1999-12-03,2.65,2.7,2.5,2.7,38500,2.7
1999-12-06,2.7,2.7,2.65,2.7,3000,2.7
1999-12-07,2.65,2.65,2.38,2.65,12500,2.65
1999-12-08,2.5,2.65,2.5,2.5,30000,2.5
1999-12-09,2.7,2.7,2.6,2.7,39000,2.7
1999-12-10,2.7,2.75,2.65,2.7,21300,2.7
1999-12-13,2.55,2.6,2.55,2.55,12000,2.55
1999-12-14,2.65,2.65,2.5,2.65,4800,2.65
1999-12-15,2.65,2.65,2.65,2.65,0,2.65
1999-12-16,2.62,2.65,2.55,2.62,16000,2.62
1999-12-17,2.65,2.65,2.62,2.65,11900,2.65
1999-12-20,2.65,2.65,2.6,2.65,15000,2.65
1999-12-21,2.65,2.65,2.62,2.65,12000,2.65
1999-12-22,2.65,2.65,2.62,2.65,4600,2.65
1999-12-23,2.65,2.65,2.25,2.65,7000,2.65
1999-12-27,2.65,2.65,2.62,2.65,7400,2.65
