Date,Open,High,Low,Close,Volume,Adj Close
1997-11-11,6.25,6.25,5.5,5.75,800,575.0
1997-11-12,5.75,6.0,5.75,5.75,300,575.0
1997-11-13,5.75,5.87,5.75,5.75,400,575.0
1997-11-14,5.75,5.81,5.75,5.75,0,575.0
1997-11-17,5.87,5.87,5.75,5.87,0,587.5
1997-11-18,5.75,5.75,5.75,5.75,200,575.0
1997-11-19,5.75,5.75,5.75,5.75,0,575.0
1997-11-20,5.75,5.87,5.62,5.62,100,562.5
1997-11-21,5.62,5.62,5.62,5.62,0,562.5
1997-11-24,5.75,5.81,5.62,5.62,300,562.5
1997-11-25,5.62,5.62,5.62,5.62,0,562.5
1997-11-26,5.62,5.62,5.5,5.5,100,550.0
1997-11-28,5.5,5.5,5.5,5.5,0,550.0
1997-12-01,5.5,5.5,5.25,5.25,100,525.0
1997-12-02,5.25,5.25,5.0,5.0,100,500.0
1997-12-03,4.75,5.12,4.75,5.0,0,500.0
1997-12-04,5.0,5.0,5.0,5.0,0,500.0
1997-12-05,5.25,5.37,5.25,5.25,100,525.0
1997-12-08,5.5,5.62,5.5,5.62,100,562.5
1997-12-09,5.75,5.75,5.5,5.5,0,550.0
1997-12-10,5.37,5.62,5.37,5.62,0,562.5
1997-12-11,5.37,5.5,5.37,5.5,100,550.0
1997-12-12,5.5,5.62,5.37,5.62,0,562.5
1997-12-15,5.62,5.62,5.62,5.62,0,562.5
1997-12-16,5.37,5.5,5.37,5.5,300,550.0
1997-12-17,5.25,5.25,5.25,5.25,0,525.0
1997-12-18,5.25,5.37,5.25,5.37,100,537.5
1997-12-19,5.37,5.37,5.25,5.25,0,525.0
1997-12-22,5.25,5.25,5.25,5.25,0,525.0
1997-12-23,5.25,5.25,5.25,5.25,0,525.0
1997-12-24,5.0,5.0,5.0,5.0,0,500.0
1997-12-26,5.0,5.0,5.0,5.0,0,500.0
1997-12-29,5.0,5.25,5.0,5.0,0,500.0
1997-12-30,5.0,5.0,4.75,4.75,0,475.0
1997-12-31,4.75,4.87,4.62,4.87,0,487.5
1998-01-02,4.5,4.5,4.5,4.5,0,450.0
1998-01-05,4.5,4.5,4.37,4.37,0,437.5
1998-01-06,4.37,4.37,4.37,4.37,0,437.5
1998-01-07,4.37,4.37,4.37,4.37,0,437.5
1998-01-08,4.37,4.37,4.37,4.37,0,437.5
1998-01-09,4.37,4.37,4.37,4.37,0,437.5
1998-01-12,4.37,4.37,4.25,4.25,100,425.0
1998-01-13,4.25,4.25,4.25,4.25,0,425.0
1998-01-14,4.25,4.25,4.25,4.25,0,425.0
1998-01-15,4.0,4.0,4.0,4.0,0,400.0
1998-01-16,4.0,4.0,4.0,4.0,0,400.0
1998-01-20,4.0,4.0,4.0,4.0,0,400.0
1998-01-21,4.0,4.0,4.0,4.0,0,400.0
1998-01-22,4.0,4.0,4.0,4.0,0,400.0
1998-01-23,4.0,4.0,4.0,4.0,0,400.0
1998-01-26,4.0,4.0,4.0,4.0,0,400.0
1998-01-27,4.0,4.0,3.5,3.5,0,350.0
1998-01-28,3.5,3.5,3.5,3.5,0,350.0
1998-01-29,3.5,3.5,3.5,3.5,0,350.0
1998-01-30,4.0,4.0,4.0,4.0,0,400.0
1998-02-02,3.5,4.0,3.5,4.0,0,400.0
1998-02-03,3.75,3.75,3.5,3.75,0,375.0
1998-02-04,4.0,4.0,4.0,4.0,0,400.0
1998-02-05,4.0,4.0,4.0,4.0,0,400.0
1998-02-06,4.0,4.0,4.0,4.0,0,400.0
1998-02-09,3.75,3.75,3.75,3.75,0,375.0
1998-02-10,3.75,3.75,3.75,3.75,0,375.0
1998-02-11,4.0,4.0,4.0,4.0,0,400.0
1998-02-12,3.81,3.94,3.81,3.94,0,393.75
1998-02-13,4.0,4.0,4.0,4.0,100,400.0
1998-02-17,3.75,3.75,3.62,3.62,0,362.5
1998-02-18,3.62,3.62,3.62,3.62,0,362.5
1998-02-19,3.62,3.62,3.62,3.62,0,362.5
1998-02-20,3.87,3.87,3.87,3.87,0,387.5
1998-02-23,3.87,3.87,3.87,3.87,0,387.5
1998-02-24,3.87,3.87,3.87,3.87,0,387.5
1998-02-25,3.69,3.69,3.62,3.62,0,362.5
1998-02-26,3.62,3.62,3.62,3.62,0,362.5
1998-02-27,3.56,3.56,3.56,3.56,200,356.25
1998-03-02,3.56,3.56,3.56,3.56,0,356.25
1998-03-03,3.56,3.56,3.56,3.56,0,356.25
1998-03-04,3.5,3.5,3.5,3.5,0,350.0
1998-03-05,3.5,3.5,3.5,3.5,0,350.0
1998-03-06,3.5,3.5,3.5,3.5,0,350.0
1998-03-09,3.5,3.5,3.5,3.5,0,350.0
1998-03-10,3.56,3.56,3.56,3.56,0,356.25
1998-03-11,3.56,3.56,3.56,3.56,100,356.25
1998-03-12,3.5,3.5,3.5,3.5,0,350.0
1998-03-13,3.25,3.25,3.25,3.25,0,325.0
1998-03-16,3.25,3.25,3.25,3.25,0,325.0
1998-03-17,3.25,3.25,3.25,3.25,0,325.0
1998-03-18,3.25,3.25,3.25,3.25,0,325.0
1998-03-19,3.25,3.25,3.25,3.25,0,325.0
