Date,Open,High,Low,Close,Volume,Adj Close
1994-08-18,4.75,5.5,4.75,5.12,97300,5.12
1994-08-19,5.12,5.75,5.12,5.38,16100,5.38
1994-08-22,5.5,6.0,5.5,6.0,38000,6.0
1994-08-23,6.0,6.38,6.0,6.12,54200,6.12
1994-08-24,6.19,6.19,5.88,6.0,41200,6.0
1994-08-25,5.91,6.12,5.88,5.88,35300,5.88
1994-08-26,6.06,6.09,5.88,5.88,11400,5.88
1994-08-29,5.88,6.12,5.88,5.88,19000,5.88
1994-08-30,6.12,6.12,5.88,6.12,3900,6.12
1994-08-31,6.12,6.12,5.88,5.88,17700,5.88
1994-09-01,5.88,6.12,5.88,6.0,1300,6.0
1994-09-02,6.0,6.12,5.88,5.88,8500,5.88
1994-09-06,6.0,6.0,5.62,5.88,8700,5.88
1994-09-07,6.0,6.0,5.5,5.5,27700,5.5
1994-09-08,5.88,5.88,5.5,5.88,4600,5.88
1994-09-09,5.88,5.88,5.62,5.62,2500,5.62
1994-09-12,5.5,5.75,5.5,5.62,7800,5.62
1994-09-13,5.5,5.75,5.5,5.5,14700,5.5
1994-09-14,5.5,5.5,5.25,5.38,12400,5.38
1994-09-15,5.25,5.62,5.25,5.62,33700,5.62
1994-09-16,5.62,5.62,5.38,5.62,10400,5.62
1994-09-19,5.5,5.75,5.38,5.75,10600,5.75
1994-09-20,5.75,5.75,5.75,5.75,1500,5.75
1994-09-21,5.38,5.38,5.38,5.38,7000,5.38
1994-09-22,5.38,5.5,5.38,5.5,10800,5.5
1994-09-23,5.75,5.75,5.38,5.5,11600,5.5
1994-09-26,5.38,5.38,5.38,5.38,11800,5.38
1994-09-27,5.75,5.75,5.38,5.5,24400,5.5
1994-09-28,5.75,6.25,5.75,5.88,54200,5.88
1994-09-29,6.25,6.75,6.0,6.5,36800,6.5
1994-09-30,6.75,7.62,6.75,7.12,37200,7.12
1994-10-03,7.12,7.12,6.75,6.75,10000,6.75
1994-10-04,7.0,7.0,6.5,6.88,29500,6.88
1994-10-05,6.88,6.88,6.5,6.88,7100,6.88
1994-10-06,6.88,7.0,6.5,6.75,24100,6.75
1994-10-07,7.0,7.12,6.75,6.88,39800,6.88
1994-10-10,7.12,7.12,6.88,6.88,3900,6.88
1994-10-11,7.12,7.12,6.75,6.75,7900,6.75
1994-10-12,6.75,7.12,6.75,7.12,2200,7.12
1994-10-13,6.75,6.75,6.75,6.75,500,6.75
