Date,Open,High,Low,Close,Volume,Adj Close
2005-06-28,13.01,13.27,12.8,13.2,111900,36.66
2005-06-29,13.21,13.28,12.51,13.2,45800,36.66
2005-06-30,13.3,13.6,13.05,13.5,55400,37.49
2005-07-01,13.5,13.6,13.25,13.54,32100,37.6
2005-07-05,13.59,13.7,13.4,13.64,66400,37.88
2005-07-06,13.74,13.74,13.38,13.66,35700,37.93
2005-07-07,13.65,13.7,13.4,13.64,43000,37.88
2005-07-08,13.75,13.8,13.45,13.52,40000,37.54
2005-07-11,13.55,13.75,13.35,13.47,30400,37.41
2005-07-12,13.82,13.82,13.33,13.43,23400,37.29
2005-07-13,13.64,13.64,13.32,13.39,26800,37.18
2005-07-14,13.36,13.45,13.05,13.25,27500,36.8
2005-07-15,13.5,13.5,13.1,13.3,24800,36.93
2005-07-18,13.25,13.49,13.02,13.15,22300,36.52
2005-07-19,13.22,13.5,12.65,13.2,69200,36.66
2005-07-20,13.37,13.37,12.93,13.1,61800,36.38
2005-07-21,13.2,13.44,13.0,13.25,52200,36.8
2005-07-22,13.22,13.32,12.83,12.99,54200,36.07
2005-07-25,12.63,13.0,12.55,12.73,89300,35.35
2005-07-26,12.6,12.9,12.15,12.45,132100,34.57
2005-07-27,12.64,12.64,12.21,12.41,64000,34.46
2005-07-28,12.45,12.74,12.15,12.36,49300,34.32
2005-07-29,12.68,12.9,12.45,12.77,58200,35.46
2005-08-01,12.77,13.03,12.61,12.85,45000,35.68
2005-08-02,13.14,13.44,12.8,13.21,148900,36.68
2005-08-03,13.15,13.45,12.65,13.16,95100,36.55
2005-08-04,13.0,13.35,12.88,13.3,53700,36.93
2005-08-05,13.4,13.55,13.2,13.42,64900,37.27
2005-08-08,13.2,13.39,12.95,13.23,42400,36.74
2005-08-09,13.25,13.25,12.5,12.79,41100,35.52
2005-08-10,12.52,12.81,12.4,12.67,58600,35.18
2005-08-11,12.62,12.98,12.57,12.9,29200,35.82
2005-08-12,12.95,13.15,12.55,12.91,29300,35.85
2005-08-15,12.8,13.14,12.55,12.85,40100,35.68
2005-08-16,12.79,13.2,12.7,13.03,45900,36.18
2005-08-17,12.88,13.39,12.88,13.25,49700,36.8
2005-08-18,13.12,13.28,12.75,13.05,32200,36.24
2005-08-19,13.08,13.1,12.75,12.9,76700,35.82
2005-08-22,12.85,13.02,12.75,12.8,27400,35.55
2005-08-23,12.8,13.1,12.65,13.0,23500,36.1
2005-08-24,13.15,13.25,13.0,13.23,36400,36.74
2005-08-25,13.26,13.4,12.77,13.1,28500,36.38
2005-08-26,13.4,13.4,12.88,13.09,27500,36.35
2005-08-29,12.98,13.21,12.96,13.03,21600,36.18
2005-08-30,13.0,13.2,12.8,12.92,30000,35.88
2005-08-31,12.95,13.2,12.9,13.0,47700,36.1
2005-09-01,12.98,13.21,12.98,13.11,17100,36.41
2005-09-02,13.1,13.17,12.99,13.05,20500,36.24
2005-09-06,13.3,13.3,13.0,13.03,24500,36.18
2005-09-07,13.1,13.15,12.99,13.12,19800,36.43
2005-09-08,13.2,13.2,12.95,12.98,48800,36.05
2005-09-09,12.97,13.07,12.78,13.0,39100,36.1
2005-09-12,14.88,14.89,13.95,14.3,980000,39.71
2005-09-13,14.6,15.27,14.4,15.05,511400,41.79
2005-09-14,15.2,15.79,14.95,15.5,367100,43.04
2005-09-15,15.54,16.24,15.51,16.2,277700,44.99
2005-09-16,16.32,16.5,15.19,15.49,301100,43.02
2005-09-19,15.78,15.9,15.5,15.7,165000,43.6
2005-09-20,15.77,15.94,15.43,15.52,159300,43.1
2005-09-21,15.64,16.26,15.55,15.99,100100,44.4
2005-09-22,16.0,16.18,15.7,16.0,79000,44.43
2005-09-23,16.34,16.72,15.93,16.56,94400,45.99
2005-09-26,17.0,17.4,16.64,17.02,160900,47.26
2005-09-27,17.01,17.49,16.81,17.41,95600,48.35
2005-09-28,17.45,17.73,17.32,17.57,75000,48.79
2005-09-29,17.5,17.8,16.51,17.15,112200,47.63
2005-09-30,16.85,17.29,16.75,17.15,66300,47.63
2005-10-03,17.23,17.5,16.98,17.2,46800,47.76
2005-10-04,17.0,17.3,16.96,17.08,33000,47.43
2005-10-05,16.95,17.2,15.17,15.95,163600,44.29
2005-10-06,15.99,16.85,15.89,16.12,103400,44.77
2005-10-07,16.64,16.75,16.27,16.5,76500,45.82
2005-10-10,16.6,17.58,16.5,17.47,85300,48.51
2005-10-11,17.67,17.85,16.9,17.74,115200,49.26
2005-10-12,16.86,17.5,16.8,16.95,92500,47.07
2005-10-13,17.5,17.5,15.8,16.46,53500,47.21
2005-10-14,16.34,16.39,15.8,16.31,51000,46.78
2005-10-17,15.91,16.4,15.86,16.16,24800,46.35
2005-10-18,16.0,16.1,15.55,15.64,43500,44.86
2005-10-19,15.64,15.75,15.32,15.59,60500,44.72
2005-10-20,15.67,16.09,15.46,15.51,35100,44.49
2005-10-21,15.7,15.89,15.35,15.65,36400,44.89
2005-10-24,15.7,15.9,15.6,15.69,28600,45.0
2005-10-25,15.6,16.09,15.5,15.5,46900,44.46
2005-10-26,15.51,15.82,15.0,15.19,95400,43.57
2005-10-27,15.09,15.29,14.59,14.75,110200,42.31
2005-10-28,14.48,14.55,14.25,14.48,612200,41.53
2005-10-31,14.55,14.99,14.47,14.82,181900,42.51
2005-11-01,14.98,14.99,14.7,14.85,78000,42.6
2005-11-02,14.97,15.0,14.52,14.83,74600,42.54
2005-11-03,14.99,15.35,14.85,15.13,85800,43.4
2005-11-04,15.32,15.38,14.88,15.09,55500,43.28
2005-11-07,15.11,15.4,15.0,15.39,51900,44.14
2005-11-08,15.45,15.47,15.06,15.14,64600,43.43
2005-11-09,15.25,15.35,15.02,15.19,55700,43.57
2005-11-10,15.49,15.49,15.17,15.38,63100,44.12
2005-11-11,15.5,15.5,15.2,15.49,46900,44.43
2005-11-14,15.51,16.1,15.2,15.68,108900,44.98
2005-11-15,15.64,15.85,15.21,15.21,61100,43.63
2005-11-16,15.2,15.3,14.85,14.99,70700,43.0
2005-11-17,14.99,15.5,14.5,14.75,83100,42.31
2005-11-18,14.6,14.75,13.79,14.5,155900,41.59
2005-11-21,14.5,14.5,14.2,14.38,55400,41.25
2005-11-22,14.38,14.89,14.25,14.74,43100,42.28
2005-11-23,15.15,15.15,14.35,14.51,52400,41.62
2005-11-25,14.75,14.75,14.45,14.71,17200,42.19
2005-11-28,14.7,15.0,14.42,14.76,47700,42.34
2005-11-29,14.88,15.22,14.85,15.2,114300,43.6
2005-11-30,15.2,15.46,15.0,15.46,102000,44.34
2005-12-01,15.46,15.6,15.25,15.45,73400,44.32
2005-12-02,15.4,15.6,15.4,15.55,67700,44.6
2005-12-05,15.49,15.9,15.2,15.84,81800,45.43
2005-12-06,16.0,16.0,15.4,15.62,65300,44.8
2005-12-07,15.75,15.84,15.23,15.31,58500,43.91
2005-12-08,15.4,15.55,15.17,15.3,35700,43.89
2005-12-09,15.55,15.55,15.1,15.24,39100,43.71
2005-12-12,15.19,15.22,14.9,15.13,46000,43.4
2005-12-13,15.1,15.3,15.05,15.19,29800,43.57
2005-12-14,15.1,15.3,15.01,15.09,35200,43.28
2005-12-15,15.16,15.3,15.1,15.3,31900,43.89
2005-12-16,15.28,15.3,15.12,15.19,37700,43.57
2005-12-19,15.25,15.48,15.12,15.37,59600,44.09
2005-12-20,15.45,15.76,15.32,15.7,74800,45.03
2005-12-21,15.62,16.15,15.53,15.93,80200,45.69
2005-12-22,16.15,16.2,15.71,15.78,59500,45.26
2005-12-23,15.88,15.88,15.26,15.4,44700,44.17
2005-12-27,15.33,15.8,15.3,15.44,52100,44.29
2005-12-28,15.82,15.84,15.45,15.59,36000,44.72
2005-12-29,15.59,15.8,15.42,15.65,45500,44.89
2005-12-30,15.78,16.0,15.51,15.92,40000,45.66
2006-01-03,15.61,16.1,15.51,15.96,57000,45.78
2006-01-04,16.0,16.09,15.56,15.76,40500,45.21
2006-01-05,15.85,16.14,15.7,16.07,46400,46.09
2006-01-06,16.15,16.18,15.76,15.95,40500,45.75
2006-01-09,15.87,16.07,15.85,16.0,26500,45.89
2006-01-10,16.0,16.0,15.81,15.88,32600,45.55
2006-01-11,15.95,16.0,15.83,16.0,41200,45.89
2006-01-12,15.5,15.52,13.66,14.0,486400,40.16
2006-01-13,14.0,14.0,12.65,13.15,346900,37.72
2006-01-17,13.0,13.1,12.77,12.87,142500,36.92
2006-01-18,12.86,13.31,12.86,12.9,100800,37.0
2006-01-19,13.03,13.05,12.29,12.47,129500,35.77
2006-01-20,12.45,12.5,11.91,12.01,187600,34.45
2006-01-23,12.05,12.38,11.86,11.9,111100,34.13
2006-01-24,11.84,12.3,11.78,11.95,111500,34.28
2006-01-25,12.4,12.4,12.01,12.16,90600,34.88
2006-01-26,12.25,12.7,12.13,12.69,88800,36.4
2006-01-27,12.7,12.84,12.46,12.84,46400,36.83
2006-01-30,12.99,13.71,12.95,13.7,133400,39.3
2006-01-31,13.75,13.8,13.4,13.55,61600,38.87
2006-02-01,13.48,14.15,13.48,14.0,69400,40.16
2006-02-02,14.0,14.35,13.81,14.13,58700,40.53
2006-02-03,14.07,14.25,13.85,13.87,58200,39.78
2006-02-06,14.02,14.1,13.75,14.0,54300,40.16
2006-02-07,14.0,14.1,13.8,13.91,49300,39.9
2006-02-08,13.95,14.17,13.77,14.05,26800,40.3
2006-02-09,14.15,14.25,13.81,13.94,50700,39.99
2006-02-10,13.94,14.34,13.9,14.34,77200,41.13
2006-02-13,13.96,13.96,13.3,13.34,50500,39.85
2006-02-14,12.85,13.2,12.6,12.74,92300,38.06
2006-02-15,12.8,13.24,12.65,13.08,55000,39.07
2006-02-16,13.23,13.23,12.75,12.95,32300,38.68
2006-02-17,12.88,12.93,12.65,12.84,37200,38.35
2006-02-21,12.8,12.9,12.13,12.73,59900,38.03
