Date,Open,High,Low,Close,Volume,Adj Close
2013-07-30,1.0,1.0,1.0,1.0,0,1.0
2013-07-31,1.0,1.0,1.0,1.0,0,1.0
2013-08-01,1.0,1.0,1.0,1.0,1000,1.0
2013-08-02,1.0,1.0,1.0,1.0,1000,1.0
2013-08-05,1.0,1.0,1.0,1.0,3000,1.0
2013-08-06,1.0,1.0,1.0,1.0,1000,1.0
2013-08-07,1.0,1.0,1.0,1.0,17000,1.0
2013-08-08,1.0,1.0,1.0,1.0,0,1.0
2013-08-09,1.0,1.0,1.0,1.0,0,1.0
2013-08-12,1.0,1.0,1.0,1.0,0,1.0
2013-08-13,1.0,1.0,1.0,1.0,0,1.0
2013-08-14,1.0,1.0,1.0,1.0,0,1.0
2013-08-15,1.0,1.0,1.0,1.0,0,1.0
2013-08-16,1.04,1.04,1.04,1.04,2000,1.04
2013-08-19,1.04,1.04,1.04,1.04,0,1.04
2013-08-20,1.04,1.04,1.04,1.04,0,1.04
2013-08-21,1.19,1.25,1.19,1.25,10800,1.25
2013-08-22,1.25,1.25,1.25,1.25,0,1.25
2013-08-23,1.3,1.3,1.3,1.3,200,1.3
2013-08-26,1.3,1.3,1.3,1.3,0,1.3
2013-08-27,1.3,1.3,1.3,1.3,0,1.3
2013-08-28,1.3,1.3,1.3,1.3,0,1.3
2013-08-29,1.3,1.3,1.3,1.3,0,1.3
2013-08-30,1.3,1.3,1.3,1.3,0,1.3
2013-09-03,1.3,1.3,1.3,1.3,0,1.3
2013-09-04,1.3,1.35,1.3,1.33,11400,1.33
2013-09-05,1.35,1.55,1.34,1.34,11200,1.34
2013-09-06,1.33,1.33,1.33,1.33,11500,1.33
2013-09-09,1.46,1.46,1.45,1.45,13000,1.45
2013-09-10,1.46,1.46,1.44,1.44,12700,1.44
2013-09-11,1.47,1.47,1.44,1.45,14100,1.45
2013-09-12,1.46,1.47,1.46,1.47,18100,1.47
2013-09-13,1.5,1.5,1.48,1.48,13900,1.48
2013-09-16,1.48,1.55,1.48,1.48,12200,1.48
2013-09-17,1.48,1.48,1.48,1.48,1000,1.48
2013-09-18,1.48,1.49,1.46,1.46,11500,1.46
2013-09-19,1.48,1.48,1.45,1.48,10400,1.48
2013-09-20,1.47,1.49,1.47,1.49,13000,1.49
2013-09-23,1.48,1.49,1.48,1.49,18900,1.49
2013-09-24,1.49,1.49,1.49,1.49,0,1.49
2013-09-25,1.47,1.48,1.47,1.48,17000,1.48
2013-09-26,1.48,1.49,1.48,1.49,7600,1.49
2013-09-27,1.49,1.5,1.49,1.5,11000,1.5
2013-09-30,1.49,1.49,1.4,1.43,3500,1.43
2013-10-01,1.51,1.51,1.48,1.48,13000,1.48
2013-10-02,1.5,1.51,1.5,1.5,15800,1.5
2013-10-03,1.48,1.51,1.48,1.51,9600,1.51
2013-10-04,1.5,1.5,1.5,1.5,5000,1.5
2013-10-07,1.42,1.46,1.42,1.46,300,1.46
2013-10-08,1.45,1.51,1.45,1.48,15300,1.48
2013-10-09,1.48,1.51,1.48,1.49,10300,1.49
2013-10-10,1.49,1.49,1.49,1.49,0,1.49
2013-10-11,1.43,1.5,1.43,1.5,8400,1.5
2013-10-14,1.51,1.51,1.51,1.51,18200,1.51
2013-10-15,1.51,1.51,1.51,1.51,0,1.51
2013-10-16,1.49,1.49,1.49,1.49,7900,1.49
2013-10-17,1.51,2.37,1.51,1.51,6100,1.51
2013-10-18,1.51,1.53,1.51,1.51,20100,1.51
2013-10-21,1.51,1.51,1.51,1.51,0,1.51
2013-10-22,1.52,1.52,1.52,1.52,10200,1.52
2013-10-23,1.52,1.52,1.52,1.52,0,1.52
2013-10-24,1.51,1.52,1.51,1.52,8100,1.52
2013-10-25,1.52,1.53,1.52,1.53,14800,1.53
2013-10-28,1.53,1.53,1.53,1.53,8000,1.53
2013-10-29,1.53,1.53,1.53,1.53,0,1.53
2013-10-30,1.53,1.53,1.51,1.51,12000,1.51
2013-10-31,1.51,1.51,1.51,1.51,0,1.51
2013-11-01,1.53,1.53,1.53,1.53,9800,1.53
2013-11-04,1.52,1.52,1.52,1.52,15000,1.52
2013-11-05,1.53,1.53,1.52,1.52,10500,1.52
2013-11-06,1.52,1.52,1.52,1.52,7500,1.52
2013-11-07,1.52,1.52,1.52,1.52,0,1.52
2013-11-08,1.53,1.53,1.52,1.52,12600,1.52
2013-11-11,1.52,1.53,1.51,1.51,13600,1.51
2013-11-12,1.52,1.53,1.52,1.53,8000,1.53
2013-11-13,1.53,1.53,1.51,1.52,10800,1.52
2013-11-14,1.53,1.53,1.53,1.53,10000,1.53
2013-11-15,1.53,1.53,1.53,1.53,12000,1.53
2013-11-18,1.51,1.51,1.51,1.51,9500,1.51
2013-11-19,1.52,1.52,1.52,1.52,8000,1.52
2013-11-20,1.53,1.53,1.52,1.53,12500,1.53
2013-11-21,1.53,1.53,1.52,1.53,10600,1.53
2013-11-22,1.53,1.53,1.52,1.52,7500,1.52
2013-11-25,1.52,1.52,1.52,1.52,0,1.52
2013-11-26,1.51,1.52,1.51,1.52,10000,1.52
2013-11-27,1.5,1.5,1.5,1.5,1500,1.5
2013-11-29,1.51,1.51,1.51,1.51,8000,1.51
2013-12-02,1.52,1.52,1.52,1.52,10200,1.52
2013-12-03,1.4,1.5,1.15,1.5,24600,1.5
2013-12-04,1.5,1.52,1.5,1.52,14900,1.52
2013-12-05,1.51,1.53,1.51,1.53,14900,1.53
2013-12-06,1.52,1.53,1.52,1.53,9800,1.53
2013-12-09,1.52,1.52,1.52,1.52,5000,1.52
2013-12-10,1.53,1.53,1.53,1.53,10000,1.53
2013-12-11,1.51,1.52,1.51,1.52,13000,1.52
2013-12-12,1.51,1.52,1.51,1.52,10100,1.52
2013-12-13,1.53,1.53,1.53,1.53,12400,1.53
2013-12-16,1.5,1.5,1.45,1.5,17000,1.5
2013-12-17,1.39,1.52,1.39,1.52,21100,1.52
2013-12-18,1.5,1.51,1.5,1.51,10000,1.51
2013-12-19,1.52,1.52,1.52,1.52,10700,1.52
2013-12-20,1.52,1.52,1.52,1.52,0,1.52
2013-12-23,1.52,1.52,1.5,1.5,14100,1.5
2013-12-24,1.51,1.51,1.51,1.51,13500,1.51
2013-12-26,1.52,1.52,1.49,1.49,400,1.49
2013-12-27,1.51,1.52,1.51,1.52,11200,1.52
2013-12-30,1.51,1.51,1.51,1.51,9500,1.51
2013-12-31,1.52,1.54,1.52,1.54,12100,1.54
2014-01-02,1.5,1.52,1.5,1.52,13000,1.52
2014-01-03,1.51,1.51,1.51,1.51,10300,1.51
2014-01-06,1.49,1.5,1.45,1.47,12600,1.47
2014-01-07,1.4,1.4,1.4,1.4,6000,1.4
2014-01-08,1.4,1.45,1.35,1.35,18000,1.35
2014-01-09,1.3,1.4,1.29,1.29,11500,1.29
2014-01-10,1.3,1.3,1.25,1.25,11700,1.25
2014-01-13,1.15,1.15,0.9,1.0,7600,1.0
2014-01-14,1.2,1.31,1.19,1.3,130400,1.3
2014-01-15,1.3,1.4,1.3,1.4,51000,1.4
2014-01-16,1.33,1.38,1.3,1.38,36800,1.38
2014-01-17,1.32,1.33,1.0,1.0,67000,1.0
2014-01-21,1.0,1.0,1.0,1.0,400,1.0
2014-01-22,1.0,1.15,0.92,1.15,2400,1.15
2014-01-23,1.15,1.15,0.94,0.95,13500,0.95
2014-01-24,0.95,0.95,0.95,0.95,0,0.95
2014-01-27,0.95,0.95,0.95,0.95,9600,0.95
2014-01-28,0.95,0.95,0.95,0.95,0,0.95
2014-01-29,0.96,0.96,0.9,0.9,17000,0.9
2014-01-30,0.87,0.9,0.87,0.9,102500,0.9
2014-01-31,0.85,0.89,0.84,0.85,102800,0.85
2014-02-03,0.78,0.9,0.65,0.9,165600,0.9
2014-02-04,0.9,0.9,0.9,0.9,500,0.9
2014-02-05,0.9,0.9,0.8,0.8,46000,0.8
2014-02-06,0.8,0.8,0.7,0.75,157200,0.75
2014-02-07,0.9,0.9,0.79,0.8,45100,0.8
2014-02-10,0.83,0.86,0.8,0.85,37200,0.85
2014-02-11,0.8,0.85,0.8,0.85,29700,0.85
2014-02-12,0.9,0.9,0.84,0.84,30500,0.84
2014-02-13,0.84,0.84,0.84,0.84,3100,0.84
2014-02-14,0.84,0.84,0.8,0.82,19500,0.82
2014-02-18,0.85,0.85,0.76,0.76,6900,0.76
2014-02-19,0.76,0.9,0.76,0.9,104100,0.9
2014-02-20,0.9,0.9,0.9,0.9,2000,0.9
2014-02-21,0.85,0.9,0.85,0.9,16000,0.9
2014-02-24,0.76,0.9,0.76,0.78,5800,0.78
2014-02-25,0.7,0.9,0.7,0.76,9800,0.76
2014-02-26,0.75,0.76,0.75,0.76,138000,0.76
2014-02-27,0.76,0.77,0.75,0.77,40400,0.77
2014-02-28,0.77,0.78,0.77,0.78,30700,0.78
2014-03-03,0.78,0.8,0.77,0.79,163400,0.79
2014-03-04,0.81,0.81,0.78,0.8,18800,0.8
2014-03-05,0.8,0.81,0.77,0.77,226700,0.77
2014-03-06,0.82,0.82,0.8,0.8,211700,0.8
2014-03-07,0.85,0.89,0.82,0.82,368900,0.82
2014-03-10,0.9,0.9,0.82,0.83,233700,0.83
2014-03-11,0.84,0.85,0.61,0.8,487700,0.8
2014-03-12,0.8,0.8,0.75,0.77,52200,0.77
2014-03-13,0.79,0.8,0.75,0.78,100200,0.78
2014-03-14,0.85,0.85,0.75,0.76,312700,0.76
2014-03-17,0.84,0.84,0.77,0.79,78100,0.79
2014-03-18,0.82,0.82,0.76,0.78,107500,0.78
2014-03-19,0.8,0.8,0.76,0.76,114800,0.76
2014-03-20,0.79,0.79,0.72,0.77,212000,0.77
2014-03-21,0.79,0.79,0.73,0.77,93800,0.77
2014-03-24,0.81,0.81,0.75,0.77,110400,0.77
2014-03-25,0.82,0.82,0.73,0.74,52200,0.74
2014-03-26,0.74,0.75,0.7,0.7,48500,0.7
2014-03-27,0.7,0.8,0.7,0.76,130100,0.76
2014-03-28,0.79,0.79,0.72,0.75,72300,0.75
2014-03-31,0.75,0.75,0.72,0.72,46300,0.72
2014-04-01,0.71,0.74,0.71,0.71,28000,0.71
2014-04-02,0.74,0.74,0.7,0.72,17500,0.72
2014-04-03,0.7,0.71,0.7,0.71,33700,0.71
2014-04-04,0.7,0.71,0.7,0.7,35800,0.7
2014-04-07,0.72,0.73,0.67,0.72,55200,0.72
2014-04-08,0.74,0.74,0.66,0.68,20900,0.68
2014-04-09,0.7,0.74,0.68,0.73,20900,0.73
2014-04-10,0.73,0.73,0.72,0.72,2800,0.72
2014-04-11,0.69,0.7,0.6,0.63,28900,0.63
2014-04-14,0.63,0.7,0.6,0.7,42700,0.7
2014-04-15,0.7,0.7,0.67,0.67,24700,0.67
2014-04-16,0.58,0.64,0.58,0.6,46400,0.6
2014-04-17,0.63,0.63,0.56,0.58,40500,0.58
2014-04-21,0.56,0.63,0.45,0.5,110600,0.5
2014-04-22,0.46,0.48,0.39,0.4,142300,0.4
2014-04-23,0.42,0.45,0.39,0.45,137400,0.45
2014-04-24,0.43,0.45,0.4,0.44,49200,0.44
