Date,Open,High,Low,Close,Volume,Adj Close
1997-05-09,10.25,10.3,10.25,10.25,39000,10.25
1997-05-12,10.5,10.75,10.25,10.38,60600,10.38
1997-05-13,10.5,10.5,9.38,9.38,102200,9.38
1997-05-14,10.0,10.5,10.0,10.25,40700,10.25
1997-05-15,10.25,10.5,10.25,10.5,10700,10.5
1997-05-16,10.25,10.5,10.25,10.5,5200,10.5
1997-05-19,10.25,10.5,10.25,10.25,20000,10.25
1997-05-20,10.25,10.25,10.25,10.25,8600,10.25
1997-05-21,10.5,10.5,10.12,10.5,27000,10.5
1997-05-22,10.12,10.5,10.12,10.5,13500,10.5
1997-05-23,10.12,10.5,10.12,10.17,45400,10.17
1997-05-27,10.12,10.17,10.12,10.17,57100,10.17
1997-05-28,10.17,10.25,10.0,10.12,16000,10.12
1997-05-29,10.0,10.25,10.0,10.25,5500,10.25
1997-05-30,10.0,10.25,9.38,10.25,20300,10.25
1997-06-02,10.25,10.25,9.42,9.42,8500,9.42
1997-06-03,9.25,9.5,8.75,9.12,14700,9.12
1997-06-04,8.75,8.88,8.5,8.88,20500,8.88
1997-06-05,8.75,9.0,8.75,8.88,55600,8.88
1997-06-06,8.75,8.75,8.75,8.75,1000,8.75
1997-06-09,8.75,9.0,8.75,8.75,2900,8.75
1997-06-10,8.75,9.5,8.75,9.0,17900,9.0
1997-06-11,8.75,9.25,8.75,8.75,24500,8.75
1997-06-12,8.75,8.75,8.75,8.75,5000,8.75
1997-06-13,8.75,8.88,8.75,8.75,4000,8.75
1997-06-16,8.75,9.0,8.75,9.0,7400,9.0
1997-06-17,8.75,8.75,8.75,8.75,8000,8.75
1997-06-18,8.75,8.88,8.75,8.88,13800,8.88
1997-06-19,8.88,8.88,8.88,8.88,0,8.88
1997-06-20,8.75,8.75,8.75,8.75,2000,8.75
1997-06-23,8.75,9.38,8.75,9.0,9300,9.0
1997-06-24,8.5,8.5,8.5,8.5,2600,8.5
1997-06-25,8.88,9.0,8.88,9.0,15200,9.0
1997-06-26,9.5,9.5,9.5,9.5,14400,9.5
1997-06-27,9.0,9.05,8.5,8.75,13100,8.75
1997-06-30,9.25,9.25,8.86,9.25,7700,9.25
1997-07-01,8.5,8.5,8.5,8.5,2000,8.5
1997-07-02,8.5,8.5,8.5,8.5,1000,8.5
1997-07-03,9.5,9.5,8.5,9.5,9000,9.5
1997-07-07,8.5,8.5,8.5,8.5,2000,8.5
1997-07-08,8.5,8.75,8.5,8.75,7600,8.75
1997-07-09,8.5,9.25,8.5,8.5,34900,8.5
1997-07-10,8.5,9.0,8.5,8.67,21200,8.67
1997-07-11,9.5,9.5,9.0,9.0,15200,9.0
1997-07-14,9.5,9.5,8.5,8.62,22200,8.62
1997-07-15,9.5,9.5,9.0,9.5,700,9.5
1997-07-16,8.5,8.5,8.5,8.5,3100,8.5
1997-07-17,9.5,9.5,9.0,9.0,2600,9.0
1997-07-18,9.0,9.5,8.0,9.5,16100,9.5
1997-07-21,8.5,9.0,8.38,8.38,24900,8.38
1997-07-22,8.38,9.12,8.38,9.0,20100,9.0
1997-07-23,8.38,8.88,8.38,8.88,16000,8.88
1997-07-24,9.25,10.0,9.12,10.0,14800,10.0
1997-07-25,9.5,10.0,8.5,10.0,300,10.0
1997-07-28,8.75,10.0,8.75,9.0,24300,9.0
1997-07-29,9.0,9.0,8.75,8.75,7500,8.75
1997-07-30,8.5,10.0,8.5,10.0,12700,10.0
1997-07-31,10.0,10.0,8.5,9.5,48000,9.5
1997-08-01,8.5,8.5,8.5,8.5,2000,8.5
1997-08-04,8.5,10.0,8.5,10.0,1800,10.0
1997-08-05,8.75,9.55,8.5,8.62,57200,8.62
1997-08-06,8.5,10.0,8.5,10.0,2200,10.0
1997-08-07,10.0,10.0,8.5,8.5,33400,8.5
1997-08-08,10.0,10.0,8.5,9.0,21400,9.0
1997-08-11,8.5,8.62,8.5,8.55,24500,8.55
1997-08-12,10.0,10.0,8.5,9.12,72700,9.12
1997-08-13,8.75,10.0,8.5,8.88,79700,8.88
1997-08-14,8.75,8.75,8.75,8.75,900,8.75
1997-08-15,8.5,8.75,8.5,8.75,21300,8.75
1997-08-18,8.5,9.25,8.5,9.0,34100,9.0
1997-08-19,8.5,8.62,8.5,8.62,15500,8.62
1997-08-20,8.5,9.25,8.5,8.62,14300,8.62
1997-08-21,8.5,8.62,8.5,8.5,28000,8.5
1997-08-22,8.5,8.62,8.5,8.62,24000,8.62
1997-08-25,8.5,9.25,8.5,9.0,176800,9.0
1997-08-26,9.25,9.25,8.5,8.62,77100,8.62
1997-08-27,8.5,9.25,8.5,9.25,3200,9.25
1997-08-28,8.5,9.25,8.5,9.25,4000,9.25
1997-08-29,8.5,9.25,8.5,8.62,9400,8.62
1997-09-02,9.0,9.25,8.5,8.5,119100,8.5
1997-09-03,8.75,9.0,8.5,8.5,12900,8.5
1997-09-04,8.5,9.0,8.5,9.0,87500,9.0
1997-09-05,9.25,9.25,8.62,9.05,149800,9.05
1997-09-08,8.5,8.75,8.5,8.5,24700,8.5
1997-09-09,8.5,9.0,8.5,8.5,125600,8.5
1997-09-10,9.0,9.0,9.0,9.0,400,9.0
1997-09-11,8.88,8.88,8.5,8.88,138600,8.88
1997-09-12,8.5,9.0,8.5,8.5,38500,8.5
1997-09-15,8.5,9.0,8.5,8.5,66800,8.5
1997-09-16,9.0,9.0,9.0,9.0,3200,9.0
1997-09-17,8.62,9.0,8.5,8.62,55400,8.62
1997-09-18,8.62,8.75,8.5,8.62,211900,8.62
1997-09-19,9.0,9.0,8.5,8.5,8800,8.5
1997-09-22,8.62,8.75,8.5,8.62,9400,8.62
1997-09-23,8.61,9.0,8.5,8.61,17000,8.61
1997-09-24,9.0,9.0,8.62,9.0,20500,9.0
1997-09-25,9.25,9.25,8.67,9.25,82400,9.25
1997-09-26,8.75,8.75,8.75,8.75,1000,8.75
1997-09-29,9.0,9.25,8.88,9.0,29400,9.0
1997-09-30,9.5,9.5,8.75,9.5,59000,9.5
1997-10-01,8.75,8.88,8.75,8.75,8000,8.75
1997-10-02,8.75,9.38,8.75,8.75,28100,8.75
1997-10-03,9.0,9.25,8.75,9.0,30500,9.0
1997-10-06,9.12,9.12,8.88,9.12,1900,9.12
1997-10-07,9.0,9.12,8.88,9.0,49200,9.0
1997-10-08,9.0,9.0,8.88,9.0,24200,9.0
1997-10-09,9.0,9.0,9.0,9.0,0,9.0
1997-10-10,9.0,9.0,9.0,9.0,1000,9.0
1997-10-13,8.88,8.88,8.88,8.88,11000,8.88
1997-10-14,8.88,9.17,8.88,8.88,26700,8.88
1997-10-15,9.5,9.5,8.88,9.5,108700,9.5
1997-10-16,10.25,10.25,9.12,10.25,64800,10.25
1997-10-17,10.5,10.5,9.75,10.5,42300,10.5
1997-10-20,9.75,9.75,9.75,9.75,1500,9.75
1997-10-21,9.75,9.75,9.75,9.75,14400,9.75
1997-10-22,9.75,10.5,9.75,9.75,4300,9.75
1997-10-23,10.5,10.5,9.75,10.5,28100,10.5
1997-10-24,9.88,10.0,9.75,9.88,8600,9.88
1997-10-27,9.88,9.88,9.75,9.88,19400,9.88
1997-10-28,9.75,10.25,9.75,9.8,55700,9.8
1997-10-29,9.75,9.75,9.75,9.75,20600,9.75
1997-10-30,10.0,10.0,9.75,10.0,44200,10.0
1997-10-31,9.88,10.0,9.75,9.88,31000,9.88
1997-11-03,9.75,9.75,9.75,9.75,7400,9.75
1997-11-04,9.75,9.75,9.75,9.75,23500,9.75
1997-11-05,9.88,9.88,9.75,9.88,20500,9.88
1997-11-06,9.88,10.0,9.75,9.88,23100,9.88
1997-11-07,9.8,9.88,9.75,9.8,9000,9.8
1997-11-10,9.75,9.88,9.75,9.75,16500,9.75
1997-11-11,9.88,9.88,9.75,9.88,10500,9.88
1997-11-12,9.75,10.0,9.75,9.75,28000,9.75
1997-11-13,9.75,10.0,9.75,9.75,40200,9.75
1997-11-14,9.75,9.75,9.75,9.75,52500,9.75
1997-11-17,9.75,9.75,9.75,9.75,7600,9.75
1997-11-18,9.75,9.75,9.75,9.75,31000,9.75
1997-11-19,9.8,10.0,9.75,9.8,84200,9.8
1997-11-20,9.8,9.8,9.75,9.8,53800,9.8
1997-11-21,10.0,10.0,9.75,10.0,22800,10.0
1997-11-24,10.0,10.12,9.75,10.0,35300,10.0
1997-11-25,9.75,9.88,9.75,9.75,12000,9.75
1997-11-26,9.8,10.0,9.75,9.8,28000,9.8
1997-11-28,9.88,9.88,9.75,9.88,30100,9.88
1997-12-01,9.75,10.0,9.75,9.75,81900,9.75
1997-12-02,9.75,9.92,9.75,9.75,7600,9.75
1997-12-03,9.75,10.0,9.75,9.75,46300,9.75
1997-12-04,9.75,9.75,9.75,9.75,12000,9.75
1997-12-05,10.0,10.0,9.75,10.0,13500,10.0
1997-12-08,10.0,10.0,10.0,10.0,200,10.0
1997-12-09,9.75,10.0,9.75,9.75,30300,9.75
1997-12-10,10.0,10.0,9.75,10.0,24600,10.0
1997-12-11,9.8,9.8,9.75,9.8,18700,9.8
1997-12-12,9.75,10.0,9.75,9.75,16300,9.75
1997-12-15,9.5,10.0,9.5,9.5,34300,9.5
1997-12-16,9.0,9.5,9.0,9.0,49400,9.0
1997-12-17,8.5,9.38,7.75,8.5,82800,8.5
1997-12-18,8.5,8.75,8.0,8.5,15100,8.5
1997-12-19,8.75,8.75,8.5,8.75,2400,8.75
1997-12-22,8.25,8.75,8.12,8.25,19200,8.25
1997-12-23,7.75,8.5,7.75,7.75,12300,7.75
1997-12-24,6.0,7.75,6.0,6.0,22600,6.0
1997-12-26,6.12,6.67,6.12,6.12,4900,6.12
1997-12-29,6.12,6.12,6.12,6.12,700,6.12
1997-12-30,4.5,6.12,4.5,4.5,55800,4.5
1997-12-31,5.62,6.5,4.5,5.62,23000,5.62
1998-01-02,5.62,6.25,5.38,5.62,15800,5.62
1998-01-05,5.75,6.0,5.5,5.75,6100,5.75
1998-01-06,5.0,6.5,5.0,5.0,29000,5.0
1998-01-07,5.0,5.0,5.0,5.0,0,5.0
1998-01-08,4.5,5.12,4.5,4.5,40200,4.5
1998-01-09,4.5,5.0,4.5,4.5,17500,4.5
1998-01-12,5.0,5.0,4.25,5.0,4600,5.0
1998-01-13,5.0,5.0,3.62,5.0,23200,5.0
1998-01-14,5.25,5.25,4.38,5.25,4000,5.25
1998-01-15,4.8,5.25,4.75,4.8,15800,4.8
1998-01-16,5.5,5.75,5.25,5.5,8000,5.5
1998-01-20,6.12,6.12,5.5,6.12,7900,6.12
1998-01-21,5.38,5.5,5.38,5.38,3000,5.38
1998-01-22,5.75,5.75,5.75,5.75,4000,5.75
1998-01-23,5.5,6.0,5.5,5.5,3500,5.5
1998-01-26,5.38,5.38,5.38,5.38,2300,5.38
1998-01-27,5.5,5.5,5.25,5.5,15100,5.5
1998-01-28,4.62,5.0,4.5,4.62,16500,4.62
1998-01-29,5.12,5.12,4.5,5.12,4200,5.12
1998-01-30,4.0,5.25,4.0,4.0,16400,4.0
1998-02-02,4.38,4.75,4.25,4.38,7000,4.38
1998-02-03,4.0,4.5,4.0,4.0,6500,4.0
1998-02-04,3.75,3.75,3.75,3.75,500,3.75
1998-02-05,4.12,4.25,4.0,4.12,30000,4.12
1998-02-06,4.0,4.0,3.88,4.0,1500,4.0
1998-02-09,4.12,4.12,4.0,4.12,4500,4.12
1998-02-10,4.12,4.38,4.0,4.12,11000,4.12
1998-02-11,4.17,4.25,4.17,4.17,6000,4.17
1998-02-12,4.25,4.25,4.17,4.25,6000,4.25
1998-02-13,4.25,4.25,4.25,4.25,7400,4.25
1998-02-17,3.75,4.25,3.75,3.75,40300,3.75
1998-02-18,4.0,4.25,4.0,4.0,4800,4.0
1998-02-19,4.0,4.12,4.0,4.0,9500,4.0
1998-02-20,4.0,4.12,3.75,4.0,9000,4.0
1998-02-23,4.0,4.0,4.0,4.0,0,4.0
1998-02-24,3.75,3.75,3.5,3.75,13000,3.75
1998-02-25,4.0,4.0,4.0,4.0,500,4.0
1998-02-26,4.0,4.0,3.5,4.0,12800,4.0
1998-02-27,4.0,4.12,3.75,4.0,2500,4.0
1998-03-02,4.12,4.12,3.75,4.12,1000,4.12
1998-03-03,3.75,3.75,3.5,3.75,13500,3.75
1998-03-04,3.12,3.5,3.0,3.12,21700,3.12
1998-03-05,3.25,3.25,3.19,3.25,4000,3.25
1998-03-06,3.25,3.5,3.12,3.25,11200,3.25
1998-03-09,3.12,3.12,3.12,3.12,2000,3.12
1998-03-10,3.5,3.5,3.12,3.5,27300,3.5
1998-03-11,3.38,3.38,3.3,3.38,3100,3.38
1998-03-12,3.25,3.25,3.25,3.25,15000,3.25
1998-03-13,3.25,3.25,3.25,3.25,0,3.25
1998-03-16,3.25,3.5,3.25,3.25,7300,3.25
1998-03-17,3.25,3.25,3.25,3.25,500,3.25
1998-03-18,3.62,3.62,3.62,3.62,800,3.62
1998-03-19,4.25,4.25,3.62,4.25,8100,4.25
1998-03-20,5.38,5.62,4.25,5.38,43800,5.38
1998-03-23,5.5,6.0,5.38,5.5,39600,5.5
1998-03-24,6.0,6.25,5.25,6.0,38300,6.0
1998-03-25,6.25,6.5,6.0,6.25,19700,6.25
