Date,Open,High,Low,Close,Volume,Adj Close
2005-04-07,9.55,9.56,8.35,9.34,169000,18.49
2005-04-08,9.26,9.47,9.23,9.3,46300,18.41
2005-04-11,9.39,9.4,9.14,9.3,29300,18.41
2005-04-12,9.32,9.35,9.25,9.3,7100,18.41
2005-04-13,9.3,9.3,9.09,9.29,10700,18.39
2005-04-14,9.25,9.25,9.01,9.07,9900,17.96
2005-04-15,9.1,9.2,9.0,9.0,32200,17.82
2005-04-18,9.0,9.05,9.0,9.02,5300,17.86
2005-04-19,9.05,9.15,9.01,9.05,900,17.92
2005-04-20,9.01,9.05,9.01,9.05,3500,17.92
2005-04-21,9.01,9.02,8.9,8.95,12200,17.72
2005-04-22,8.7,9.0,8.7,8.7,24000,17.23
2005-04-25,8.68,8.7,8.58,8.65,28200,17.13
2005-04-26,8.65,8.9,8.65,8.66,1800,17.15
2005-04-27,8.8,8.8,8.65,8.65,2800,17.13
2005-04-28,8.55,8.67,8.55,8.55,6700,16.93
2005-04-29,8.65,8.65,8.5,8.5,1500,16.83
2005-05-02,8.55,8.61,8.5,8.51,5700,16.85
2005-05-03,8.5,8.51,8.5,8.5,3800,16.83
2005-05-04,8.51,8.57,8.51,8.52,7000,16.87
2005-05-05,8.52,8.52,8.51,8.51,200,16.85
2005-05-06,8.53,8.6,8.5,8.55,5400,16.93
2005-05-09,8.5,8.53,8.5,8.53,7100,16.89
2005-05-10,8.53,8.57,8.52,8.57,23900,16.97
2005-05-11,8.57,8.6,8.57,8.57,2700,16.97
2005-05-12,8.57,8.7,8.57,8.7,9400,17.23
2005-05-13,8.62,8.65,8.61,8.62,5600,17.07
2005-05-16,8.62,8.62,8.61,8.61,1200,17.05
2005-05-17,8.61,8.61,8.61,8.61,0,17.05
2005-05-18,8.6,8.7,8.6,8.7,8200,17.23
2005-05-19,8.69,8.69,8.69,8.69,11400,17.21
2005-05-20,8.69,8.8,8.69,8.8,1800,17.42
2005-05-23,8.7,8.7,8.68,8.7,1300,17.23
2005-05-24,8.7,8.7,8.7,8.7,1500,17.23
2005-05-25,8.66,8.7,8.65,8.65,1500,17.13
2005-05-26,8.7,8.75,8.7,8.75,3700,17.33
2005-05-27,8.72,9.14,8.72,9.14,2100,18.1
2005-05-31,8.95,9.14,8.95,9.14,300,18.1
2005-06-01,8.7,9.0,8.6,9.0,1200,17.82
2005-06-02,9.0,9.0,9.0,9.0,0,17.82
2005-06-03,8.65,8.65,8.65,8.65,0,17.13
2005-06-06,8.65,8.75,8.58,8.75,5800,17.33
2005-06-07,8.6,9.0,8.6,8.98,6500,17.78
2005-06-08,8.9,8.9,8.65,8.65,2500,17.13
2005-06-09,8.85,8.85,8.8,8.8,600,17.42
2005-06-10,8.8,8.98,8.8,8.8,3000,17.42
2005-06-13,8.8,8.89,8.57,8.8,6600,17.42
2005-06-14,8.8,8.9,8.8,8.9,6900,17.62
2005-06-15,8.85,8.98,8.85,8.98,900,17.78
2005-06-16,8.88,8.88,8.88,8.88,900,17.58
2005-06-17,8.9,8.9,8.9,8.9,900,17.62
2005-06-20,9.0,9.0,8.9,8.9,4800,17.62
2005-06-21,8.9,8.9,8.9,8.9,300,17.62
2005-06-22,9.15,9.15,9.0,9.0,1300,17.82
2005-06-23,9.0,9.18,9.0,9.18,14000,18.18
2005-06-24,9.0,9.13,9.0,9.13,1800,18.08
2005-06-27,9.0,9.05,9.0,9.0,4900,17.82
2005-06-28,9.05,9.05,9.05,9.05,400,17.92
2005-06-29,9.05,9.05,9.05,9.05,0,17.92
2005-06-30,9.05,9.05,9.01,9.01,600,17.84
2005-07-01,9.0,9.01,9.0,9.0,2200,17.82
2005-07-05,9.0,9.0,9.0,9.0,0,17.82
2005-07-06,9.04,9.1,9.04,9.1,5100,18.02
2005-07-07,9.02,9.02,9.02,9.02,1300,17.86
2005-07-08,9.01,9.06,9.0,9.06,3200,17.94
2005-07-11,9.0,9.0,9.0,9.0,500,17.82
2005-07-12,9.0,9.0,8.9,8.9,800,17.62
2005-07-13,9.0,9.07,8.86,8.86,400,17.54
2005-07-14,8.85,8.85,8.85,8.85,0,17.52
2005-07-15,8.85,8.85,8.77,8.77,2100,17.36
2005-07-18,8.85,8.85,8.75,8.75,1900,17.33
2005-07-19,8.78,8.85,8.75,8.85,5400,17.52
2005-07-20,8.75,8.85,8.75,8.85,1500,17.52
2005-07-21,8.85,9.0,8.84,9.0,8800,17.82
2005-07-22,9.0,9.0,8.95,8.95,2600,17.72
2005-07-25,8.95,9.0,8.87,8.87,7100,17.56
2005-07-26,8.95,9.0,8.94,9.0,1600,17.82
2005-07-27,9.0,9.0,8.86,8.86,2400,17.54
2005-07-28,8.86,8.86,8.86,8.86,0,17.54
2005-07-29,9.0,9.0,8.9,8.9,900,17.62
2005-08-01,9.05,9.06,8.9,9.03,8600,17.88
2005-08-02,8.9,9.14,8.35,9.14,5900,18.1
2005-08-03,9.15,9.3,9.15,9.25,6100,18.32
2005-08-04,9.2,9.45,9.2,9.45,800,18.71
2005-08-05,9.4,9.4,9.4,9.4,1700,18.61
2005-08-08,9.31,9.31,9.31,9.31,500,18.43
2005-08-09,9.31,9.31,9.31,9.31,0,18.43
2005-08-10,9.31,9.31,9.31,9.31,0,18.43
2005-08-11,9.31,9.31,9.31,9.31,0,18.43
2005-08-12,9.29,9.29,9.29,9.29,2300,18.39
2005-08-15,9.25,9.25,9.25,9.25,0,18.32
2005-08-16,9.25,9.25,9.06,9.06,300,17.94
2005-08-17,8.9,8.9,8.9,8.9,0,17.62
2005-08-18,8.9,8.9,8.9,8.9,0,17.62
2005-08-19,9.1,9.1,9.1,9.1,500,18.02
2005-08-22,8.97,9.1,8.96,9.1,1800,18.02
