Date,Open,High,Low,Close,Volume,Adj Close
2012-02-13,1.02,1.02,1.02,1.02,600,1.02
2012-02-14,1.02,1.02,1.02,1.02,0,1.02
2012-02-15,1.15,1.15,1.14,1.14,2200,1.14
2012-02-16,1.14,1.14,1.14,1.14,0,1.14
2012-02-17,1.2,1.34,1.2,1.34,32000,1.34
2012-02-21,1.34,1.4,1.34,1.35,14800,1.35
2012-02-22,1.35,1.35,1.35,1.35,12300,1.35
2012-02-23,1.35,1.35,1.35,1.35,0,1.35
2012-02-24,1.4,1.4,1.4,1.4,500,1.4
2012-02-27,1.4,1.4,1.4,1.4,0,1.4
2012-02-28,1.4,1.4,1.4,1.4,0,1.4
2012-02-29,1.4,1.4,1.4,1.4,0,1.4
2012-03-01,1.4,1.4,1.4,1.4,0,1.4
2012-03-02,1.4,1.4,1.4,1.4,0,1.4
2012-03-05,1.4,1.4,1.4,1.4,10000,1.4
2012-03-06,1.44,1.44,1.44,1.44,500,1.44
2012-03-07,1.44,1.44,1.44,1.44,0,1.44
2012-03-08,1.44,1.44,1.44,1.44,3800,1.44
2012-03-09,1.44,1.44,1.44,1.44,0,1.44
2012-03-12,1.44,1.44,1.44,1.44,0,1.44
2012-03-13,1.3,1.4,1.3,1.4,3100,1.4
2012-03-14,1.4,1.4,1.4,1.4,0,1.4
2012-03-15,1.4,1.4,1.4,1.4,100,1.4
2012-03-16,1.4,1.4,1.4,1.4,0,1.4
2012-03-19,1.4,1.4,1.4,1.4,0,1.4
2012-03-20,1.4,1.4,1.4,1.4,0,1.4
2012-03-21,1.4,1.4,1.4,1.4,0,1.4
2012-03-22,1.4,1.4,1.4,1.4,8100,1.4
2012-03-23,1.4,1.4,1.4,1.4,0,1.4
2012-03-26,1.4,1.4,1.4,1.4,0,1.4
2012-03-27,1.44,1.44,1.44,1.44,3000,1.44
2012-03-28,1.44,1.44,1.44,1.44,4000,1.44
2012-03-29,1.5,1.5,1.5,1.5,200,1.5
2012-03-30,1.26,1.26,1.26,1.26,1000,1.26
2012-04-02,1.26,1.26,1.26,1.26,0,1.26
2012-04-03,1.26,1.5,1.26,1.5,16000,1.5
2012-04-04,1.45,1.5,1.45,1.5,10100,1.5
2012-04-05,1.55,1.65,1.55,1.65,20000,1.65
2012-04-09,1.66,1.66,1.61,1.66,1200,1.66
2012-04-10,1.66,1.66,1.66,1.66,2000,1.66
2012-04-11,1.63,1.63,1.63,1.63,1700,1.63
2012-04-12,1.66,1.66,1.66,1.66,500,1.66
2012-04-13,1.57,1.57,1.55,1.55,10600,1.55
2012-04-16,1.55,1.55,1.55,1.55,0,1.55
2012-04-17,1.55,1.66,1.55,1.55,3500,1.55
2012-04-18,1.55,1.55,1.55,1.55,0,1.55
2012-04-19,1.55,1.55,1.55,1.55,1100,1.55
2012-04-20,1.55,1.55,1.55,1.55,0,1.55
2012-04-23,1.55,1.66,1.55,1.66,10100,1.66
2012-04-24,1.66,1.82,1.66,1.82,8200,1.82
2012-04-25,1.82,1.92,1.8,1.92,18500,1.92
2012-04-26,1.92,2.45,1.92,2.45,84500,2.45
2012-04-27,2.52,2.99,2.52,2.69,32000,2.69
2012-04-30,2.79,2.99,2.79,2.81,33600,2.81
2012-05-01,2.81,2.97,2.7,2.7,37000,2.7
2012-05-02,2.6,2.81,2.5,2.81,19000,2.81
2012-05-03,2.81,2.81,2.7,2.7,5000,2.7
2012-05-04,2.65,2.71,2.6,2.71,4000,2.71
2012-05-07,2.6,2.81,2.5,2.81,5800,2.81
2012-05-08,2.81,2.81,2.62,2.62,1900,2.62
2012-05-09,2.5,2.62,2.5,2.62,1300,2.62
2012-05-10,2.66,2.66,2.6,2.6,6900,2.6
2012-05-11,2.7,2.7,2.7,2.7,600,2.7
2012-05-14,2.7,2.7,2.7,2.7,500,2.7
2012-05-15,2.8,2.8,2.5,2.5,17500,2.5
2012-05-16,2.69,2.69,2.69,2.69,200,2.69
