Date,Open,High,Low,Close,Volume,Adj Close
2006-11-14,1.16,1.16,1.16,1.16,0,1.16
2006-11-15,1.12,1.15,1.12,1.12,11000,1.12
2006-11-16,1.12,1.12,1.12,1.12,0,1.12
2006-11-17,1.11,1.11,1.11,1.11,1000,1.11
2006-11-20,1.11,1.11,1.11,1.11,0,1.11
2006-11-21,1.11,1.11,1.11,1.11,0,1.11
2006-11-22,0.87,0.88,0.87,0.87,30800,0.87
2006-11-24,0.87,0.87,0.87,0.87,0,0.87
2006-11-27,0.84,0.87,0.84,0.84,5000,0.84
2006-11-28,0.84,0.84,0.84,0.84,0,0.84
2006-11-29,0.84,0.84,0.84,0.84,0,0.84
2006-11-30,0.91,0.91,0.91,0.91,1600,0.91
2006-12-01,0.91,0.91,0.91,0.91,0,0.91
2006-12-04,0.88,0.88,0.87,0.88,2900,0.88
2006-12-05,0.88,0.88,0.88,0.88,0,0.88
2006-12-06,0.89,0.9,0.87,0.89,10000,0.89
2006-12-07,0.88,0.9,0.87,0.88,25700,0.88
2006-12-08,0.86,0.86,0.86,0.86,20000,0.86
2006-12-11,0.82,0.82,0.82,0.82,500,0.82
2006-12-12,0.82,0.82,0.82,0.82,0,0.82
2006-12-13,0.82,0.82,0.82,0.82,0,0.82
2006-12-14,0.88,0.88,0.86,0.88,5600,0.88
2006-12-15,0.88,0.88,0.88,0.88,0,0.88
2006-12-18,0.88,0.88,0.88,0.88,0,0.88
2006-12-19,0.88,0.88,0.88,0.88,0,0.88
2006-12-20,0.88,0.88,0.88,0.88,0,0.88
2006-12-21,0.88,0.88,0.88,0.88,0,0.88
2006-12-22,0.88,0.88,0.88,0.88,0,0.88
2006-12-26,0.88,0.88,0.88,0.88,0,0.88
2006-12-27,0.86,0.86,0.86,0.86,31500,0.86
2006-12-28,0.88,0.88,0.87,0.88,7000,0.88
2006-12-29,0.88,0.88,0.88,0.88,0,0.88
2007-01-03,0.88,0.88,0.88,0.88,0,0.88
2007-01-04,0.88,0.88,0.88,0.88,0,0.88
2007-01-05,0.88,0.88,0.88,0.88,0,0.88
2007-01-08,0.88,0.88,0.88,0.88,0,0.88
2007-01-09,0.85,0.85,0.85,0.85,15000,0.85
2007-01-10,0.85,0.85,0.85,0.85,0,0.85
2007-01-11,0.86,0.86,0.86,0.86,10000,0.86
2007-01-12,0.81,0.81,0.81,0.81,400,0.81
2007-01-16,0.84,0.84,0.84,0.84,5000,0.84
2007-01-17,0.8,0.82,0.8,0.8,34600,0.8
2007-01-18,0.79,0.82,0.79,0.79,38200,0.79
2007-01-19,0.77,0.78,0.77,0.77,46000,0.77
2007-01-22,0.71,0.77,0.69,0.71,52000,0.71
2007-01-23,0.69,0.72,0.69,0.69,29000,0.69
2007-01-24,0.69,0.69,0.69,0.69,0,0.69
2007-01-25,0.65,0.69,0.65,0.65,63000,0.65
2007-01-26,0.6,0.6,0.57,0.6,27000,0.6
2007-01-29,0.6,0.6,0.6,0.6,0,0.6
2007-01-30,0.6,0.6,0.6,0.6,7300,0.6
2007-01-31,0.58,0.58,0.58,0.58,500,0.58
2007-02-01,0.58,0.58,0.58,0.58,500,0.58
2007-02-02,0.58,0.58,0.58,0.58,0,0.58
2007-02-05,0.58,0.58,0.58,0.58,0,0.58
2007-02-06,0.58,0.58,0.58,0.58,0,0.58
2007-02-07,0.58,0.58,0.58,0.58,0,0.58
2007-02-08,0.59,0.59,0.59,0.59,30000,0.59
2007-02-09,0.59,0.59,0.59,0.59,0,0.59
2007-02-12,0.59,0.59,0.59,0.59,0,0.59
2007-02-13,0.59,0.59,0.59,0.59,0,0.59
2007-02-14,0.59,0.59,0.59,0.59,0,0.59
2007-02-15,0.64,0.64,0.63,0.64,16000,0.64
2007-02-16,0.64,0.64,0.64,0.64,0,0.64
2007-02-20,0.66,0.68,0.66,0.66,40000,0.66
2007-02-21,0.66,0.66,0.66,0.66,0,0.66
2007-02-22,0.66,0.66,0.66,0.66,0,0.66
2007-02-23,0.66,0.66,0.66,0.66,0,0.66
2007-02-26,0.68,0.68,0.68,0.68,3000,0.68
2007-02-27,0.67,0.67,0.67,0.67,3000,0.67
2007-02-28,0.67,0.67,0.67,0.67,0,0.67
2007-03-01,0.83,0.84,0.81,0.83,43000,0.83
2007-03-02,0.82,0.86,0.82,0.82,37500,0.82
2007-03-05,0.82,0.82,0.82,0.82,0,0.82
2007-03-06,0.82,0.82,0.82,0.82,2500,0.82
2007-03-07,0.72,0.74,0.69,0.72,25000,0.72
2007-03-08,0.72,0.73,0.7,0.72,27000,0.72
2007-03-09,0.72,0.77,0.72,0.72,34000,0.72
2007-03-12,0.72,0.72,0.72,0.72,20000,0.72
2007-03-13,0.73,0.73,0.73,0.73,20000,0.73
