Date,Open,High,Low,Close,Volume,Adj Close
2003-03-12,0.15,0.15,0.15,0.15,0,0.45
2003-03-13,0.15,0.15,0.15,0.15,0,0.45
2003-03-14,0.07,0.07,0.07,0.07,1600,0.21
2003-03-17,0.21,0.21,0.21,0.21,0,0.21
2003-03-18,0.21,0.21,0.21,0.21,0,0.21
2003-03-19,0.21,0.21,0.21,0.21,0,0.21
2003-03-20,0.21,0.21,0.21,0.21,0,0.21
2003-03-21,0.21,0.21,0.21,0.21,0,0.21
2003-03-24,0.43,0.47,0.4,0.47,21900,0.47
2003-03-25,0.47,0.47,0.47,0.47,0,0.47
2003-03-26,0.47,0.47,0.47,0.47,0,0.47
2003-03-27,0.6,0.7,0.43,0.43,15100,0.43
2003-03-28,0.74,1.01,0.6,1.01,17900,1.01
2003-03-31,1.01,1.1,1.01,1.1,1600,1.1
2003-04-01,0.72,1.01,0.72,0.98,14500,0.98
2003-04-02,0.95,0.95,0.52,0.52,1100,0.52
2003-04-03,0.52,0.52,0.52,0.52,0,0.52
2003-04-04,0.52,0.52,0.52,0.52,0,0.52
2003-04-07,0.52,0.52,0.52,0.52,0,0.52
2003-04-08,0.9,0.9,0.9,0.9,2500,0.9
2003-04-09,0.9,0.9,0.9,0.9,0,0.9
2003-04-10,0.9,0.9,0.9,0.9,0,0.9
2003-04-11,0.72,0.8,0.72,0.8,7000,0.8
2003-04-14,0.88,0.9,0.8,0.9,17000,0.9
2003-04-15,0.65,0.65,0.65,0.65,600,0.65
2003-04-16,0.85,1.05,0.85,1.05,42900,1.05
2003-04-17,0.95,1.05,0.95,1.0,5200,1.0
2003-04-21,1.05,1.15,1.01,1.01,16200,1.01
2003-04-22,1.05,1.05,1.05,1.05,1200,1.05
2003-04-23,1.05,1.05,1.0,1.0,2500,1.0
2003-04-24,0.9,1.0,0.9,1.0,6600,1.0
2003-04-25,1.1,1.1,1.0,1.0,200,1.0
2003-04-28,1.0,1.0,1.0,1.0,0,1.0
2003-04-29,0.9,0.9,0.9,0.9,6300,0.9
2003-04-30,0.8,0.95,0.8,0.95,2200,0.95
2003-05-01,0.95,0.95,0.95,0.95,0,0.95
2003-05-02,0.95,0.95,0.95,0.95,6300,0.95
2003-05-05,0.95,0.95,0.95,0.95,3500,0.95
2003-05-06,0.88,0.88,0.8,0.8,8500,0.8
2003-05-07,1.0,1.0,1.0,1.0,2600,1.0
2003-05-08,0.85,0.86,0.85,0.86,1900,0.86
2003-05-09,0.86,0.86,0.86,0.86,0,0.86
2003-05-12,0.86,0.86,0.86,0.86,0,0.86
2003-05-13,1.0,1.0,1.0,1.0,500,1.0
2003-05-14,1.0,1.0,0.85,0.85,1400,0.85
2003-05-15,0.83,0.85,0.83,0.85,7800,0.85
2003-05-16,0.9,0.9,0.9,0.9,3000,0.9
2003-05-19,1.0,1.01,0.95,1.0,12400,1.0
2003-05-20,1.0,1.0,1.0,1.0,0,1.0
2003-05-21,1.0,1.01,1.0,1.0,8000,1.0
2003-05-22,1.05,1.05,0.95,1.0,5500,1.0
2003-05-23,1.0,1.08,1.0,1.05,12300,1.05
2003-05-27,1.08,1.08,1.0,1.03,10400,1.03
2003-05-28,0.95,1.03,0.95,1.03,4300,1.03
2003-05-29,1.08,1.08,1.05,1.05,14000,1.05
2003-05-30,0.96,0.96,0.96,0.96,1200,0.96
2003-06-02,0.96,0.96,0.96,0.96,0,0.96
2003-06-03,1.14,1.14,1.14,1.14,2000,1.14
2003-06-04,0.96,1.14,0.96,1.14,900,1.14
2003-06-05,1.14,1.14,1.01,1.01,3000,1.01
2003-06-06,1.01,1.01,1.01,1.01,0,1.01
2003-06-09,1.1,1.45,1.1,1.2,5000,1.2
2003-06-10,1.2,1.5,1.2,1.25,16300,1.25
2003-06-11,1.25,1.25,1.25,1.25,0,1.25
2003-06-12,1.21,1.25,1.21,1.25,2000,1.25
2003-06-13,1.25,1.25,1.25,1.25,0,1.25
2003-06-16,1.25,1.25,1.25,1.25,0,1.25
2003-06-17,1.25,1.25,1.25,1.25,0,1.25
2003-06-18,1.21,1.35,1.21,1.35,5500,1.35
2003-06-19,1.35,1.35,1.35,1.35,0,1.35
2003-06-20,1.3,1.35,1.3,1.35,1200,1.35
2003-06-23,1.35,1.35,1.31,1.31,5300,1.31
2003-06-24,1.4,1.45,1.4,1.4,9500,1.4
2003-06-25,1.4,1.4,1.4,1.4,0,1.4
2003-06-26,1.4,1.4,1.4,1.4,0,1.4
2003-06-27,1.7,1.7,1.7,1.7,600,1.7
2003-06-30,1.7,1.7,1.35,1.4,11500,1.4
2003-07-01,1.4,1.4,1.4,1.4,0,1.4
2003-07-02,1.25,1.3,1.25,1.3,1600,1.3
2003-07-03,1.4,1.5,1.25,1.3,15900,1.3
2003-07-07,1.3,1.3,1.3,1.3,0,1.3
2003-07-08,1.25,1.3,1.25,1.3,2600,1.3
2003-07-09,1.25,1.3,1.25,1.3,3000,1.3
2003-07-10,1.3,1.3,1.3,1.3,0,1.3
2003-07-11,1.25,1.3,1.25,1.3,3300,1.3
2003-07-14,1.3,1.3,1.3,1.3,100,1.3
2003-07-15,1.3,1.3,1.3,1.3,500,1.3
2003-07-16,1.4,1.4,1.4,1.4,100,1.4
2003-07-17,1.3,1.3,1.3,1.3,800,1.3
2003-07-18,1.3,1.3,1.3,1.3,0,1.3
2003-07-21,1.25,1.3,1.25,1.3,3100,1.3
2003-07-22,1.25,1.3,1.25,1.3,2500,1.3
2003-07-23,1.25,1.25,1.25,1.25,1000,1.25
2003-07-24,1.25,1.3,1.25,1.3,5400,1.3
2003-07-25,1.25,1.25,1.25,1.25,1000,1.25
2003-07-28,1.25,1.25,1.25,1.25,0,1.25
2003-07-29,1.29,1.29,1.29,1.29,3800,1.29
2003-07-30,1.25,1.26,1.05,1.05,37300,1.05
2003-07-31,1.05,1.05,1.05,1.05,0,1.05
2003-08-01,1.05,1.05,1.05,1.05,0,1.05
2003-08-04,1.1,1.1,1.1,1.1,20900,1.1
2003-08-05,1.1,1.1,1.1,1.1,0,1.1
2003-08-06,1.1,1.1,1.1,1.1,0,1.1
2003-08-07,1.1,1.1,1.1,1.1,0,1.1
2003-08-08,1.1,1.1,1.1,1.1,400,1.1
2003-08-11,1.1,1.1,1.1,1.1,300,1.1
2003-08-12,1.1,1.1,1.1,1.1,300,1.1
2003-08-13,1.1,1.1,1.1,1.1,0,1.1
2003-08-14,1.1,1.1,1.1,1.1,0,1.1
2003-08-15,1.1,1.1,1.1,1.1,200,1.1
2003-08-18,1.05,1.05,0.95,0.95,12100,0.95
2003-08-19,0.95,0.95,0.95,0.95,0,0.95
2003-08-20,0.95,0.98,0.95,0.95,1300,0.95
2003-08-21,0.95,0.95,0.95,0.95,0,0.95
2003-08-22,0.95,0.95,0.95,0.95,0,0.95
2003-08-25,1.0,1.0,1.0,1.0,2500,1.0
2003-08-26,0.95,1.0,0.95,1.0,1600,1.0
2003-08-27,0.95,1.0,0.95,0.95,6000,0.95
2003-08-28,0.9,1.0,0.9,1.0,2000,1.0
2003-08-29,1.0,1.0,1.0,1.0,0,1.0
2003-09-02,1.0,1.0,1.0,1.0,0,1.0
2003-09-03,1.0,1.0,1.0,1.0,0,1.0
2003-09-04,1.0,1.0,1.0,1.0,0,1.0
2003-09-05,1.0,1.0,1.0,1.0,0,1.0
2003-09-08,1.05,1.05,1.05,1.05,1000,1.05
2003-09-09,1.1,1.1,1.1,1.1,2000,1.1
2003-09-10,1.01,1.01,1.01,1.01,300,1.01
2003-09-11,1.01,1.01,1.01,1.01,0,1.01
2003-09-12,1.01,1.01,1.01,1.01,0,1.01
2003-09-15,1.01,1.05,1.01,1.05,500,1.05
2003-09-16,1.05,1.05,1.05,1.05,0,1.05
2003-09-17,1.25,1.25,1.25,1.25,1300,1.25
2003-09-18,1.25,1.25,1.25,1.25,500,1.25
2003-09-19,1.25,1.3,1.25,1.3,13800,1.3
2003-09-22,1.4,1.4,1.3,1.4,2600,1.4
2003-09-23,1.45,1.95,1.45,1.5,6700,1.5
2003-09-24,1.5,1.5,1.5,1.5,0,1.5
2003-09-25,1.5,1.75,1.5,1.75,600,1.75
2003-09-26,2.1,2.1,1.95,1.95,2000,1.95
2003-09-29,1.9,2.05,1.9,2.0,5100,2.0
2003-09-30,2.0,2.0,2.0,2.0,0,2.0
2003-10-01,2.0,2.0,2.0,2.0,0,2.0
2003-10-02,2.0,2.0,2.0,2.0,0,2.0
2003-10-03,2.0,2.0,2.0,2.0,0,2.0
2003-10-06,2.0,2.0,2.0,2.0,0,2.0
2003-10-07,2.0,2.0,2.0,2.0,0,2.0
2003-10-08,1.5,1.5,1.5,1.5,200,1.5
