Date,Open,High,Low,Close,Volume,Adj Close
2009-12-28,1.92,3.0,1.92,2.25,132500,4.5
2009-12-29,2.69,2.8,2.5,2.6,16200,5.2
2009-12-30,2.7,2.9,2.65,2.85,56600,5.7
2009-12-31,2.99,3.45,2.88,3.15,67300,6.3
2010-01-04,3.2,3.5,3.06,3.5,28500,7.0
2010-01-05,3.6,3.85,3.5,3.85,44400,7.7
2010-01-06,3.85,4.09,3.75,4.09,46600,8.18
2010-01-07,4.05,4.75,4.05,4.65,27100,9.3
2010-01-08,4.7,4.7,4.26,4.26,15000,8.52
2010-01-11,4.45,4.54,4.35,4.5,12700,9.0
2010-01-12,4.5,4.51,4.4,4.45,7200,8.9
2010-01-13,4.55,4.7,4.52,4.6,49600,9.2
2010-01-14,4.6,4.7,4.55,4.65,9800,9.3
2010-01-15,4.7,4.8,4.6,4.65,2400,9.3
2010-01-19,4.6,4.6,4.25,4.42,4700,8.84
2010-01-20,4.5,4.6,4.5,4.6,2800,9.2
2010-01-21,4.7,4.7,4.32,4.32,15200,8.64
2010-01-22,4.32,4.35,4.2,4.2,14400,8.4
2010-01-25,4.24,4.3,4.15,4.2,48200,8.4
2010-01-26,4.2,4.29,4.15,4.29,7400,8.58
2010-01-27,4.2,4.27,4.19,4.2,6400,8.4
2010-01-28,4.2,4.3,4.2,4.3,4100,8.6
2010-01-29,4.25,4.39,4.2,4.2,5400,8.4
2010-02-01,4.3,4.5,4.3,4.45,3600,8.9
2010-02-02,4.3,4.45,4.3,4.4,5800,8.8
2010-02-03,4.5,4.5,4.35,4.35,4000,8.7
2010-02-04,4.3,4.5,4.2,4.39,4200,8.78
2010-02-05,4.34,4.34,4.2,4.34,7500,8.68
2010-02-08,4.25,4.39,4.25,4.39,12700,8.78
2010-02-09,4.39,4.5,4.25,4.5,6000,9.0
2010-02-10,4.4,4.4,4.4,4.4,900,8.8
2010-02-11,4.3,4.3,4.21,4.22,4200,8.44
2010-02-12,4.22,4.35,4.21,4.3,3500,8.6
2010-02-16,4.35,4.35,4.25,4.33,4900,8.66
2010-02-17,4.35,4.65,4.35,4.35,7700,8.7
2010-02-18,4.6,4.6,4.4,4.5,11200,9.0
2010-02-19,4.53,4.65,4.4,4.64,3800,9.28
2010-02-22,4.55,4.55,4.4,4.4,6300,8.8
2010-02-23,4.4,4.5,4.4,4.45,8700,8.9
2010-02-24,4.45,4.45,4.35,4.45,10200,8.9
2010-02-25,4.5,4.5,4.4,4.45,9700,8.9
2010-02-26,4.5,4.5,4.4,4.47,15500,8.94
2010-03-01,4.47,4.5,4.47,4.5,8300,9.0
2010-03-02,4.49,4.8,4.48,4.8,17800,9.6
2010-03-03,4.8,4.8,4.41,4.48,20100,8.96
2010-03-04,4.5,4.5,4.3,4.3,9700,8.6
2010-03-05,4.41,4.55,4.41,4.55,1000,9.1
2010-03-08,4.7,4.9,4.6,4.7,29100,9.4
2010-03-09,4.85,4.93,4.4,4.75,12000,9.5
2010-03-10,4.75,5.05,4.7,5.0,48500,10.0
2010-03-11,4.95,4.95,4.75,4.8,12900,9.6
2010-03-12,4.85,4.85,4.75,4.8,20200,9.6
2010-03-15,4.76,4.76,4.65,4.65,20000,9.3
2010-03-16,4.7,4.71,4.65,4.65,3000,9.3
2010-03-17,4.7,4.7,4.6,4.6,24900,9.2
2010-03-18,4.6,4.8,4.6,4.75,4000,9.5
2010-03-19,4.89,4.89,4.75,4.89,4200,9.78
2010-03-22,4.75,4.85,4.65,4.8,3100,9.6
2010-03-23,4.8,4.89,4.8,4.89,1200,9.78
2010-03-24,4.91,4.91,4.8,4.8,1600,9.6
2010-03-25,4.8,4.81,4.75,4.75,2200,9.5
2010-03-26,4.75,4.9,4.75,4.9,1200,9.8
2010-03-29,4.9,4.9,4.85,4.9,2800,9.8
2010-03-30,4.76,4.83,4.75,4.83,2300,9.66
2010-03-31,4.9,4.95,4.9,4.9,18500,9.8
2010-04-01,4.9,4.95,4.8,4.8,5700,9.6
2010-04-05,4.8,4.8,4.8,4.8,200,9.6
2010-04-06,4.8,4.8,4.67,4.67,1400,9.34
2010-04-07,4.7,4.7,4.6,4.6,2100,9.2
2010-04-08,4.6,4.6,4.5,4.55,11700,9.1
2010-04-09,4.55,4.7,4.55,4.7,6300,9.4
2010-04-12,4.7,4.7,4.65,4.65,2300,9.3
2010-04-13,4.7,4.8,4.67,4.8,7500,9.6
2010-04-14,4.9,5.5,4.9,5.45,103200,10.9
2010-04-15,5.5,5.7,4.93,5.45,59600,10.9
2010-04-16,5.05,5.34,4.93,5.08,17800,10.16
2010-04-19,5.08,5.08,4.83,4.83,6500,9.66
2010-04-20,4.7,5.19,4.57,4.95,12800,9.9
2010-04-21,4.71,4.95,4.71,4.92,3600,9.84
2010-04-22,4.8,4.95,4.75,4.85,13700,9.7
2010-04-23,4.75,4.95,4.66,4.76,2400,9.52
2010-04-26,4.65,4.76,4.31,4.62,18000,9.24
2010-04-27,4.67,4.74,4.14,4.15,15700,8.3
2010-04-28,4.2,4.47,4.2,4.35,8900,8.7
2010-04-29,4.4,4.59,4.4,4.49,6200,8.98
2010-04-30,4.49,4.49,4.31,4.4,1400,8.8
2010-05-03,4.46,4.5,4.25,4.27,2800,8.54
2010-05-04,4.28,4.28,4.11,4.17,10400,8.34
2010-05-05,4.05,4.2,4.02,4.07,6700,8.14
2010-05-06,4.02,4.18,3.9,4.0,22200,8.0
2010-05-07,4.0,4.15,3.95,4.01,10000,8.02
2010-05-10,4.15,4.15,3.85,4.0,8800,8.0
2010-05-11,4.05,4.05,4.0,4.05,3300,8.1
2010-05-12,4.09,4.5,4.09,4.19,21600,8.38
2010-05-13,4.3,4.5,4.05,4.35,6300,8.7
2010-05-14,4.36,4.36,4.0,4.11,5800,8.22
2010-05-17,4.28,4.28,3.35,3.68,18000,7.36
2010-05-18,4.1,4.1,3.75,3.81,4800,7.62
