Date,Open,High,Low,Close,Volume,Adj Close
1997-07-02,7.0,7.25,7.0,7.25,41500,7.25
1997-07-03,7.12,7.25,7.0,7.12,43200,7.12
1997-07-07,7.25,7.25,7.0,7.12,170500,7.12
1997-07-08,7.0,7.25,7.0,7.0,29700,7.0
1997-07-09,7.12,7.12,7.0,7.0,131900,7.0
1997-07-10,7.12,7.12,7.0,7.0,104000,7.0
1997-07-11,7.0,7.5,7.0,7.12,35300,7.12
1997-07-14,7.12,7.5,7.0,7.0,172400,7.0
1997-07-15,7.0,7.25,7.0,7.12,12200,7.12
1997-07-16,7.0,7.37,7.0,7.0,56700,7.0
1997-07-17,7.12,7.75,7.12,7.12,77500,7.12
1997-07-18,7.37,7.37,7.12,7.37,13900,7.37
1997-07-21,7.12,7.25,7.0,7.0,6000,7.0
1997-07-22,7.25,7.25,7.0,7.0,2400,7.0
1997-07-23,7.0,7.0,7.0,7.0,1100,7.0
1997-07-24,7.25,7.25,7.0,7.0,4700,7.0
1997-07-25,7.09,7.25,7.06,7.06,71100,7.06
1997-07-28,7.25,7.25,7.0,7.0,64400,7.0
1997-07-29,7.25,7.25,7.0,7.0,33900,7.0
1997-07-30,7.0,7.12,7.0,7.12,7800,7.12
1997-07-31,7.12,7.12,7.0,7.0,71700,7.0
1997-08-01,7.12,7.25,7.0,7.0,41200,7.0
1997-08-04,7.12,7.12,7.0,7.0,69600,7.0
1997-08-05,7.12,7.12,7.0,7.12,8100,7.12
1997-08-06,7.0,7.12,7.0,7.0,2200,7.0
1997-08-07,7.12,7.12,7.0,7.06,6300,7.06
1997-08-08,7.0,7.12,7.0,7.0,15600,7.0
1997-08-11,7.0,7.12,7.0,7.0,8100,7.0
1997-08-12,7.0,7.06,6.5,6.75,163100,6.75
1997-08-13,6.62,6.88,6.5,6.5,56600,6.5
1997-08-14,6.5,6.75,6.5,6.5,46000,6.5
1997-08-18,6.5,6.5,6.5,6.5,300,6.5
1997-08-19,6.62,6.62,6.56,6.56,5700,6.56
1997-08-20,6.62,6.62,6.5,6.5,68900,6.5
1997-08-21,6.62,6.62,6.62,6.62,13400,6.62
1997-08-22,6.62,6.75,6.62,6.75,68400,6.75
1997-08-25,6.75,6.75,6.75,6.75,500,6.75
1997-08-26,6.75,6.75,6.62,6.62,18000,6.62
1997-08-27,6.75,6.75,6.75,6.75,700,6.75
1997-08-28,6.75,6.75,6.62,6.75,5200,6.75
1997-08-29,6.75,6.75,6.62,6.62,30400,6.62
1997-09-02,7.0,7.12,6.75,7.12,31200,7.12
1997-09-03,6.88,7.25,6.88,6.88,22300,6.88
1997-09-04,7.12,7.12,7.0,7.0,4400,7.0
1997-09-05,7.12,7.25,7.0,7.25,114300,7.25
1997-09-08,7.12,7.37,7.12,7.12,16200,7.12
1997-09-09,7.37,7.37,7.12,7.25,8200,7.25
1997-09-10,7.37,7.37,7.0,7.25,10400,7.25
1997-09-11,7.25,7.25,7.0,7.0,3000,7.0
1997-09-12,7.0,7.12,6.75,7.0,11900,7.0
1997-09-15,7.0,7.0,7.0,7.0,6700,7.0
1997-09-16,7.0,7.25,7.0,7.12,6700,7.12
1997-09-17,7.12,7.12,7.12,7.12,1000,7.12
1997-09-18,7.25,7.5,7.25,7.25,25400,7.25
1997-09-19,7.5,7.5,7.5,7.5,13500,7.5
1997-09-22,7.5,7.5,7.25,7.5,40700,7.5
1997-09-23,7.5,7.5,7.25,7.5,16500,7.5
1997-09-24,7.5,7.5,7.37,7.37,16200,7.37
1997-09-25,7.5,7.5,7.5,7.5,4200,7.5
1997-09-26,7.5,7.5,7.37,7.5,48800,7.5
1997-09-29,7.5,7.5,7.37,7.5,1700,7.5
1997-09-30,7.5,7.5,7.37,7.5,6100,7.5
1997-10-01,7.5,7.5,7.37,7.37,25400,7.37
1997-10-02,7.5,8.87,7.37,8.87,301600,8.87
1997-10-03,9.75,9.88,8.75,8.87,46400,8.87
1997-10-06,8.87,8.87,8.5,8.75,41500,8.75
1997-10-07,8.87,9.13,8.5,8.75,40300,8.75
1997-10-08,8.5,9.0,8.25,9.0,187300,9.0
1997-10-09,9.0,9.13,8.75,9.13,114400,9.13
1997-10-10,9.13,9.13,9.0,9.0,17000,9.0
1997-10-13,9.0,9.0,9.0,9.0,1600,9.0
1997-10-14,9.0,9.0,8.69,8.75,32300,8.75
1997-10-15,8.87,8.87,8.75,8.87,17600,8.87
1997-10-16,8.87,9.0,8.62,8.75,54100,8.75
1997-10-17,8.75,8.75,8.5,8.75,26600,8.75
1997-10-20,8.62,8.87,8.62,8.87,30300,8.87
1997-10-21,8.87,9.0,8.75,9.0,22500,9.0
1997-10-22,8.75,8.75,8.38,8.75,32100,8.75
1997-10-23,8.38,9.0,8.38,9.0,36900,9.0
1997-10-24,9.0,9.0,8.75,9.0,1500,9.0
1997-10-27,8.75,8.87,8.12,8.12,13600,8.12
1997-10-28,8.12,8.25,7.75,8.12,45300,8.12
1997-10-29,7.88,8.25,7.88,8.12,17600,8.12
1997-10-30,7.88,8.12,7.88,8.12,10500,8.12
1997-10-31,8.12,8.12,8.12,8.12,900,8.12
1997-11-03,8.0,8.5,7.88,8.5,13400,8.5
1997-11-04,8.5,8.75,8.12,8.62,19900,8.62
1997-11-05,9.0,9.0,8.62,8.75,15400,8.75
1997-11-06,8.62,8.75,8.25,8.62,36200,8.62
1997-11-07,8.62,8.62,8.25,8.62,13900,8.62
1997-11-10,8.62,8.62,8.12,8.38,22000,8.38
1997-11-11,8.25,8.5,8.0,8.25,13200,8.25
1997-11-12,8.38,8.38,7.37,7.75,18400,7.75
1997-11-13,7.75,7.75,7.5,7.75,1500,7.75
1997-11-14,7.5,8.0,7.0,8.0,40500,8.0
1997-11-17,8.0,8.0,7.63,7.75,9200,7.75
1997-11-18,7.88,7.88,7.75,7.75,13300,7.75
1997-11-19,7.88,7.88,7.25,7.5,4100,7.5
1997-11-20,7.5,8.0,7.25,7.5,3800,7.5
1997-11-21,7.75,8.0,7.75,8.0,1400,8.0
1997-11-24,7.88,7.88,7.25,7.63,20900,7.63
1997-11-25,7.75,7.88,7.75,7.75,29300,7.75
1997-11-26,7.88,7.88,7.75,7.75,4400,7.75
1997-11-28,7.63,7.63,7.63,7.63,8000,7.63
1997-12-01,7.75,7.75,7.25,7.5,26000,7.5
1997-12-02,7.25,7.5,7.0,7.12,41200,7.12
1997-12-03,7.0,7.37,7.0,7.37,8300,7.37
1997-12-04,7.37,7.63,7.37,7.63,2100,7.63
1997-12-05,7.5,7.63,7.37,7.5,2900,7.5
1997-12-08,7.63,7.63,7.25,7.63,4500,7.63
1997-12-09,7.63,7.88,7.5,7.75,80500,7.75
1997-12-10,7.5,7.63,7.5,7.5,63700,7.5
1997-12-11,7.5,7.63,7.5,7.63,15900,7.63
1997-12-12,7.5,7.5,7.25,7.5,5600,7.5
1997-12-15,7.25,7.63,7.0,7.5,11300,7.5
1997-12-16,7.12,7.5,6.88,7.25,50500,7.25
1997-12-17,7.0,7.37,7.0,7.25,7900,7.25
1997-12-18,7.12,7.12,7.0,7.0,27000,7.0
1997-12-19,6.88,7.0,6.88,7.0,2700,7.0
1997-12-22,7.0,7.0,7.0,7.0,200,7.0
1997-12-23,6.88,6.88,6.5,6.88,10600,6.88
1997-12-24,6.5,6.75,6.5,6.75,4600,6.75
1997-12-26,7.0,7.0,6.62,6.62,500,6.62
1997-12-29,7.0,7.0,6.69,6.94,1500,6.94
1997-12-30,6.94,6.94,6.69,6.81,26900,6.81
1997-12-31,6.81,6.81,6.62,6.75,11000,6.75
1998-01-02,6.81,6.88,6.75,6.75,43600,6.75
1998-01-05,6.81,6.81,6.69,6.81,39600,6.81
1998-01-06,6.81,6.81,6.69,6.69,27700,6.69
1998-01-07,6.75,6.75,6.62,6.62,14000,6.62
1998-01-08,6.75,6.75,6.62,6.62,14200,6.62
1998-01-09,6.75,6.75,6.5,6.62,55200,6.62
1998-01-12,6.75,7.5,6.5,7.5,70400,7.5
1998-01-13,7.5,8.12,7.06,7.88,37300,7.88
1998-01-14,8.12,8.25,8.0,8.12,28700,8.12
1998-01-15,8.5,8.5,8.0,8.12,10200,8.12
1998-01-16,8.25,8.5,8.0,8.5,49200,8.5
1998-01-20,8.5,8.5,8.12,8.25,52100,8.25
1998-01-21,8.0,8.38,8.0,8.38,64100,8.38
1998-01-22,8.5,8.75,8.25,8.62,25000,8.62
1998-01-23,8.87,8.87,8.12,8.25,9300,8.25
1998-01-26,8.38,8.5,8.12,8.12,26400,8.12
1998-01-27,8.12,8.12,8.12,8.12,200,8.12
1998-01-28,8.12,8.25,8.12,8.12,4600,8.12
1998-01-29,8.19,8.25,7.75,7.75,10900,7.75
1998-01-30,7.37,8.0,7.37,8.0,1600,8.0
1998-02-02,8.0,8.25,7.88,7.88,10300,7.88
1998-02-03,7.75,8.0,7.25,8.0,23900,8.0
1998-02-04,8.0,8.0,7.75,7.75,5500,7.75
1998-02-05,8.62,8.62,8.0,8.0,3300,8.0
1998-02-06,8.0,8.0,7.75,7.75,15600,7.75
1998-02-09,7.75,7.88,7.12,7.75,18400,7.75
1998-02-10,7.75,7.88,7.63,7.63,10500,7.63
1998-02-11,7.75,7.88,7.5,7.75,4600,7.75
1998-02-12,7.88,7.88,7.5,7.5,7300,7.5
1998-02-13,7.63,7.88,7.63,7.88,17800,7.88
1998-02-17,8.0,8.0,7.75,7.88,7500,7.88
1998-02-18,7.75,8.0,7.75,8.0,600,8.0
1998-02-19,8.0,8.25,8.0,8.25,6400,8.25
1998-02-20,8.25,8.25,7.88,7.88,4300,7.88
1998-02-23,8.0,8.25,7.94,8.25,11800,8.25
1998-02-24,8.12,8.38,8.12,8.12,13100,8.12
1998-02-25,8.38,8.38,8.0,8.25,32200,8.25
1998-02-26,8.12,8.19,8.12,8.12,17500,8.12
1998-02-27,8.25,8.38,8.03,8.38,63700,8.38
1998-03-02,8.5,8.5,8.12,8.38,11000,8.38
1998-03-03,8.25,8.5,8.12,8.38,32100,8.38
