Date,Open,High,Low,Close,Volume,Adj Close
2009-07-13,4.0,4.0,3.63,4.0,85100,0.93
2009-07-14,3.63,3.8,3.2,3.7,359600,0.86
2009-07-15,3.75,3.75,3.65,3.65,600,0.85
2009-07-16,3.65,3.65,3.5,3.65,11800,0.85
2009-07-17,3.65,3.7,3.5,3.5,60000,0.81
2009-07-20,3.6,3.6,3.5,3.51,18700,0.81
2009-07-21,3.5,3.5,3.5,3.5,7000,0.81
2009-07-22,3.5,3.5,3.45,3.45,8400,0.8
2009-07-23,3.5,3.5,3.4,3.43,50400,0.79
2009-07-24,3.45,3.45,3.38,3.4,138700,0.79
2009-07-27,3.4,3.4,3.4,3.4,11000,0.79
2009-07-28,3.4,3.4,3.4,3.4,1200,0.79
2009-07-29,3.4,3.4,3.3,3.3,396000,0.76
2009-07-30,3.45,3.45,3.44,3.44,7000,0.8
2009-07-31,3.45,3.45,3.4,3.45,125600,0.8
2009-08-03,3.4,3.4,3.35,3.4,33100,0.79
2009-08-04,3.4,3.4,3.4,3.4,9200,0.79
2009-08-05,3.4,3.75,3.35,3.5,93300,0.81
2009-08-06,3.6,3.65,3.55,3.65,103700,0.85
2009-08-07,3.85,4.0,3.67,3.8,102800,0.88
2009-08-10,3.85,5.0,3.8,4.65,65400,1.08
2009-08-11,4.75,4.75,4.65,4.68,25500,1.08
2009-08-12,4.6,4.85,4.5,4.75,53700,1.1
2009-08-13,4.73,4.75,4.5,4.7,113300,1.09
2009-08-14,5.0,5.9,4.7,5.7,232300,1.32
2009-08-17,5.7,6.0,5.65,5.75,43000,1.33
2009-08-18,5.75,5.8,5.65,5.65,108300,1.31
2009-08-19,5.8,5.8,5.75,5.75,183000,1.33
2009-08-20,5.75,5.8,5.5,5.7,6900,1.32
2009-08-21,5.7,6.0,5.7,6.0,104100,1.39
2009-08-24,6.2,6.24,6.1,6.24,571500,1.44
2009-08-25,6.2,7.35,6.2,7.15,444100,1.66
2009-08-26,7.15,7.5,7.15,7.45,346800,1.72
2009-08-27,7.5,7.75,7.5,7.7,221400,1.78
2009-08-28,7.7,7.75,7.65,7.75,75700,1.79
2009-08-31,7.65,7.75,7.5,7.65,152800,1.77
2009-09-01,7.63,7.63,7.2,7.22,54300,1.67
2009-09-02,7.25,7.31,7.15,7.25,65100,1.68
2009-09-03,7.25,7.25,6.75,7.0,49300,1.62
2009-09-04,7.0,7.0,7.0,7.0,8000,1.62
2009-09-08,7.0,7.18,7.0,7.15,54800,1.66
2009-09-09,7.17,7.17,7.0,7.15,9000,1.66
2009-09-10,7.17,7.17,6.95,6.95,1600,1.61
2009-09-11,7.1,7.3,7.1,7.3,7100,1.69
2009-09-14,7.3,7.5,7.3,7.45,52700,1.72
2009-09-15,7.45,7.45,7.2,7.25,42700,1.68
2009-09-16,7.35,7.35,7.25,7.35,9200,1.7
2009-09-17,7.2,7.35,7.2,7.35,22800,1.7
2009-09-18,7.35,7.35,7.35,7.35,14800,1.7
2009-09-21,7.35,7.4,7.33,7.33,119600,1.7
2009-09-22,7.39,7.39,7.35,7.35,88300,1.7
2009-09-23,7.5,7.55,7.35,7.4,207500,1.71
2009-09-24,7.35,7.5,7.3,7.45,27400,1.72
2009-09-25,7.3,7.3,7.25,7.25,22000,1.68
2009-09-28,7.15,7.15,6.8,6.8,6700,1.57
2009-09-29,7.0,7.2,7.0,7.0,5900,1.62
2009-09-30,7.0,7.0,6.9,6.95,1200,1.61
2009-10-01,6.95,7.0,6.95,7.0,3000,1.62
2009-10-02,6.75,6.9,6.7,6.85,8200,1.59
2009-10-05,6.85,6.85,6.7,6.7,5500,1.55
2009-10-06,6.7,6.72,6.7,6.7,15100,1.55
