Date,Open,High,Low,Close,Volume,Adj Close
2003-02-11,0.11,0.12,0.1,0.11,2400,1.1
2003-02-12,0.11,0.11,0.11,0.11,0,1.1
2003-02-13,0.11,0.11,0.11,0.11,0,1.1
2003-02-14,0.08,0.08,0.08,0.08,1000,0.8
2003-02-18,0.08,0.08,0.08,0.08,0,0.8
2003-02-19,0.08,0.08,0.08,0.08,0,0.8
2003-02-20,0.1,0.1,0.1,0.1,200,1.0
2003-02-21,0.1,0.1,0.1,0.1,400,1.0
2003-02-24,0.1,0.1,0.1,0.1,0,1.0
2003-02-25,0.1,0.1,0.1,0.1,0,1.0
2003-02-26,0.06,0.06,0.06,0.06,1000,0.6
2003-02-27,0.08,0.08,0.08,0.08,200,0.8
2003-02-28,0.08,0.08,0.08,0.08,0,0.8
2003-03-03,0.08,0.08,0.08,0.08,0,0.8
2003-03-04,0.08,0.08,0.08,0.08,0,0.8
2003-03-05,0.08,0.08,0.08,0.08,0,0.8
2003-03-06,0.08,0.08,0.08,0.08,0,0.8
2003-03-07,0.08,0.08,0.08,0.08,0,0.8
2003-03-10,0.08,0.08,0.08,0.08,0,0.8
2003-03-11,0.08,0.08,0.08,0.08,0,0.8
2003-03-12,0.08,0.08,0.08,0.08,0,0.8
2003-03-13,0.05,0.05,0.05,0.05,400,0.5
2003-03-14,0.05,0.05,0.05,0.05,0,0.5
2003-03-17,0.05,0.05,0.05,0.05,0,0.5
2003-03-18,0.05,0.05,0.05,0.05,0,0.5
2003-03-19,0.07,0.07,0.07,0.07,500,0.7
2003-03-20,0.07,0.07,0.07,0.07,0,0.7
2003-03-21,0.1,0.1,0.1,0.1,700,1.0
2003-03-24,0.1,0.1,0.1,0.1,0,1.0
2003-03-25,0.08,0.08,0.07,0.08,13000,0.8
2003-03-26,0.08,0.08,0.08,0.08,1000,0.8
2003-03-27,0.1,0.19,0.1,0.19,11600,1.9
2003-03-28,0.24,0.27,0.17,0.2,17300,2.0
2003-03-31,0.18,0.2,0.15,0.16,5200,1.6
2003-04-01,0.16,0.16,0.16,0.16,0,1.6
2003-04-02,0.16,0.16,0.15,0.15,1200,1.5
2003-04-03,0.15,0.15,0.15,0.15,0,1.5
2003-04-04,0.15,0.15,0.15,0.15,0,1.5
2003-04-07,0.15,0.17,0.14,0.14,7500,1.4
2003-04-08,0.15,0.18,0.15,0.18,5200,1.8
2003-04-09,0.21,0.21,0.21,0.21,600,2.1
2003-04-10,0.21,0.21,0.21,0.21,0,2.1
2003-04-11,0.17,0.22,0.17,0.22,1600,2.2
2003-04-14,0.21,0.21,0.2,0.2,900,2.0
2003-04-15,0.18,0.18,0.18,0.18,1000,1.8
2003-04-16,0.23,0.23,0.21,0.23,3100,2.3
2003-04-17,0.23,0.29,0.23,0.24,1400,2.4
2003-04-21,0.27,0.29,0.26,0.29,3000,2.9
2003-04-22,0.29,0.33,0.27,0.3,5500,3.0
2003-04-23,0.27,0.33,0.27,0.3,4400,3.0
2003-04-24,0.3,0.3,0.3,0.3,0,3.0
2003-04-25,0.27,0.33,0.27,0.33,2400,3.3
2003-04-28,0.27,0.29,0.22,0.27,3000,2.7
2003-04-29,0.29,0.29,0.22,0.27,1600,2.7
2003-04-30,0.29,0.29,0.27,0.27,600,2.7
2003-05-01,0.27,0.27,0.27,0.27,0,2.7
2003-05-02,0.28,0.28,0.22,0.27,1700,2.7
2003-05-05,0.26,0.3,0.26,0.3,3400,3.0
2003-05-06,0.3,0.37,0.3,0.33,5100,3.3
2003-05-07,0.33,0.33,0.3,0.3,900,3.0
2003-05-08,0.3,0.3,0.28,0.28,1200,2.8
2003-05-09,0.28,0.37,0.28,0.37,200,3.7
2003-05-12,0.37,0.4,0.3,0.39,1400,3.9
2003-05-13,0.35,0.39,0.31,0.35,1700,3.5
2003-05-14,0.37,0.37,0.35,0.37,3000,3.7
2003-05-15,0.37,0.42,0.37,0.41,3500,4.1
2003-05-16,0.36,0.5,0.36,0.49,6000,4.9
2003-05-19,0.51,0.52,0.49,0.5,2800,5.0
2003-05-20,0.51,0.54,0.46,0.5,4900,5.0
2003-05-21,0.5,0.52,0.5,0.52,1900,5.2
2003-05-22,0.53,0.53,0.48,0.51,2400,5.1
2003-05-23,0.52,0.52,0.42,0.49,7200,4.9
2003-05-27,0.42,0.45,0.42,0.45,300,4.5
2003-05-28,0.4,0.4,0.36,0.36,1400,3.6
2003-05-29,0.35,0.35,0.34,0.35,1500,3.5
2003-05-30,0.35,0.35,0.35,0.35,0,3.5
2003-06-02,0.33,0.33,0.31,0.33,1200,3.3
2003-06-03,0.33,0.33,0.33,0.33,0,3.3
2003-06-04,0.34,0.44,0.33,0.44,5100,4.4
2003-06-05,0.44,0.44,0.44,0.44,0,4.4
2003-06-06,4.4,4.4,4.4,4.4,0,4.4
2003-06-09,4.4,4.4,4.4,4.4,0,4.4
2003-06-10,3.0,3.5,3.0,3.25,2100,3.25
2003-06-11,3.25,3.25,3.25,3.25,0,3.25
2003-06-12,3.6,3.6,3.6,3.6,100,3.6
2003-06-13,3.6,3.6,3.6,3.6,0,3.6
2003-06-16,3.9,3.9,3.5,3.5,800,3.5
2003-06-17,3.5,3.5,3.5,3.5,0,3.5
2003-06-18,2.8,3.7,2.8,3.5,1500,3.5
2003-06-19,3.0,3.0,2.8,2.8,1400,2.8
2003-06-20,3.5,3.5,3.0,3.0,200,3.0
2003-06-23,3.0,3.0,3.0,3.0,0,3.0
2003-06-24,3.0,3.0,3.0,3.0,0,3.0
2003-06-25,3.0,3.0,3.0,3.0,0,3.0
2003-06-26,2.5,3.0,2.5,3.0,1200,3.0
2003-06-27,3.0,3.0,2.8,2.8,200,2.8
2003-06-30,2.8,2.8,2.8,2.8,0,2.8
2003-07-01,2.8,2.8,2.8,2.8,0,2.8
2003-07-02,2.25,3.0,2.25,3.0,600,3.0
2003-07-03,3.0,3.0,3.0,3.0,0,3.0
2003-07-07,2.25,3.0,2.25,2.8,700,2.8
2003-07-08,3.0,3.0,3.0,3.0,500,3.0
2003-07-09,3.0,3.0,3.0,3.0,0,3.0
2003-07-10,3.0,3.0,3.0,3.0,0,3.0
2003-07-11,2.25,2.25,2.25,2.25,200,2.25
2003-07-14,1.75,2.05,1.55,1.7,3700,1.7
2003-07-15,1.4,1.4,0.56,1.24,13000,1.24
2003-07-16,1.24,1.49,1.2,1.49,5700,1.49
2003-07-17,1.49,1.99,1.49,1.99,5500,1.99
2003-07-18,1.99,1.99,1.8,1.8,300,1.8
2003-07-21,1.99,1.99,1.99,1.99,1000,1.99
2003-07-22,1.99,1.99,1.99,1.99,0,1.99
2003-07-23,1.99,1.99,1.99,1.99,0,1.99
2003-07-24,1.99,1.99,1.99,1.99,0,1.99
2003-07-25,1.99,1.99,1.99,1.99,0,1.99
2003-07-28,1.99,1.99,1.99,1.99,0,1.99
2003-07-29,1.75,2.0,1.75,1.9,2000,1.9
2003-07-30,1.9,1.9,1.9,1.9,0,1.9
2003-07-31,1.9,1.9,1.9,1.9,0,1.9
2003-08-01,1.9,1.9,1.9,1.9,0,1.9
2003-08-04,2.0,2.25,1.66,2.25,2000,2.25
2003-08-05,2.25,2.25,2.25,2.25,0,2.25
2003-08-06,2.25,2.25,2.25,2.25,0,2.25
2003-08-07,1.9,1.9,1.9,1.9,900,1.9
2003-08-08,2.0,2.34,2.0,2.25,10000,2.25
2003-08-11,2.25,2.25,2.25,2.25,0,2.25
2003-08-12,2.25,2.29,2.2,2.25,3500,2.25
2003-08-13,2.21,2.5,2.21,2.45,19200,2.45
2003-08-14,2.55,2.55,2.55,2.55,1400,2.55
2003-08-15,2.75,2.75,2.6,2.75,11000,2.75
2003-08-18,2.75,2.9,2.75,2.8,7000,2.8
2003-08-19,2.8,2.8,2.8,2.8,0,2.8
2003-08-20,2.9,2.95,2.85,2.95,10000,2.95
