Date,Open,High,Low,Close,Volume,Adj Close
1993-11-12,8.25,8.75,8.25,8.5,672900,8.5
1993-11-15,8.62,8.88,8.5,8.62,373900,8.62
1993-11-16,8.5,8.75,8.25,8.25,265000,8.25
1993-11-17,8.5,8.75,7.5,7.75,209600,7.75
1993-11-18,7.5,7.5,6.25,6.69,216400,6.69
1993-11-19,6.5,6.75,6.0,6.5,117400,6.5
1993-11-22,6.0,6.5,5.5,5.75,51600,5.75
1993-11-23,6.0,6.62,5.5,6.38,128200,6.38
1993-11-24,6.5,6.5,6.25,6.5,21700,6.5
1993-11-26,6.5,6.5,6.25,6.5,10100,6.5
1993-11-29,6.5,7.0,6.5,6.88,45000,6.88
1993-11-30,6.62,7.0,6.62,6.62,18400,6.62
1993-12-01,6.62,6.75,6.25,6.25,43800,6.25
1993-12-02,6.5,6.5,6.0,6.12,29700,6.12
1993-12-03,6.25,6.25,6.25,6.25,1000,6.25
1993-12-06,6.0,6.38,6.0,6.38,19400,6.38
1993-12-07,6.38,6.38,6.0,6.06,5200,6.06
1993-12-08,6.0,6.06,5.75,5.75,12300,5.75
1993-12-09,5.81,5.88,5.75,5.88,14100,5.88
1993-12-10,6.0,6.0,5.5,5.62,22100,5.62
1993-12-13,5.5,5.62,5.25,5.25,11400,5.25
1993-12-14,5.62,5.62,5.12,5.38,17600,5.38
1993-12-15,5.25,5.38,5.12,5.38,31900,5.38
1993-12-16,5.38,5.38,4.62,4.88,22900,4.88
1993-12-17,4.88,4.88,4.62,4.75,14400,4.75
1993-12-20,4.88,4.88,4.62,4.62,32900,4.62
1993-12-21,4.88,4.88,4.5,4.62,32600,4.62
1993-12-22,4.75,5.0,4.62,5.0,44500,5.0
1993-12-23,4.94,5.38,4.94,5.38,97800,5.38
1993-12-27,5.38,5.38,5.12,5.12,5000,5.12
1993-12-28,5.38,5.38,5.0,5.12,14800,5.12
1993-12-29,5.38,5.38,5.0,5.0,17500,5.0
1993-12-30,5.22,5.22,5.0,5.19,19400,5.19
1993-12-31,5.0,5.19,4.75,4.75,36900,4.75
1994-01-03,5.19,5.19,4.75,5.19,2100,5.19
1994-01-04,5.19,5.19,4.75,4.75,2500,4.75
1994-01-05,5.19,5.19,4.88,5.12,35700,5.12
1994-01-06,5.22,5.25,5.16,5.25,37000,5.25
1994-01-07,5.25,5.25,5.12,5.12,60000,5.12
1994-01-10,5.12,5.12,5.12,5.12,5500,5.12
1994-01-11,5.12,5.12,5.0,5.0,26100,5.0
1994-01-12,5.0,5.25,5.0,5.0,8000,5.0
1994-01-13,5.0,5.12,4.91,4.91,18200,4.91
1994-01-14,4.91,4.91,4.91,4.91,0,4.91
1994-01-17,5.0,5.0,4.75,5.0,7700,5.0
1994-01-18,5.0,5.0,5.0,5.0,0,5.0
1994-01-19,4.62,4.69,4.5,4.62,9700,4.62
1994-01-20,4.62,4.62,4.0,4.0,26300,4.0
1994-01-21,3.94,4.62,3.88,4.5,61700,4.5
1994-01-24,4.5,4.5,4.38,4.5,9500,4.5
1994-01-25,4.5,4.5,4.0,4.0,26700,4.0
1994-01-26,4.0,4.38,4.0,4.12,10600,4.12
1994-01-27,4.0,4.5,4.0,4.25,48300,4.25
1994-01-28,4.5,4.5,4.12,4.12,8000,4.12
1994-01-31,4.19,4.5,4.06,4.25,28900,4.25
1994-02-01,4.12,4.31,4.0,4.31,32100,4.31
1994-02-02,4.12,4.31,4.12,4.19,93800,4.19
1994-02-03,4.31,4.62,4.31,4.62,16800,4.62
1994-02-04,4.62,5.0,4.62,4.88,21900,4.88
1994-02-07,4.75,4.88,4.25,4.25,77200,4.25
1994-02-08,4.5,4.5,4.25,4.5,46500,4.5
1994-02-09,4.5,4.5,4.25,4.5,27800,4.5
1994-02-10,4.5,4.5,4.12,4.25,68100,4.25
1994-02-11,4.25,4.88,4.12,4.88,234800,4.88
1994-02-14,5.0,5.38,5.0,5.25,175300,5.25
1994-02-15,5.38,5.88,5.12,5.75,78100,5.75
1994-02-16,5.88,6.5,5.81,6.0,195500,6.0
1994-02-17,6.25,6.25,5.62,5.75,64900,5.75
1994-02-18,5.88,5.88,5.5,5.75,54300,5.75
1994-02-22,6.0,6.25,5.62,6.25,28300,6.25
1994-02-23,6.25,7.0,6.25,7.0,127600,7.0
1994-02-24,7.0,7.0,6.5,6.62,67600,6.62
1994-02-25,6.88,7.0,6.62,6.88,33500,6.88
1994-02-28,7.0,7.0,6.75,6.75,32500,6.75
1994-03-01,6.75,6.75,6.5,6.75,98500,6.75
1994-03-02,6.5,6.75,6.25,6.5,38700,6.5
1994-03-03,6.62,6.88,6.38,6.62,51500,6.62
1994-03-04,6.62,6.88,6.62,6.75,53600,6.75
1994-03-07,6.88,7.0,6.75,7.0,17100,7.0
1994-03-08,6.88,7.12,6.88,7.0,59700,7.0
1994-03-09,7.12,7.12,6.88,7.0,18400,7.0
1994-03-10,7.12,7.12,6.75,6.75,22000,6.75
1994-03-11,7.0,7.0,6.62,7.0,8300,7.0
1994-03-14,7.0,7.0,6.75,6.88,14300,6.88
1994-03-15,7.0,7.0,6.75,6.75,15500,6.75
1994-03-16,7.0,7.0,6.62,6.75,29500,6.75
1994-03-17,7.0,7.0,7.0,7.0,200,7.0
1994-03-18,6.62,7.12,6.62,7.12,55500,7.12
1994-03-21,7.0,7.62,7.0,7.56,96200,7.56
1994-03-22,7.62,7.62,7.5,7.5,32600,7.5
1994-03-23,7.62,7.62,7.12,7.5,29300,7.5
1994-03-24,7.5,7.5,7.12,7.25,22300,7.25
1994-03-25,7.12,7.5,7.12,7.5,4000,7.5
1994-03-28,7.5,7.5,7.12,7.12,15100,7.12
1994-03-29,7.0,7.5,6.75,6.88,25600,6.88
1994-03-30,6.62,6.88,6.5,6.75,61200,6.75
1994-03-31,6.62,7.0,6.62,7.0,22900,7.0
