Date,Open,High,Low,Close,Volume,Adj Close
2005-09-27,10.5,10.88,10.24,10.75,133100,209.81
2005-09-28,10.75,10.9,10.68,10.75,32500,209.81
2005-09-29,10.8,10.87,10.55,10.6,12800,206.89
2005-09-30,10.6,11.08,10.6,10.83,5400,211.38
2005-10-03,10.83,11.14,10.83,11.07,8300,216.06
2005-10-04,11.05,11.18,11.0,11.11,3000,216.84
2005-10-05,11.17,11.21,11.05,11.21,5600,218.79
2005-10-06,11.15,11.21,11.0,11.1,4700,216.65
2005-10-07,11.35,11.35,11.1,11.25,5700,219.57
2005-10-10,11.27,11.3,11.2,11.29,1300,220.35
2005-10-11,11.29,11.46,11.15,11.37,14100,221.92
2005-10-12,11.38,11.38,11.23,11.25,7000,219.57
2005-10-13,11.2,11.2,11.15,11.15,1700,217.62
2005-10-14,11.15,11.2,11.0,11.16,9800,217.82
2005-10-17,11.2,11.3,11.0,11.19,5900,218.4
2005-10-18,11.19,11.3,11.13,11.23,3400,219.18
2005-10-19,11.25,11.25,11.17,11.2,1900,218.6
2005-10-20,11.23,11.27,11.2,11.25,1500,219.57
2005-10-21,11.3,11.35,11.25,11.27,3700,219.96
2005-10-24,11.25,11.35,11.24,11.35,1400,221.53
2005-10-25,11.34,11.5,11.34,11.45,1500,223.48
2005-10-26,11.41,11.7,11.21,11.55,4400,225.43
2005-10-27,11.7,11.7,11.48,11.5,2200,224.45
2005-10-28,11.5,11.56,11.35,11.44,2300,223.28
2005-10-31,11.46,11.48,11.25,11.33,6900,221.13
2005-11-01,11.25,11.25,11.0,11.17,1800,218.01
2005-11-02,11.15,11.2,11.1,11.2,1200,218.6
2005-11-03,11.2,11.38,11.2,11.37,3800,221.92
2005-11-04,11.4,11.48,11.37,11.43,5600,223.09
2005-11-07,11.45,11.47,11.36,11.4,6300,222.5
2005-11-08,11.65,11.9,11.65,11.8,7700,230.31
2005-11-09,11.95,12.25,11.89,12.1,6600,236.16
2005-11-10,12.2,12.25,11.91,12.02,2200,234.6
2005-11-11,12.01,12.2,11.96,12.15,2800,237.14
2005-11-14,12.2,12.2,11.91,12.01,2000,234.41
2005-11-15,11.99,12.03,11.5,11.51,1800,224.65
2005-11-16,11.51,11.57,11.4,11.52,800,224.84
2005-11-17,11.6,11.61,11.45,11.57,1200,225.82
2005-11-18,11.62,11.62,11.44,11.6,900,226.4
2005-11-21,11.63,11.75,11.4,11.45,3100,223.48
2005-11-22,11.35,11.35,11.16,11.35,1700,221.53
2005-11-23,11.29,11.54,11.29,11.5,2800,224.45
2005-11-25,11.5,11.5,11.47,11.49,1300,224.26
2005-11-28,11.5,11.55,11.37,11.55,1600,225.43
2005-11-29,11.4,11.49,11.4,11.4,4500,224.64
2005-11-30,11.4,11.5,11.35,11.49,2200,226.41
2005-12-01,11.5,11.55,11.49,11.5,3500,226.61
2005-12-02,11.53,11.55,11.5,11.53,1300,227.2
2005-12-05,11.54,11.55,11.35,11.55,2900,227.6
2005-12-06,11.52,11.6,11.5,11.55,800,227.6
2005-12-07,12.15,12.17,11.58,11.93,4100,235.08
2005-12-08,11.93,11.93,11.69,11.7,1700,230.55
2005-12-09,11.73,11.8,11.7,11.71,2900,230.75
2005-12-12,11.75,11.8,11.69,11.79,4700,232.33
2005-12-13,11.88,12.13,11.85,12.1,1900,238.43
2005-12-14,12.14,12.33,12.12,12.25,2000,241.39
2005-12-15,12.35,12.35,12.01,12.14,7900,239.22
2005-12-16,12.07,12.99,12.07,12.65,22900,249.27
2005-12-19,12.73,12.73,11.85,12.12,6400,238.83
2005-12-20,12.08,12.13,12.03,12.11,3900,238.63
2005-12-21,12.05,12.1,12.0,12.03,4400,237.05
2005-12-22,12.03,12.77,12.01,12.77,4900,251.64
2005-12-23,12.77,12.81,12.48,12.48,200,245.92
2005-12-27,12.55,12.65,12.38,12.38,300,243.95
2005-12-28,12.38,12.53,12.38,12.46,100,245.53
2005-12-29,12.47,12.88,12.47,12.72,600,250.65
2005-12-30,12.69,12.69,12.07,12.13,2400,239.03
2006-01-03,12.23,12.55,12.13,12.46,3700,245.53
2006-01-04,12.46,12.55,12.43,12.43,1700,244.94
2006-01-05,12.43,12.43,12.14,12.18,3100,240.01
2006-01-06,12.17,12.25,12.09,12.15,4400,239.42
2006-01-09,12.15,13.1,12.1,12.59,2900,248.09
2006-01-10,12.56,12.98,12.47,12.82,1500,252.62
2006-01-11,12.82,12.85,12.57,12.85,2000,253.21
2006-01-12,12.85,12.85,12.5,12.58,2300,247.89
2006-01-13,12.6,12.6,12.15,12.23,3400,241.0
2006-01-17,12.23,12.25,12.15,12.25,2000,241.39
2006-01-18,12.25,12.37,12.2,12.37,1400,243.75
2006-01-19,12.4,12.4,12.22,12.25,400,241.39
2006-01-20,12.35,12.35,12.12,12.22,4600,240.8
2006-01-23,12.25,12.62,12.25,12.59,900,248.09
2006-01-24,12.55,12.85,12.41,12.8,500,252.23
2006-01-25,12.9,12.95,12.65,12.65,500,249.27
2006-01-26,12.75,12.85,12.66,12.84,700,253.02
2006-01-27,12.78,13.05,12.78,13.0,400,256.17
2006-01-30,13.05,13.06,12.8,12.81,300,252.42
2006-01-31,12.85,12.85,12.5,12.55,400,247.3
2006-02-01,12.55,12.63,12.35,12.57,1600,247.7
2006-02-02,12.57,12.6,12.44,12.52,1200,246.71
2006-02-03,12.8,12.81,12.49,12.49,1800,246.12
2006-02-06,12.45,12.62,12.27,12.62,1000,248.68
2006-02-07,12.63,12.63,12.47,12.47,200,245.72
2006-02-08,12.47,12.59,12.46,12.5,600,246.32
2006-02-09,12.5,12.5,12.4,12.4,800,244.35
2006-02-10,12.4,12.53,12.35,12.49,1100,246.12
2006-02-13,12.45,12.5,12.37,12.37,600,243.75
2006-02-14,12.39,12.41,12.15,12.3,2700,242.38
2006-02-15,12.27,12.55,12.27,12.55,700,247.3
2006-02-16,12.6,12.77,12.4,12.77,800,251.64
