Date,Open,High,Low,Close,Volume,Adj Close
2013-01-14,9.0,9.0,9.0,9.0,100,36.0
2013-01-15,9.0,9.0,3.0,8.0,100,32.0
2013-01-16,8.0,8.0,8.0,8.0,0,32.0
2013-01-17,2.5,6.49,2.5,6.48,300,25.92
2013-01-18,6.48,6.48,6.48,6.48,0,25.92
2013-01-22,6.0,6.5,6.0,6.5,400,26.0
2013-01-23,6.0,6.0,5.0,5.0,100,20.0
2013-01-24,3.4,4.0,3.4,4.0,100,16.0
2013-01-25,4.0,4.0,3.5,3.5,1400,14.0
2013-01-28,3.5,3.5,3.5,3.5,100,14.0
2013-01-29,3.5,3.5,3.5,3.5,0,14.0
2013-01-30,3.35,3.35,2.75,2.98,900,11.92
2013-01-31,2.8,2.8,2.65,2.65,900,10.6
2013-02-01,2.7,2.99,2.7,2.99,1100,11.96
2013-02-04,2.99,3.1,2.99,3.1,400,12.4
2013-02-05,3.15,3.15,3.1,3.1,300,12.4
2013-02-06,2.88,2.88,2.88,2.88,1200,11.52
2013-02-07,2.88,2.88,2.88,2.88,0,11.52
2013-02-08,2.89,3.25,2.89,3.25,1600,13.0
2013-02-11,3.33,3.4,3.33,3.4,800,13.6
2013-02-12,3.4,3.4,3.4,3.4,600,13.6
2013-02-13,3.4,3.4,3.35,3.35,300,13.4
2013-02-14,3.35,3.37,3.25,3.25,2000,13.0
2013-02-15,3.38,3.38,3.38,3.38,0,13.52
2013-02-19,3.35,3.35,3.25,3.25,200,13.0
2013-02-20,3.25,3.25,3.15,3.2,2400,12.8
2013-02-21,3.2,3.4,3.15,3.4,3100,13.6
2013-02-22,3.2,3.2,3.2,3.2,0,12.8
2013-02-25,3.15,3.2,3.15,3.2,400,12.8
2013-02-26,3.2,3.2,3.15,3.15,1200,12.6
2013-02-27,3.25,3.45,3.15,3.45,1900,13.8
2013-02-28,3.59,3.59,3.35,3.4,1300,13.6
2013-03-01,3.4,3.4,3.4,3.4,0,13.6
2013-03-04,3.4,3.4,3.35,3.35,300,13.4
2013-03-05,3.35,3.35,3.35,3.35,300,13.4
