Date,Open,High,Low,Close,Volume,Adj Close
2012-08-03,0.39,0.39,0.39,0.39,0,0.39
2012-08-06,0.39,0.39,0.39,0.39,0,0.39
2012-08-07,0.39,0.39,0.39,0.39,0,0.39
2012-08-08,0.39,0.39,0.39,0.39,0,0.39
2012-08-09,0.38,0.38,0.38,0.38,20000,0.38
2012-08-10,0.38,0.38,0.38,0.38,0,0.38
2012-08-13,0.38,0.38,0.38,0.38,0,0.38
2012-08-14,0.38,0.38,0.38,0.38,0,0.38
2012-08-15,0.38,0.38,0.38,0.38,0,0.38
2012-08-16,0.38,0.38,0.38,0.38,0,0.38
2012-08-17,0.35,0.35,0.34,0.34,40000,0.34
2012-08-20,0.34,0.34,0.34,0.34,0,0.34
2012-08-21,0.36,0.36,0.36,0.36,7000,0.36
2012-08-22,0.36,0.36,0.36,0.36,0,0.36
2012-08-23,0.36,0.36,0.36,0.36,0,0.36
2012-08-24,0.37,0.37,0.37,0.37,4000,0.37
2012-08-27,0.37,0.37,0.37,0.37,0,0.37
2012-08-28,0.37,0.37,0.37,0.37,0,0.37
2012-08-29,0.37,0.37,0.37,0.37,0,0.37
2012-08-30,0.37,0.37,0.37,0.37,0,0.37
2012-08-31,0.37,0.37,0.37,0.37,0,0.37
2012-09-04,0.37,0.37,0.37,0.37,0,0.37
2012-09-05,0.37,0.37,0.37,0.37,0,0.37
2012-09-06,0.42,0.42,0.42,0.42,4000,0.42
2012-09-07,0.42,0.42,0.42,0.42,0,0.42
2012-09-10,0.42,0.42,0.42,0.42,0,0.42
2012-09-11,0.48,0.48,0.48,0.48,3000,0.48
2012-09-12,0.46,0.46,0.46,0.46,10000,0.46
2012-09-13,0.46,0.47,0.46,0.47,15000,0.47
2012-09-14,0.51,0.51,0.51,0.51,2000,0.51
2012-09-17,0.51,0.51,0.51,0.51,0,0.51
2012-09-18,0.51,0.51,0.51,0.51,0,0.51
2012-09-19,0.56,0.57,0.56,0.57,10000,0.57
2012-09-20,0.56,0.56,0.56,0.56,1000,0.56
2012-09-21,0.58,0.58,0.58,0.58,300,0.58
2012-09-24,0.58,0.58,0.58,0.58,0,0.58
2012-09-25,0.52,0.52,0.52,0.52,1000,0.52
2012-09-26,0.52,0.52,0.52,0.52,0,0.52
2012-09-27,0.5,0.5,0.5,0.5,2800,0.5
2012-09-28,0.5,0.5,0.5,0.5,0,0.5
2012-10-01,0.5,0.5,0.5,0.5,0,0.5
2012-10-02,0.5,0.5,0.5,0.5,0,0.5
2012-10-03,0.5,0.5,0.5,0.5,0,0.5
2012-10-04,0.5,0.5,0.5,0.5,0,0.5
2012-10-05,0.61,0.61,0.61,0.61,500,0.61
2012-10-08,0.61,0.61,0.61,0.61,0,0.61
2012-10-09,0.61,0.61,0.61,0.61,0,0.61
2012-10-10,0.61,0.61,0.61,0.61,0,0.61
2012-10-11,0.61,0.61,0.61,0.61,0,0.61
2012-10-12,0.61,0.61,0.61,0.61,0,0.61
2012-10-15,0.61,0.61,0.61,0.61,0,0.61
2012-10-16,0.61,0.61,0.61,0.61,0,0.61
2012-10-17,0.61,0.61,0.61,0.61,0,0.61
2012-10-18,0.61,0.61,0.61,0.61,0,0.61
2012-10-19,0.61,0.61,0.61,0.61,0,0.61
2012-10-22,0.61,0.61,0.61,0.61,0,0.61
2012-10-23,0.61,0.61,0.61,0.61,0,0.61
2012-10-24,0.61,0.61,0.61,0.61,0,0.61
2012-10-25,0.61,0.61,0.61,0.61,0,0.61
2012-10-26,0.61,0.61,0.61,0.61,0,0.61
2012-10-31,0.61,0.61,0.61,0.61,0,0.61
2012-11-01,0.61,0.61,0.61,0.61,0,0.61
2012-11-02,0.61,0.61,0.61,0.61,0,0.61
2012-11-05,0.61,0.61,0.61,0.61,0,0.61
2012-11-06,0.61,0.61,0.61,0.61,0,0.61
2012-11-07,0.61,0.61,0.61,0.61,0,0.61
2012-11-08,0.61,0.61,0.61,0.61,0,0.61
2012-11-09,0.61,0.61,0.61,0.61,0,0.61
2012-11-12,0.61,0.61,0.61,0.61,0,0.61
2012-11-13,0.69,0.69,0.68,0.68,55000,0.68
2012-11-14,0.7,0.71,0.7,0.71,10000,0.71
2012-11-15,0.71,0.71,0.71,0.71,0,0.71
2012-11-16,0.68,0.69,0.68,0.69,89500,0.69
2012-11-19,0.7,0.7,0.7,0.7,31000,0.7
2012-11-20,0.7,0.7,0.7,0.7,22000,0.7
2012-11-21,0.7,0.7,0.7,0.7,0,0.7
2012-11-23,0.7,0.7,0.7,0.7,0,0.7
2012-11-26,0.7,0.7,0.7,0.7,0,0.7
2012-11-27,0.7,0.7,0.7,0.7,0,0.7
2012-11-28,0.7,0.7,0.7,0.7,0,0.7
2012-11-29,0.7,0.7,0.7,0.7,0,0.7
2012-11-30,0.7,0.7,0.7,0.7,0,0.7
2012-12-03,0.7,0.7,0.7,0.7,0,0.7
2012-12-04,0.7,0.7,0.7,0.7,0,0.7
2012-12-05,0.7,0.7,0.7,0.7,0,0.7
2012-12-06,0.7,0.7,0.7,0.7,0,0.7
2012-12-07,0.7,0.7,0.7,0.7,0,0.7
2012-12-10,0.7,0.7,0.7,0.7,0,0.7
2012-12-11,0.7,0.7,0.7,0.7,0,0.7
2012-12-12,0.7,0.7,0.7,0.7,0,0.7
2012-12-13,0.69,0.69,0.69,0.69,38000,0.69
2012-12-14,0.69,0.69,0.69,0.69,0,0.69
2012-12-17,0.69,0.71,0.69,0.7,160500,0.7
2012-12-18,0.7,0.7,0.7,0.7,50000,0.7
2012-12-19,0.7,0.7,0.7,0.7,0,0.7
2012-12-20,0.7,0.7,0.7,0.7,0,0.7
2012-12-21,0.72,0.72,0.72,0.72,500,0.72
2012-12-24,0.72,0.72,0.72,0.72,0,0.72
2012-12-26,0.72,0.72,0.72,0.72,0,0.72
2012-12-27,0.87,0.87,0.87,0.87,3700,0.87
2012-12-28,0.84,0.85,0.84,0.85,10000,0.85
2012-12-31,0.82,0.82,0.82,0.82,2000,0.82
2013-01-02,0.82,0.82,0.82,0.82,0,0.82
2013-01-03,0.82,0.82,0.82,0.82,0,0.82
2013-01-04,0.81,0.81,0.76,0.76,5800,0.76
2013-01-07,0.76,0.76,0.76,0.76,0,0.76
2013-01-08,0.76,0.76,0.76,0.76,0,0.76
