Date,Open,High,Low,Close,Volume,Adj Close
2007-12-28,7.2,7.2,7.2,7.2,0,7.2
2007-12-31,7.2,7.2,7.2,7.2,0,7.2
2008-01-02,7.1,7.1,7.1,7.1,1500,7.1
2008-01-03,7.1,7.1,7.1,7.1,0,7.1
2008-01-04,7.14,7.14,7.14,7.14,3000,7.14
2008-01-07,7.14,7.14,7.14,7.14,0,7.14
2008-01-08,7.14,7.15,7.14,7.14,141000,7.14
2008-01-09,7.14,7.14,7.14,7.14,11500,7.14
2008-01-10,7.2,7.2,7.15,7.16,16000,7.16
2008-01-11,7.17,7.17,7.17,7.17,103700,7.17
2008-01-14,7.2,7.2,7.15,7.15,3000,7.15
2008-01-15,7.15,7.15,7.15,7.15,0,7.15
2008-01-16,7.16,7.18,7.15,7.17,79300,7.17
2008-01-17,7.17,7.17,7.16,7.16,104000,7.16
2008-01-18,7.17,7.17,7.16,7.16,104000,7.16
2008-01-22,7.15,7.15,7.15,7.15,102200,7.15
2008-01-23,7.15,7.16,7.15,7.16,389800,7.16
2008-01-24,7.16,7.16,7.16,7.16,0,7.16
2008-01-25,7.15,7.15,7.14,7.14,105000,7.14
2008-01-28,7.14,7.17,7.14,7.15,26600,7.15
2008-01-29,7.15,7.15,7.15,7.15,0,7.15
2008-01-30,7.15,7.15,7.15,7.15,0,7.15
2008-01-31,7.16,7.16,7.16,7.16,75000,7.16
2008-02-01,7.16,7.16,7.16,7.16,0,7.16
2008-02-04,7.16,7.16,7.16,7.16,0,7.16
2008-02-05,7.17,7.17,7.15,7.15,335200,7.15
2008-02-06,7.15,7.15,7.15,7.15,186500,7.15
2008-02-07,7.15,7.15,7.15,7.15,0,7.15
2008-02-08,7.15,7.15,7.15,7.15,0,7.15
2008-02-11,7.15,7.15,7.15,7.15,0,7.15
2008-02-12,7.17,7.18,7.17,7.18,91700,7.18
2008-02-13,7.25,7.25,7.17,7.19,206000,7.19
2008-02-14,7.17,7.18,7.17,7.18,89500,7.18
2008-02-15,7.24,7.24,7.13,7.18,464700,7.18
2008-02-19,7.18,7.18,7.18,7.18,0,7.18
2008-02-20,7.15,7.15,7.15,7.15,100,7.15
2008-02-21,7.15,7.15,7.15,7.15,104500,7.15
2008-02-22,7.15,7.15,7.15,7.15,0,7.15
2008-02-25,7.15,7.15,7.15,7.15,0,7.15
2008-02-26,7.15,7.15,7.15,7.15,0,7.15
2008-02-27,7.15,7.15,7.15,7.15,2500,7.15
2008-02-28,7.15,7.15,7.15,7.15,0,7.15
2008-02-29,7.15,7.15,7.15,7.15,0,7.15
2008-03-03,7.15,7.15,7.15,7.15,0,7.15
2008-03-04,7.15,7.15,7.15,7.15,0,7.15
2008-03-05,7.15,7.15,7.12,7.12,60000,7.12
2008-03-06,7.15,7.17,7.15,7.16,100700,7.16
2008-03-07,7.13,7.13,7.1,7.1,100000,7.1
2008-03-10,7.1,7.11,7.1,7.1,62100,7.1
2008-03-11,7.1,7.1,7.1,7.1,100000,7.1
2008-03-12,7.1,7.1,7.1,7.1,0,7.1
2008-03-13,7.1,7.1,7.1,7.1,0,7.1
2008-03-14,7.11,7.11,7.1,7.1,2900,7.1
2008-03-17,7.11,7.11,7.1,7.11,79300,7.11
2008-03-18,7.11,7.11,7.11,7.11,0,7.11
2008-03-19,7.11,7.11,7.11,7.11,0,7.11
2008-03-20,7.11,7.11,7.11,7.11,0,7.11
2008-03-24,7.11,7.11,7.11,7.11,200,7.11
2008-03-25,7.12,7.16,7.12,7.15,6300,7.15
2008-03-26,7.15,7.15,7.15,7.15,15400,7.15
2008-03-27,7.15,7.15,7.15,7.15,10000,7.15
2008-03-28,7.1,7.1,7.1,7.1,100000,7.1
2008-03-31,7.15,7.15,7.1,7.15,104100,7.15
2008-04-01,7.1,7.15,7.1,7.12,96100,7.12
2008-04-02,7.12,7.12,7.12,7.12,0,7.12
2008-04-03,7.13,7.13,7.11,7.11,40000,7.11
2008-04-04,7.12,7.12,7.11,7.11,17100,7.11
2008-04-07,7.15,7.15,7.15,7.15,12500,7.15
2008-04-08,7.15,7.15,7.15,7.15,0,7.15
2008-04-09,7.15,7.15,7.15,7.15,0,7.15
2008-04-10,7.12,7.12,7.12,7.12,34500,7.12
2008-04-11,7.13,7.13,7.13,7.13,500,7.13
2008-04-14,7.13,7.13,7.13,7.13,0,7.13
2008-04-15,7.13,7.13,7.13,7.13,0,7.13
2008-04-16,7.13,7.13,7.13,7.13,0,7.13
2008-04-17,7.13,7.13,7.13,7.13,0,7.13
2008-04-18,7.16,7.16,7.15,7.15,4000,7.15
2008-04-21,7.15,7.15,7.15,7.15,40000,7.15
2008-04-22,7.15,7.18,7.15,7.18,8300,7.18
2008-04-23,7.18,7.18,7.16,7.17,1400,7.17
2008-04-24,7.18,7.2,7.17,7.17,8400,7.17
2008-04-25,7.27,7.27,7.17,7.17,40200,7.17
2008-04-28,7.2,7.2,7.19,7.19,19900,7.19
2008-04-29,7.19,7.19,7.19,7.19,0,7.19
2008-04-30,7.19,7.19,7.19,7.19,0,7.19
2008-05-01,7.21,7.21,7.2,7.2,80300,7.2
2008-05-02,7.2,7.2,7.2,7.2,0,7.2
2008-05-05,7.15,7.15,7.15,7.15,177000,7.15
2008-05-06,7.15,7.15,7.15,7.15,0,7.15
2008-05-07,7.15,7.15,7.15,7.15,0,7.15
2008-05-08,7.15,7.15,7.15,7.15,0,7.15
2008-05-09,7.15,7.15,7.15,7.15,0,7.15
2008-05-12,7.15,7.15,7.15,7.15,0,7.15
2008-05-13,7.12,7.24,7.12,7.24,2000,7.24
2008-05-14,7.12,7.24,7.12,7.24,1000,7.24
2008-05-15,7.24,7.24,7.24,7.24,0,7.24
2008-05-16,7.14,7.14,7.14,7.14,225000,7.14
