Date,Open,High,Low,Close,Volume,Adj Close
1999-11-19,11.0,13.0,9.75,10.38,367500,10.38
1999-11-22,10.0,10.5,9.75,9.88,213500,9.88
1999-11-23,10.0,10.0,9.62,9.81,42700,9.81
1999-11-24,9.88,10.5,9.62,10.0,102800,10.0
1999-11-26,10.0,10.75,10.0,10.75,21700,10.75
1999-11-29,10.75,10.81,10.12,10.19,35700,10.19
1999-11-30,10.38,10.38,9.62,9.62,28500,9.62
1999-12-01,9.69,10.0,9.5,9.81,63300,9.81
1999-12-02,9.94,10.38,9.5,10.12,50100,10.12
1999-12-03,10.25,10.5,9.94,10.12,36500,10.12
1999-12-06,10.12,10.12,9.75,9.94,16600,9.94
1999-12-07,9.88,10.0,9.81,10.0,21900,10.0
1999-12-08,9.75,9.94,9.62,9.75,26000,9.75
1999-12-09,9.88,10.12,9.0,9.38,41300,9.38
1999-12-10,9.31,10.25,9.19,10.25,41300,10.25
1999-12-13,10.25,12.0,10.12,11.62,132900,11.62
1999-12-14,11.5,13.5,11.5,12.5,131700,12.5
1999-12-15,12.62,13.25,12.5,12.88,52500,12.88
1999-12-16,13.0,13.0,12.0,13.0,44700,13.0
1999-12-17,13.0,13.19,12.38,12.5,79400,12.5
1999-12-20,12.62,12.62,12.0,12.19,10600,12.19
1999-12-21,12.0,12.12,11.5,11.5,14000,11.5
1999-12-22,11.25,11.5,11.12,11.25,7500,11.25
1999-12-23,11.25,11.25,10.88,11.25,16500,11.25
1999-12-27,11.12,11.12,10.75,10.81,9700,10.81
1999-12-28,10.56,10.88,10.25,10.62,8900,10.62
1999-12-29,10.62,10.75,10.5,10.62,6100,10.62
1999-12-30,10.62,10.62,10.25,10.5,13700,10.5
1999-12-31,10.5,11.12,10.5,11.12,10400,11.12
2000-01-03,11.12,11.12,10.38,10.38,10700,10.38
2000-01-04,10.5,10.5,10.25,10.25,2800,10.25
2000-01-05,10.0,10.12,10.0,10.12,700,10.12
2000-01-06,10.0,10.38,9.75,10.38,6800,10.38
2000-01-07,10.38,10.88,10.25,10.62,7100,10.62
2000-01-10,10.75,12.25,10.75,11.88,77400,11.88
2000-01-11,11.75,12.12,11.75,11.88,66300,11.88
2000-01-12,11.75,11.81,11.5,11.5,10600,11.5
2000-01-13,11.5,11.5,11.12,11.12,5600,11.12
2000-01-14,11.0,11.0,10.62,10.62,12000,10.62
2000-01-18,10.62,10.88,10.38,10.38,21900,10.38
2000-01-19,10.5,10.62,10.38,10.62,23600,10.62
2000-01-20,10.5,10.88,10.5,10.88,14900,10.88
2000-01-21,10.62,11.0,10.5,11.0,17600,11.0
2000-01-24,11.38,12.19,11.12,12.19,56700,12.19
2000-01-25,12.19,13.0,12.19,12.5,61200,12.5
2000-01-26,12.5,13.75,12.5,13.12,72100,13.12
2000-01-27,13.25,13.25,12.25,12.25,25900,12.25
2000-01-28,12.0,12.0,11.12,11.12,8500,11.12
2000-01-31,11.0,11.0,10.5,10.5,11100,10.5
2000-02-01,10.5,10.5,10.12,10.12,9700,10.12
2000-02-02,10.25,10.56,10.25,10.25,11600,10.25
2000-02-03,10.62,11.0,10.62,10.62,5000,10.62
2000-02-04,11.12,11.25,10.75,11.0,10300,11.0
2000-02-07,11.0,11.0,10.75,10.75,6700,10.75
2000-02-08,10.75,10.88,10.75,10.88,2300,10.88
2000-02-09,10.88,10.88,10.5,10.5,5700,10.5
2000-02-10,10.62,10.88,10.5,10.62,4600,10.62
2000-02-11,10.88,10.88,10.62,10.75,10300,10.75
2000-02-14,10.88,11.0,10.62,10.75,16700,10.75
2000-02-15,10.62,11.38,10.38,11.12,10300,11.12
2000-02-16,11.12,11.31,11.0,11.0,9000,11.0
2000-02-17,11.0,12.75,11.0,12.38,19100,12.38
2000-02-18,13.0,13.0,11.88,12.0,19000,12.0
2000-02-22,11.62,11.88,11.62,11.75,5900,11.75
2000-02-23,12.0,12.25,11.75,11.81,23100,11.81
2000-02-24,11.81,12.0,11.5,11.5,7800,11.5
2000-02-25,11.69,11.94,11.0,11.25,13600,11.25
2000-02-28,11.5,12.0,11.12,11.12,12300,11.12
2000-02-29,11.0,11.25,10.88,11.25,11700,11.25
2000-03-01,11.06,11.31,11.0,11.12,11800,11.12
2000-03-02,11.06,11.12,10.75,11.0,11600,11.0
2000-03-03,11.25,11.5,11.12,11.25,7100,11.25
2000-03-06,11.0,11.25,10.5,10.62,13600,10.62
2000-03-07,11.0,11.0,10.62,10.62,8000,10.62
2000-03-08,11.0,11.62,10.88,11.62,9000,11.62
2000-03-09,11.75,12.25,11.5,12.0,46500,12.0
2000-03-10,12.0,12.25,12.0,12.0,7900,12.0
2000-03-13,11.88,12.12,11.62,12.12,6500,12.12
2000-03-14,11.88,13.0,11.88,12.12,25300,12.12
2000-03-15,12.25,12.62,11.88,12.0,32000,12.0
2000-03-16,12.0,12.0,11.88,12.0,21500,12.0
2000-03-17,12.12,12.12,11.88,11.88,3800,11.88
2000-03-20,11.88,12.5,11.88,12.5,23100,12.5
2000-03-21,12.25,12.25,12.0,12.0,3800,12.0
2000-03-22,12.25,12.38,11.75,11.88,27400,11.88
2000-03-23,12.0,12.0,11.5,11.5,12500,11.5
2000-03-24,11.88,11.88,11.0,11.12,20100,11.12
2000-03-27,10.75,11.12,10.75,11.0,22000,11.0
2000-03-28,11.25,11.88,11.25,11.75,23400,11.75
2000-03-29,11.75,11.75,10.44,10.62,26400,10.62
2000-03-30,10.62,10.62,9.62,9.62,19400,9.62
2000-03-31,9.88,9.88,9.38,9.38,6700,9.38
2000-04-03,9.75,9.75,9.38,9.38,7800,9.38
2000-04-04,9.25,9.25,8.25,9.12,8500,9.12
2000-04-05,9.12,9.25,8.88,9.12,15100,9.12
2000-04-06,9.25,9.25,8.75,9.0,24700,9.0
2000-04-07,9.25,9.88,9.0,9.88,23300,9.88
2000-04-10,9.75,10.0,9.75,10.0,8300,10.0
2000-04-11,10.5,10.5,10.0,10.25,12600,10.25
2000-04-12,10.25,10.25,9.0,9.19,26300,9.19
2000-04-13,9.0,9.0,8.38,8.38,14100,8.38
2000-04-14,8.25,8.25,7.62,8.0,29000,8.0
2000-04-17,7.62,7.75,6.38,6.75,13700,6.75
2000-04-18,6.5,6.5,5.88,6.38,37400,6.38
2000-04-19,6.5,7.88,6.38,7.75,33700,7.75
2000-04-20,7.88,7.94,7.0,7.19,9000,7.19
2000-04-24,7.31,7.5,6.94,7.38,17000,7.38
2000-04-25,8.25,8.25,7.88,8.0,29600,8.0
2000-04-26,8.0,8.88,8.0,8.12,13700,8.12
2000-04-27,8.38,8.62,8.38,8.38,12200,8.38
2000-04-28,8.5,8.62,8.12,8.38,9200,8.38
2000-05-01,8.38,8.38,8.12,8.25,12900,8.25
2000-05-02,8.31,8.5,8.12,8.38,8600,8.38
2000-05-03,8.44,8.44,8.19,8.19,4900,8.19
2000-05-04,8.25,8.5,8.0,8.0,11200,8.0
2000-05-05,8.12,8.25,7.88,8.25,1900,8.25
2000-05-08,8.12,8.25,8.0,8.0,4900,8.0
2000-05-09,8.12,8.12,7.75,7.88,2100,7.88
2000-05-10,7.62,7.81,7.38,7.44,4300,7.44
2000-05-11,7.38,7.38,7.0,7.12,3600,7.12
2000-05-12,7.12,7.12,6.75,7.0,10100,7.0
2000-05-15,7.12,10.0,7.12,8.88,53500,8.88
2000-05-16,9.0,9.88,9.0,9.38,40500,9.38
2000-05-17,9.25,11.88,9.06,11.0,87000,11.0
2000-05-18,11.0,11.12,10.25,10.5,44600,10.5
2000-05-19,10.0,11.12,9.5,10.5,52700,10.5
2000-05-22,10.88,10.88,9.25,10.0,42300,10.0
2000-05-23,9.81,9.81,8.62,8.75,29700,8.75
2000-05-24,8.69,8.88,8.5,8.5,8700,8.5
2000-05-25,8.25,8.5,7.62,7.62,11200,7.62
2000-05-26,7.38,7.5,7.38,7.5,2100,7.5
2000-05-30,7.56,7.69,7.38,7.69,8500,7.69
2000-05-31,7.81,8.06,7.75,7.94,8200,7.94
2000-06-01,8.0,8.44,8.0,8.25,11600,8.25
2000-06-02,8.5,8.5,8.25,8.25,3500,8.25
2000-06-05,8.38,8.5,7.75,7.75,5100,7.75
2000-06-06,7.88,8.0,7.62,7.62,2300,7.62
2000-06-07,7.75,7.75,7.62,7.62,4500,7.62
2000-06-08,7.75,7.88,7.5,7.88,12500,7.88
2000-06-09,8.0,9.0,8.0,8.62,10900,8.62
2000-06-12,9.0,9.0,8.25,8.5,13500,8.5
2000-06-13,8.25,8.38,7.75,8.12,15200,8.12
2000-06-14,8.12,8.12,7.88,8.12,1600,8.12
2000-06-15,8.0,8.0,7.81,7.88,11500,7.88
2000-06-16,7.88,7.94,7.75,7.94,8600,7.94
2000-06-19,7.81,7.94,7.81,7.94,2000,7.94
2000-06-20,8.0,8.44,8.0,8.25,10000,8.25
2000-06-21,8.31,8.5,8.25,8.5,4500,8.5
2000-06-22,8.5,8.81,8.25,8.75,13000,8.75
2000-06-23,9.0,9.12,8.25,8.5,22000,8.5
2000-06-26,8.62,8.62,8.25,8.38,13300,8.38
2000-06-27,8.25,8.38,8.0,8.25,6700,8.25
2000-06-28,8.0,8.19,8.0,8.19,2900,8.19
2000-06-29,8.19,8.19,8.0,8.19,6300,8.19
2000-06-30,8.0,8.25,7.88,7.88,4200,7.88
2000-07-03,7.75,8.0,7.75,8.0,8600,8.0
2000-07-05,8.0,8.0,8.0,8.0,1000,8.0
2000-07-06,8.12,8.38,8.12,8.19,12400,8.19
2000-07-07,8.31,8.38,8.12,8.25,24900,8.25
2000-07-10,8.31,8.5,8.31,8.5,6700,8.5
2000-07-11,8.62,9.0,8.44,8.75,42600,8.75
2000-07-12,9.0,9.62,9.0,9.62,20700,9.62
2000-07-13,9.75,10.12,8.62,8.75,55200,8.75
2000-07-14,8.88,9.25,8.75,8.88,10400,8.88
2000-07-17,8.75,9.0,8.38,8.5,12400,8.5
2000-07-18,8.25,8.62,8.25,8.5,12300,8.5
2000-07-19,8.75,8.88,8.38,8.62,10600,8.62
2000-07-20,8.5,8.5,8.25,8.44,10800,8.44
2000-07-21,8.31,8.44,8.31,8.44,4900,8.44
2000-07-24,8.38,8.38,7.62,7.62,12500,7.62
2000-07-25,7.88,7.88,7.5,7.62,4000,7.62
2000-07-26,7.5,7.62,6.62,7.62,19900,7.62
2000-07-27,7.5,7.5,7.0,7.12,8400,7.12
2000-07-28,7.0,7.38,6.88,7.0,5300,7.0
2000-07-31,6.88,7.0,6.75,7.0,6200,7.0
2000-08-01,6.88,7.0,6.62,6.62,8600,6.62
2000-08-02,6.88,7.31,6.88,7.19,19000,7.19
2000-08-03,7.06,7.31,6.88,6.97,11000,6.97
2000-08-04,7.12,8.25,7.12,8.0,22100,8.0
2000-08-07,8.12,8.38,8.0,8.25,14200,8.25
2000-08-08,8.25,8.38,8.0,8.25,11200,8.25
2000-08-09,8.25,8.38,8.0,8.25,7900,8.25
2000-08-10,8.19,8.44,8.12,8.25,9400,8.25
2000-08-11,8.38,9.62,8.38,9.62,21600,9.62
2000-08-14,9.75,9.75,9.25,9.25,29200,9.25
2000-08-15,9.5,9.75,9.12,9.75,23200,9.75
2000-08-16,10.0,10.62,9.88,10.5,39800,10.5
2000-08-17,10.5,10.81,10.25,10.81,41300,10.81
2000-08-18,11.0,12.62,11.0,12.0,108400,12.0
2000-08-21,12.0,12.19,11.5,12.0,36500,12.0
2000-08-22,11.88,11.88,11.5,11.75,13100,11.75
2000-08-23,11.38,11.5,10.81,11.0,33900,11.0
2000-08-24,11.12,11.12,10.38,10.88,18200,10.88
2000-08-25,11.12,11.12,10.56,11.0,13600,11.0
2000-08-28,11.25,11.44,10.94,11.0,48400,11.0
2000-08-29,11.0,11.0,10.5,10.88,57100,10.88
2000-08-30,10.81,11.06,10.81,10.88,18200,10.88
2000-08-31,10.81,10.88,10.5,10.62,11500,10.62
2000-09-01,10.69,10.94,10.56,10.75,4300,10.75
2000-09-05,10.88,11.12,10.75,10.81,10600,10.81
2000-09-06,10.75,10.88,9.88,9.88,18100,9.88
2000-09-07,10.0,10.62,9.81,10.25,88100,10.25
2000-09-08,10.38,10.44,9.75,10.06,31500,10.06
