Date,Open,High,Low,Close,Volume,Adj Close
2004-05-06,11.06,11.08,10.95,11.03,2800,56.57
2004-05-07,11.0,11.0,10.75,10.8,1600,55.39
2004-05-10,10.8,10.8,10.45,10.54,10200,54.06
2004-05-11,10.5,10.5,10.15,10.25,2900,52.57
2004-05-12,10.24,10.25,10.1,10.23,10000,52.47
2004-05-13,10.2,10.24,10.1,10.1,4000,51.8
2004-05-14,10.1,10.14,9.9,9.99,6600,51.23
2004-05-17,10.0,10.15,9.9,9.99,1800,51.23
2004-05-18,10.0,10.0,9.9,9.94,3000,50.98
2004-05-19,9.9,10.05,9.9,9.98,1700,51.18
2004-05-20,9.98,10.0,9.95,9.95,300,51.03
2004-05-21,9.94,10.0,9.9,9.9,700,50.77
2004-05-24,9.94,9.94,9.89,9.9,700,50.77
2004-05-25,10.0,10.25,10.0,10.25,4900,52.57
2004-05-26,10.27,10.5,10.25,10.45,4100,53.59
2004-05-27,10.46,10.46,10.21,10.3,900,52.82
2004-05-28,10.35,10.43,10.3,10.43,400,53.49
2004-06-01,10.44,10.44,10.4,10.4,800,53.34
2004-06-02,10.36,10.41,10.35,10.4,200,53.34
2004-06-03,10.35,10.43,10.35,10.41,33200,53.39
2004-06-04,10.42,10.45,10.4,10.43,900,53.49
2004-06-07,10.44,10.45,10.43,10.45,1000,53.59
2004-06-08,10.47,10.48,10.45,10.48,600,53.75
2004-06-09,10.49,10.52,10.48,10.5,500,53.85
2004-06-10,10.51,10.51,10.45,10.46,2400,53.64
2004-06-14,10.49,10.5,10.45,10.5,500,53.85
2004-06-15,10.48,10.48,10.4,10.45,1300,53.59
2004-06-16,10.45,10.49,10.41,10.48,400,53.75
2004-06-17,10.45,10.5,10.4,10.4,1300,53.34
2004-06-18,10.4,10.42,10.39,10.4,100,53.34
2004-06-21,10.39,10.41,10.39,10.4,600,53.34
2004-06-22,10.4,10.5,10.4,10.48,500,53.75
2004-06-23,10.4,10.45,10.39,10.39,4900,53.29
2004-06-24,10.39,10.39,10.29,10.29,1300,52.77
2004-06-25,10.29,10.3,10.24,10.25,1000,52.57
2004-06-28,10.25,10.25,10.19,10.2,1400,52.31
