Date,Open,High,Low,Close,Volume,Adj Close
1995-08-18,2.0,2.38,2.0,2.38,106400,4.75
1995-08-21,2.38,2.38,2.12,2.19,28600,4.38
1995-08-22,2.38,2.62,1.45,2.62,84200,5.25
1995-08-23,2.62,2.62,2.38,2.5,92000,5.0
1995-08-24,2.56,2.56,2.25,2.25,85600,4.5
1995-08-25,2.38,2.38,2.12,2.31,55600,4.62
1995-08-28,2.31,2.31,2.0,2.0,88000,4.0
1995-08-29,2.0,2.12,2.0,2.0,27400,4.0
1995-08-30,2.12,2.19,2.06,2.06,19400,4.12
1995-08-31,2.12,2.25,2.12,2.19,29800,4.38
1995-09-01,2.25,2.25,2.12,2.12,25600,4.25
1995-09-05,2.12,2.25,2.12,2.12,14400,4.25
1995-09-06,2.19,2.25,2.12,2.19,49200,4.38
1995-09-07,2.12,2.25,2.12,2.12,28600,4.25
1995-09-08,2.25,2.25,2.12,2.19,16000,4.38
1995-09-11,2.25,2.31,2.19,2.22,49800,4.44
1995-09-12,2.25,2.31,2.12,2.19,40200,4.38
1995-09-13,2.19,2.31,2.19,2.19,11400,4.38
1995-09-14,2.19,2.38,2.19,2.19,31400,4.38
1995-09-15,2.19,2.31,2.19,2.19,12400,4.38
1995-09-18,2.19,2.38,2.19,2.38,87400,4.75
1995-09-19,2.19,2.38,2.12,2.38,142200,4.75
1995-09-20,2.38,2.38,2.06,2.06,46400,4.12
1995-09-21,2.06,2.25,2.06,2.12,145000,4.25
1995-09-22,2.19,2.19,2.19,2.19,23200,4.38
1995-09-25,2.19,2.19,2.12,2.12,31000,4.25
1995-09-26,2.12,2.19,2.12,2.19,157600,4.38
1995-09-27,2.19,2.19,2.06,2.06,6400,4.12
1995-09-28,2.0,2.12,2.0,2.0,36800,4.0
1995-09-29,2.0,2.0,2.0,2.0,9400,4.0
1995-10-02,2.0,2.0,1.88,1.88,16200,3.75
1995-10-03,1.94,1.94,1.75,1.75,12200,3.5
1995-10-04,1.75,1.88,1.75,1.88,6800,3.75
1995-10-05,1.75,1.88,1.75,1.88,9800,3.75
1995-10-06,1.75,1.88,1.75,1.88,16200,3.75
1995-10-09,1.75,1.88,1.75,1.75,7600,3.5
1995-10-10,1.75,1.88,1.69,1.88,36000,3.75
1995-10-11,1.88,1.88,1.81,1.81,12400,3.62
1995-10-12,1.88,1.88,1.62,1.75,18400,3.5
1995-10-13,1.75,1.75,1.75,1.75,0,3.5
1995-10-16,1.62,1.62,1.62,1.62,12400,3.25
1995-10-17,1.64,1.64,1.62,1.62,6600,3.25
1995-10-18,1.62,1.62,1.62,1.62,4800,3.25
1995-10-19,1.62,1.62,1.62,1.62,3400,3.25
1995-10-20,1.62,1.75,1.5,1.5,35200,3.0
1995-10-23,1.69,1.69,1.44,1.44,23800,2.88
1995-10-24,1.69,1.69,1.19,1.31,32400,2.62
1995-10-25,1.44,1.56,1.38,1.44,35600,2.88
1995-10-26,1.44,1.44,1.31,1.31,7200,2.62
1995-10-27,1.38,1.44,1.31,1.31,8600,2.62
1995-10-30,1.44,1.44,1.31,1.44,4200,2.88
1995-10-31,1.44,1.62,1.38,1.62,63400,3.25
1995-11-01,1.5,1.5,1.5,1.5,3400,3.0
1995-11-02,1.58,1.58,1.5,1.5,12600,3.0
1995-11-03,1.5,1.5,1.5,1.5,2200,3.0
1995-11-06,1.5,1.56,1.38,1.56,5000,3.12
1995-11-07,1.44,1.5,1.38,1.38,30800,2.75
1995-11-08,1.38,1.5,1.38,1.38,2800,2.75
1995-11-09,1.44,1.44,1.25,1.41,5200,2.81
1995-11-10,1.44,1.44,1.44,1.44,200,2.88
1995-11-13,1.44,1.44,1.31,1.31,5000,2.62
1995-11-14,1.25,1.25,1.12,1.12,17000,2.25
1995-11-15,1.12,1.31,1.12,1.12,36600,2.25
1995-11-16,1.31,1.31,1.12,1.12,4800,2.25
1995-11-17,1.12,1.12,0.94,1.12,28400,2.25
1995-11-20,1.0,1.12,0.94,1.06,22600,2.12
1995-11-21,1.06,1.06,0.88,0.91,112600,1.81
1995-11-22,1.05,1.05,0.78,1.0,45600,2.0
1995-11-24,1.0,1.06,0.81,1.06,8800,2.12
1995-11-27,1.0,1.06,0.88,1.0,31000,2.0
1995-11-28,1.06,1.06,0.88,0.88,19800,1.75
1995-11-29,1.0,1.06,0.69,0.73,83800,1.47
1995-11-30,0.81,0.81,0.69,0.81,13600,1.62
1995-12-01,0.69,0.81,0.69,0.81,57200,1.62
1995-12-04,0.81,1.0,0.81,0.88,22200,1.75
1995-12-05,0.94,1.0,0.75,0.88,27400,1.75
1995-12-06,1.06,1.06,0.89,1.03,105400,2.06
1995-12-07,1.12,1.12,1.05,1.12,4800,2.25
1995-12-08,1.06,1.12,1.0,1.0,86400,2.0
1995-12-11,1.0,1.0,1.0,1.0,200,2.0
1995-12-12,1.0,1.0,0.88,1.0,18000,2.0
1995-12-13,0.88,1.0,0.88,0.94,28600,1.88
1995-12-14,0.94,0.94,0.84,0.94,6000,1.88
1995-12-15,0.94,0.94,0.75,0.75,17600,1.5
1995-12-18,0.75,0.88,0.5,0.56,29600,1.12
1995-12-19,0.59,0.69,0.59,0.69,25600,1.38
1995-12-20,0.59,0.75,0.59,0.7,29400,1.41
1995-12-21,0.75,0.75,0.66,0.66,1800,1.31
1995-12-22,0.62,0.62,0.62,0.62,1400,1.25
1995-12-26,0.62,0.69,0.59,0.59,12000,1.19
1995-12-27,0.69,0.81,0.62,0.62,33400,1.25
1995-12-28,0.62,0.81,0.62,0.62,5000,1.25
1995-12-29,0.59,0.72,0.59,0.59,8200,1.19
1996-01-02,0.59,0.59,0.59,0.59,0,1.19
1996-01-03,0.59,0.72,0.59,0.61,7000,1.22
1996-01-04,0.72,0.72,0.59,0.62,12000,1.25
1996-01-05,0.75,0.75,0.62,0.69,18400,1.38
1996-01-08,0.69,0.69,0.69,0.69,0,1.38
1996-01-09,0.75,0.75,0.72,0.75,11800,1.5
1996-01-10,0.84,0.88,0.75,0.84,41000,1.69
1996-01-11,0.88,0.88,0.81,0.84,5200,1.69
1996-01-12,0.81,0.84,0.81,0.84,43400,1.69
1996-01-15,0.84,0.84,0.78,0.84,24000,1.69
1996-01-16,0.88,1.0,0.88,0.97,13400,1.94
1996-01-17,1.0,1.0,0.88,1.0,32600,2.0
1996-01-18,1.0,1.0,0.88,0.88,12400,1.75
1996-01-19,0.84,1.0,0.84,0.98,5400,1.97
1996-01-22,1.0,1.0,1.0,1.0,3200,2.0
1996-01-23,1.03,1.19,1.0,1.12,58800,2.25
1996-01-24,1.19,1.22,0.97,1.22,26800,2.44
1996-01-25,1.22,1.22,1.06,1.22,10200,2.44
1996-01-26,1.22,1.28,1.12,1.16,52200,2.31
1996-01-29,1.28,1.28,1.16,1.16,13000,2.31
1996-01-30,1.28,1.28,1.19,1.19,10600,2.38
1996-01-31,1.25,1.25,1.16,1.16,9000,2.31
1996-02-01,1.19,1.31,1.19,1.31,50000,2.62
1996-02-02,1.31,1.44,1.25,1.44,39800,2.88
1996-02-05,1.44,1.56,1.38,1.5,33200,3.0
1996-02-06,1.5,1.81,1.5,1.66,167000,3.31
1996-02-07,1.97,1.97,1.59,1.59,81000,3.19
1996-02-08,1.59,1.59,1.44,1.52,56600,3.03
1996-02-09,1.56,1.56,1.5,1.55,26600,3.09
1996-02-12,1.56,1.62,1.5,1.5,21600,3.0
1996-02-13,1.5,1.53,1.5,1.5,15800,3.0
1996-02-14,1.5,1.56,1.47,1.56,28600,3.12
1996-02-15,1.47,1.47,1.34,1.34,12400,2.69
1996-02-16,1.44,1.44,1.34,1.34,30800,2.69
1996-02-20,1.47,1.47,1.25,1.44,8200,2.88
1996-02-21,1.44,1.44,1.0,1.12,46600,2.25
1996-02-22,1.06,1.19,1.03,1.03,28400,2.06
