Date,Open,High,Low,Close,Volume,Adj Close
1997-11-26,9.0,9.12,8.62,8.62,520700,8.62
1997-11-28,8.88,9.12,8.62,9.12,51100,9.12
1997-12-01,9.0,9.12,8.75,9.0,244700,9.0
1997-12-02,8.94,8.94,8.62,8.62,69500,8.62
1997-12-03,8.62,9.0,8.38,8.5,60000,8.5
1997-12-04,8.38,8.5,6.44,7.44,183100,7.44
1997-12-05,7.25,7.31,6.25,6.25,194000,6.25
1997-12-08,6.5,6.75,6.44,6.5,30600,6.5
1997-12-09,6.75,6.81,6.44,6.5,104000,6.5
1997-12-10,6.75,7.69,6.56,7.0,19900,7.0
1997-12-11,7.44,7.44,6.38,6.56,37400,6.56
1997-12-12,6.5,6.62,6.19,6.19,12900,6.19
1997-12-15,6.25,6.25,5.69,6.12,28000,6.12
1997-12-16,5.75,6.5,5.5,5.75,68400,5.75
1997-12-17,5.5,5.75,5.12,5.44,40100,5.44
1997-12-18,5.38,6.12,5.38,5.5,81500,5.5
1997-12-19,5.44,5.44,4.12,5.25,60400,5.25
1997-12-22,5.12,5.75,4.5,4.91,77100,4.91
1997-12-23,4.56,4.88,4.12,4.88,33400,4.88
1997-12-24,4.62,5.0,4.62,4.62,6500,4.62
1997-12-26,5.0,5.0,5.0,5.0,300,5.0
1997-12-29,5.0,5.0,4.62,4.69,20800,4.69
1997-12-30,4.88,5.0,4.62,5.0,15100,5.0
1997-12-31,5.0,5.62,5.0,5.62,55800,5.62
1998-01-02,5.81,6.0,5.69,5.81,3300,5.81
1998-01-05,5.88,6.25,5.75,5.75,5300,5.75
1998-01-06,5.5,5.62,4.88,5.38,20600,5.38
1998-01-07,5.5,5.75,4.38,4.75,84400,4.75
1998-01-08,4.75,5.0,4.5,5.0,8100,5.0
1998-01-09,4.75,4.75,4.62,4.62,11000,4.62
1998-01-12,4.88,4.94,4.88,4.94,1600,4.94
1998-01-13,4.94,5.06,4.94,5.06,3300,5.06
1998-01-14,5.0,5.0,5.0,5.0,6800,5.0
1998-01-15,5.06,5.06,4.75,4.75,2100,4.75
1998-01-16,5.0,5.0,4.88,4.88,1000,4.88
1998-01-20,5.0,5.0,4.94,4.94,6800,4.94
1998-01-21,4.75,4.75,4.75,4.75,2600,4.75
1998-01-22,4.75,4.75,4.75,4.75,900,4.75
1998-01-23,4.97,4.97,4.97,4.97,200,4.97
1998-01-26,5.0,5.0,4.62,4.62,14400,4.62
1998-01-27,4.97,4.97,4.62,4.69,20500,4.69
1998-01-28,4.69,4.69,4.62,4.69,7800,4.69
1998-01-29,4.5,4.81,4.5,4.81,29300,4.81
1998-01-30,4.5,4.5,4.25,4.25,17800,4.25
1998-02-02,4.56,4.56,4.56,4.56,1500,4.56
1998-02-03,4.5,4.62,4.5,4.62,5600,4.62
1998-02-04,4.12,4.56,4.12,4.5,5000,4.5
1998-02-05,4.5,4.5,4.38,4.5,7600,4.5
1998-02-06,4.5,4.5,4.0,4.5,3100,4.5
1998-02-09,4.62,4.62,4.12,4.31,21400,4.31
1998-02-10,4.25,4.62,4.25,4.62,6200,4.62
1998-02-11,4.62,4.62,4.25,4.5,4200,4.5
1998-02-12,4.62,4.62,4.25,4.62,3900,4.62
1998-02-13,4.62,4.62,4.38,4.38,2200,4.38
1998-02-17,4.38,4.38,4.38,4.38,11600,4.38
1998-02-18,4.31,4.56,4.31,4.38,10400,4.38
1998-02-19,4.62,4.62,4.62,4.62,600,4.62
1998-02-20,4.62,4.62,4.62,4.62,200,4.62
1998-02-23,4.31,4.38,4.31,4.38,6400,4.38
1998-02-24,4.62,4.75,4.62,4.62,21000,4.62
1998-02-25,4.62,4.62,4.5,4.5,4400,4.5
1998-02-26,4.5,4.5,4.38,4.38,2500,4.38
1998-02-27,4.5,5.06,4.38,5.0,65600,5.0
1998-03-02,5.0,5.0,4.62,4.62,5900,4.62
1998-03-03,5.0,5.0,4.81,4.88,3000,4.88
1998-03-04,4.88,5.25,4.88,5.12,5100,5.12
1998-03-05,5.12,5.12,4.06,4.38,28400,4.38
1998-03-06,4.62,4.75,4.38,4.75,2100,4.75
1998-03-09,4.62,4.88,4.38,4.38,11200,4.38
1998-03-10,4.75,4.75,4.5,4.62,2900,4.62
1998-03-11,4.38,4.38,3.94,4.31,15200,4.31
1998-03-12,4.31,4.31,4.31,4.31,0,4.31
1998-03-13,4.31,4.31,4.0,4.31,27200,4.31
1998-03-16,4.38,4.38,3.88,3.88,16700,3.88
1998-03-17,3.88,4.19,3.88,4.0,18900,4.0
1998-03-18,3.88,4.0,3.88,4.0,11200,4.0
1998-03-19,3.75,3.81,3.0,3.5,76000,3.5
1998-03-20,3.69,3.88,3.5,3.5,47100,3.5
1998-03-23,3.5,3.5,3.25,3.25,24400,3.25
1998-03-24,3.31,3.56,3.31,3.56,46500,3.56
1998-03-25,3.38,3.5,3.25,3.38,24000,3.38
1998-03-26,3.62,3.62,3.38,3.38,31300,3.38
1998-03-27,3.5,3.75,3.5,3.5,3300,3.5
1998-03-30,3.75,3.88,3.5,3.5,3100,3.5
1998-03-31,3.5,4.0,3.5,4.0,33400,4.0
1998-04-01,3.94,4.19,3.62,4.0,39900,4.0
1998-04-02,4.0,4.0,3.88,4.0,21500,4.0
1998-04-03,3.88,3.88,3.88,3.88,2000,3.88
1998-04-06,3.69,3.84,3.62,3.84,4200,3.84
1998-04-07,3.75,3.75,3.69,3.69,9000,3.69
1998-04-08,3.62,3.62,3.5,3.56,5100,3.56
1998-04-09,3.5,4.0,3.5,3.62,1600,3.62
1998-04-13,3.56,3.56,3.56,3.56,2000,3.56
1998-04-14,3.56,3.56,3.56,3.56,0,3.56
1998-04-15,4.06,4.25,3.75,4.12,68400,4.12
1998-04-16,4.25,4.62,4.25,4.44,14300,4.44
1998-04-17,4.44,4.5,4.25,4.5,25500,4.5
1998-04-20,4.5,5.06,4.5,4.94,38900,4.94
1998-04-21,5.19,5.25,5.0,5.0,8200,5.0
1998-04-22,4.88,5.0,4.12,4.88,16200,4.88
1998-04-23,4.62,4.62,4.62,4.62,800,4.62
1998-04-24,4.31,4.62,4.31,4.62,3300,4.62
1998-04-27,4.81,4.81,4.0,4.0,10600,4.0
1998-04-28,4.5,4.62,4.5,4.62,2200,4.62
1998-04-29,4.62,4.62,4.62,4.62,0,4.62
1998-04-30,4.38,4.38,4.38,4.38,3700,4.38
1998-05-01,4.12,4.12,4.12,4.12,500,4.12
1998-05-04,4.31,4.5,4.31,4.5,5500,4.5
1998-05-05,4.31,4.56,4.31,4.5,7600,4.5
1998-05-06,4.38,4.38,3.75,4.25,8100,4.25
