Date,Open,High,Low,Close,Volume,Adj Close
1999-06-25,8.12,8.38,7.5,7.75,56600,7.75
1999-06-28,7.75,8.0,7.5,7.5,18000,7.5
1999-06-29,7.88,7.88,7.5,7.5,5900,7.5
1999-06-30,7.5,7.75,7.5,7.75,13500,7.75
1999-07-01,8.0,8.0,7.5,7.75,19400,7.75
1999-07-02,7.5,8.0,7.5,7.88,9600,7.88
1999-07-06,8.0,8.0,7.62,7.62,2400,7.62
1999-07-07,7.75,7.75,7.62,7.62,15100,7.62
1999-07-08,8.25,8.25,7.62,7.62,6500,7.62
1999-07-09,7.69,7.69,7.56,7.56,4600,7.56
1999-07-12,7.56,7.56,7.0,7.5,31000,7.5
1999-07-13,7.25,7.25,7.12,7.12,11600,7.12
1999-07-14,7.12,7.31,7.0,7.25,13600,7.25
1999-07-15,7.12,7.12,7.0,7.0,10500,7.0
1999-07-16,7.0,7.06,6.88,7.06,10300,7.06
1999-07-19,7.25,7.25,7.0,7.0,18400,7.0
1999-07-20,7.0,7.12,7.0,7.0,27500,7.0
1999-07-21,7.0,7.38,7.0,7.31,25600,7.31
1999-07-22,7.38,7.62,7.22,7.38,33000,7.38
1999-07-23,7.38,7.62,7.38,7.62,11300,7.62
1999-07-26,7.69,7.69,7.5,7.5,15500,7.5
1999-07-27,7.62,7.62,7.44,7.5,28200,7.5
1999-07-28,7.62,7.62,7.38,7.5,13800,7.5
1999-07-29,7.38,7.5,7.25,7.25,16200,7.25
1999-07-30,7.25,7.25,7.25,7.25,0,7.25
1999-08-02,7.25,7.25,7.25,7.25,1000,7.25
1999-08-03,7.25,7.25,7.25,7.25,3200,7.25
1999-08-04,7.5,7.5,7.25,7.38,17500,7.38
1999-08-05,7.38,7.38,6.88,7.0,33000,7.0
1999-08-06,7.0,7.0,7.0,7.0,13000,7.0
1999-08-09,7.19,7.38,7.12,7.12,16800,7.12
1999-08-10,7.12,7.25,7.12,7.12,15900,7.12
1999-08-11,7.12,7.25,7.0,7.0,28800,7.0
1999-08-12,7.0,7.12,7.0,7.12,3700,7.12
1999-08-13,7.0,7.44,7.0,7.44,43100,7.44
1999-08-16,7.0,7.0,7.0,7.0,500,7.0
1999-08-17,7.0,7.12,7.0,7.0,8600,7.0
1999-08-18,7.12,7.12,7.0,7.0,2200,7.0
1999-08-19,7.0,7.0,7.0,7.0,9600,7.0
1999-08-20,7.12,7.12,7.0,7.0,10700,7.0
1999-08-23,7.0,7.12,6.88,6.88,3300,6.88
1999-08-24,6.88,6.88,6.56,6.75,21300,6.75
1999-08-25,6.88,7.0,6.75,7.0,8400,7.0
1999-08-26,7.0,7.0,6.88,6.88,19100,6.88
1999-08-27,7.19,7.19,6.94,6.94,23000,6.94
1999-08-30,6.84,6.84,6.84,6.84,900,6.84
1999-08-31,6.94,6.94,6.94,6.94,3500,6.94
1999-09-01,6.94,6.94,6.81,6.81,10400,6.81
