Date,Open,High,Low,Close,Volume,Adj Close
2012-02-09,0.61,0.61,0.61,0.61,0,24.48
2012-02-10,0.61,0.61,0.61,0.61,0,24.48
2012-02-13,0.6,0.85,0.6,0.85,0,34.0
2012-02-14,0.82,0.82,0.82,0.82,0,32.8
2012-02-15,0.6,0.65,0.6,0.64,600,25.6
2012-02-16,0.54,0.62,0.54,0.62,0,24.8
2012-02-17,0.54,0.58,0.54,0.58,100,23.2
2012-02-21,0.58,0.58,0.58,0.58,0,23.2
2012-02-22,0.51,0.51,0.51,0.51,0,20.4
2012-02-23,0.51,0.51,0.51,0.51,0,20.4
2012-02-24,0.51,0.57,0.51,0.57,0,22.8
2012-02-27,0.57,0.57,0.57,0.57,0,22.8
2012-02-28,0.51,0.6,0.51,0.6,0,24.0
2012-02-29,0.6,0.6,0.6,0.6,0,24.0
2012-03-01,0.6,0.6,0.6,0.6,0,24.0
2012-03-02,0.6,0.6,0.6,0.6,0,24.0
2012-03-05,0.55,0.55,0.55,0.55,0,22.0
2012-03-06,0.55,0.55,0.55,0.55,0,22.0
2012-03-07,0.55,0.55,0.55,0.55,0,22.0
2012-03-08,0.6,0.6,0.6,0.6,0,24.0
2012-03-09,0.55,0.55,0.55,0.55,0,22.0
2012-03-12,0.55,0.55,0.54,0.55,100,22.0
2012-03-13,0.55,0.55,0.55,0.55,0,22.0
2012-03-14,0.4,0.42,0.4,0.42,0,16.84
2012-03-15,0.42,0.42,0.42,0.42,0,16.84
2012-03-16,0.42,0.42,0.42,0.42,0,16.8
2012-03-19,0.59,0.59,0.57,0.57,0,22.8
2012-03-20,0.57,0.57,0.57,0.57,0,22.8
2012-03-21,0.42,0.42,0.42,0.42,0,16.8
2012-03-22,0.44,0.44,0.44,0.44,0,17.6
2012-03-23,0.44,0.44,0.44,0.44,0,17.6
2012-03-26,0.42,0.42,0.42,0.42,0,16.8
2012-03-27,0.42,0.42,0.42,0.42,0,16.8
2012-03-28,0.5,0.5,0.5,0.5,0,20.0
2012-03-29,0.48,0.48,0.48,0.48,0,19.2
2012-03-30,0.48,0.48,0.48,0.48,0,19.2
2012-04-02,0.42,0.5,0.42,0.5,0,20.0
2012-04-03,0.4,0.4,0.4,0.4,0,16.0
2012-04-04,0.4,0.4,0.4,0.4,0,16.0
2012-04-05,0.4,0.4,0.4,0.4,0,16.0
2012-04-09,0.32,0.48,0.32,0.48,600,19.2
2012-04-10,0.46,0.46,0.43,0.43,0,17.2
2012-04-11,0.32,0.32,0.32,0.32,0,12.8
2012-04-12,0.32,0.32,0.32,0.32,0,12.8
2012-04-13,0.32,0.32,0.32,0.32,0,12.8
2012-04-16,0.32,0.32,0.32,0.32,0,12.8
2012-04-17,0.32,0.32,0.32,0.32,0,12.8
2012-04-18,0.32,0.32,0.32,0.32,0,12.8
2012-04-19,0.32,0.32,0.32,0.32,0,12.8
2012-04-20,0.32,0.32,0.32,0.32,0,12.8
2012-04-23,0.32,0.35,0.32,0.35,500,14.0
2012-04-24,0.32,0.32,0.32,0.32,0,12.8
2012-04-25,0.32,0.32,0.32,0.32,0,12.8
2012-04-26,0.32,0.32,0.32,0.32,0,12.8
2012-04-27,0.32,0.32,0.32,0.32,0,12.8
2012-04-30,0.32,0.5,0.32,0.5,0,20.0
2012-05-01,0.5,0.5,0.5,0.5,0,20.0
2012-05-02,0.32,0.32,0.32,0.32,0,12.8
2012-05-03,0.32,0.32,0.32,0.32,0,12.8
2012-05-04,0.32,0.32,0.32,0.32,0,12.8
2012-05-07,0.26,0.5,0.26,0.49,0,19.6
2012-05-08,0.27,0.49,0.27,0.49,0,19.6
2012-05-09,0.49,0.49,0.15,0.22,100300,8.8
2012-05-10,0.23,0.54,0.18,0.51,121000,20.2
2012-05-11,0.56,0.7,0.55,0.64,65300,25.8
2012-05-14,0.7,0.7,0.32,0.32,79800,12.8
2012-05-15,0.37,0.42,0.34,0.39,22400,15.6
2012-05-16,0.44,0.44,0.22,0.3,130500,12.0
2012-05-17,0.35,0.35,0.22,0.26,80600,10.4
2012-05-18,0.3,0.3,0.17,0.19,75500,7.4
2012-05-21,0.2,0.2,0.12,0.14,34200,5.64
2012-05-22,0.16,0.16,0.12,0.13,25700,5.0
2012-05-23,0.12,0.16,0.12,0.13,18200,5.0
2012-05-24,0.14,0.19,0.14,0.14,25900,5.4
2012-05-25,0.14,0.15,0.13,0.13,6400,5.2
2012-05-29,0.14,0.14,0.11,0.11,32500,4.48
2012-05-30,0.1,0.13,0.1,0.11,12400,4.56
2012-05-31,0.12,0.14,0.11,0.14,6900,5.4
2012-06-01,0.11,0.13,0.11,0.12,4700,4.64
2012-06-04,0.12,0.12,0.1,0.1,6300,4.0
2012-06-05,0.1,0.11,0.09,0.1,4400,3.96
2012-06-06,0.1,0.1,0.09,0.09,18600,3.4
2012-06-07,0.09,0.09,0.09,0.09,9700,3.48
2012-06-08,0.09,0.09,0.08,0.09,8600,3.6
2012-06-11,0.08,0.11,0.08,0.09,16000,3.64
2012-06-12,0.1,0.1,0.09,0.1,1000,4.12
2012-06-13,0.1,0.1,0.1,0.1,2000,3.84
2012-06-14,0.1,0.1,0.1,0.1,2800,4.0
2012-06-15,0.1,0.1,0.09,0.1,2100,3.96
2012-06-18,0.1,0.1,0.08,0.09,5600,3.68
2012-06-19,0.1,0.1,0.09,0.1,3400,3.8
2012-06-20,0.1,0.1,0.09,0.1,4200,4.0
2012-06-21,0.1,0.1,0.08,0.09,2600,3.6
2012-06-22,0.09,0.1,0.09,0.09,4200,3.6
2012-06-25,0.09,0.09,0.08,0.08,3700,3.28
2012-06-26,0.08,0.09,0.08,0.09,2500,3.56
2012-06-27,0.09,0.09,0.08,0.09,1500,3.52
2012-06-28,0.09,0.09,0.08,0.09,4600,3.4
2012-06-29,0.09,0.09,0.08,0.08,2600,3.2
2012-07-02,0.08,0.09,0.08,0.09,1400,3.52
2012-07-03,0.09,0.09,0.09,0.09,3000,3.6
2012-07-05,0.09,0.09,0.08,0.09,2000,3.56
2012-07-06,0.09,0.09,0.09,0.09,600,3.48
2012-07-09,0.09,0.09,0.08,0.08,2000,3.2
2012-07-10,0.06,0.08,0.06,0.08,1700,3.0
2012-07-11,0.08,0.08,0.07,0.07,800,2.8
2012-07-12,0.07,0.08,0.07,0.08,1700,3.2
2012-07-13,0.08,0.08,0.07,0.07,1100,2.88
2012-07-16,0.07,0.07,0.06,0.07,3600,2.8
2012-07-17,0.06,0.07,0.06,0.07,1100,2.8
2012-07-18,0.06,0.06,0.05,0.05,7200,2.0
2012-07-19,0.05,0.05,0.05,0.05,4500,2.0
2012-07-20,0.05,0.06,0.05,0.06,100,2.6
2012-07-23,0.05,0.08,0.05,0.06,2200,2.52
2012-07-24,0.07,0.07,0.06,0.06,500,2.52
2012-07-25,0.07,0.08,0.06,0.08,900,3.12
2012-07-26,0.08,0.08,0.07,0.07,1700,2.8
2012-07-27,0.07,0.07,0.06,0.06,500,2.6
