Date,Open,High,Low,Close,Volume,Adj Close
2005-05-03,5.0,5.3,5.0,5.2,130700,4.63
2005-05-04,5.17,5.3,5.1,5.25,46900,4.68
2005-05-05,5.25,5.4,5.2,5.25,42900,4.68
2005-05-06,5.2,5.35,5.2,5.25,32300,4.68
2005-05-09,5.3,5.55,5.25,5.45,68500,4.86
2005-05-10,5.7,5.7,5.3,5.45,86400,4.86
2005-05-11,5.45,5.45,5.3,5.35,17100,4.77
2005-05-12,5.3,5.35,5.05,5.12,27300,4.56
2005-05-13,5.15,5.2,5.07,5.15,39000,4.59
2005-05-16,5.15,5.23,5.0,5.1,26300,4.54
2005-05-17,5.1,5.15,4.85,4.9,30300,4.37
2005-05-18,4.9,4.9,4.5,4.65,52000,4.14
2005-05-19,4.7,4.7,4.5,4.65,67100,4.14
2005-05-20,4.72,4.8,4.7,4.74,5700,4.22
2005-05-23,4.8,4.8,4.66,4.75,6100,4.23
2005-05-24,4.75,4.75,4.5,4.7,11800,4.19
2005-05-25,4.7,5.1,4.7,5.0,59800,4.45
2005-05-26,4.9,5.0,4.8,4.95,15800,4.41
2005-05-27,4.85,5.0,4.8,4.9,22800,4.37
2005-05-31,4.85,4.85,4.6,4.65,15800,4.14
2005-06-01,4.6,4.6,4.5,4.6,23500,4.1
2005-06-02,4.55,4.6,4.4,4.45,25800,3.96
2005-06-03,4.6,4.85,4.59,4.8,72700,4.28
2005-06-06,4.8,5.0,4.8,4.9,57400,4.37
2005-06-07,4.88,4.9,4.65,4.72,20500,4.21
2005-06-08,4.72,5.0,4.72,4.92,71000,4.38
2005-06-09,4.85,4.9,4.8,4.86,21200,4.33
2005-06-10,4.87,4.95,4.8,4.93,31300,4.39
2005-06-13,4.9,5.5,4.85,5.35,116600,4.77
2005-06-14,5.9,7.45,5.1,7.45,1919600,6.64
2005-06-15,7.5,8.33,6.86,7.8,1120200,6.95
2005-06-16,7.9,7.9,7.16,7.3,265100,6.5
2005-06-17,7.3,7.49,6.9,7.2,218600,6.41
2005-06-20,7.2,7.2,6.84,7.1,191100,6.33
2005-06-21,7.1,8.8,7.0,8.8,764600,7.84
2005-06-22,8.75,9.3,8.36,8.68,494100,7.73
2005-06-23,8.65,8.7,7.95,7.95,273800,7.08
2005-06-24,7.99,8.65,7.55,8.51,261000,7.58
2005-06-27,8.61,8.89,8.26,8.3,107500,7.39
2005-06-28,8.39,8.68,8.05,8.4,132300,7.48
2005-06-29,8.5,8.5,7.88,8.0,156100,7.13
2005-06-30,8.1,8.2,7.7,7.9,84000,7.04
2005-07-01,8.0,8.4,7.5,8.3,165000,7.39
2005-07-05,8.25,9.29,7.83,9.25,312300,8.24
2005-07-06,9.36,9.62,9.02,9.08,461800,8.09
2005-07-07,9.0,9.68,8.69,9.64,233500,8.59
2005-07-08,9.89,10.24,9.18,9.25,450400,8.24
2005-07-11,9.2,9.77,9.1,9.2,116700,8.2
2005-07-12,9.25,9.73,9.15,9.35,130400,8.33
2005-07-13,9.35,9.45,9.1,9.2,69300,8.2
2005-07-14,9.19,9.2,8.52,8.85,244500,7.88
2005-07-15,8.95,8.99,8.5,8.5,111100,7.57
2005-07-18,8.55,8.7,7.55,7.71,349200,6.87
2005-07-19,7.7,8.22,7.7,8.12,222300,7.23
2005-07-20,8.2,8.69,8.05,8.69,212300,7.74
2005-07-21,8.79,8.98,8.02,8.61,175700,7.67
2005-07-22,8.6,8.79,8.4,8.56,74500,7.63
2005-07-25,8.56,8.8,8.44,8.69,66000,7.74
2005-07-26,8.68,9.39,8.61,9.25,123600,8.24
2005-07-27,9.3,10.2,9.25,10.05,340300,8.95
2005-07-28,10.26,10.59,9.5,10.5,354000,9.35
2005-07-29,10.5,10.6,9.82,10.05,118000,8.95
2005-08-01,10.05,10.4,9.75,9.92,91000,8.84
2005-08-02,10.17,10.45,9.74,10.0,97200,8.91
2005-08-03,9.9,10.22,9.86,9.95,45600,8.86
2005-08-04,9.97,10.14,9.85,9.85,36800,8.78
2005-08-05,9.89,9.9,8.55,9.02,223700,8.04
2005-08-08,8.95,9.12,8.55,8.87,127400,7.9
2005-08-09,8.85,9.43,8.85,9.35,91100,8.33
2005-08-10,9.43,9.8,9.43,9.68,108100,8.62
2005-08-11,9.75,10.45,9.5,10.33,162500,9.2
2005-08-12,10.1,10.35,9.65,9.81,81100,8.74
2005-08-15,9.81,10.2,9.8,9.99,93700,8.9
2005-08-16,10.09,10.19,9.75,9.85,102100,8.78
2005-08-17,9.75,9.97,9.65,9.7,71000,8.64
2005-08-18,9.65,9.65,9.05,9.25,138100,8.24
