Date,Open,High,Low,Close,Volume,Adj Close
2011-08-31,3.25,3.34,3.15,3.34,26200,3.34
2011-09-01,3.25,3.3,3.24,3.3,57900,3.3
2011-09-02,3.3,3.3,3.24,3.24,30500,3.24
2011-09-06,3.25,3.26,3.25,3.26,6000,3.26
2011-09-07,3.35,3.35,3.25,3.33,12100,3.33
2011-09-08,3.35,3.35,3.25,3.25,35000,3.25
2011-09-09,3.35,3.35,3.25,3.33,15000,3.33
2011-09-12,3.33,3.35,3.1,3.1,22000,3.1
2011-09-13,3.25,3.25,3.25,3.25,1000,3.25
2011-09-14,3.35,3.35,3.35,3.35,7400,3.35
2011-09-15,3.4,3.4,3.4,3.4,3500,3.4
2011-09-16,3.3,3.4,3.3,3.4,10500,3.4
2011-09-19,3.4,3.4,3.4,3.4,5000,3.4
2011-09-20,3.38,3.45,3.3,3.4,36400,3.4
2011-09-21,3.5,3.5,3.5,3.5,1300,3.5
2011-09-22,3.4,3.4,3.35,3.4,18100,3.4
2011-09-23,3.4,3.4,3.4,3.4,500,3.4
2011-09-26,3.4,3.4,3.4,3.4,1000,3.4
2011-09-27,3.4,3.5,3.4,3.4,23100,3.4
2011-09-28,3.4,3.4,3.4,3.4,0,3.4
2011-09-29,3.5,3.5,3.5,3.5,2000,3.5
2011-09-30,3.5,3.5,3.5,3.5,0,3.5
2011-10-03,3.36,3.49,3.35,3.49,6300,3.49
2011-10-04,3.4,3.4,3.31,3.31,16000,3.31
2011-10-05,3.31,3.31,3.31,3.31,0,3.31
2011-10-06,3.44,3.44,3.44,3.44,2500,3.44
2011-10-07,3.4,3.44,3.3,3.3,18200,3.3
2011-10-10,3.44,3.44,3.44,3.44,500,3.44
2011-10-11,3.44,3.44,3.44,3.44,0,3.44
2011-10-12,3.44,3.44,3.4,3.4,4200,3.4
2011-10-13,3.48,3.48,3.48,3.48,1100,3.48
2011-10-14,3.48,3.48,3.35,3.35,11800,3.35
2011-10-17,3.35,3.35,3.35,3.35,0,3.35
2011-10-18,3.47,3.47,3.11,3.35,6200,3.35
2011-10-19,3.45,3.45,3.4,3.4,2800,3.4
2011-10-20,3.4,3.4,3.4,3.4,700,3.4
2011-10-21,3.4,3.4,3.4,3.4,300,3.4
2011-10-24,3.4,3.4,3.25,3.25,10400,3.25
2011-10-25,3.25,3.25,3.25,3.25,100,3.25
2011-10-26,3.3,3.3,3.3,3.3,2100,3.3
2011-10-27,3.3,3.3,3.3,3.3,0,3.3
2011-10-28,3.3,3.3,3.3,3.3,0,3.3
2011-10-31,3.4,3.4,3.4,3.4,6000,3.4
2011-11-01,3.4,3.4,3.4,3.4,7000,3.4
2011-11-02,3.4,3.4,3.25,3.25,3100,3.25
2011-11-03,3.25,3.25,3.25,3.25,1300,3.25
2011-11-04,3.2,3.2,3.2,3.2,500,3.2
2011-11-07,3.3,3.35,3.2,3.2,12700,3.2
2011-11-08,3.3,3.5,3.2,3.3,23100,3.3
2011-11-09,3.3,3.4,3.3,3.3,15300,3.3
2011-11-10,3.45,3.5,3.4,3.4,6000,3.4
2011-11-11,3.4,3.4,3.4,3.4,4500,3.4
2011-11-14,3.5,3.5,3.42,3.42,10600,3.42
2011-11-15,3.5,3.5,3.5,3.5,600,3.5
2011-11-16,3.5,3.5,3.4,3.5,6900,3.5
2011-11-17,3.5,3.5,3.4,3.4,9600,3.4
2011-11-18,3.49,3.6,3.4,3.6,31000,3.6
2011-11-21,3.6,3.6,3.5,3.51,14800,3.51
2011-11-22,3.5,3.5,3.5,3.5,1100,3.5
2011-11-23,3.6,3.7,3.51,3.69,46300,3.69
2011-11-25,3.69,3.9,3.69,3.8,23000,3.8
2011-11-28,3.71,3.75,3.71,3.71,33600,3.71
2011-11-29,3.75,3.75,3.74,3.74,10800,3.74
2011-11-30,3.75,3.75,3.71,3.75,12500,3.75
2011-12-01,3.75,3.75,3.65,3.75,16500,3.75
2011-12-02,3.75,3.75,3.65,3.65,10700,3.65
2011-12-05,3.79,3.79,3.79,3.79,500,3.79
2011-12-06,3.65,3.78,3.65,3.78,6500,3.78
2011-12-07,3.78,3.78,3.69,3.69,45500,3.69
2011-12-08,3.7,3.72,3.7,3.7,29000,3.7
2011-12-09,3.7,3.8,3.7,3.8,7400,3.8
2011-12-12,3.8,3.8,3.8,3.8,1800,3.8
2011-12-13,3.7,3.7,3.66,3.66,6100,3.66
2011-12-14,3.66,3.66,3.4,3.45,7600,3.45
2011-12-15,3.55,3.6,3.5,3.5,4500,3.5
2011-12-16,3.61,3.62,3.6,3.6,17800,3.6
2011-12-19,3.61,3.61,3.6,3.6,2100,3.6
2011-12-20,3.6,3.62,3.57,3.62,1100,3.62
2011-12-21,3.6,3.6,3.6,3.6,5200,3.6
2011-12-22,3.6,3.75,3.6,3.72,25500,3.72
2011-12-23,3.65,3.75,3.65,3.65,16300,3.65
2011-12-27,3.65,3.65,3.4,3.4,10600,3.4
2011-12-28,3.4,3.4,3.4,3.4,3000,3.4
2011-12-29,3.41,3.42,3.41,3.42,2500,3.42
2011-12-30,3.4,3.79,3.4,3.79,4300,3.79
2012-01-03,3.79,3.79,3.6,3.6,14500,3.6
2012-01-04,3.77,3.77,3.6,3.6,10800,3.6
2012-01-05,3.72,3.77,3.65,3.65,39700,3.65
2012-01-06,3.68,3.75,3.6,3.6,22700,3.6
2012-01-09,3.75,3.75,3.68,3.7,2600,3.7
