Date,Open,High,Low,Close,Volume,Adj Close
2007-12-27,0.35,0.43,0.35,0.43,73300,0.43
2007-12-28,0.42,0.45,0.36,0.45,106900,0.45
2007-12-31,0.38,0.51,0.38,0.51,114800,0.51
2008-01-02,0.51,0.57,0.48,0.57,21000,0.57
2008-01-03,0.48,0.55,0.48,0.52,6300,0.52
2008-01-04,0.5,0.55,0.5,0.5,235500,0.5
2008-01-07,0.5,0.5,0.5,0.5,9900,0.5
2008-01-08,0.5,0.5,0.5,0.5,42500,0.5
2008-01-09,0.5,0.55,0.5,0.54,10600,0.54
2008-01-10,0.5,0.5,0.5,0.5,29400,0.5
2008-01-11,0.5,0.53,0.5,0.5,64400,0.5
2008-01-14,0.5,0.53,0.5,0.53,6500,0.53
2008-01-15,0.5,0.5,0.5,0.5,500,0.5
2008-01-16,0.5,0.51,0.5,0.5,147700,0.5
2008-01-17,0.5,0.5,0.5,0.5,133100,0.5
2008-01-18,0.5,0.5,0.5,0.5,24000,0.5
2008-01-22,0.5,0.52,0.41,0.52,98500,0.52
2008-01-23,0.5,0.5,0.48,0.48,7500,0.48
2008-01-24,0.47,0.47,0.46,0.46,4200,0.46
2008-01-25,0.46,0.52,0.46,0.52,5200,0.52
2008-01-28,0.53,0.53,0.5,0.5,124900,0.5
2008-01-29,0.52,0.52,0.52,0.52,7500,0.52
2008-01-30,0.47,0.55,0.47,0.52,37700,0.52
2008-01-31,0.51,0.63,0.51,0.6,48600,0.6
2008-02-01,0.6,0.63,0.56,0.61,31000,0.61
2008-02-04,0.61,0.62,0.61,0.61,9900,0.61
2008-02-05,0.65,0.76,0.63,0.76,139100,0.76
2008-02-06,0.75,0.75,0.64,0.74,16500,0.74
2008-02-07,0.66,0.72,0.63,0.72,10800,0.72
2008-02-08,0.74,0.74,0.74,0.74,1300,0.74
2008-02-11,0.68,0.7,0.63,0.7,33200,0.7
2008-02-12,0.66,0.7,0.65,0.7,3500,0.7
2008-02-13,0.65,0.69,0.65,0.69,5300,0.69
2008-02-14,0.7,0.72,0.7,0.7,40000,0.7
2008-02-15,0.7,0.72,0.7,0.72,7500,0.72
2008-02-19,0.72,0.72,0.7,0.7,11500,0.7
2008-02-20,0.72,0.73,0.7,0.73,19200,0.73
2008-02-21,0.7,0.7,0.7,0.7,300,0.7
2008-02-22,0.7,0.7,0.7,0.7,8500,0.7
2008-02-25,0.71,0.72,0.7,0.7,57700,0.7
2008-02-26,0.7,0.7,0.65,0.7,12200,0.7
2008-02-27,0.7,0.7,0.7,0.7,8100,0.7
2008-02-28,0.63,0.68,0.63,0.67,3000,0.67
2008-02-29,0.68,0.68,0.63,0.68,26300,0.68
2008-03-03,0.68,0.68,0.68,0.68,0,0.68
2008-03-04,0.66,0.66,0.66,0.66,4500,0.66
2008-03-05,0.63,0.63,0.63,0.63,500,0.63
2008-03-06,0.63,0.63,0.63,0.63,200,0.63
2008-03-07,0.67,0.67,0.63,0.67,14000,0.67
2008-03-10,0.55,0.67,0.55,0.67,11200,0.67
2008-03-11,0.67,0.68,0.67,0.68,6600,0.68
2008-03-12,0.6,0.62,0.55,0.6,15900,0.6
2008-03-13,0.57,0.6,0.57,0.6,2700,0.6
2008-03-14,0.54,0.6,0.54,0.6,6500,0.6
2008-03-17,0.6,0.6,0.54,0.54,26500,0.54
2008-03-18,0.54,0.54,0.54,0.54,0,0.54
2008-03-19,0.52,0.65,0.52,0.55,27300,0.55
2008-03-20,0.55,0.57,0.55,0.57,400,0.57
2008-03-24,0.57,0.57,0.57,0.57,1600,0.57
2008-03-25,0.58,0.58,0.58,0.58,5000,0.58
2008-03-26,0.55,0.55,0.43,0.55,51500,0.55
2008-03-27,0.43,0.54,0.43,0.54,6100,0.54
2008-03-28,0.44,0.46,0.44,0.45,41900,0.45
2008-03-31,0.57,0.58,0.51,0.58,12700,0.58
2008-04-01,0.46,0.57,0.46,0.57,2200,0.57
