Date,Open,High,Low,Close,Volume,Adj Close
2000-11-13,37.5,37.5,37.5,37.5,0,1125.0
2000-11-15,37.5,37.5,37.5,37.5,0,1125.0
2000-11-16,37.5,37.5,37.5,37.5,0,1125.0
2000-11-17,52.5,52.5,45.0,52.5,0,1575.0
2000-11-20,52.5,52.5,52.5,52.5,0,1575.0
2000-12-04,60.0,60.0,60.0,60.0,0,1800.0
2000-12-06,67.5,67.5,67.5,67.5,100,2025.0
2000-12-07,60.0,60.0,60.0,60.0,0,1800.0
2000-12-12,60.0,60.0,60.0,60.0,0,1800.0
2000-12-14,33.75,33.75,33.6,33.75,0,1012.5
2000-12-15,41.25,41.25,30.0,41.25,20800,1237.5
2000-12-18,45.0,45.0,45.0,45.0,700,1350.0
2000-12-19,45.0,45.0,45.0,45.0,200,1350.0
2000-12-21,38.43,38.43,38.43,38.43,0,1152.9
2000-12-22,38.43,45.0,38.43,38.43,100,1152.9
2000-12-27,43.5,43.5,43.11,43.5,500,1305.0
2000-12-29,41.55,41.55,41.25,41.55,1500,1246.5
2001-01-02,45.0,45.0,45.0,45.0,0,1350.0
2001-01-03,37.5,45.0,33.75,45.0,300,1350.0
2001-01-04,45.0,45.0,45.0,45.0,0,1350.0
2001-01-05,45.0,45.0,39.38,39.38,600,1181.25
2001-01-08,36.56,37.5,36.56,37.05,100,1111.5
2001-01-09,45.0,45.0,39.38,42.9,1500,1287.0
2001-01-10,41.25,46.88,41.25,46.88,1400,1406.25
2001-01-11,45.0,45.3,37.5,45.0,200,1350.0
2001-01-12,45.0,45.0,45.0,45.0,0,1350.0
2001-01-16,48.75,49.69,45.0,49.69,1300,1490.58
2001-01-17,49.69,49.69,49.69,49.69,500,1490.58
2001-01-18,49.69,52.5,48.75,48.75,1800,1462.5
2001-01-19,49.5,50.62,46.88,49.69,600,1490.58
2001-01-22,45.0,45.0,45.0,45.0,0,1350.0
2001-01-23,45.0,48.75,45.0,46.88,500,1406.25
2001-01-24,45.0,46.88,45.0,46.88,300,1406.25
2001-01-25,46.88,47.4,41.25,42.6,500,1278.0
2001-01-26,42.6,42.6,42.6,42.6,600,1278.0
2001-01-29,42.3,45.6,37.5,42.3,400,1269.0
2001-01-30,46.88,46.88,37.5,37.5,200,1125.0
2001-01-31,39.38,56.25,30.3,52.5,2700,1575.0
2001-02-01,49.69,52.5,49.69,49.69,1100,1490.58
2001-02-02,52.5,60.0,52.2,52.5,1000,1575.0
2001-02-05,51.56,51.56,46.88,46.88,100,1406.25
2001-02-06,46.88,49.69,46.88,48.75,300,1462.5
2001-02-07,46.88,46.88,46.88,46.88,0,1406.25
2001-02-08,46.86,46.86,46.86,46.86,0,1405.8
2001-02-09,46.88,47.4,44.85,44.85,700,1345.5
2001-02-12,44.85,44.85,44.85,44.85,0,1345.5
2001-02-13,50.62,50.62,45.0,45.0,400,1350.0
2001-02-14,51.56,51.56,51.56,51.56,0,1546.83
2001-02-15,51.54,51.54,51.54,51.54,0,1546.2
2001-02-16,42.19,43.59,41.25,43.12,800,1293.75
2001-02-20,39.38,43.5,39.38,43.5,0,1305.0
