Date,Open,High,Low,Close,Volume,Adj Close
1998-01-16,0.5,0.5,0.5,0.5,0,0.5
1998-01-19,0.5,0.5,0.5,0.5,0,0.5
1998-01-20,0.5,0.5,0.5,0.5,12000,0.5
1998-01-21,0.5,0.5,0.5,0.5,8000,0.5
1998-01-22,0.5,0.5,0.5,0.5,4000,0.5
1998-01-28,0.51,0.51,0.5,0.51,36000,0.51
1998-01-30,0.5,0.5,0.5,0.5,8000,0.5
1998-02-04,0.5,0.5,0.5,0.5,4000,0.5
1998-02-06,0.5,0.5,0.5,0.5,8000,0.5
1998-02-09,0.5,0.5,0.5,0.5,4000,0.5
1998-02-10,0.53,0.53,0.53,0.53,4000,0.53
1998-02-16,0.53,0.53,0.53,0.53,0,0.53
1998-02-17,0.53,0.53,0.5,0.53,8000,0.53
1998-02-19,0.5,0.5,0.5,0.5,2000,0.5
1998-02-20,0.5,0.5,0.5,0.5,2000,0.5
1998-02-25,0.5,0.5,0.5,0.5,2000,0.5
1998-02-27,0.53,0.53,0.53,0.53,2000,0.53
1998-03-05,0.5,0.5,0.5,0.5,2000,0.5
1998-03-11,0.56,0.56,0.56,0.56,2000,0.56
1998-04-10,0.56,0.56,0.56,0.56,0,0.56
1998-04-21,0.55,0.55,0.55,0.55,10000,0.55
1998-04-23,0.55,0.55,0.55,0.55,0,0.55
1998-05-25,0.55,0.55,0.55,0.55,0,0.55
1998-07-03,0.55,0.55,0.55,0.55,0,0.55
1998-07-31,0.52,0.52,0.5,0.52,10000,0.52
1998-08-18,0.5,0.5,0.5,0.5,2000,0.5
1998-09-07,0.5,0.5,0.5,0.5,0,0.5
1998-12-01,0.54,0.54,0.54,0.54,0,0.54
1998-12-25,0.54,0.54,0.54,0.54,0,0.54
1999-01-01,0.54,0.54,0.54,0.54,0,0.54
1999-01-11,0.5,0.5,0.5,0.5,0,0.5
1999-02-08,1.0,1.0,0.38,1.0,2200,1.0
1999-02-15,1.0,1.0,1.0,1.0,0,1.0
1999-02-23,0.38,0.88,0.38,0.38,10800,0.38
1999-04-02,0.38,0.38,0.38,0.38,0,0.38
1999-05-31,0.38,0.38,0.38,0.38,0,0.38
1999-06-21,0.38,0.38,0.38,0.38,1000,0.38
1999-07-05,0.38,0.38,0.38,0.38,0,0.38
1999-10-25,0.38,0.38,0.38,0.38,400,0.38
2000-02-08,1.0,1.0,1.0,1.0,2200,1.0
2000-02-11,1.0,1.0,1.0,1.0,800,1.0
2000-02-21,1.0,1.0,1.0,1.0,0,1.0
2000-03-10,0.25,0.25,0.25,0.25,1400,0.25
2000-04-21,0.25,0.25,0.25,0.25,0,0.25
2001-05-08,0.25,0.25,0.25,0.25,1000,0.25
2001-05-28,0.25,0.25,0.25,0.25,0,0.25
2001-07-04,0.25,0.25,0.25,0.25,0,0.25
2003-02-13,0.25,0.25,0.25,0.25,5000,0.25
2003-02-17,0.25,0.25,0.25,0.25,0,0.25
2003-04-18,0.25,0.25,0.25,0.25,0,0.25
2003-05-26,0.25,0.25,0.25,0.25,0,0.25
2003-07-04,0.25,0.25,0.25,0.25,0,0.25
2003-09-01,0.25,0.25,0.25,0.25,0,0.25
2003-11-27,0.25,0.25,0.25,0.25,0,0.25
2003-12-25,0.25,0.25,0.25,0.25,0,0.25
2004-01-01,0.25,0.25,0.25,0.25,0,0.25
2004-01-19,0.25,0.25,0.25,0.25,0,0.25
2004-02-11,0.25,0.25,0.25,0.25,1000,0.25
2004-02-16,0.25,0.25,0.25,0.25,0,0.25
2004-04-09,0.25,0.25,0.25,0.25,0,0.25
2004-05-31,0.25,0.25,0.25,0.25,0,0.25
2004-06-11,0.25,0.25,0.25,0.25,0,0.25
2004-07-02,0.6,0.6,0.6,0.6,25000,0.6
2004-07-05,0.6,0.6,0.6,0.6,0,0.6
2004-07-15,1.5,1.75,0.65,1.5,27400,1.5
2004-07-16,2.55,6.0,1.75,2.55,14500,2.55
2004-07-19,2.25,2.5,2.25,2.25,2500,2.25
2004-07-20,2.7,2.7,2.25,2.7,6500,2.7
2004-07-21,2.2,2.3,2.0,2.2,2200,2.2
2004-07-23,2.0,2.0,2.0,2.0,500,2.0
2004-07-27,1.88,1.88,1.65,1.88,3500,1.88
2004-07-28,1.1,1.6,1.1,1.1,4000,1.1
2004-07-29,1.6,1.6,1.4,1.6,8000,1.6
2004-07-30,1.85,2.2,1.7,1.85,38200,1.85
2004-08-02,1.25,1.85,1.2,1.25,11200,1.25
2004-08-03,1.45,1.45,1.45,1.45,1000,1.45
2004-08-04,1.5,1.5,1.5,1.5,1000,1.5
2004-08-05,1.43,1.43,1.43,1.43,500,1.43
2004-08-06,1.5,1.5,1.4,1.5,12100,1.5
2004-08-09,1.45,1.45,1.4,1.45,4000,1.45
2004-08-11,1.5,1.5,1.45,1.5,3100,1.5
2004-08-16,1.5,1.55,1.25,1.5,26000,1.5
2004-08-17,1.5,1.5,1.5,1.5,500,1.5
2004-08-18,1.12,1.5,1.12,1.12,2000,1.12
2004-08-20,1.2,1.25,1.15,1.2,37500,1.2
2004-08-24,1.1,1.1,1.1,1.1,500,1.1
2004-08-26,1.05,1.05,1.05,1.05,500,1.05
2004-08-27,1.2,1.2,1.18,1.2,20100,1.2
2004-08-30,1.4,1.55,1.25,1.4,16100,1.4
