Date,Open,High,Low,Close,Volume,Adj Close
2011-01-28,0.43,0.53,0.43,0.53,10100,0.53
2011-01-31,0.41,0.41,0.41,0.41,3300,0.41
2011-02-01,0.41,0.41,0.41,0.41,0,0.41
2011-02-02,0.64,0.64,0.63,0.63,1900,0.63
2011-02-03,0.64,0.64,0.64,0.64,300,0.64
2011-02-04,0.64,0.64,0.64,0.64,0,0.64
2011-02-07,0.64,0.64,0.64,0.64,0,0.64
2011-02-08,0.64,0.64,0.64,0.64,0,0.64
2011-02-09,0.64,0.64,0.64,0.64,0,0.64
2011-02-10,0.41,0.41,0.41,0.41,200,0.41
2011-02-11,0.41,0.41,0.41,0.41,0,0.41
2011-02-14,0.4,0.4,0.4,0.4,12500,0.4
2011-02-15,0.4,0.4,0.4,0.4,0,0.4
2011-02-16,0.64,0.64,0.4,0.64,11200,0.64
2011-02-17,0.64,0.64,0.64,0.64,0,0.64
2011-02-18,0.63,0.63,0.63,0.63,5000,0.63
2011-02-22,0.63,0.63,0.63,0.63,0,0.63
2011-02-23,0.63,0.63,0.63,0.63,0,0.63
2011-02-24,0.59,0.59,0.58,0.58,5000,0.58
2011-02-25,0.5,0.5,0.5,0.5,200,0.5
2011-02-28,0.5,0.5,0.5,0.5,0,0.5
2011-03-01,0.5,0.5,0.5,0.5,0,0.5
2011-03-02,0.64,0.64,0.63,0.63,9400,0.63
2011-03-03,0.63,0.63,0.63,0.63,0,0.63
2011-03-04,0.63,0.63,0.63,0.63,0,0.63
2011-03-07,0.63,0.63,0.63,0.63,0,0.63
2011-03-08,0.25,0.25,0.25,0.25,300,0.25
2011-03-09,0.57,0.57,0.57,0.57,3600,0.57
2011-03-10,0.57,0.57,0.57,0.57,0,0.57
2011-03-11,0.57,0.57,0.57,0.57,0,0.57
2011-03-14,0.57,0.57,0.57,0.57,0,0.57
2011-03-15,0.57,0.57,0.57,0.57,0,0.57
2011-03-16,0.57,0.57,0.57,0.57,0,0.57
2011-03-17,0.57,0.57,0.57,0.57,0,0.57
2011-03-18,0.57,0.57,0.57,0.57,0,0.57
2011-03-21,0.57,0.57,0.57,0.57,0,0.57
2011-03-22,0.57,0.57,0.57,0.57,0,0.57
2011-03-23,0.57,0.57,0.57,0.57,0,0.57
2011-03-24,0.57,0.57,0.57,0.57,0,0.57
2011-03-25,0.57,0.57,0.57,0.57,0,0.57
2011-03-28,0.57,0.57,0.57,0.57,0,0.57
2011-03-29,0.57,0.57,0.57,0.57,0,0.57
2011-03-30,0.57,0.57,0.57,0.57,0,0.57
2011-03-31,0.3,0.3,0.3,0.3,300,0.3
2011-04-01,0.3,0.3,0.3,0.3,0,0.3
2011-04-04,0.3,0.3,0.3,0.3,0,0.3
