Date,Open,High,Low,Close,Volume,Adj Close
2007-05-01,1.35,1.77,1.35,1.77,15900,1.77
2007-05-02,1.7,1.7,1.55,1.58,22500,1.58
2007-05-03,1.52,1.6,1.52,1.55,40700,1.55
2007-05-04,1.58,1.58,1.52,1.52,11800,1.52
2007-05-07,1.77,1.77,1.77,1.77,1000,1.77
2007-05-08,1.75,1.75,1.75,1.75,500,1.75
2007-05-09,1.75,1.75,1.75,1.75,2700,1.75
2007-05-10,1.65,1.65,1.35,1.45,19500,1.45
2007-05-11,1.4,1.4,1.33,1.4,32000,1.4
2007-05-14,1.36,1.36,1.34,1.34,9900,1.34
2007-05-15,1.4,1.4,1.4,1.4,3500,1.4
2007-05-16,1.4,1.4,1.4,1.4,0,1.4
2007-05-17,1.35,1.35,1.3,1.3,4500,1.3
2007-05-18,1.3,1.3,1.3,1.3,0,1.3
2007-05-21,1.3,1.3,1.3,1.3,500,1.3
2007-05-22,1.34,1.34,1.34,1.34,1500,1.34
2007-05-23,1.32,1.32,1.3,1.3,5000,1.3
2007-05-24,1.25,1.35,1.25,1.35,2600,1.35
2007-05-25,1.35,1.35,1.35,1.35,0,1.35
2007-05-29,1.35,1.35,1.35,1.35,0,1.35
2007-05-30,1.35,1.35,1.35,1.35,2000,1.35
2007-05-31,1.3,1.32,1.3,1.32,7000,1.32
2007-06-01,1.4,1.4,1.25,1.25,2100,1.25
2007-06-04,1.25,1.25,1.25,1.25,0,1.25
2007-06-05,1.25,1.25,1.25,1.25,0,1.25
2007-06-06,1.35,1.37,1.35,1.37,8000,1.37
2007-06-07,1.4,1.5,1.37,1.4,23700,1.4
2007-06-08,1.45,1.65,1.45,1.55,7200,1.55
2007-06-11,1.5,1.9,1.5,1.9,7700,1.9
2007-06-12,1.55,1.55,1.5,1.5,5000,1.5
2007-06-13,1.65,1.65,1.65,1.65,1000,1.65
2007-06-14,1.79,1.8,1.7,1.8,5900,1.8
2007-06-15,1.75,1.75,1.73,1.73,7800,1.73
2007-06-18,1.78,1.78,1.78,1.78,500,1.78
2007-06-19,1.75,1.9,1.52,1.85,46100,1.85
2007-06-20,1.85,1.95,1.82,1.82,22000,1.82
2007-06-21,1.8,1.85,1.8,1.85,9500,1.85
2007-06-22,1.85,1.85,1.85,1.85,0,1.85
2007-06-25,1.8,1.8,1.8,1.8,1000,1.8
2007-06-26,1.9,1.9,1.85,1.85,4000,1.85
2007-06-27,1.85,1.85,1.85,1.85,500,1.85
2007-06-28,1.85,1.85,1.51,1.75,12800,1.75
2007-06-29,1.75,1.75,1.75,1.75,0,1.75
2007-07-02,1.75,1.93,1.7,1.9,12400,1.9
2007-07-03,1.5,2.0,1.5,2.0,4100,2.0
2007-07-05,1.9,1.9,1.9,1.9,1000,1.9
2007-07-06,1.6,1.62,1.6,1.62,1000,1.62
2007-07-09,1.62,1.62,1.6,1.6,37200,1.6
2007-07-10,1.65,1.65,1.4,1.4,12000,1.4
2007-07-11,1.4,1.6,1.35,1.6,3500,1.6
2007-07-12,1.6,1.8,1.5,1.5,20300,1.5
2007-07-13,1.5,1.55,1.35,1.55,1500,1.55
2007-07-16,1.6,1.6,1.6,1.6,1100,1.6
2007-07-17,1.6,1.6,1.6,1.6,0,1.6
2007-07-18,1.5,1.5,1.15,1.5,2500,1.5
2007-07-19,1.5,1.53,1.5,1.5,4300,1.5
2007-07-20,1.99,1.99,1.25,1.5,20200,1.5
2007-07-23,1.4,1.42,1.3,1.3,8300,1.3
2007-07-24,1.5,1.79,1.31,1.35,10500,1.35
2007-07-25,1.6,1.61,1.4,1.4,40800,1.4
2007-07-26,1.35,1.35,1.35,1.35,500,1.35
2007-07-27,1.6,1.6,1.4,1.4,11500,1.4
2007-07-30,1.4,1.43,1.4,1.4,11000,1.4
2007-07-31,1.35,1.54,1.35,1.54,23000,1.54
2007-08-01,1.55,1.6,1.55,1.57,13500,1.57
2007-08-02,1.57,1.6,1.57,1.6,5400,1.6
2007-08-03,1.52,1.55,1.52,1.55,4000,1.55
2007-08-06,1.6,1.6,1.45,1.45,9000,1.45
2007-08-07,1.45,1.45,1.45,1.45,0,1.45
2007-08-08,1.43,1.55,1.43,1.52,9000,1.52
2007-08-09,1.52,1.52,1.52,1.52,0,1.52
2007-08-10,1.45,1.52,1.45,1.52,2000,1.52
2007-08-13,1.52,1.52,1.4,1.4,1500,1.4
2007-08-14,1.26,1.5,1.15,1.5,9600,1.5
2007-08-15,1.2,1.6,1.1,1.5,12500,1.5
2007-08-16,1.5,1.6,1.25,1.25,12500,1.25
2007-08-17,1.2,1.4,1.05,1.1,16000,1.1
2007-08-20,1.2,1.2,1.2,1.2,3000,1.2
2007-08-21,1.5,1.5,1.2,1.42,23700,1.42
