Date,Open,High,Low,Close,Volume,Adj Close
1987-12-30,35.38,35.5,35.38,35.5,1200,4.24
1987-12-31,35.75,35.75,35.75,35.75,1300,4.27
1988-01-04,36.0,36.0,36.0,36.0,200,4.3
1988-01-05,36.5,37.12,36.5,37.12,1100,4.43
1988-01-06,37.12,37.12,37.12,37.12,1000,4.43
1988-01-07,37.5,38.5,37.5,38.38,2300,4.58
1988-01-08,38.62,39.25,38.62,39.25,900,4.68
1988-01-11,39.5,39.5,39.5,39.5,100,4.71
1988-01-12,39.5,39.5,39.5,39.5,50400,4.71
1988-01-13,39.0,39.0,39.0,39.0,100,4.65
1988-01-14,38.75,38.75,38.0,38.0,1000,4.53
1988-01-15,38.25,38.25,38.25,38.25,200,4.56
1988-01-18,38.25,38.25,38.25,38.25,0,4.56
1988-01-19,38.0,38.0,38.0,38.0,100,4.53
1988-01-20,37.75,37.75,37.25,37.25,3700,4.44
1988-01-21,37.25,37.25,37.25,37.25,0,4.44
1988-01-22,37.12,37.25,37.12,37.25,600,4.44
1988-01-25,37.38,37.38,37.38,37.38,300,4.47
1988-01-26,37.38,37.38,37.38,37.38,0,4.47
1988-01-27,37.12,37.12,37.12,37.12,1200,4.44
1988-01-28,37.12,37.12,37.12,37.12,0,4.44
1988-01-29,37.0,37.0,37.0,37.0,200,4.43
1988-02-01,36.75,36.75,36.75,36.75,200,4.4
1988-02-02,36.75,36.75,36.75,36.75,0,4.4
1988-02-03,36.75,36.75,36.75,36.75,0,4.4
1988-02-04,36.75,36.75,36.75,36.75,0,4.4
1988-02-05,36.25,36.25,36.25,36.25,9400,4.34
1988-02-08,36.25,36.25,36.25,36.25,0,4.34
1988-02-09,36.0,36.0,36.0,36.0,600,4.31
1988-02-10,36.0,36.0,36.0,36.0,0,4.31
1988-02-11,36.0,36.0,36.0,36.0,800,4.31
1988-02-12,36.0,36.0,36.0,36.0,200,4.31
1988-02-16,36.0,36.0,36.0,36.0,1400,4.31
1988-02-17,36.0,36.0,36.0,36.0,100,4.31
1988-02-18,36.5,36.5,36.38,36.38,10200,4.35
1988-02-19,36.25,36.25,36.25,36.25,600,4.34
1988-02-22,36.25,36.25,36.25,36.25,1100,4.34
1988-02-23,36.38,36.38,36.38,36.38,500,4.35
1988-02-24,36.25,36.25,36.25,36.25,100,4.38
1988-02-25,36.5,36.5,36.25,36.25,400,4.38
1988-02-26,36.25,36.25,36.25,36.25,700,4.38
1988-02-29,36.25,36.25,36.25,36.25,500,4.38
1988-03-01,36.25,36.25,36.0,36.0,4100,4.35
1988-03-02,36.25,36.25,36.25,36.25,100,4.38
1988-03-03,36.5,36.5,36.25,36.25,600,4.38
1988-03-04,36.38,36.62,36.38,36.62,200,4.42
1988-03-07,36.75,36.75,36.5,36.5,1500,4.41
1988-03-08,36.25,36.25,36.12,36.12,900,4.36
1988-03-09,36.38,36.38,36.38,36.38,200,4.39
1988-03-10,36.5,36.5,36.25,36.25,2400,4.38
1988-03-11,36.5,36.5,36.25,36.5,400,4.41
1988-03-14,36.62,36.62,36.5,36.5,400,4.41
1988-03-15,36.5,36.5,36.5,36.5,100,4.41
1988-03-16,36.5,36.5,36.5,36.5,100,4.41
1988-03-17,36.62,36.88,36.62,36.88,500,4.45
1988-03-18,37.0,37.25,36.88,37.12,1500,4.48
1988-03-21,37.12,37.12,37.12,37.12,500,4.48
1988-03-22,37.12,37.12,37.12,37.12,0,4.48
1988-03-23,37.12,37.12,37.12,37.12,100,4.48
1988-03-24,37.12,37.12,37.12,37.12,400,4.48
1988-03-25,36.88,36.88,36.88,36.88,600,4.47
1988-03-28,36.88,36.88,36.88,36.88,0,4.47
1988-03-29,36.88,36.88,36.88,36.88,0,4.47
1988-03-30,36.88,36.88,36.88,36.88,1100,4.47
1988-03-31,36.88,36.88,36.88,36.88,0,4.47
1988-04-04,37.0,37.0,37.0,37.0,1100,4.48
1988-04-05,37.0,37.0,36.88,36.88,600,4.47
1988-04-06,36.88,36.88,36.88,36.88,0,4.47
1988-04-07,36.88,37.38,36.88,37.38,1100,4.53
1988-04-08,37.0,37.25,37.0,37.25,15700,4.51
1988-04-11,37.38,37.62,37.38,37.62,400,4.56
1988-04-12,37.88,38.12,37.88,38.12,6500,4.62
1988-04-13,38.25,38.5,38.25,38.5,500,4.67
1988-04-14,38.5,38.5,38.5,38.5,0,4.67
1988-04-15,38.5,38.5,38.5,38.5,0,4.67
1988-04-18,38.38,38.62,38.38,38.62,5600,4.68
1988-04-19,38.62,39.0,38.62,38.88,1900,4.71
1988-04-20,38.88,38.88,38.88,38.88,0,4.71
1988-04-21,38.88,38.88,38.88,38.88,0,4.71
1988-04-22,38.62,38.62,38.62,38.62,300,4.68
1988-04-25,38.12,38.75,38.0,38.0,1800,4.61
1988-04-26,38.25,38.25,38.25,38.25,700,4.64
1988-04-27,38.0,38.0,38.0,38.0,100,4.61
1988-04-28,37.75,37.75,37.75,37.75,300,4.58
1988-04-29,38.0,38.0,38.0,38.0,1400,4.61
1988-05-02,38.0,38.0,38.0,38.0,0,4.61
1988-05-03,38.0,38.0,38.0,38.0,0,4.61
1988-05-04,37.75,37.75,37.75,37.75,800,4.58
1988-05-05,37.75,37.75,37.75,37.75,600,4.58
1988-05-06,37.88,37.88,37.88,37.88,0,4.6
1988-05-09,37.5,37.5,37.25,37.5,600,4.55
1988-05-10,37.5,37.5,37.5,37.5,200,4.55
1988-05-11,37.5,37.5,37.5,37.5,0,4.55
1988-05-12,37.25,37.25,37.0,37.0,1200,4.49
1988-05-13,37.0,37.0,37.0,37.0,500,4.49
1988-05-16,37.0,37.0,37.0,37.0,1100,4.49
1988-05-17,37.0,37.0,37.0,37.0,0,4.49
