Date,Open,High,Low,Close,Volume,Adj Close
1994-10-31,5.22,5.22,5.22,5.22,0,2.68
1994-11-01,6.34,6.34,4.85,6.34,3300,3.25
1994-11-02,6.72,6.72,6.34,6.72,6800,3.44
1994-11-03,7.09,7.09,6.54,7.09,2900,3.63
1994-11-04,5.97,5.97,5.97,5.97,100,3.06
1994-11-09,6.34,6.34,6.34,6.34,400,3.25
1994-11-10,6.34,6.34,6.34,6.34,400,3.25
1994-11-16,6.15,6.15,5.97,6.15,2800,3.15
1994-11-17,6.34,6.34,5.6,6.34,1600,3.25
1994-11-21,5.4,5.4,5.4,5.4,100,2.77
1994-11-22,5.97,5.97,5.4,5.97,1600,3.06
1994-11-30,5.6,5.6,5.6,5.6,300,2.87
1994-12-02,5.6,5.6,5.6,5.6,200,2.87
1994-12-07,5.79,5.79,5.6,5.79,1100,2.97
1994-12-13,5.6,5.6,5.6,5.6,200,2.87
1994-12-14,5.6,5.6,5.6,5.6,100,2.87
1994-12-16,5.97,6.34,5.97,5.97,4400,3.06
1994-12-21,5.6,5.6,5.6,5.6,300,2.87
1994-12-22,5.79,5.97,5.6,5.79,1600,2.97
1994-12-29,6.34,6.34,6.34,6.34,2000,3.25
1995-01-05,6.34,6.34,5.6,6.34,3300,3.25
1995-01-10,6.34,6.34,5.79,6.34,9500,3.25
1995-01-12,5.4,5.6,5.22,5.4,3000,2.77
1995-01-13,5.6,5.6,5.6,5.6,1300,2.87
1995-01-16,5.97,5.97,5.97,5.97,1300,3.06
1995-01-20,5.6,5.6,5.4,5.6,2600,2.87
1995-01-23,5.22,5.22,5.22,5.22,200,2.68
1995-01-24,5.22,5.4,5.22,5.22,3500,2.68
1995-01-31,5.79,5.79,5.79,5.79,600,2.97
1995-02-16,2.89,2.89,2.89,2.89,0,1.48
1995-02-22,2.52,2.52,2.52,2.52,100,1.29
1995-02-23,2.52,2.52,2.52,2.52,200,1.29
1995-02-24,2.52,2.52,2.43,2.52,6700,1.29
1995-02-27,2.24,2.24,2.24,2.24,200,1.15
1995-02-28,2.24,2.24,2.24,2.24,1000,1.15
1995-03-01,2.38,2.38,2.33,2.38,4000,1.22
1995-03-06,2.7,2.7,2.24,2.7,600,1.38
1995-03-07,2.7,2.7,2.24,2.7,1300,1.38
1995-03-08,2.24,2.24,2.24,2.24,1400,1.15
1995-03-10,2.52,2.52,2.52,2.52,400,1.29
1995-03-14,2.52,2.52,2.52,2.52,3300,1.29
1995-03-15,2.43,2.43,2.43,2.43,500,1.24
1995-03-17,2.43,2.8,2.43,2.43,1600,1.24
1995-03-20,2.43,2.8,2.43,2.43,1800,1.24
1995-03-21,2.8,2.8,2.8,2.8,100,1.43
1995-03-22,2.8,2.8,2.61,2.8,8000,1.43
1995-03-24,2.61,2.61,2.61,2.61,600,1.34
1995-03-29,2.8,2.8,2.8,2.8,1000,1.43
1995-04-04,2.98,2.98,2.98,2.98,2000,1.53
1995-04-06,2.8,2.8,2.7,2.8,5400,1.43
1995-04-07,2.8,2.8,2.8,2.8,2600,1.43
1995-04-10,2.7,2.7,2.7,2.7,600,1.38
1995-04-12,2.89,2.98,2.89,2.89,5300,1.48
1995-04-17,2.8,2.8,2.8,2.8,1000,1.43
1995-04-20,2.98,2.98,2.8,2.98,1200,1.53
1995-05-01,2.98,2.98,2.8,2.98,4400,1.53
1995-05-04,2.98,2.98,2.98,2.98,500,1.53
1995-05-11,2.98,2.98,2.98,2.98,2000,1.53
1995-05-12,2.98,2.98,2.98,2.98,200,1.53
1995-05-15,2.98,2.98,2.98,2.98,1300,1.53
1995-05-16,2.98,2.98,2.98,2.98,1300,1.53
1995-05-17,2.89,2.89,2.89,2.89,200,1.48
1995-05-22,2.89,2.89,2.89,2.89,600,1.48
1995-05-24,3.17,3.36,2.98,3.17,12400,1.62
1995-05-25,3.36,3.36,3.17,3.36,4000,1.72
1995-05-30,2.98,3.27,2.98,2.98,2800,1.53
1995-05-31,3.17,3.17,3.17,3.17,2000,1.62
1995-06-01,3.45,3.45,2.98,3.45,5800,1.77
1995-06-02,3.55,3.82,3.36,3.55,16300,1.82
1995-06-05,3.36,4.11,3.36,3.36,6900,1.72
1995-06-07,3.73,3.92,3.55,3.73,10900,1.91
1995-06-08,3.73,3.92,3.55,3.73,1300,1.91
1995-06-09,3.55,3.55,3.55,3.55,1300,1.82
1995-06-12,2.98,3.55,2.98,2.98,1400,1.53
1995-06-13,3.17,3.17,3.17,3.17,600,1.62
1995-06-15,2.98,2.98,2.98,2.98,4000,1.53
1995-06-21,3.45,3.45,3.36,3.45,19500,1.77
1995-06-22,3.36,3.55,3.36,3.36,2900,1.72
1995-06-23,3.36,3.36,3.36,3.36,1300,1.72
1995-06-26,3.92,3.92,3.45,3.92,6500,2.01
1995-06-27,3.45,3.45,3.36,3.45,5200,1.77
1995-06-28,3.36,3.45,3.36,3.36,1300,1.72
1995-07-05,3.92,3.92,3.92,3.92,400,2.01
1995-07-06,3.45,3.92,3.45,3.45,2800,1.77
1995-07-07,3.36,3.36,3.36,3.36,3400,1.72
1995-07-10,3.36,3.36,3.36,3.36,1300,1.72
1995-07-11,3.45,3.45,3.36,3.45,6000,1.77
1995-07-12,3.45,3.45,3.36,3.45,9100,1.77
1995-07-13,3.45,3.45,3.36,3.45,4500,1.77
1995-07-14,3.45,3.45,3.36,3.45,6400,1.77
1995-07-17,3.27,3.27,3.27,3.27,2600,1.67
1995-07-18,3.27,3.27,3.27,3.27,0,1.67
1995-07-20,3.17,3.17,3.17,3.17,2000,1.62
1995-07-21,3.45,3.45,3.45,3.45,3300,1.77
1995-07-24,2.98,3.08,2.98,2.98,600,1.53
1995-07-25,2.98,2.98,2.98,2.98,1300,1.53
1995-08-02,2.98,2.98,2.98,2.98,600,1.53
1995-08-04,2.98,2.98,2.98,2.98,200,1.53
1995-08-08,3.21,3.21,3.21,3.21,600,1.64
1995-08-09,3.13,3.27,2.98,3.13,4000,1.6
1995-08-14,2.98,2.98,2.98,2.98,500,1.53
1995-08-17,2.98,2.98,2.98,2.98,1300,1.53
1995-08-23,2.98,2.98,2.98,2.98,100,1.53
1995-08-25,2.98,2.98,2.98,2.98,600,1.53
1995-08-30,3.08,3.08,2.98,3.08,1300,1.58
1995-09-01,3.08,3.08,3.08,3.08,600,1.58
1995-09-05,2.89,3.64,2.89,2.89,1400,1.48
1995-09-11,3.08,3.08,2.98,3.08,3200,1.58
1995-09-12,2.98,2.98,2.98,2.98,1300,1.53
1995-09-13,2.98,2.98,2.98,2.98,10000,1.53
1995-09-14,2.98,2.98,2.98,2.98,1300,1.53
1995-09-15,2.89,2.89,2.89,2.89,1300,1.48
1995-09-18,3.27,3.27,2.98,3.27,1700,1.67
1995-09-20,2.98,2.98,2.89,2.98,2000,1.53
1995-09-27,2.98,2.98,2.98,2.98,500,1.53
1995-09-28,2.98,2.98,2.98,2.98,5300,1.53
1995-10-04,2.7,2.7,2.7,2.7,600,1.39
1995-10-05,2.98,2.98,2.61,2.98,8100,1.53
1995-10-06,2.43,2.43,2.43,2.43,400,1.24
1995-10-12,2.43,2.43,2.43,2.43,13400,1.24
1995-10-20,2.98,2.98,2.61,2.98,8000,1.53
1995-10-23,3.17,3.27,2.8,3.17,13800,1.62
1995-10-24,3.27,3.27,3.27,3.27,200,1.67
1995-11-07,3.17,3.17,3.17,3.17,1300,1.62
1995-11-10,2.98,2.98,2.98,2.98,200,1.53
1995-11-15,2.98,2.98,2.98,2.98,1000,1.53
