Date,Open,High,Low,Close,Volume,Adj Close
1999-04-20,2.12,2.12,2.12,2.12,1000,2.12
1999-04-21,2.12,2.12,2.12,2.12,3000,2.12
1999-04-22,2.12,2.12,2.12,2.12,1000,2.12
1999-04-23,2.19,2.38,2.19,2.38,4400,2.38
1999-04-26,2.38,2.38,2.31,2.31,25600,2.31
1999-04-27,2.5,2.5,2.38,2.38,1500,2.38
1999-04-28,2.5,2.56,2.5,2.5,14100,2.5
1999-04-29,2.56,2.56,2.5,2.5,5700,2.5
1999-04-30,2.56,2.56,2.56,2.56,500,2.56
1999-05-03,2.56,2.56,2.56,2.56,0,2.56
1999-05-04,2.5,2.59,2.5,2.5,8300,2.5
1999-05-05,2.59,2.59,2.5,2.53,12800,2.53
1999-05-06,2.53,2.53,2.53,2.53,6300,2.53
1999-05-07,2.53,2.62,2.53,2.56,49300,2.56
1999-05-10,2.62,2.81,2.62,2.62,48300,2.62
1999-05-11,2.75,2.81,2.62,2.75,21400,2.75
1999-05-12,2.75,3.0,2.75,3.0,44700,3.0
1999-05-13,2.94,3.06,2.88,2.88,6900,2.88
1999-05-14,3.0,3.31,3.0,3.31,11400,3.31
1999-05-17,3.31,3.38,3.12,3.38,3600,3.38
1999-05-18,3.44,3.47,3.25,3.47,6900,3.47
1999-05-19,3.28,3.47,3.28,3.44,18400,3.44
1999-05-20,3.44,3.44,3.31,3.31,5100,3.31
1999-05-21,3.31,3.31,3.31,3.31,1600,3.31
1999-05-24,3.44,3.44,3.25,3.25,17000,3.25
1999-05-25,3.12,3.12,2.75,2.75,20800,2.75
1999-05-26,3.0,3.0,2.94,3.0,12500,3.0
1999-05-27,2.88,3.0,2.88,2.88,7400,2.88
1999-05-28,2.88,2.88,2.88,2.88,0,2.88
1999-06-01,2.88,2.88,2.88,2.88,0,2.88
1999-06-02,3.0,3.0,2.62,2.62,19400,2.62
1999-06-03,2.88,2.88,2.88,2.88,1000,2.88
1999-06-04,2.88,2.88,2.88,2.88,300,2.88
1999-06-07,2.88,2.88,2.88,2.88,0,2.88
1999-06-08,2.62,2.62,2.62,2.62,3000,2.62
1999-06-09,2.62,2.62,2.62,2.62,0,2.62
1999-06-10,2.62,2.62,2.62,2.62,500,2.62
1999-06-11,2.62,2.62,2.62,2.62,1200,2.62
1999-06-14,2.62,2.62,2.62,2.62,0,2.62
1999-06-15,2.62,2.62,2.62,2.62,15800,2.62
1999-06-16,2.62,2.62,2.62,2.62,12900,2.62
1999-06-17,2.62,2.62,2.62,2.62,1000,2.62
1999-06-18,2.62,2.62,2.62,2.62,0,2.62
1999-06-21,2.62,2.62,2.62,2.62,7000,2.62
1999-06-22,2.62,2.62,2.5,2.5,6500,2.5
1999-06-23,2.5,2.5,2.5,2.5,5300,2.5
1999-06-24,2.5,2.5,2.5,2.5,2000,2.5
1999-06-25,2.5,2.5,2.5,2.5,0,2.5
1999-06-28,2.5,2.5,2.5,2.5,5000,2.5
1999-06-29,2.5,2.5,2.5,2.5,1000,2.5
1999-06-30,2.38,2.38,2.38,2.38,1200,2.38
1999-07-01,2.38,2.38,2.38,2.38,2000,2.38
1999-07-02,2.38,2.38,2.38,2.38,0,2.38
1999-07-06,2.25,2.25,2.25,2.25,500,2.25
1999-07-07,2.25,2.25,2.25,2.25,28200,2.25
1999-07-08,2.25,2.25,2.25,2.25,0,2.25
1999-07-09,2.25,2.25,2.25,2.25,20000,2.25
1999-07-12,2.25,2.25,2.25,2.25,11500,2.25
1999-07-13,2.25,2.25,2.25,2.25,2500,2.25
1999-07-14,2.25,2.25,2.25,2.25,600,2.25
1999-07-15,2.44,2.44,2.25,2.25,2500,2.25
1999-07-16,2.25,2.25,2.25,2.25,0,2.25
1999-07-19,2.25,2.25,2.25,2.25,1500,2.25
1999-07-20,2.0,2.0,2.0,2.0,1000,2.0
1999-07-21,2.25,2.25,2.25,2.25,1000,2.25
1999-07-22,2.25,2.25,2.25,2.25,0,2.25
1999-07-23,2.25,2.25,2.0,2.0,2400,2.0
1999-07-26,2.0,2.0,2.0,2.0,400,2.0
1999-07-27,2.0,2.0,2.0,2.0,1000,2.0
1999-07-28,2.0,2.0,1.47,1.88,7000,1.88
1999-07-29,1.88,1.88,1.88,1.88,0,1.88
1999-07-30,1.88,1.88,1.88,1.88,0,1.88
1999-08-02,1.91,2.0,1.91,2.0,2500,2.0
1999-08-03,2.06,2.25,2.0,2.25,8300,2.25
1999-08-04,2.0,2.0,2.0,2.0,15400,2.0
1999-08-05,2.0,2.34,2.0,2.25,15700,2.25
1999-08-06,2.31,2.31,2.31,2.31,2500,2.31
1999-08-09,2.31,2.31,2.0,2.0,15700,2.0
1999-08-10,2.0,2.0,2.0,2.0,0,2.0
1999-08-11,2.0,2.0,2.0,2.0,8400,2.0
1999-08-12,2.06,2.06,2.0,2.0,6500,2.0
1999-08-13,2.12,2.25,2.12,2.25,5500,2.25
1999-08-16,2.28,2.38,2.12,2.12,27800,2.12
1999-08-17,2.12,2.12,2.12,2.12,0,2.12
1999-08-18,2.12,2.12,2.12,2.12,0,2.12
1999-08-19,2.25,2.25,2.25,2.25,900,2.25
1999-08-20,2.28,2.28,2.28,2.28,3000,2.28
