Date,Open,High,Low,Close,Volume,Adj Close
1999-04-26,19.75,19.75,19.0,19.0,1500,19.0
1999-04-27,19.0,20.0,19.0,19.88,23500,19.88
1999-04-28,19.88,19.88,18.75,18.75,7300,18.75
1999-04-29,19.0,19.88,18.75,19.12,10700,19.12
1999-04-30,19.12,19.12,17.0,17.25,32700,17.25
1999-05-03,17.75,19.38,17.75,18.62,47600,18.62
1999-05-04,18.5,18.75,17.75,18.5,10200,18.5
1999-05-05,18.75,19.0,18.5,18.5,3300,18.5
1999-05-06,18.38,19.25,18.12,18.38,1600,18.38
1999-05-07,19.12,19.62,18.5,19.5,10900,19.5
1999-05-10,19.5,19.75,19.25,19.25,4400,19.25
1999-05-11,19.06,19.06,17.88,17.88,7400,17.88
1999-05-12,17.5,17.5,17.0,17.0,8300,17.0
1999-05-13,16.94,18.06,16.94,18.06,8500,18.06
1999-05-14,18.06,18.06,17.0,17.25,14500,17.25
1999-05-17,17.25,17.25,16.0,17.12,2200,17.12
1999-05-18,17.12,17.12,15.75,15.75,1100,15.75
1999-05-19,17.12,17.12,16.75,16.75,13300,16.75
1999-05-20,16.81,16.81,16.75,16.81,6000,16.81
1999-05-21,16.78,16.78,16.28,16.69,24700,16.69
1999-05-24,16.5,16.69,16.5,16.62,3700,16.62
1999-05-25,16.53,16.53,13.62,14.0,46500,14.0
1999-05-26,14.25,17.06,14.0,17.06,50800,17.06
1999-05-27,14.5,14.75,13.25,14.0,26100,14.0
1999-05-28,14.0,14.25,13.5,14.12,7500,14.12
1999-06-01,14.12,14.12,12.0,12.75,14900,12.75
1999-06-02,12.38,12.75,11.38,12.75,12500,12.75
1999-06-03,12.75,13.75,12.75,13.75,3800,13.75
1999-06-04,14.38,14.62,13.88,14.0,7100,14.0
1999-06-07,14.25,14.75,14.12,14.75,5300,14.75
1999-06-08,14.5,14.75,14.12,14.12,3000,14.12
1999-06-09,14.75,15.25,14.5,14.75,7500,14.75
1999-06-10,14.75,15.5,14.75,15.5,600,15.5
1999-06-11,15.0,15.0,15.0,15.0,200,15.0
1999-06-14,14.5,14.5,14.5,14.5,3000,14.5
1999-06-15,14.25,14.25,14.25,14.25,1200,14.25
1999-06-16,14.0,14.0,13.62,14.0,2200,14.0
1999-06-17,14.0,14.0,14.0,14.0,0,14.0
1999-06-18,13.62,13.75,13.0,13.75,4700,13.75
1999-06-21,13.25,13.62,13.25,13.62,1400,13.62
1999-06-22,13.62,13.62,13.25,13.25,400,13.25
1999-06-23,13.25,13.25,13.25,13.25,0,13.25
1999-06-24,13.25,13.25,13.25,13.25,0,13.25
1999-06-25,13.88,14.5,13.88,14.25,9300,14.25
1999-06-28,14.5,14.5,13.75,13.75,6100,13.75
1999-06-29,13.81,14.0,13.75,13.88,14600,13.88
1999-06-30,14.12,14.12,14.06,14.06,3400,14.06
1999-07-01,14.06,14.06,14.06,14.06,0,14.06
1999-07-02,14.0,14.12,14.0,14.12,1800,14.12
1999-07-06,14.0,14.12,14.0,14.0,1600,14.0
1999-07-07,14.0,14.38,14.0,14.06,7500,14.06
1999-07-08,14.06,14.06,14.06,14.06,0,14.06
1999-07-09,14.0,14.38,14.0,14.25,5000,14.25
1999-07-12,14.12,14.69,14.0,14.69,5200,14.69
1999-07-13,14.0,14.38,14.0,14.38,1100,14.38
1999-07-14,14.0,14.25,14.0,14.0,6600,14.0
1999-07-15,14.38,14.38,14.0,14.0,7400,14.0
1999-07-16,14.25,14.38,14.0,14.38,3900,14.38
1999-07-19,14.12,14.12,14.12,14.12,1500,14.12
1999-07-20,14.12,14.12,14.0,14.06,3000,14.06
1999-07-21,13.75,13.75,13.75,13.75,8700,13.75
1999-07-22,13.88,14.25,13.88,13.88,15600,13.88
1999-07-23,14.06,14.06,14.06,14.06,100,14.06
1999-07-26,13.88,14.06,13.75,13.75,14100,13.75
1999-07-27,13.75,13.75,13.56,13.59,1200,13.59
1999-07-28,13.59,13.59,13.12,13.31,8700,13.31
1999-07-29,13.12,13.12,12.12,12.12,7400,12.12
1999-07-30,12.12,12.5,12.0,12.25,26700,12.25
1999-08-02,11.81,12.5,11.81,12.5,1100,12.5
1999-08-03,12.0,12.56,12.0,12.5,3000,12.5
1999-08-04,12.38,12.38,11.81,11.81,17000,11.81
1999-08-05,11.81,11.81,10.5,11.69,19900,11.69
1999-08-06,11.69,11.88,11.69,11.88,1400,11.88
1999-08-09,11.94,12.5,11.94,12.25,3200,12.25
1999-08-10,12.19,12.19,12.19,12.19,400,12.19
1999-08-11,11.5,11.5,11.5,11.5,100,11.5
1999-08-12,11.75,12.0,11.25,11.62,5300,11.62
1999-08-13,11.62,11.62,11.62,11.62,0,11.62
1999-08-16,11.62,11.62,11.62,11.62,0,11.62
1999-08-17,11.75,11.75,11.38,11.75,1600,11.75
1999-08-18,11.75,11.88,11.75,11.88,5400,11.88
1999-08-19,11.5,11.88,11.5,11.88,4200,11.88
1999-08-20,11.75,11.75,11.62,11.62,3100,11.62
1999-08-23,11.88,12.0,11.75,12.0,2300,12.0
1999-08-24,12.0,12.25,12.0,12.0,2400,12.0
1999-08-25,12.25,13.0,12.0,13.0,5600,13.0
1999-08-26,13.0,13.0,12.5,12.5,3100,12.5
1999-08-27,12.5,13.12,12.5,12.62,10200,12.62
1999-08-30,12.56,12.88,12.38,12.88,15200,12.88
1999-08-31,12.38,12.5,12.12,12.25,10500,12.25
1999-09-01,12.5,12.62,12.38,12.38,7100,12.38
1999-09-02,12.62,12.62,12.38,12.5,1900,12.5
1999-09-03,12.25,12.38,11.88,11.88,6900,11.88
1999-09-07,11.88,11.88,11.75,11.88,5700,11.88
1999-09-08,11.75,11.75,11.38,11.5,8500,11.5
1999-09-09,11.38,11.5,11.38,11.5,500,11.5
1999-09-10,11.5,11.88,11.25,11.75,5700,11.75
1999-09-13,11.88,12.75,11.88,12.5,9900,12.5
1999-09-14,12.38,13.0,12.31,12.5,14700,12.5
1999-09-15,13.0,13.25,13.0,13.12,9100,13.12
1999-09-16,13.25,13.5,13.0,13.5,3100,13.5
1999-09-17,13.5,13.5,12.62,12.62,3900,12.62
