Date,Open,High,Low,Close,Volume,Adj Close
2003-11-24,0.13,0.13,0.07,0.12,17900,0.11
2003-11-25,0.05,0.14,0.05,0.1,181200,0.09
2003-11-26,0.11,0.16,0.11,0.16,198300,0.15
2003-11-28,0.11,0.19,0.11,0.16,10400,0.15
2003-12-01,0.14,0.19,0.14,0.14,21600,0.13
2003-12-02,0.17,0.17,0.11,0.11,11700,0.1
2003-12-03,0.12,0.12,0.12,0.12,1000,0.11
2003-12-04,0.13,0.17,0.13,0.16,171500,0.15
2003-12-05,0.16,0.16,0.16,0.16,22200,0.15
2003-12-08,0.16,0.19,0.16,0.18,63000,0.17
2003-12-09,0.13,0.17,0.13,0.15,98300,0.14
2003-12-10,0.16,0.17,0.15,0.16,83300,0.15
2003-12-11,0.17,0.18,0.16,0.18,142200,0.17
2003-12-12,0.17,0.17,0.17,0.17,200,0.16
2003-12-15,0.17,0.18,0.17,0.18,46100,0.17
2003-12-16,0.17,0.17,0.17,0.17,5000,0.16
2003-12-17,0.16,0.19,0.16,0.18,75600,0.17
2003-12-18,0.17,0.19,0.17,0.19,53500,0.18
2003-12-19,0.18,0.22,0.18,0.21,47600,0.2
2003-12-22,0.22,0.27,0.2,0.21,85500,0.2
2003-12-23,0.21,0.28,0.21,0.22,57500,0.21
2003-12-24,0.22,0.22,0.19,0.2,3100,0.19
2003-12-26,0.18,0.19,0.18,0.19,2000,0.18
2003-12-29,0.18,0.19,0.18,0.19,88800,0.18
2003-12-30,0.18,0.2,0.18,0.19,83500,0.18
2003-12-31,0.18,0.23,0.18,0.2,80400,0.19
2004-01-02,0.18,0.25,0.18,0.24,19600,0.23
2004-01-05,0.25,0.25,0.19,0.19,24700,0.18
2004-01-06,0.29,0.29,0.19,0.2,9500,0.19
2004-01-07,0.29,0.29,0.2,0.25,8500,0.24
2004-01-08,0.19,0.29,0.19,0.25,47500,0.24
2004-01-09,0.24,0.28,0.24,0.24,18500,0.23
2004-01-12,0.29,0.29,0.24,0.25,5500,0.24
2004-01-13,0.21,0.21,0.21,0.21,4400,0.2
