Date,Open,High,Low,Close,Volume,Adj Close
2007-07-17,2.55,2.55,2.55,2.55,0,2.55
2007-07-18,2.15,2.5,2.15,2.5,200,2.5
2007-07-19,2.25,2.25,2.25,2.25,300,2.25
2007-07-20,2.25,2.25,2.25,2.25,600,2.25
2007-07-23,2.25,2.25,2.25,2.25,0,2.25
2007-07-24,2.25,2.25,2.25,2.25,0,2.25
2007-07-25,2.25,2.25,2.25,2.25,0,2.25
2007-07-26,2.0,2.2,2.0,2.2,700,2.2
2007-07-27,2.2,2.2,2.2,2.2,0,2.2
2007-07-30,1.47,1.97,1.47,1.97,2300,1.97
2007-07-31,2.25,2.25,1.45,2.0,12800,2.0
2007-08-01,1.53,2.0,1.51,2.0,10200,2.0
2007-08-02,1.75,2.1,1.5,2.1,700,2.1
2007-08-03,2.1,2.1,2.1,2.1,0,2.1
2007-08-06,2.1,2.1,2.1,2.1,0,2.1
2007-08-07,2.1,2.1,2.1,2.1,0,2.1
2007-08-08,2.1,2.1,2.1,2.1,0,2.1
2007-08-09,2.1,2.1,2.1,2.1,0,2.1
2007-08-10,2.1,2.1,2.1,2.1,0,2.1
2007-08-13,1.9,2.05,1.89,1.89,1300,1.89
2007-08-14,1.6,2.0,1.5,1.9,1100,1.9
2007-08-15,1.9,1.9,1.9,1.9,0,1.9
2007-08-16,1.5,2.0,1.5,2.0,500,2.0
2007-08-17,2.0,2.0,2.0,2.0,0,2.0
2007-08-20,2.0,2.0,2.0,2.0,0,2.0
2007-08-21,2.0,2.0,2.0,2.0,0,2.0
2007-08-22,2.0,2.0,2.0,2.0,0,2.0
2007-08-23,2.0,2.0,2.0,2.0,0,2.0
2007-08-24,2.0,2.0,2.0,2.0,0,2.0
2007-08-27,2.0,2.0,2.0,2.0,0,2.0
2007-08-28,2.0,2.0,2.0,2.0,0,2.0
2007-08-29,2.0,2.0,2.0,2.0,0,2.0
2007-08-30,2.0,2.0,2.0,2.0,0,2.0
2007-08-31,2.0,2.0,2.0,2.0,0,2.0
2007-09-04,1.6,2.0,1.01,2.0,3400,2.0
2007-09-05,2.0,2.0,2.0,2.0,0,2.0
2007-09-06,1.8,1.8,1.8,1.8,500,1.8
2007-09-07,1.8,1.8,1.8,1.8,0,1.8
2007-09-10,1.8,1.8,1.8,1.8,0,1.8
2007-09-11,1.8,1.8,1.8,1.8,0,1.8
2007-09-12,1.5,1.5,1.5,1.5,15000,1.5
2007-09-13,1.8,1.8,1.75,1.75,400,1.75
2007-09-14,1.75,1.75,1.75,1.75,0,1.75
2007-09-17,1.75,1.75,1.75,1.75,0,1.75
2007-09-18,1.75,1.8,1.75,1.8,200,1.8
2007-09-19,1.5,1.55,1.5,1.55,900,1.55
2007-09-20,1.55,1.55,1.5,1.5,1300,1.5
2007-09-21,1.1,1.55,0.41,1.55,1700,1.55
2007-09-24,1.55,1.55,1.55,1.55,0,1.55
2007-09-25,1.55,1.55,1.55,1.55,0,1.55
2007-09-26,1.5,1.5,1.5,1.5,1000,1.5
2007-09-27,1.55,1.55,1.5,1.5,900,1.5
2007-09-28,1.5,1.5,1.5,1.5,0,1.5
2007-10-01,1.3,1.3,1.25,1.3,1200,1.3
2007-10-02,1.3,1.3,1.3,1.3,200,1.3
2007-10-03,1.3,1.3,1.3,1.3,0,1.3
2007-10-04,1.5,1.5,1.25,1.5,1800,1.5
2007-10-05,1.5,1.5,1.5,1.5,0,1.5
2007-10-08,0.5,1.55,0.5,1.55,1400,1.55
2007-10-09,1.55,1.55,1.55,1.55,0,1.55
2007-10-10,1.55,1.55,1.55,1.55,0,1.55
2007-10-11,1.55,1.55,1.55,1.55,0,1.55
2007-10-12,1.55,1.55,1.55,1.55,0,1.55
