Date,Open,High,Low,Close,Volume,Adj Close
2007-11-01,1.5,1.5,1.5,1.5,4000,0.75
2007-11-02,1.5,1.75,1.5,1.5,6000,0.75
2007-11-05,1.5,1.5,1.5,1.5,0,0.75
2007-11-06,1.5,1.5,1.5,1.5,1000,0.75
2007-11-07,1.05,1.05,1.05,1.05,3000,0.52
2007-11-08,1.05,1.05,1.05,1.05,3000,0.52
2007-11-09,1.05,1.05,1.05,1.05,2000,0.52
2007-11-12,1.05,1.05,1.05,1.05,0,0.52
2007-11-13,1.05,1.05,1.05,1.05,0,0.52
2007-11-14,1.05,2.0,1.05,2.0,4000,1.0
2007-11-15,1.05,1.05,1.05,1.05,2000,0.52
2007-11-16,1.05,1.05,1.05,1.05,2000,0.52
2007-11-19,1.25,1.75,1.25,1.5,3800,0.75
2007-11-20,1.5,1.5,1.05,1.05,7000,0.52
2007-11-21,1.75,2.0,1.5,1.5,10000,0.75
2007-11-23,1.5,1.5,1.5,1.5,0,0.75
2007-11-26,1.5,1.5,1.5,1.5,2000,0.75
2007-11-27,1.5,1.5,1.5,1.5,0,0.75
2007-11-28,1.7,1.7,1.7,1.7,3800,0.85
2007-11-29,1.7,1.7,1.7,1.7,0,0.85
2007-11-30,1.7,2.0,1.7,1.75,13800,0.88
2007-12-03,1.75,1.75,1.75,1.75,0,1.75
2007-12-04,1.75,1.75,1.75,1.75,0,1.75
2007-12-05,1.75,1.75,1.75,1.75,0,1.75
2007-12-06,1.75,1.75,1.75,1.75,0,1.75
2007-12-07,1.75,1.75,1.75,1.75,0,1.75
2007-12-10,0.88,0.88,0.88,0.88,0,0.88
2007-12-11,0.88,0.88,0.88,0.88,0,0.88
2007-12-12,0.88,0.88,0.88,0.88,0,0.88
2007-12-13,0.88,0.88,0.88,0.88,0,0.88
2007-12-14,0.88,0.88,0.88,0.88,0,0.88
2007-12-17,0.88,0.88,0.88,0.88,0,0.88
2007-12-18,0.73,0.73,0.73,0.73,500,0.73
2007-12-19,0.73,0.73,0.73,0.73,0,0.73
2007-12-20,0.73,0.73,0.73,0.73,0,0.73
2007-12-21,0.73,0.73,0.73,0.73,0,0.73
2007-12-24,0.73,0.73,0.73,0.73,0,0.73
2007-12-26,0.73,0.73,0.73,0.73,0,0.73
2007-12-27,0.73,0.73,0.73,0.73,0,0.73
2007-12-28,0.73,0.73,0.73,0.73,0,0.73
2007-12-31,0.53,0.53,0.53,0.53,7500,0.53
2008-01-02,0.53,0.53,0.53,0.53,0,0.53
2008-01-03,0.53,0.53,0.53,0.53,0,0.53
2008-01-04,0.53,0.53,0.53,0.53,0,0.53
