Date,Open,High,Low,Close,Volume,Adj Close
2007-11-28,10.0,10.0,4.0,4.0,1600,4.0
2007-11-29,4.0,5.0,2.0,3.0,900,3.0
2007-11-30,9.0,29.0,8.0,11.0,2300,11.0
2007-12-03,10.0,11.0,10.0,10.0,100,10.0
2007-12-04,10.0,12.0,10.0,10.0,100,10.0
2007-12-05,10.0,12.0,10.0,12.0,100,12.0
2007-12-06,12.0,12.0,10.0,10.0,100,10.0
2007-12-07,10.0,10.0,10.0,10.0,100,10.0
2007-12-10,10.0,10.0,10.0,10.0,100,10.0
2007-12-11,10.0,12.0,10.0,12.0,100,12.0
2007-12-12,12.0,12.0,12.0,12.0,100,12.0
2007-12-13,12.0,15.0,12.0,15.0,100,15.0
2007-12-14,15.0,15.0,13.0,13.0,100,13.0
2007-12-17,13.0,13.0,13.0,13.0,100,13.0
2007-12-18,13.0,14.0,10.0,10.0,600,10.0
2007-12-19,14.0,14.0,9.0,14.0,500,14.0
2007-12-20,11.0,11.0,8.5,8.5,100,8.5
2007-12-21,8.5,8.5,8.5,8.5,100,8.5
2007-12-24,8.5,8.5,8.5,8.5,0,8.5
2007-12-26,8.5,8.5,7.5,7.5,100,7.5
2007-12-27,7.5,8.5,7.0,7.0,100,7.0
2007-12-28,7.0,8.0,5.0,5.0,400,5.0
2007-12-31,7.0,7.0,5.0,5.0,200,5.0
2008-01-02,5.0,5.0,5.0,5.0,100,5.0
2008-01-03,7.0,7.0,7.0,7.0,100,7.0
2008-01-04,6.0,7.0,6.0,7.0,100,7.0
2008-01-07,7.0,7.0,7.0,7.0,100,7.0
2008-01-08,6.0,6.0,6.0,6.0,100,6.0
2008-01-09,6.0,6.0,6.0,6.0,0,6.0
2008-01-10,5.0,6.0,5.0,6.0,100,6.0
2008-01-11,6.0,6.0,6.0,6.0,0,6.0
2008-01-14,6.0,6.0,6.0,6.0,0,6.0
2008-01-15,5.0,6.0,5.0,6.0,200,6.0
2008-01-16,5.0,5.0,5.0,5.0,100,5.0
2008-01-17,7.0,7.0,7.0,7.0,100,7.0
2008-01-18,7.0,7.0,6.0,6.0,100,6.0
2008-01-22,6.0,6.0,5.0,5.0,100,5.0
2008-01-23,5.0,5.0,5.0,5.0,0,5.0
2008-01-24,5.0,5.0,5.0,5.0,100,5.0
2008-01-25,5.0,5.0,5.0,5.0,0,5.0
2008-01-28,5.0,5.0,5.0,5.0,100,5.0
2008-01-29,5.0,7.0,5.0,7.0,100,7.0
2008-01-30,7.0,7.0,7.0,7.0,0,7.0
2008-01-31,7.0,7.0,7.0,7.0,100,7.0
2008-02-01,7.0,7.0,7.0,7.0,0,7.0
2008-02-04,7.0,7.0,7.0,7.0,0,7.0
2008-02-05,7.0,7.0,7.0,7.0,100,7.0
