Date,Open,High,Low,Close,Volume,Adj Close
2013-02-14,14.6,14.8,14.44,14.8,244300,12.48
2013-02-15,14.7,14.83,14.6,14.8,23800,12.48
2013-02-19,14.89,15.4,14.69,14.75,11000,12.43
2013-02-20,14.8,14.9,14.6,14.8,28400,12.48
2013-02-21,14.7,14.74,14.6,14.74,2600,12.43
2013-02-22,14.66,14.75,14.61,14.74,5000,12.43
2013-02-25,14.7,14.71,14.6,14.67,7000,12.37
2013-02-26,14.61,14.71,14.6,14.69,16100,12.38
2013-02-27,14.74,14.74,14.6,14.6,6800,12.31
2013-02-28,14.7,14.7,14.4,14.49,16200,12.22
2013-03-01,14.55,14.55,14.4,14.4,59700,12.14
2013-03-04,14.39,14.49,14.21,14.49,11100,12.22
2013-03-05,14.3,14.4,14.2,14.4,12300,12.14
2013-03-06,14.36,14.45,14.3,14.45,16300,12.18
2013-03-07,14.35,14.41,14.35,14.4,4300,12.14
2013-03-08,14.48,14.69,14.48,14.69,1100,12.38
2013-03-11,14.69,14.69,14.01,14.55,16300,12.27
2013-03-12,14.45,14.5,14.0,14.4,18900,12.14
2013-03-13,14.5,14.6,14.35,14.5,12700,12.22
2013-03-14,14.5,14.6,14.45,14.55,5700,12.27
2013-03-15,14.41,14.55,14.1,14.1,21700,11.89
2013-03-18,14.15,14.33,14.05,14.25,13700,12.01
2013-03-19,14.35,14.35,14.12,14.2,19300,11.97
2013-03-20,14.3,14.39,14.11,14.35,8900,12.1
2013-03-21,14.3,14.3,14.0,14.19,7900,12.08
2013-03-22,14.22,14.25,13.62,13.82,57900,11.76
2013-03-25,14.23,14.23,13.72,13.72,1800,11.68
2013-03-26,14.14,14.14,13.5,13.99,21000,11.91
2013-03-27,14.0,14.0,13.75,13.85,19700,11.79
2013-03-28,13.72,13.99,13.51,13.98,12500,11.9
2013-04-01,13.95,13.97,13.85,13.94,3700,11.86
2013-04-02,13.9,14.0,13.52,13.78,10500,11.73
2013-04-03,13.79,13.95,13.76,13.76,5300,11.71
2013-04-04,13.8,13.99,13.8,13.81,3800,11.75
2013-04-05,13.8,13.97,13.76,13.97,4600,11.89
2013-04-08,13.97,13.97,13.6,13.65,7600,11.62
2013-04-09,13.65,13.78,13.18,13.73,13200,11.68
2013-04-10,13.73,14.0,13.73,13.97,28000,11.89
2013-04-11,13.91,13.96,13.84,13.96,19300,11.88
2013-04-12,13.83,13.9,13.6,13.63,9300,11.6
2013-04-15,13.69,13.9,13.55,13.55,8500,11.53
2013-04-16,13.7,13.78,13.52,13.52,7400,11.51
2013-04-17,13.51,13.6,13.25,13.33,13800,11.34
2013-04-18,13.41,13.85,13.4,13.4,25700,11.4
2013-04-19,13.45,13.54,13.19,13.21,17800,11.24
2013-04-22,13.3,13.59,13.3,13.39,23500,11.4
2013-04-23,13.26,13.3,13.15,13.23,13800,11.37
2013-04-24,13.3,13.3,13.02,13.22,20900,11.37
2013-04-25,13.2,13.3,13.15,13.19,9300,11.34
2013-04-26,13.2,13.39,13.2,13.21,13800,11.36
2013-04-29,13.45,13.54,13.4,13.45,4900,11.56
2013-04-30,13.4,13.55,13.4,13.4,9000,11.52
2013-05-01,13.5,13.5,13.32,13.38,1700,11.5
2013-05-02,13.5,13.5,13.3,13.38,9900,11.5
2013-05-03,13.49,13.54,13.17,13.51,26800,11.61
2013-05-06,13.58,13.59,13.21,13.39,19900,11.51
2013-05-07,13.53,13.53,13.18,13.47,13000,11.58
2013-05-08,13.35,13.43,13.28,13.42,6300,11.54
2013-05-09,13.5,13.57,13.3,13.3,7000,11.43
2013-05-10,13.38,13.47,13.34,13.43,10100,11.55
2013-05-13,13.55,13.65,13.31,13.32,11400,11.45
2013-05-14,13.33,13.39,13.31,13.31,16400,11.44
2013-05-15,13.31,13.35,13.16,13.16,14000,11.31
2013-05-16,13.25,13.4,13.25,13.3,8900,11.43
