Date,Open,High,Low,Close,Volume,Adj Close
2004-05-06,8.0,8.33,7.99,8.0,4061800,1.98
2004-05-07,8.0,8.18,8.0,8.1,370900,2.0
2004-05-10,8.0,8.15,8.0,8.1,204000,2.0
2004-05-11,8.1,8.14,8.05,8.11,146200,2.0
2004-05-12,8.05,8.06,8.0,8.0,125700,1.98
2004-05-13,8.0,8.06,8.0,8.0,51700,1.98
2004-05-14,8.0,8.1,7.95,8.0,415000,1.98
2004-05-17,8.0,8.03,7.5,7.55,169100,1.87
2004-05-18,7.7,7.7,7.55,7.56,11000,1.87
2004-05-19,7.7,8.05,7.65,7.82,7000,1.93
2004-05-20,7.97,8.15,7.81,8.15,68700,2.01
2004-05-21,8.15,8.15,8.0,8.1,62400,2.0
2004-05-24,8.07,8.1,7.9,7.97,30100,1.97
2004-05-25,8.0,8.09,8.0,8.0,28600,1.98
2004-05-26,8.05,8.08,8.0,8.01,23200,1.98
2004-05-27,8.0,8.18,8.0,8.04,25100,1.99
2004-05-28,8.01,8.2,8.0,8.02,22800,1.98
2004-06-01,8.05,8.18,8.05,8.15,48000,2.01
2004-06-02,8.16,8.16,8.01,8.09,7600,2.0
2004-06-03,8.0,8.15,8.0,8.02,5200,1.98
2004-06-04,8.2,8.25,8.01,8.16,16800,2.02
2004-06-07,8.16,8.24,8.15,8.24,47600,2.04
2004-06-08,8.19,8.21,8.1,8.11,34000,2.0
2004-06-09,8.15,8.15,7.97,8.02,11600,1.98
2004-06-10,8.19,8.2,7.8,7.92,33600,1.96
2004-06-14,8.02,8.24,8.01,8.1,13400,2.0
2004-06-15,8.15,8.15,7.91,7.94,23300,1.96
2004-06-16,7.9,8.03,7.81,8.02,26800,1.98
2004-06-17,8.02,8.02,7.85,7.99,140200,1.97
2004-06-18,7.95,8.16,7.88,8.1,55900,2.0
2004-06-21,8.09,8.15,7.95,7.95,22100,1.96
2004-06-22,8.08,8.14,7.95,7.95,16500,1.96
2004-06-23,7.97,8.07,7.95,8.05,14000,1.99
2004-06-24,7.95,8.05,7.95,8.0,13400,1.98
