Date,Open,High,Low,Close,Volume,Adj Close
1997-01-02,0.19,0.19,0.19,0.19,100,0.1
1997-01-03,0.19,0.19,0.19,0.19,0,0.1
1997-01-06,0.19,0.19,0.19,0.19,0,0.1
1997-01-07,0.19,0.19,0.19,0.19,0,0.1
1997-01-08,0.19,0.19,0.19,0.19,0,0.1
1997-01-09,0.19,0.19,0.19,0.19,0,0.1
1997-01-10,0.19,0.19,0.19,0.19,0,0.1
1997-01-13,0.19,0.19,0.19,0.19,0,0.1
1997-01-14,0.19,0.19,0.19,0.19,0,0.1
1997-01-15,0.19,0.19,0.19,0.19,0,0.1
1997-01-16,0.19,0.19,0.19,0.19,0,0.1
1997-01-17,0.19,0.19,0.19,0.19,500,0.1
1997-01-20,0.19,0.19,0.19,0.19,0,0.1
1997-01-21,0.19,0.19,0.19,0.19,500,0.1
1997-01-22,0.31,0.31,0.31,0.31,18700,0.17
1997-01-23,0.31,0.31,0.31,0.31,0,0.17
1997-01-24,0.31,0.31,0.31,0.31,0,0.17
1997-01-27,0.31,0.31,0.31,0.31,0,0.17
1997-01-28,0.31,0.31,0.31,0.31,0,0.17
1997-01-29,0.31,0.31,0.31,0.31,0,0.17
1997-01-30,0.44,0.44,0.44,0.44,3700,0.23
1997-01-31,0.44,0.44,0.44,0.44,0,0.23
1997-02-03,0.44,0.44,0.44,0.44,0,0.23
1997-02-04,0.44,0.44,0.44,0.44,0,0.23
1997-02-05,0.44,0.44,0.44,0.44,0,0.23
1997-02-06,0.44,0.44,0.44,0.44,0,0.23
1997-02-07,0.44,0.44,0.44,0.44,0,0.23
1997-02-10,0.44,0.44,0.44,0.44,3100,0.23
1997-02-11,0.44,0.44,0.44,0.44,0,0.23
1997-02-12,0.44,0.44,0.44,0.44,0,0.23
1997-02-13,0.44,0.44,0.44,0.44,0,0.23
1997-02-14,0.44,0.44,0.44,0.44,0,0.23
1997-02-18,0.19,0.19,0.19,0.19,1800,0.1
1997-02-19,0.19,0.19,0.19,0.19,0,0.1
1997-02-20,0.19,0.19,0.19,0.19,0,0.1
1997-02-21,0.19,0.19,0.19,0.19,0,0.1
1997-02-24,0.19,0.19,0.19,0.19,0,0.1
1997-02-25,0.44,0.44,0.44,0.44,18700,0.23
1997-02-26,0.44,0.44,0.44,0.44,0,0.23
1997-02-27,0.44,0.44,0.44,0.44,0,0.23
1997-02-28,0.44,0.44,0.44,0.44,0,0.23
1997-03-03,0.44,0.44,0.44,0.44,0,0.23
1997-03-04,0.44,0.44,0.44,0.44,0,0.23
1997-03-05,0.44,0.44,0.44,0.44,0,0.23
1997-03-06,0.44,0.44,0.44,0.44,0,0.23
1997-03-07,0.44,0.44,0.44,0.44,0,0.23
1997-03-10,0.44,0.44,0.44,0.44,0,0.23
1997-03-11,0.31,0.31,0.31,0.31,800,0.17
1997-03-12,0.31,0.31,0.31,0.31,0,0.17
1997-03-13,0.31,0.31,0.31,0.31,0,0.17
1997-03-14,0.31,0.31,0.31,0.31,0,0.17
1997-03-17,0.31,0.31,0.31,0.31,0,0.17
1997-03-18,0.31,0.31,0.31,0.31,0,0.17
1997-03-19,0.31,0.31,0.31,0.31,0,0.17
1997-03-20,0.31,0.31,0.31,0.31,0,0.17
1997-03-21,0.31,0.31,0.31,0.31,0,0.17
1997-03-24,0.31,0.31,0.31,0.31,0,0.17
1997-03-25,0.31,0.31,0.31,0.31,0,0.17
1997-03-26,0.31,0.31,0.31,0.31,0,0.17
1997-03-27,0.31,0.31,0.31,0.31,0,0.17
1997-03-31,0.31,0.31,0.31,0.31,0,0.17
1997-04-01,0.31,0.31,0.31,0.31,0,0.17
1997-04-02,0.31,0.31,0.31,0.31,0,0.17
1997-04-03,0.31,0.31,0.31,0.31,0,0.17
1997-04-04,0.31,0.31,0.31,0.31,0,0.17
1997-04-07,0.31,0.31,0.31,0.31,0,0.17
1997-04-08,0.31,0.31,0.31,0.31,0,0.17
1997-04-09,0.31,0.31,0.31,0.31,0,0.17
1997-04-10,0.31,0.31,0.31,0.31,0,0.17
1997-04-11,0.31,0.31,0.31,0.31,0,0.17
1997-04-14,0.31,0.31,0.31,0.31,0,0.17
1997-04-15,0.31,0.31,0.31,0.31,0,0.17
1997-04-16,0.31,0.31,0.31,0.31,0,0.17
1997-04-17,0.31,0.31,0.31,0.31,0,0.17
1997-04-18,0.31,0.31,0.31,0.31,0,0.17
1997-04-21,0.31,0.31,0.31,0.31,0,0.17
1997-04-22,0.31,0.31,0.31,0.31,0,0.17
1997-04-23,0.31,0.31,0.31,0.31,0,0.17
1997-04-24,0.31,0.31,0.31,0.31,0,0.17
1997-04-25,0.31,0.31,0.31,0.31,0,0.17
1997-04-28,0.31,0.31,0.31,0.31,0,0.17
1997-04-29,0.31,0.31,0.31,0.31,0,0.17
1997-04-30,0.25,0.25,0.25,0.25,150000,0.13
1997-05-01,0.3,0.3,0.3,0.3,196800,0.16
1997-05-02,0.3,0.3,0.3,0.3,0,0.16
1997-05-05,0.3,0.3,0.3,0.3,0,0.16
1997-05-06,0.13,0.13,0.13,0.13,93700,0.07
1997-05-07,0.13,0.13,0.13,0.13,0,0.07
1997-05-08,0.13,0.13,0.13,0.13,0,0.07
1997-05-09,0.62,0.62,0.62,0.62,11200,0.33
1997-05-12,0.62,0.62,0.62,0.62,0,0.33
1997-05-13,0.62,0.62,0.62,0.62,0,0.33
1997-05-14,0.62,0.62,0.62,0.62,0,0.33
1997-05-15,0.62,0.62,0.62,0.62,0,0.33
1997-05-16,0.62,0.62,0.62,0.62,0,0.33
1997-05-19,0.62,0.62,0.62,0.62,0,0.33
1997-05-20,0.62,0.62,0.62,0.62,0,0.33
1997-05-21,0.25,0.25,0.25,0.25,18700,0.13
1997-05-22,0.25,0.25,0.25,0.25,0,0.13
1997-05-23,0.25,0.25,0.25,0.25,37500,0.13
1997-05-27,0.25,0.25,0.25,0.25,0,0.13
1997-05-28,0.25,0.25,0.25,0.25,0,0.13
1997-05-29,0.25,0.25,0.25,0.25,0,0.13
1997-05-30,0.25,0.25,0.25,0.25,0,0.13
1997-06-02,0.25,0.25,0.25,0.25,0,0.13
1997-06-03,0.62,0.62,0.62,0.62,7500,0.33
1997-06-04,0.62,0.62,0.62,0.62,0,0.33
1997-06-05,0.62,0.62,0.62,0.62,0,0.33
1997-06-06,0.62,0.62,0.62,0.62,0,0.33
1997-06-09,0.76,0.76,0.62,0.76,19600,0.41
1997-06-10,0.5,0.5,0.5,0.5,5600,0.27
1997-06-11,0.5,0.5,0.5,0.5,0,0.27
1997-06-12,0.5,0.5,0.5,0.5,0,0.27
1997-06-13,0.5,0.5,0.5,0.5,0,0.27
1997-06-16,0.56,0.56,0.56,0.56,4600,0.3
1997-06-17,0.81,0.81,0.62,0.81,17700,0.43
1997-06-18,0.81,0.81,0.81,0.81,0,0.43
1997-06-19,0.81,0.81,0.81,0.81,0,0.43
1997-06-20,0.81,0.81,0.81,0.81,0,0.43
1997-06-23,0.81,0.81,0.81,0.81,0,0.43
1997-06-24,0.81,0.81,0.81,0.81,0,0.43
1997-06-25,0.38,0.38,0.38,0.38,1600,0.2
1997-06-26,0.38,0.38,0.38,0.38,2000,0.2
1997-06-27,0.38,0.38,0.38,0.38,0,0.2
1997-06-30,0.38,0.38,0.38,0.38,0,0.2
1997-07-01,0.38,0.38,0.38,0.38,0,0.2
1997-07-02,0.38,0.38,0.38,0.38,0,0.2
1997-07-03,0.75,0.75,0.75,0.75,300,0.4
1997-07-07,0.25,0.25,0.25,0.25,1800,0.13
1997-07-08,0.25,0.25,0.25,0.25,0,0.13
1997-07-09,0.25,0.25,0.25,0.25,0,0.13
1997-07-10,0.25,0.25,0.25,0.25,0,0.13
1997-07-11,0.25,0.25,0.25,0.25,0,0.13
1997-07-14,0.25,0.25,0.25,0.25,0,0.13
1997-07-15,0.25,0.25,0.25,0.25,0,0.13
1997-07-16,0.25,0.25,0.25,0.25,0,0.13
1997-07-17,0.25,0.25,0.25,0.25,0,0.13
1997-07-18,0.25,0.25,0.25,0.25,0,0.13
1997-07-21,0.25,0.25,0.25,0.25,0,0.13
1997-07-22,0.25,0.25,0.25,0.25,0,0.13
1997-07-23,0.25,0.25,0.25,0.25,0,0.13
1997-07-24,0.25,0.25,0.25,0.25,0,0.13
1997-07-25,0.25,0.25,0.25,0.25,0,0.13
1997-07-28,0.25,0.25,0.25,0.25,0,0.13
1997-07-29,0.25,0.25,0.25,0.25,0,0.13
1997-07-30,0.25,0.25,0.25,0.25,0,0.13
1997-07-31,0.25,0.25,0.25,0.25,0,0.13
1997-08-01,0.25,0.25,0.25,0.25,0,0.13
1997-08-04,0.25,0.25,0.25,0.25,0,0.13
1997-08-05,0.25,0.25,0.25,0.25,800,0.13
1997-08-06,0.25,0.25,0.25,0.25,0,0.13
1997-08-07,0.25,0.25,0.25,0.25,1800,0.13
1997-08-08,0.25,0.25,0.25,0.25,0,0.13
1997-08-11,0.25,0.25,0.25,0.25,0,0.13
1997-08-12,0.25,0.25,0.25,0.25,0,0.13
1997-08-13,0.25,0.25,0.25,0.25,0,0.13
1997-08-14,0.25,0.25,0.25,0.25,0,0.13
1997-08-15,0.25,0.25,0.25,0.25,0,0.13
1997-08-18,0.25,0.25,0.25,0.25,0,0.13
1997-08-19,0.25,0.25,0.25,0.25,0,0.13
1997-08-20,0.25,0.25,0.25,0.25,0,0.13
1997-08-21,0.25,0.25,0.25,0.25,0,0.13
1997-08-22,0.25,0.25,0.25,0.25,0,0.13
1997-08-25,0.25,0.25,0.25,0.25,0,0.13
1997-08-26,0.25,0.25,0.25,0.25,0,0.13
1997-08-27,0.25,0.25,0.25,0.25,0,0.13
1997-08-28,0.25,0.25,0.25,0.25,0,0.13
1997-08-29,0.25,0.25,0.25,0.25,0,0.13
1997-09-02,0.62,0.62,0.62,0.62,100,0.33
1997-09-03,0.62,0.62,0.62,0.62,0,0.33
1997-09-04,0.62,0.62,0.62,0.62,0,0.33
1997-09-05,0.62,0.62,0.62,0.62,0,0.33
1997-09-08,0.38,0.38,0.38,0.38,5600,0.2
1997-09-09,0.38,0.38,0.38,0.38,1800,0.2
1997-09-10,0.38,0.38,0.38,0.38,0,0.2
1997-09-11,0.75,0.75,0.75,0.75,4600,0.4
1997-09-12,0.5,0.75,0.5,0.5,14000,0.27
1997-09-15,0.5,0.5,0.5,0.5,0,0.27
1997-09-16,0.5,0.5,0.5,0.5,0,0.27
1997-09-17,0.75,0.75,0.75,0.75,1800,0.4
1997-09-18,0.75,0.75,0.75,0.75,0,0.4
1997-09-19,0.75,0.75,0.75,0.75,0,0.4
1997-09-22,0.75,0.75,0.75,0.75,0,0.4
1997-09-23,0.75,0.75,0.75,0.75,4600,0.4
1997-09-24,0.75,0.75,0.75,0.75,0,0.4
1997-09-25,0.75,0.75,0.75,0.75,0,0.4
1997-09-26,0.75,0.75,0.75,0.75,0,0.4
1997-09-29,0.75,0.75,0.75,0.75,0,0.4
1997-09-30,0.75,0.75,0.75,0.75,4600,0.4
1997-10-01,0.75,0.75,0.75,0.75,0,0.4
1997-10-02,0.5,0.5,0.5,0.5,300,0.27
1997-10-03,0.5,0.5,0.5,0.5,0,0.27
1997-10-06,0.5,0.5,0.5,0.5,0,0.27
1997-10-07,0.5,0.5,0.5,0.5,0,0.27
1997-10-08,0.5,0.5,0.5,0.5,0,0.27
1997-10-09,0.5,0.5,0.5,0.5,0,0.27
1997-10-10,0.5,0.5,0.5,0.5,0,0.27
1997-10-13,0.5,0.5,0.5,0.5,0,0.27
1997-10-14,0.75,0.75,0.75,0.75,3700,0.4
1997-10-15,0.75,0.75,0.75,0.75,0,0.4
1997-10-16,0.75,0.75,0.75,0.75,2700,0.4
1997-10-17,0.69,0.75,0.5,0.69,74200,0.37
1997-10-20,0.62,0.62,0.5,0.62,20600,0.33
1997-10-21,0.62,0.62,0.62,0.62,9300,0.33
1997-10-22,0.62,0.62,0.62,0.62,0,0.33
1997-10-23,0.62,0.62,0.62,0.62,0,0.33
1997-10-24,0.62,0.62,0.62,0.62,0,0.33
1997-10-27,0.62,0.62,0.62,0.62,0,0.33
1997-10-28,0.62,0.62,0.62,0.62,0,0.33
1997-10-29,0.62,0.62,0.62,0.62,0,0.33
1997-10-30,0.62,0.62,0.62,0.62,0,0.33
1997-10-31,0.62,0.62,0.62,0.62,0,0.33
1997-11-03,0.62,0.62,0.62,0.62,0,0.33
1997-11-04,0.62,0.62,0.62,0.62,0,0.33
1997-11-05,0.62,0.62,0.62,0.62,0,0.33
1997-11-06,0.62,0.62,0.62,0.62,0,0.33
1997-11-07,0.62,0.62,0.62,0.62,0,0.33
1997-11-10,0.69,0.69,0.62,0.69,18700,0.37
1997-11-11,0.75,0.75,0.75,0.75,23300,0.4
1997-11-12,0.75,0.75,0.75,0.75,0,0.4
1997-11-13,0.75,0.75,0.75,0.75,0,0.4
1997-11-14,0.75,0.75,0.75,0.75,0,0.4
1997-11-17,0.75,0.75,0.75,0.75,0,0.4
1997-11-18,0.75,0.75,0.75,0.75,0,0.4
1997-11-19,0.75,0.75,0.75,0.75,0,0.4
1997-11-20,0.75,0.75,0.75,0.75,0,0.4
1997-11-21,0.75,0.75,0.75,0.75,0,0.4
1997-11-24,0.75,0.75,0.75,0.75,0,0.4
1997-11-25,0.62,0.62,0.62,0.62,9300,0.33
1997-11-26,0.62,0.62,0.62,0.62,0,0.33
1997-11-28,0.62,0.62,0.62,0.62,0,0.33
1997-12-01,0.62,0.62,0.62,0.62,0,0.33
1997-12-02,0.62,0.62,0.62,0.62,0,0.33
1997-12-03,0.62,0.62,0.62,0.62,0,0.33
1997-12-04,0.62,0.62,0.62,0.62,0,0.33
1997-12-05,0.62,0.62,0.62,0.62,0,0.33
1997-12-08,0.62,0.62,0.62,0.62,0,0.33
1997-12-09,0.62,0.62,0.62,0.62,0,0.33
1997-12-10,0.62,0.62,0.62,0.62,0,0.33
1997-12-11,0.5,0.5,0.5,0.5,2000,0.27
1997-12-12,0.5,0.5,0.5,0.5,0,0.27
1997-12-15,0.5,0.5,0.5,0.5,0,0.27
1997-12-16,0.5,0.5,0.5,0.5,0,0.27
1997-12-17,0.5,0.5,0.5,0.5,0,0.27
1997-12-18,0.5,0.5,0.5,0.5,0,0.27
1997-12-19,0.5,0.5,0.5,0.5,100,0.27
1997-12-22,0.5,0.5,0.5,0.5,8200,0.27
1997-12-23,0.44,0.44,0.44,0.44,1800,0.23
1997-12-24,0.44,0.44,0.44,0.44,0,0.23
1997-12-26,0.44,0.44,0.44,0.44,0,0.23
1997-12-29,0.44,0.44,0.44,0.44,0,0.23
1997-12-30,0.44,0.44,0.44,0.44,5700,0.23
1997-12-31,0.44,0.44,0.44,0.44,800,0.23
1998-01-02,0.44,0.44,0.44,0.44,0,0.23
1998-01-05,0.44,0.44,0.44,0.44,0,0.23
1998-01-06,0.75,0.75,0.75,0.75,100,0.4
1998-01-07,0.75,0.75,0.75,0.75,0,0.4
1998-01-08,0.75,0.75,0.75,0.75,0,0.4
1998-01-09,0.75,0.75,0.75,0.75,0,0.4
1998-01-12,0.5,0.5,0.44,0.5,24300,0.27
1998-01-13,0.5,0.5,0.5,0.5,10200,0.27
1998-01-14,0.5,0.5,0.5,0.5,0,0.27
1998-01-15,0.5,0.5,0.5,0.5,0,0.27
1998-01-16,0.5,0.5,0.5,0.5,0,0.27
1998-01-20,0.5,0.5,0.5,0.5,0,0.27
1998-01-21,0.5,0.5,0.5,0.5,0,0.27
1998-01-22,0.5,0.5,0.5,0.5,0,0.27
1998-01-23,0.5,0.5,0.5,0.5,0,0.27
1998-01-26,0.5,0.5,0.5,0.5,0,0.27
1998-01-27,0.5,0.5,0.5,0.5,0,0.27
1998-01-28,0.5,0.5,0.5,0.5,0,0.27
1998-01-29,0.5,0.5,0.5,0.5,0,0.27
1998-01-30,0.5,0.5,0.5,0.5,0,0.27
1998-02-02,0.5,0.5,0.5,0.5,0,0.27
1998-02-03,0.5,0.5,0.5,0.5,0,0.27
1998-02-04,0.5,0.5,0.5,0.5,0,0.27
1998-02-05,0.5,0.5,0.5,0.5,0,0.27
1998-02-06,0.5,0.5,0.5,0.5,0,0.27
1998-02-09,0.5,0.5,0.5,0.5,0,0.27
1998-02-10,0.5,0.5,0.5,0.5,0,0.27
1998-02-11,0.5,0.5,0.5,0.5,0,0.27
1998-02-12,0.44,0.44,0.44,0.44,1600,0.23
1998-02-13,0.44,0.44,0.44,0.44,0,0.23
1998-02-17,0.44,0.44,0.44,0.44,0,0.23
1998-02-18,0.44,0.44,0.44,0.44,0,0.23
1998-02-19,0.44,0.44,0.44,0.44,0,0.23
1998-02-20,0.44,0.44,0.44,0.44,0,0.23
1998-02-23,0.44,0.44,0.44,0.44,0,0.23
1998-02-24,0.44,0.44,0.44,0.44,0,0.23
1998-02-25,0.38,0.38,0.38,0.38,800,0.2
1998-02-26,0.38,0.38,0.38,0.38,0,0.2
1998-02-27,0.62,0.62,0.62,0.62,8300,0.33
1998-03-02,0.62,0.62,0.62,0.62,0,0.33
1998-03-03,0.62,0.62,0.62,0.62,0,0.33
1998-03-04,0.62,0.62,0.62,0.62,0,0.33
1998-03-05,0.62,0.62,0.62,0.62,0,0.33
1998-03-06,0.62,0.62,0.62,0.62,0,0.33
1998-03-09,0.62,0.62,0.62,0.62,0,0.33
1998-03-10,0.62,0.62,0.62,0.62,0,0.33
1998-03-11,0.62,0.62,0.62,0.62,0,0.33
1998-03-12,0.62,0.62,0.62,0.62,0,0.33
1998-03-13,0.62,0.62,0.62,0.62,0,0.33
1998-03-16,0.62,0.62,0.62,0.62,2600,0.33
1998-03-17,0.62,0.62,0.62,0.62,0,0.33
1998-03-18,0.62,0.62,0.62,0.62,0,0.33
1998-03-19,0.62,0.62,0.62,0.62,0,0.33
1998-03-20,0.62,0.62,0.62,0.62,0,0.33
1998-03-23,0.62,0.62,0.62,0.62,0,0.33
1998-03-24,0.62,0.62,0.62,0.62,0,0.33
1998-03-25,0.62,0.62,0.62,0.62,0,0.33
1998-03-26,0.62,0.62,0.62,0.62,0,0.33
1998-03-27,0.62,0.62,0.62,0.62,0,0.33
1998-03-30,0.38,0.38,0.38,0.38,3700,0.2
1998-03-31,0.38,0.38,0.38,0.38,0,0.2
1998-04-01,0.38,0.38,0.38,0.38,0,0.2
1998-04-02,0.38,0.38,0.38,0.38,0,0.2
1998-04-03,0.38,0.38,0.38,0.38,0,0.2
1998-04-06,0.38,0.38,0.38,0.38,0,0.2
1998-04-07,0.38,0.38,0.38,0.38,0,0.2
1998-04-08,0.38,0.38,0.38,0.38,0,0.2
1998-04-09,0.38,0.38,0.38,0.38,0,0.2
1998-04-13,0.38,0.38,0.38,0.38,0,0.2
1998-04-14,0.38,0.38,0.38,0.38,0,0.2
1998-04-15,0.38,0.38,0.38,0.38,0,0.2
1998-04-16,0.38,0.38,0.38,0.38,0,0.2
1998-04-17,0.47,0.5,0.47,0.47,18700,0.25
1998-04-20,0.47,0.47,0.47,0.47,0,0.25
1998-04-21,0.47,0.47,0.47,0.47,0,0.25
1998-04-22,0.47,0.47,0.47,0.47,0,0.25
1998-04-23,0.47,0.47,0.47,0.47,0,0.25
1998-04-24,0.47,0.47,0.47,0.47,0,0.25
1998-04-27,0.47,0.47,0.47,0.47,0,0.25
1998-04-28,0.47,0.47,0.47,0.47,0,0.25
1998-04-29,0.47,0.47,0.47,0.47,0,0.25
1998-04-30,0.47,0.47,0.47,0.47,0,0.25
1998-05-01,0.47,0.47,0.47,0.47,0,0.25
1998-05-04,0.62,0.62,0.62,0.62,2600,0.33
1998-05-05,0.62,0.62,0.62,0.62,0,0.33
1998-05-06,0.62,0.62,0.62,0.62,0,0.33
1998-05-07,0.62,0.62,0.62,0.62,0,0.33
1998-05-08,0.62,0.62,0.62,0.62,0,0.33
1998-05-11,0.62,0.62,0.62,0.62,0,0.33
1998-05-12,0.62,0.62,0.62,0.62,0,0.33
1998-05-13,0.62,0.62,0.62,0.62,0,0.33
1998-05-14,0.62,0.62,0.62,0.62,0,0.33
1998-05-15,0.62,0.62,0.62,0.62,0,0.33
1998-05-18,0.62,0.62,0.62,0.62,0,0.33
1998-05-19,0.62,0.62,0.62,0.62,0,0.33
1998-05-20,0.62,0.62,0.62,0.62,0,0.33
1998-05-21,0.62,0.62,0.62,0.62,0,0.33
1998-05-22,0.62,0.62,0.62,0.62,0,0.33
1998-05-26,0.62,0.62,0.62,0.62,0,0.33
1998-05-27,0.62,0.62,0.62,0.62,0,0.33
1998-05-28,0.62,0.62,0.62,0.62,0,0.33
1998-05-29,0.62,0.62,0.62,0.62,0,0.33
1998-06-01,0.62,0.62,0.62,0.62,0,0.33
1998-06-02,0.62,0.62,0.62,0.62,0,0.33
1998-06-03,0.62,0.62,0.62,0.62,0,0.33
1998-06-04,0.41,0.41,0.41,0.41,14200,0.22
1998-06-05,0.41,0.41,0.41,0.41,0,0.22
1998-06-08,0.41,0.41,0.41,0.41,0,0.22
1998-06-09,0.4,0.4,0.4,0.4,300,0.21
1998-06-10,0.4,0.4,0.4,0.4,0,0.21
1998-06-11,0.4,0.4,0.4,0.4,0,0.21
1998-06-12,0.4,0.4,0.4,0.4,0,0.21
1998-06-15,0.4,0.4,0.4,0.4,3800,0.21
1998-06-16,0.4,0.4,0.4,0.4,0,0.21
1998-06-17,0.4,0.4,0.4,0.4,11200,0.21
1998-06-18,0.38,0.4,0.38,0.38,18700,0.2
1998-06-19,0.31,0.31,0.31,0.31,7500,0.17
1998-06-22,0.31,0.31,0.31,0.31,0,0.17
1998-06-23,0.31,0.31,0.31,0.31,0,0.17
1998-06-24,0.31,0.31,0.31,0.31,0,0.17
1998-06-25,0.31,0.31,0.31,0.31,0,0.17
1998-06-26,0.31,0.31,0.31,0.31,0,0.17
1998-06-29,0.31,0.31,0.31,0.31,0,0.17
1998-06-30,0.31,0.31,0.31,0.31,0,0.17
1998-07-01,0.31,0.31,0.31,0.31,0,0.17
1998-07-02,0.31,0.31,0.31,0.31,0,0.17
1998-07-06,0.31,0.31,0.31,0.31,0,0.17
1998-07-07,0.31,0.31,0.31,0.31,0,0.17
1998-07-08,0.31,0.31,0.31,0.31,0,0.17
1998-07-09,0.31,0.31,0.31,0.31,0,0.17
1998-07-10,0.31,0.31,0.31,0.31,0,0.17
1998-07-13,0.31,0.31,0.31,0.31,0,0.17
1998-07-14,0.31,0.31,0.31,0.31,0,0.17
1998-07-15,0.31,0.31,0.31,0.31,0,0.17
1998-07-16,0.31,0.31,0.31,0.31,0,0.17
1998-07-17,0.31,0.31,0.31,0.31,0,0.17
1998-07-20,0.31,0.31,0.31,0.31,0,0.17
