Date,Open,High,Low,Close,Volume,Adj Close
2003-05-02,1.01,1.25,1.01,1.25,0,420.54
2003-05-05,1.25,1.45,1.2,1.2,0,403.72
2003-05-06,1.2,1.2,1.2,1.2,0,403.72
2003-05-07,1.2,1.2,1.2,1.2,0,403.72
2003-05-08,1.2,1.2,1.2,1.2,0,403.72
2003-05-09,1.2,1.2,1.16,1.16,100,390.26
2003-05-12,1.16,1.16,1.16,1.16,0,390.26
2003-05-13,1.2,1.3,1.2,1.3,0,437.36
2003-05-14,1.4,1.43,1.38,1.4,0,471.0
2003-05-15,1.4,1.43,1.3,1.38,0,464.27
2003-05-16,1.3,1.35,1.25,1.25,0,420.54
2003-05-19,1.3,1.35,1.25,1.35,0,454.18
2003-05-20,1.35,1.42,1.1,1.1,100,370.07
2003-05-21,1.25,1.3,1.25,1.3,0,437.36
2003-05-22,1.3,1.32,1.3,1.32,0,444.09
2003-05-23,1.26,1.3,1.25,1.28,0,430.63
2003-05-27,1.21,1.3,1.21,1.23,0,412.13
2003-05-28,1.29,1.29,1.21,1.21,0,407.08
2003-05-29,1.25,1.25,1.2,1.25,0,420.54
2003-05-30,1.27,1.27,1.15,1.15,300,386.89
2003-06-02,1.1,1.15,1.1,1.15,0,386.89
2003-06-03,1.14,1.3,1.05,1.25,1100,420.54
2003-06-04,1.25,1.4,1.23,1.39,200,467.64
2003-06-05,1.39,1.55,1.37,1.45,100,487.82
2003-06-06,1.5,1.57,1.48,1.57,100,528.2
2003-06-09,1.5,1.5,1.5,1.5,0,504.65
2003-06-10,1.54,1.7,1.48,1.65,0,555.11
2003-06-11,1.66,1.75,1.5,1.56,0,524.83
2003-06-12,1.65,2.35,1.62,2.15,100,723.32
2003-06-13,2.6,2.9,2.25,2.25,100,756.97
2003-06-16,2.3,2.5,2.1,2.1,0,706.5
2003-06-17,2.1,2.35,2.05,2.3,100,773.79
2003-06-18,2.35,2.45,2.2,2.37,100,797.34
2003-06-19,2.34,2.4,2.25,2.31,0,777.15
2003-06-20,2.4,2.4,2.22,2.35,0,790.61
2003-06-23,2.2,2.2,2.05,2.1,0,706.5
2003-06-24,2.15,2.7,2.08,2.55,200,857.9
2003-06-25,2.65,2.65,2.45,2.45,0,824.25
2003-06-26,2.37,2.37,2.25,2.34,100,787.25
2003-06-27,2.3,2.5,2.25,2.35,0,790.61
2003-06-30,2.35,2.5,2.25,2.45,0,824.25
2003-07-01,2.4,2.4,2.15,2.15,100,723.32
2003-07-02,2.3,2.7,2.28,2.7,200,908.36
2003-07-03,2.7,2.72,2.56,2.7,100,908.36
2003-07-07,2.8,3.0,2.7,2.95,100,992.47
2003-07-08,3.0,3.3,2.85,3.25,200,1093.4
2003-07-09,3.2,3.3,3.2,3.26,100,1096.76
2003-07-10,3.26,3.9,3.24,3.8,400,1278.43
2003-07-11,3.85,4.76,3.8,4.61,500,1547.58
2003-07-14,4.71,4.71,4.01,4.36,200,1463.47
2003-07-15,4.26,4.41,4.16,4.31,0,1446.65
2003-07-16,4.31,4.31,3.6,4.16,100,1396.18
2003-07-17,4.16,4.46,4.01,4.16,0,1396.18
2003-07-18,4.16,4.31,3.9,4.16,100,1396.18
2003-07-21,4.11,4.21,3.65,3.75,0,1261.61
2003-07-22,3.75,3.96,3.4,3.45,100,1160.68
2003-07-23,3.7,3.9,3.05,3.4,200,1143.86
2003-07-24,3.6,3.6,3.21,3.5,0,1177.51
2003-07-25,3.5,3.5,3.1,3.2,100,1076.58
2003-07-28,3.27,3.27,3.1,3.15,0,1059.75
2003-07-29,3.1,3.3,3.0,3.1,100,1042.93
2003-07-30,3.1,3.75,3.05,3.75,200,1261.61
2003-07-31,3.6,3.85,3.6,3.8,100,1278.43
2003-08-01,3.8,3.85,3.7,3.77,0,1268.34
2003-08-04,3.77,4.01,3.75,3.85,0,1295.26
2003-08-05,3.96,4.01,3.8,3.85,0,1295.26
2003-08-06,3.85,3.85,3.75,3.85,0,1295.26
2003-08-07,3.75,3.9,3.75,3.85,0,1295.26
2003-08-08,3.85,4.11,3.75,4.01,0,1345.72
2003-08-11,4.01,4.11,3.81,3.85,0,1295.26
2003-08-12,3.96,3.96,3.65,3.85,0,1295.26
2003-08-13,3.7,3.75,3.55,3.65,0,1227.97
2003-08-14,3.65,3.7,3.55,3.6,0,1211.15
2003-08-15,3.55,3.8,3.55,3.8,0,1278.43
2003-08-18,3.8,3.8,3.6,3.8,0,1278.43
2003-08-19,3.8,4.2,3.8,4.11,100,1379.36
2003-08-20,4.11,4.16,4.01,4.11,100,1379.36
2003-08-21,4.11,4.61,4.06,4.56,300,1530.76
2003-08-22,4.61,4.81,4.46,4.81,200,1614.86
2003-08-25,4.81,5.51,4.61,5.41,300,1816.72
2003-08-26,5.66,6.01,5.36,6.01,300,2018.58
2003-08-27,5.98,6.01,5.26,5.81,300,1951.29
2003-08-28,5.81,6.51,5.81,6.31,200,2119.51
2003-08-29,6.21,6.26,6.06,6.16,100,2069.04
2003-09-02,6.06,6.31,5.81,6.26,200,2102.69
2003-09-03,6.26,6.71,6.11,6.56,100,2203.62
2003-09-04,6.61,6.71,6.11,6.66,200,2237.26
2003-09-05,6.75,7.41,6.75,7.36,100,2472.76
2003-09-08,7.31,7.66,7.21,7.61,100,2556.87
2003-09-09,7.91,10.01,7.91,9.81,400,3297.01
2003-09-10,9.76,9.76,8.56,9.66,200,3246.55
2003-09-11,9.76,9.76,9.01,9.41,100,3162.44
2003-09-12,9.41,9.41,8.71,9.21,100,3095.16
2003-09-15,9.01,9.16,8.76,8.91,100,2994.23
2003-09-16,8.86,9.36,8.81,9.31,100,3128.8
2003-09-17,9.31,10.05,9.31,10.03,100,3371.03
2003-09-18,10.21,10.91,10.21,10.86,200,3650.27
2003-09-19,11.01,12.92,10.96,12.47,600,4188.55
2003-09-22,12.27,13.02,11.31,12.97,200,4356.77
2003-09-23,12.97,15.02,12.82,14.87,400,4995.99
2003-09-24,14.87,15.02,14.12,14.42,100,4844.59
2003-09-25,14.52,15.27,14.32,15.27,100,5130.56
2003-09-26,15.27,16.27,14.57,15.02,100,5046.45
