Date,Open,High,Low,Close,Volume,Adj Close
1995-08-18,14.88,14.88,14.62,14.62,5400,0.98
1995-08-21,14.88,15.0,14.88,15.0,4500,1.01
1995-08-22,14.88,15.0,14.75,14.88,4800,1.0
1995-08-23,15.0,15.12,14.88,15.12,7400,1.02
1995-08-24,15.0,15.0,14.88,14.88,2600,1.0
1995-08-25,15.0,15.0,14.88,14.88,1900,1.0
1995-08-28,14.88,14.88,14.88,14.88,1800,1.0
1995-08-29,15.0,15.12,14.88,14.88,5000,1.0
1995-08-30,14.88,15.0,14.88,14.88,2800,1.0
1995-08-31,15.0,15.0,15.0,15.0,1100,1.01
1995-09-01,15.0,15.0,14.88,15.0,1100,1.01
1995-09-05,15.0,15.0,14.75,14.75,1600,0.99
1995-09-06,14.62,14.75,14.5,14.75,5900,0.99
1995-09-07,14.88,14.88,14.12,14.12,12700,0.95
1995-09-08,14.25,14.62,14.25,14.62,6300,0.98
1995-09-11,14.5,14.5,14.38,14.38,5200,0.97
1995-09-12,14.25,14.38,14.25,14.38,6400,0.97
1995-09-13,14.25,14.5,14.25,14.38,4200,0.97
1995-09-14,14.62,14.75,14.5,14.75,8100,0.99
1995-09-15,14.75,14.75,14.62,14.75,1600,0.99
1995-09-18,14.75,14.75,14.5,14.62,2500,0.98
1995-09-19,14.75,14.88,14.62,14.75,8800,0.99
1995-09-20,14.88,14.88,14.88,14.88,1000,1.0
1995-09-21,14.88,14.88,14.62,14.75,4600,0.99
1995-09-22,14.5,14.62,14.5,14.62,2600,0.98
1995-09-25,14.75,14.88,14.75,14.75,2300,0.99
1995-09-26,14.5,15.0,14.5,15.0,5300,1.01
1995-09-27,14.75,14.75,14.5,14.75,6000,1.02
1995-09-28,14.62,14.62,14.5,14.5,900,1.0
1995-09-29,14.5,14.5,14.5,14.5,500,1.0
1995-10-02,14.62,14.62,14.62,14.62,1300,1.01
1995-10-03,14.5,14.62,14.5,14.62,3600,1.01
1995-10-04,14.62,14.62,14.38,14.5,3100,1.0
1995-10-05,14.62,14.62,14.38,14.38,2800,0.99
1995-10-06,14.38,14.62,14.38,14.5,2300,1.0
1995-10-09,14.5,14.62,14.5,14.5,1100,1.0
