Date,Open,High,Low,Close,Volume,Adj Close
2005-06-27,2.1,2.4,2.1,2.33,3300,18.64
2005-06-28,2.33,2.5,2.33,2.5,800,20.0
2005-06-29,2.51,2.51,2.5,2.5,700,20.0
2005-06-30,2.5,2.5,2.5,2.5,0,20.0
2005-07-01,2.5,2.5,2.5,2.5,0,20.0
2005-07-05,2.9,3.0,2.9,3.0,200,24.0
2005-07-06,3.0,3.0,3.0,3.0,0,24.0
2005-07-07,3.0,3.0,3.0,3.0,0,24.0
2005-07-08,2.9,3.0,2.9,3.0,300,24.0
2005-07-11,2.85,2.85,2.85,2.85,0,22.8
2005-07-12,2.85,2.85,2.8,2.8,200,22.4
2005-07-13,3.0,3.0,3.0,3.0,0,24.0
2005-07-14,3.0,3.0,3.0,3.0,0,24.0
2005-07-15,3.0,3.0,2.7,2.7,500,21.6
2005-07-18,2.7,2.7,2.7,2.7,0,21.6
2005-07-19,2.7,2.7,2.7,2.7,0,21.6
2005-07-20,2.7,2.7,2.7,2.7,0,21.6
2005-07-21,2.7,2.7,2.7,2.7,0,21.6
2005-07-22,2.7,2.7,2.7,2.7,0,21.6
2005-07-25,2.7,2.7,2.7,2.7,0,21.6
2005-07-26,3.0,3.0,2.97,2.97,600,23.76
2005-07-27,3.05,3.05,3.05,3.05,300,24.4
2005-07-28,3.05,3.05,3.05,3.05,0,24.4
2005-07-29,3.05,3.05,3.05,3.05,0,24.4
2005-08-01,3.05,3.05,3.05,3.05,0,24.4
2005-08-02,3.05,3.05,3.05,3.05,0,24.4
2005-08-03,3.1,3.1,3.07,3.07,500,24.56
2005-08-04,3.07,3.07,3.07,3.07,0,24.56
2005-08-05,3.1,3.3,3.1,3.15,1700,25.2
2005-08-08,3.2,3.35,3.2,3.35,6500,26.8
2005-08-09,3.34,3.35,3.27,3.27,1600,26.16
2005-08-10,3.29,3.34,3.29,3.34,300,26.72
2005-08-11,3.34,3.34,3.34,3.34,200,26.72
2005-08-12,3.34,3.35,3.34,3.35,500,26.8
2005-08-15,3.35,3.35,3.35,3.35,300,26.8
2005-08-16,3.35,3.35,3.35,3.35,1000,26.8
2005-08-17,3.35,3.35,3.35,3.35,0,26.8
2005-08-18,3.5,3.5,3.5,3.5,100,28.0
2005-08-19,3.5,3.5,3.5,3.5,1900,28.0
2005-08-22,3.49,3.49,3.49,3.49,100,27.92
2005-08-23,3.44,3.47,3.44,3.47,3700,27.76
2005-08-24,3.47,3.47,3.47,3.47,0,27.76
2005-08-25,3.5,3.5,3.48,3.48,400,27.84
2005-08-26,3.48,3.48,3.48,3.48,0,27.84
2005-08-29,3.25,3.25,3.25,3.25,100,26.0
2005-08-30,3.5,4.0,3.5,3.6,300,28.8
2005-08-31,3.6,3.6,3.6,3.6,0,28.8
2005-09-01,3.6,3.6,3.6,3.6,800,28.8
2005-09-02,3.6,3.6,3.6,3.6,0,28.8
2005-09-06,3.6,3.6,3.6,3.6,0,28.8
