Date,Open,High,Low,Close,Volume,Adj Close
1997-10-15,10.13,10.13,9.0,9.25,5700,92.5
1997-10-16,9.75,10.0,9.5,9.5,2300,95.0
1997-10-17,10.0,10.0,9.38,9.63,400,96.25
1997-10-20,9.75,10.25,9.38,9.38,5700,93.75
1997-10-21,10.0,10.0,9.38,9.63,1400,96.25
1997-10-22,9.38,9.63,9.13,9.13,1200,91.25
1997-10-23,9.13,9.25,8.75,9.0,4800,90.0
1997-10-24,8.75,9.25,8.13,8.5,3200,85.0
1997-10-27,8.0,8.5,8.0,8.38,500,83.75
1997-10-28,7.5,8.5,7.38,8.5,1000,85.0
1997-10-29,8.38,8.5,8.06,8.25,4000,82.5
1997-10-30,8.13,8.5,7.88,8.13,3000,81.25
1997-10-31,8.5,8.75,8.5,8.75,1300,87.5
1997-11-03,8.75,8.75,8.25,8.75,600,87.5
1997-11-04,8.19,8.38,8.0,8.38,500,83.75
1997-11-05,8.0,8.38,8.0,8.13,1200,81.25
1997-11-06,8.0,8.0,7.5,8.0,2300,80.0
1997-11-07,8.0,8.0,7.5,8.0,2000,80.0
1997-11-10,8.25,8.5,8.0,8.0,2200,80.0
1997-11-11,8.0,8.13,7.75,8.0,1900,80.0
1997-11-12,8.13,8.13,7.75,7.75,900,77.5
1997-11-13,7.88,7.88,7.13,7.5,700,75.0
1997-11-14,7.63,7.75,7.25,7.38,1000,73.75
1997-11-17,7.5,7.94,7.5,7.75,2000,77.5
1997-11-18,7.5,7.75,7.38,7.38,500,73.75
1997-11-19,7.88,8.0,7.38,8.0,3000,80.0
1997-11-20,7.5,8.13,7.5,8.0,1000,80.0
1997-11-21,8.13,8.13,7.88,8.0,1300,80.0
1997-11-24,8.0,8.0,7.06,7.38,2500,73.75
1997-11-25,7.0,7.5,7.0,7.38,2500,73.75
1997-11-26,7.5,7.5,7.13,7.5,2500,75.0
1997-11-28,7.13,7.25,7.13,7.25,200,72.5
1997-12-01,7.25,7.75,7.25,7.63,2000,76.25
1997-12-02,7.75,8.0,7.38,7.63,3800,76.25
1997-12-03,7.5,7.56,6.38,7.25,6400,72.5
1997-12-04,7.25,7.75,7.25,7.75,3000,77.5
1997-12-05,7.5,7.5,6.25,7.0,1900,70.0
1997-12-08,7.0,7.0,7.0,7.0,200,70.0
1997-12-09,6.63,7.25,6.63,6.88,900,68.75
1997-12-10,7.25,7.25,6.75,7.25,400,72.5
1997-12-11,7.25,7.25,7.0,7.25,700,72.5
1997-12-12,7.25,7.25,5.5,5.63,9100,56.25
1997-12-15,5.63,6.13,5.63,6.0,400,60.0
1997-12-16,6.0,6.0,5.63,5.88,800,58.75
1997-12-17,6.25,6.25,5.63,6.25,500,62.5
1997-12-18,5.88,6.13,5.63,5.88,800,58.75
1997-12-19,5.75,6.13,5.75,5.88,1800,58.75
1997-12-22,6.13,6.13,5.88,6.13,1000,61.25
1997-12-23,6.13,6.13,5.63,5.88,7500,58.75
1997-12-24,5.63,5.88,5.63,5.88,200,58.75
1997-12-26,5.63,6.13,5.63,6.13,0,61.25
1997-12-29,5.63,5.88,5.63,5.63,1300,56.25
1997-12-30,5.63,5.88,5.25,5.88,3400,58.75
1997-12-31,5.88,5.88,5.5,5.88,2700,58.75
