Date,Open,High,Low,Close,Volume,Adj Close
1996-11-15,2.88,3.0,2.75,2.88,4000,22.55
1996-11-18,3.0,3.0,2.81,2.81,2300,22.06
1996-11-19,3.0,3.0,2.84,3.0,6400,23.53
1996-11-20,3.0,3.12,2.94,3.12,4300,24.51
1996-11-21,3.25,3.25,3.0,3.0,4400,23.53
1996-11-22,3.12,3.41,3.0,3.38,10100,26.47
1996-11-25,3.12,3.88,3.12,3.88,7200,30.39
1996-11-26,3.88,4.0,3.38,4.0,5900,31.37
1996-11-27,3.5,4.0,3.5,4.0,4000,31.37
1996-11-29,3.5,3.94,3.5,3.94,1700,30.88
1996-12-02,3.5,4.0,3.5,3.5,8300,27.45
1996-12-03,3.5,4.0,3.5,4.0,800,31.37
1996-12-04,3.56,4.0,3.56,4.0,2000,31.37
1996-12-05,3.56,4.12,3.56,4.0,2500,31.37
1996-12-06,3.56,4.0,2.75,3.0,18300,23.53
1996-12-09,3.34,3.38,3.12,3.38,3800,26.47
1996-12-10,3.19,3.38,3.12,3.38,6500,26.47
1996-12-11,3.19,3.5,3.12,3.38,3600,26.47
1996-12-12,3.5,3.5,3.25,3.5,1500,27.45
1996-12-13,3.12,3.62,3.12,3.62,4900,28.43
1996-12-16,3.31,3.5,3.25,3.5,2900,27.45
1996-12-17,3.03,3.5,3.03,3.03,600,23.77
1996-12-18,3.5,3.5,3.03,3.44,2300,26.96
1996-12-19,3.44,3.5,3.0,3.0,3800,23.53
1996-12-20,3.0,3.5,3.0,3.5,3000,27.45
1996-12-23,3.5,3.5,3.0,3.0,5700,23.53
1996-12-24,3.5,3.5,3.0,3.12,3000,24.51
1996-12-26,3.5,3.5,3.0,3.5,6300,27.45
1996-12-27,3.12,3.25,3.0,3.12,2300,24.51
1996-12-30,3.0,3.38,3.0,3.08,3400,24.14
1996-12-31,3.0,3.25,3.0,3.0,500,23.53
1997-01-02,3.0,3.25,3.0,3.0,1400,23.53
1997-01-03,3.0,3.38,3.0,3.38,900,26.47
1997-01-06,3.38,3.38,3.0,3.12,1900,24.51
1997-01-07,3.0,3.38,3.0,3.38,3000,26.47
1997-01-08,3.12,3.38,3.12,3.38,4800,26.47
1997-01-09,3.12,3.38,3.12,3.38,1700,26.47
1997-01-10,3.12,3.38,3.12,3.12,3100,24.51
1997-01-13,3.25,4.0,3.25,4.0,10600,31.37
1997-01-14,3.88,4.0,3.81,3.81,10800,29.9
1997-01-15,3.94,4.12,3.69,4.12,25100,32.35
1997-01-16,3.94,4.25,3.75,4.25,23500,33.33
1997-01-17,4.12,4.25,4.0,4.19,2700,32.84
1997-01-20,4.06,4.25,4.0,4.0,8700,31.37
1997-01-21,4.0,4.12,3.88,4.0,7000,31.37
1997-01-22,3.88,4.12,3.81,4.0,9000,31.37
1997-01-23,4.12,4.12,3.69,4.0,18900,31.37
1997-01-24,4.0,4.0,3.69,3.75,7400,29.41
1997-01-27,4.0,4.0,3.75,3.81,5400,29.9
1997-01-28,4.0,4.06,3.59,4.06,39800,31.86
1997-01-29,4.06,4.06,3.97,4.03,2400,31.62
1997-01-30,4.06,4.19,4.03,4.19,14000,32.84
1997-01-31,4.06,4.31,4.06,4.25,16200,33.33
1997-02-03,4.25,4.25,4.06,4.12,800,32.35
1997-02-04,4.06,4.25,4.06,4.12,7700,32.35
1997-02-05,4.22,4.22,4.06,4.22,6200,33.09
1997-02-06,4.12,4.38,4.0,4.31,12600,33.82
1997-02-07,4.12,4.31,4.12,4.19,2900,32.84
1997-02-10,4.31,4.31,4.0,4.31,6700,33.82
1997-02-11,4.0,4.31,4.0,4.12,6200,32.35
