Date,Open,High,Low,Close,Volume,Adj Close
2010-03-25,0.02,0.8,0.02,0.54,10500,0.54
2010-03-26,0.52,0.52,0.06,0.06,300,0.06
2010-03-29,0.06,0.52,0.06,0.06,8800,0.06
2010-03-30,0.06,0.06,0.06,0.06,0,0.06
2010-03-31,0.51,0.51,0.06,0.06,7800,0.06
2010-04-01,0.06,0.06,0.06,0.06,0,0.06
2010-04-05,0.06,0.06,0.06,0.06,0,0.06
2010-04-06,0.4,0.4,0.4,0.4,500,0.4
2010-04-07,0.08,0.4,0.08,0.4,1300,0.4
2010-04-08,0.4,0.4,0.4,0.4,0,0.4
2010-04-09,0.35,0.5,0.25,0.5,16600,0.5
2010-04-12,0.5,0.5,0.5,0.5,300,0.5
2010-04-13,0.5,0.5,0.5,0.5,400,0.5
2010-04-14,0.25,0.49,0.25,0.49,5000,0.49
2010-04-15,0.35,0.35,0.35,0.35,5300,0.35
2010-04-16,0.17,0.49,0.17,0.49,6900,0.49
2010-04-19,0.18,0.49,0.18,0.49,1200,0.49
2010-04-20,0.49,0.49,0.49,0.49,200,0.49
2010-04-21,0.49,0.49,0.49,0.49,0,0.49
2010-04-22,0.13,0.13,0.13,0.13,200,0.13
2010-04-23,0.13,0.13,0.13,0.13,0,0.13
2010-04-26,0.49,0.49,0.49,0.49,500,0.49
2010-04-27,0.16,0.49,0.16,0.49,600,0.49
2010-04-28,0.49,0.49,0.31,0.31,15300,0.31
2010-04-29,0.49,0.49,0.35,0.35,12700,0.35
2010-04-30,0.35,0.35,0.35,0.35,0,0.35
2010-05-03,0.4,0.4,0.4,0.4,400,0.4
2010-05-04,0.4,0.45,0.4,0.45,4100,0.45
2010-05-05,0.45,0.49,0.45,0.49,400,0.49
2010-05-06,0.49,0.49,0.49,0.49,0,0.49
2010-05-07,0.49,0.49,0.49,0.49,200,0.49
2010-05-10,0.49,0.49,0.49,0.49,0,0.49
2010-05-11,0.49,0.49,0.49,0.49,200,0.49
2010-05-12,0.49,0.49,0.49,0.49,200,0.49
2010-05-13,0.49,0.49,0.06,0.49,600,0.49
2010-05-14,0.44,0.44,0.44,0.44,1000,0.44
2010-05-17,0.49,0.49,0.49,0.49,200,0.49
2010-05-18,0.49,0.49,0.49,0.49,0,0.49
2010-05-19,0.49,0.49,0.49,0.49,200,0.49
2010-05-20,0.49,0.49,0.49,0.49,0,0.49
2010-05-21,0.45,0.48,0.45,0.48,1000,0.48
2010-05-24,0.48,0.48,0.48,0.48,0,0.48
2010-05-25,0.48,0.48,0.48,0.48,0,0.48
2010-05-26,0.49,0.49,0.49,0.49,200,0.49
2010-05-27,0.49,0.49,0.49,0.49,0,0.49
2010-05-28,0.49,0.49,0.49,0.49,0,0.49
2010-06-01,0.49,0.49,0.49,0.49,0,0.49
2010-06-02,0.49,0.49,0.49,0.49,0,0.49
2010-06-03,0.08,0.49,0.08,0.49,1600,0.49
2010-06-04,0.06,0.49,0.06,0.49,300,0.49
2010-06-07,0.49,0.49,0.49,0.49,0,0.49
2010-06-08,0.49,0.49,0.49,0.49,0,0.49
2010-06-09,0.08,0.08,0.08,0.08,1800,0.08
2010-06-10,0.45,0.45,0.45,0.45,200,0.45
2010-06-11,0.45,0.45,0.45,0.45,0,0.45
2010-06-14,0.08,0.45,0.08,0.45,700,0.45
2010-06-15,0.1,0.45,0.1,0.45,300,0.45
2010-06-16,0.45,0.45,0.45,0.45,0,0.45
2010-06-17,0.45,0.45,0.1,0.45,900,0.45
2010-06-18,0.1,0.45,0.1,0.45,1100,0.45
2010-06-21,0.45,0.45,0.45,0.45,300,0.45
2010-06-22,0.45,0.45,0.45,0.45,600,0.45
2010-06-23,0.45,0.45,0.45,0.45,0,0.45
2010-06-24,0.45,0.45,0.45,0.45,3000,0.45
2010-06-25,0.45,0.45,0.45,0.45,0,0.45
2010-06-28,0.45,0.45,0.45,0.45,0,0.45
2010-06-29,0.2,0.2,0.2,0.2,3300,0.2
2010-06-30,0.2,0.2,0.2,0.2,0,0.2
2010-07-01,0.45,0.45,0.45,0.45,5600,0.45
2010-07-02,0.45,0.45,0.45,0.45,0,0.45
2010-07-06,0.38,0.38,0.38,0.38,5000,0.38
2010-07-07,0.45,0.45,0.25,0.25,1200,0.25
2010-07-08,0.25,0.25,0.2,0.2,40000,0.2
2010-07-09,0.2,0.21,0.2,0.2,33800,0.2
2010-07-12,0.2,0.2,0.2,0.2,0,0.2
2010-07-13,0.2,0.2,0.2,0.2,0,0.2
2010-07-14,0.2,0.2,0.2,0.2,0,0.2
2010-07-15,0.2,0.2,0.2,0.2,0,0.2
2010-07-16,0.23,0.23,0.16,0.16,27000,0.16
2010-07-19,0.51,0.51,0.16,0.16,82900,0.16
2010-07-20,0.16,0.16,0.16,0.16,1000,0.16
2010-07-21,0.16,0.16,0.16,0.16,0,0.16
2010-07-22,0.18,0.25,0.18,0.25,2400,0.25
2010-07-23,0.25,0.25,0.25,0.25,0,0.25
2010-07-26,0.25,0.25,0.25,0.25,0,0.25
2010-07-27,0.25,0.25,0.25,0.25,0,0.25
2010-07-28,0.3,0.3,0.3,0.3,100,0.3
2010-07-29,0.3,0.3,0.3,0.3,0,0.3
2010-07-30,0.3,0.3,0.3,0.3,2500,0.3
2010-08-02,0.3,0.3,0.3,0.3,0,0.3
2010-08-03,0.22,0.35,0.22,0.35,14800,0.35
2010-08-04,0.35,0.35,0.35,0.35,0,0.35
2010-08-05,0.35,0.35,0.25,0.25,2300,0.25
2010-08-06,0.2,0.3,0.2,0.3,5300,0.3
2010-08-09,0.3,0.3,0.3,0.3,0,0.3
2010-08-10,0.3,0.3,0.3,0.3,0,0.3
2010-08-11,0.3,0.3,0.3,0.3,0,0.3
2010-08-12,0.3,0.3,0.3,0.3,0,0.3
2010-08-13,0.3,0.3,0.2,0.3,3000,0.3
2010-08-16,0.2,0.2,0.2,0.2,1000,0.2
2010-08-17,0.18,0.18,0.15,0.15,2200,0.15
2010-08-18,0.3,0.3,0.3,0.3,300,0.3
2010-08-19,0.2,0.2,0.2,0.2,5000,0.2
2010-08-20,0.2,0.2,0.2,0.2,0,0.2
2010-08-23,0.2,0.2,0.2,0.2,0,0.2
2010-08-24,0.2,0.2,0.2,0.2,0,0.2
2010-08-25,0.2,0.2,0.2,0.2,0,0.2
2010-08-26,0.2,0.2,0.2,0.2,0,0.2
2010-08-27,0.22,0.22,0.22,0.22,4000,0.22
2010-08-30,0.22,0.22,0.22,0.22,0,0.22
2010-08-31,0.19,0.19,0.18,0.18,6800,0.18
2010-09-01,0.18,0.18,0.18,0.18,0,0.18
2010-09-02,0.18,0.18,0.18,0.18,0,0.18
2010-09-03,0.18,0.18,0.18,0.18,0,0.18
2010-09-07,0.18,0.18,0.18,0.18,0,0.18
2010-09-08,0.3,0.3,0.3,0.3,200,0.3
2010-09-09,0.3,0.3,0.3,0.3,0,0.3
2010-09-10,0.3,0.3,0.3,0.3,200,0.3
2010-09-13,0.3,0.3,0.3,0.3,200,0.3
2010-09-14,0.3,0.3,0.3,0.3,0,0.3
2010-09-15,0.3,0.3,0.3,0.3,0,0.3
2010-09-16,0.3,0.3,0.16,0.16,1700,0.16
2010-09-17,0.3,0.3,0.3,0.3,400,0.3
2010-09-20,0.3,0.3,0.3,0.3,200,0.3
2010-09-21,0.3,0.3,0.3,0.3,200,0.3
2010-09-22,0.3,0.3,0.3,0.3,0,0.3
2010-09-23,0.3,0.3,0.3,0.3,0,0.3
2010-09-24,0.16,0.3,0.16,0.3,1500,0.3
2010-09-27,0.3,0.3,0.3,0.3,600,0.3
2010-09-28,0.29,0.29,0.29,0.29,400,0.29
2010-09-29,0.28,0.28,0.28,0.28,500,0.28
2010-09-30,0.29,0.29,0.29,0.29,500,0.29
2010-10-01,0.29,0.29,0.29,0.29,2900,0.29
2010-10-04,0.29,0.29,0.29,0.29,0,0.29
2010-10-05,0.29,0.29,0.29,0.29,0,0.29
2010-10-06,0.29,0.29,0.29,0.29,0,0.29
2010-10-07,0.29,0.29,0.29,0.29,0,0.29
2010-10-08,0.29,0.29,0.29,0.29,0,0.29
2010-10-11,0.25,0.25,0.25,0.25,700,0.25
