Date,Open,High,Low,Close,Volume,Adj Close
2000-06-16,27.62,27.62,22.56,23.25,2524400,23.25
2000-06-19,22.5,22.69,21.06,21.75,1046700,21.75
2000-06-20,20.12,20.88,18.5,18.81,1329600,18.81
2000-06-21,18.12,21.75,18.06,21.06,765300,21.06
2000-06-22,21.84,22.75,20.25,21.69,478900,21.69
2000-06-23,21.75,21.75,18.75,19.44,544400,19.44
2000-06-26,19.81,19.88,18.5,18.62,347700,18.62
2000-06-27,18.59,19.0,18.06,18.5,250400,18.5
2000-06-28,18.5,18.62,16.88,17.75,500600,17.75
2000-06-29,17.41,17.44,15.0,15.69,215800,15.69
2000-06-30,15.62,15.78,13.94,14.0,389200,14.0
2000-07-03,14.12,15.25,14.12,15.25,140800,15.25
2000-07-05,15.31,17.0,15.0,16.88,367000,16.88
2000-07-06,17.19,17.25,15.5,15.62,146500,15.62
2000-07-07,15.84,17.38,14.5,16.56,571600,16.56
2000-07-10,16.44,16.56,14.88,16.0,154000,16.0
2000-07-11,16.06,16.06,14.94,15.38,262100,15.38
2000-07-12,15.47,16.12,15.12,16.06,133400,16.06
2000-07-13,15.75,15.94,14.69,14.81,172100,14.81
2000-07-14,14.75,15.0,14.12,14.38,166800,14.38
2000-07-17,15.0,17.0,14.12,16.81,355600,16.81
2000-07-18,16.62,16.88,15.12,15.38,94900,15.38
2000-07-19,15.38,15.44,14.75,14.88,63600,14.88
2000-07-20,15.19,15.5,14.5,14.5,134700,14.5
2000-07-21,15.12,15.5,14.62,14.75,84600,14.75
2000-07-24,14.62,14.62,13.44,13.62,164400,13.62
2000-07-25,13.72,14.5,13.69,14.44,64000,14.44
2000-07-26,14.38,14.44,13.31,13.94,32700,13.94
2000-07-27,13.62,13.62,12.06,12.38,72500,12.38
2000-07-28,12.19,12.38,10.5,11.0,139600,11.0
2000-07-31,11.03,11.25,9.94,10.0,156800,10.0
2000-08-01,9.12,9.62,8.0,8.69,198500,8.69
2000-08-02,8.88,8.88,7.94,8.19,175500,8.19
2000-08-03,8.19,8.22,7.62,7.75,296400,7.75
2000-08-04,7.83,8.12,7.75,8.0,445500,8.0
2000-08-07,8.0,9.25,7.94,9.25,86100,9.25
2000-08-08,9.38,12.5,9.38,11.62,184800,11.62
2000-08-09,12.19,12.62,9.62,9.62,103600,9.62
2000-08-10,9.75,9.88,8.81,9.19,87100,9.19
2000-08-11,9.0,9.62,8.88,9.5,31100,9.5
2000-08-14,9.62,9.62,9.12,9.5,17200,9.5
2000-08-15,9.44,10.0,9.0,9.62,62600,9.62
2000-08-16,9.88,10.0,9.56,9.56,13600,9.56
2000-08-17,9.56,10.0,9.56,9.75,78800,9.75
2000-08-18,9.97,10.62,9.75,10.38,60300,10.38
2000-08-21,10.47,11.31,10.44,11.06,69300,11.06
2000-08-22,11.12,11.44,10.62,10.75,47300,10.75
2000-08-23,10.66,10.75,10.25,10.38,28100,10.38
2000-08-24,10.31,10.88,10.31,10.81,34700,10.81
2000-08-25,10.75,10.88,10.5,10.88,11700,10.88
2000-08-28,10.84,10.88,10.0,10.0,43700,10.0
2000-08-29,10.19,10.38,10.0,10.19,9100,10.19
2000-08-30,10.22,10.5,10.06,10.5,36200,10.5
2000-08-31,10.47,11.5,10.0,10.36,175700,10.36
2000-09-01,10.38,10.75,9.5,9.75,265800,9.75
2000-09-05,9.88,9.88,9.12,9.44,108800,9.44
2000-09-06,9.56,9.88,9.25,9.75,79100,9.75
2000-09-07,9.56,10.0,9.38,9.81,41900,9.81
2000-09-08,10.0,10.12,9.56,9.62,21200,9.62
2000-09-11,9.62,10.0,9.25,9.25,33700,9.25
2000-09-12,9.25,9.31,8.75,9.06,86500,9.06
2000-09-13,9.0,9.06,8.5,8.75,32200,8.75
2000-09-14,8.62,9.0,8.59,8.62,29500,8.62
2000-09-15,8.91,8.94,8.0,8.38,24400,8.38
2000-09-18,8.31,8.44,8.06,8.25,26300,8.25
2000-09-19,8.31,8.75,8.25,8.31,24800,8.31
2000-09-20,8.41,8.81,8.31,8.62,116400,8.62
2000-09-21,8.75,8.75,8.38,8.69,4900,8.69
2000-09-22,8.25,8.5,8.03,8.25,36900,8.25
2000-09-25,8.12,8.38,8.03,8.03,25000,8.03
2000-09-26,8.03,8.25,7.25,7.5,42400,7.5
2000-09-27,7.62,8.44,7.25,7.5,64200,7.5
2000-09-28,7.5,7.5,7.12,7.5,25100,7.5
2000-09-29,7.31,7.41,7.0,7.31,25700,7.31
