Date,Open,High,Low,Close,Volume,Adj Close
2014-03-07,8.53,8.95,8.25,8.3,1148600,8.3
2014-03-10,8.3,8.56,8.08,8.44,93400,8.44
2014-03-11,8.58,8.82,8.46,8.7,226000,8.7
2014-03-12,8.73,8.73,8.39,8.7,107700,8.7
2014-03-13,8.51,8.73,8.08,8.28,95500,8.28
2014-03-14,8.25,8.52,7.5,7.75,218100,7.75
2014-03-17,7.76,7.94,7.76,7.81,23800,7.81
2014-03-18,7.9,8.25,7.76,8.15,41200,8.15
2014-03-19,8.26,8.64,8.23,8.49,218100,8.49
2014-03-20,9.13,9.88,8.64,9.15,497800,9.15
2014-03-21,8.76,9.16,8.12,8.38,76900,8.38
2014-03-24,8.18,8.36,7.65,7.95,123500,7.95
2014-03-25,8.09,8.39,7.77,8.2,149700,8.2
2014-03-26,8.15,8.39,7.75,7.79,107800,7.79
2014-03-27,7.71,7.9,7.01,7.15,95800,7.15
2014-03-28,7.38,7.86,7.13,7.18,41700,7.18
2014-03-31,7.02,7.74,7.0,7.32,35600,7.32
2014-04-01,7.21,7.5,6.77,6.98,43600,6.98
2014-04-02,7.05,7.78,7.05,7.49,30600,7.49
2014-04-03,7.5,7.72,7.0,7.17,50900,7.17
2014-04-04,7.32,7.32,6.8,7.0,32200,7.0
2014-04-07,6.84,7.41,6.63,6.77,89700,6.77
2014-04-08,7.0,7.18,6.7,7.0,5400,7.0
2014-04-09,7.2,7.4,6.88,7.06,7200,7.06
2014-04-10,6.9,7.0,6.56,6.65,31900,6.65
2014-04-11,6.51,8.0,6.44,6.45,35200,6.45
2014-04-14,6.52,6.52,5.49,5.7,159100,5.7
2014-04-15,5.5,5.55,5.01,5.5,69300,5.5
2014-04-16,5.55,5.64,5.25,5.5,16100,5.5
2014-04-17,5.31,5.5,5.31,5.5,1700,5.5
2014-04-21,5.6,5.6,5.26,5.26,7600,5.26
2014-04-22,5.36,5.97,5.35,5.75,24100,5.75
2014-04-23,5.87,7.42,5.87,7.15,72800,7.15
2014-04-24,6.65,7.5,6.49,6.69,33400,6.69
