Date,Open,High,Low,Close,Volume,Adj Close
1997-05-28,3.5,3.5,3.5,3.5,0,1.35
1997-05-29,3.5,3.5,3.5,3.5,0,1.35
1997-05-30,3.25,3.5,3.25,3.5,5600,1.35
1997-06-02,3.5,3.5,3.5,3.5,0,1.35
1997-06-03,3.5,3.75,3.5,3.5,9400,1.35
1997-06-04,3.75,3.75,3.75,3.75,2000,1.45
1997-06-05,3.5,3.5,3.5,3.5,400,1.35
1997-06-06,3.5,3.62,3.38,3.62,10200,1.4
1997-06-09,3.25,3.5,3.25,3.5,3000,1.35
1997-06-10,3.5,3.75,3.5,3.75,5400,1.45
1997-06-11,3.38,4.0,3.38,3.62,30000,1.4
1997-06-12,3.62,3.75,3.62,3.75,8000,1.45
1997-06-13,3.75,3.75,3.75,3.75,0,1.45
1997-06-16,3.5,3.5,3.5,3.5,2200,1.35
1997-06-17,3.5,3.5,3.5,3.5,0,1.35
1997-06-18,3.25,3.25,3.25,3.25,1800,1.26
1997-06-19,3.12,3.12,3.12,3.12,400,1.21
1997-06-20,3.0,3.5,3.0,3.5,1000,1.35
1997-06-23,3.38,3.38,3.38,3.38,5000,1.3
1997-06-24,3.5,3.62,3.25,3.62,10000,1.4
1997-06-25,3.62,3.62,3.62,3.62,0,1.4
1997-06-26,3.12,3.12,3.12,3.12,400,1.21
1997-06-27,3.12,3.12,3.12,3.12,600,1.21
1997-06-30,3.12,3.12,3.12,3.12,1000,1.21
1997-07-01,3.12,3.12,3.12,3.12,200,1.21
1997-07-02,3.12,3.12,3.12,3.12,200,1.21
1997-07-03,3.5,3.5,3.5,3.5,1400,1.35
1997-07-07,3.5,3.5,3.5,3.5,0,1.35
1997-07-08,3.12,3.25,2.62,2.88,56400,1.11
1997-07-09,2.88,2.88,2.88,2.88,0,1.11
1997-07-10,2.75,2.75,2.75,2.75,1200,1.06
1997-07-11,3.0,3.0,3.0,3.0,200,1.16
1997-07-14,3.0,3.0,2.75,2.75,5000,1.06
1997-07-15,2.75,2.75,2.75,2.75,4000,1.06
1997-07-16,2.75,2.75,2.75,2.75,8000,1.06
1997-07-17,2.75,2.88,2.75,2.88,60800,1.11
1997-07-18,2.75,3.0,2.62,2.62,12400,1.01
1997-07-21,2.5,2.81,2.5,2.62,34000,1.01
1997-07-22,2.5,2.75,2.12,2.25,55600,0.87
1997-07-23,2.25,2.25,2.0,2.25,20000,0.87
1997-07-24,2.0,2.25,2.0,2.25,2800,0.87
1997-07-25,2.25,2.25,2.25,2.25,0,0.87
1997-07-28,2.0,2.25,2.0,2.25,4400,0.87
1997-07-29,2.38,2.38,2.38,2.38,2000,0.92
1997-07-30,2.25,2.25,2.25,2.25,2000,0.87
1997-07-31,2.38,2.62,2.25,2.62,35800,1.01
1997-08-01,2.88,2.88,2.38,2.75,6600,1.06
1997-08-04,2.5,2.5,2.5,2.5,1000,0.97
1997-08-05,2.62,3.12,2.62,3.12,6000,1.21
1997-08-06,3.12,3.12,2.75,2.75,11600,1.06
1997-08-07,2.69,2.75,2.69,2.75,14000,1.06
1997-08-08,2.75,2.75,2.75,2.75,1400,1.06
1997-08-11,2.75,2.75,2.75,2.75,0,1.06
1997-08-12,2.62,2.62,2.62,2.62,400,1.01
1997-08-13,2.62,2.62,2.62,2.62,2800,1.01
1997-08-14,2.62,2.62,2.62,2.62,0,1.01
1997-08-15,3.0,3.0,2.12,2.5,35000,0.97
1997-08-18,2.5,2.5,2.5,2.5,0,0.97
1997-08-19,2.62,2.62,2.62,2.62,400,1.01
1997-08-20,2.38,2.5,2.38,2.5,4400,0.97
1997-08-21,2.62,2.62,2.62,2.62,12000,1.01
1997-08-22,2.5,2.88,2.5,2.88,10400,1.11
1997-08-25,2.62,2.62,2.62,2.62,5400,1.01
1997-08-26,2.88,2.88,2.88,2.88,1800,1.11
1997-08-27,2.88,2.88,2.88,2.88,0,1.11
1997-08-28,3.0,3.0,3.0,3.0,200,1.16
1997-08-29,3.0,3.0,3.0,3.0,2000,1.16
1997-09-02,3.0,3.0,3.0,3.0,0,1.16
1997-09-03,3.0,3.06,2.88,2.88,42600,1.11
1997-09-04,3.06,3.06,2.88,2.94,10000,1.14
1997-09-05,2.88,2.88,2.88,2.88,800,1.11
1997-09-08,2.75,2.88,2.75,2.88,2200,1.11
1997-09-09,2.81,2.94,2.81,2.94,8600,1.14
1997-09-10,3.0,3.0,3.0,3.0,2000,1.16
1997-09-11,2.81,2.88,2.75,2.81,5600,1.09
1997-09-12,2.81,2.81,2.81,2.81,0,1.09
1997-09-15,3.0,3.0,2.88,2.88,7600,1.11
1997-09-16,2.88,2.88,2.88,2.88,0,1.11
1997-09-17,2.75,2.88,2.75,2.88,2400,1.11
1997-09-18,2.88,2.88,2.88,2.88,0,1.11
1997-09-19,2.88,2.88,2.88,2.88,0,1.11
1997-09-22,2.75,2.75,2.75,2.75,4800,1.06
1997-09-23,2.62,2.75,2.31,2.38,56800,0.92
1997-09-24,2.5,2.62,2.44,2.62,14000,1.01
1997-09-25,2.75,2.75,2.75,2.75,2000,1.06
1997-09-26,2.75,2.75,2.75,2.75,0,1.06
1997-09-29,2.75,3.12,2.75,3.12,6400,1.21
1997-09-30,3.12,3.12,3.12,3.12,0,1.21
1997-10-01,2.62,3.12,2.62,2.75,32800,1.06
1997-10-02,2.62,2.62,2.62,2.62,800,1.01
1997-10-03,3.0,3.25,2.88,2.88,40000,1.11
1997-10-06,2.69,3.12,2.69,2.94,23400,1.14
1997-10-07,2.69,2.69,2.69,2.69,800,1.04
1997-10-08,2.75,2.75,2.75,2.75,5600,1.06
1997-10-09,2.62,2.84,2.62,2.84,48800,1.1
1997-10-10,2.75,2.75,2.75,2.75,3000,1.06
1997-10-13,2.62,2.62,2.62,2.62,2000,1.01
1997-10-14,2.75,2.75,2.62,2.62,6600,1.01
1997-10-15,2.62,2.62,2.62,2.62,0,1.01
1997-10-16,3.0,3.0,3.0,3.0,200,1.16
1997-10-17,2.62,2.72,2.62,2.72,51400,1.05
1997-10-20,3.0,3.0,3.0,3.0,400,1.16
1997-10-21,3.0,3.0,2.75,2.75,15800,1.06
1997-10-22,2.75,2.75,2.75,2.75,0,1.06
1997-10-23,2.75,2.75,2.75,2.75,0,1.06
1997-10-24,2.62,2.62,2.62,2.62,600,1.01
1997-10-27,2.62,2.62,2.62,2.62,6000,1.01
1997-10-28,2.88,2.88,2.88,2.88,4000,1.11
1997-10-29,2.62,2.62,2.62,2.62,12800,1.01
1997-10-30,2.62,2.62,2.62,2.62,16000,1.01
1997-10-31,2.5,2.5,2.5,2.5,3000,0.97
1997-11-03,2.5,2.5,2.5,2.5,3200,0.97
1997-11-04,2.5,2.5,2.5,2.5,0,0.97
1997-11-05,2.5,2.5,2.5,2.5,0,0.97
1997-11-06,2.5,2.5,2.5,2.5,0,0.97
1997-11-07,2.5,2.5,2.38,2.38,20000,0.92
1997-11-10,2.41,2.41,2.41,2.41,5000,0.93
1997-11-11,2.41,2.41,2.41,2.41,1000,0.93
1997-11-12,2.12,2.25,2.0,2.25,22000,0.87
1997-11-13,2.12,2.25,2.12,2.25,32000,0.87
1997-11-14,2.25,2.25,2.25,2.25,13400,0.87
1997-11-17,2.5,2.5,2.5,2.5,400,0.97
1997-11-18,2.5,2.5,2.5,2.5,4800,0.97
1997-11-19,2.38,2.38,2.38,2.38,3000,0.92
1997-11-20,2.25,2.5,2.25,2.5,18000,0.97
1997-11-21,2.28,2.62,2.28,2.44,15400,0.94
1997-11-24,2.31,2.38,2.31,2.38,11000,0.92
1997-11-25,2.12,2.25,2.0,2.25,38200,0.87
1997-11-26,2.28,2.28,2.28,2.28,12800,0.88
1997-11-28,2.38,2.75,2.38,2.75,14000,1.06
1997-12-01,2.5,2.5,2.5,2.5,1000,0.97
1997-12-02,2.5,2.5,2.5,2.5,0,0.97
1997-12-03,2.75,2.75,2.5,2.5,9600,0.97
1997-12-04,2.5,2.5,2.5,2.5,48000,0.97
1997-12-05,2.5,2.62,2.38,2.62,40400,1.01
1997-12-08,2.5,2.5,2.41,2.41,34000,0.93
1997-12-09,2.5,2.5,2.5,2.5,4000,0.97
1997-12-10,2.5,2.5,2.5,2.5,0,0.97
1997-12-11,2.38,2.38,2.25,2.25,1200,0.87
1997-12-12,2.5,2.5,2.39,2.5,25800,0.97
1997-12-15,1.75,2.25,1.75,2.05,40000,0.79
1997-12-16,2.0,2.0,2.0,2.0,2800,0.77
1997-12-17,2.25,2.25,2.0,2.0,2200,0.77
1997-12-18,2.0,2.0,2.0,2.0,1000,0.77
1997-12-19,2.25,2.38,2.12,2.38,32600,0.92
1997-12-22,2.5,2.5,2.5,2.5,200,0.97
1997-12-23,2.5,2.5,2.5,2.5,1000,0.97
1997-12-24,2.5,2.5,2.5,2.5,0,0.97
1997-12-26,2.12,2.12,2.12,2.12,600,0.82
1997-12-29,2.12,2.12,2.12,2.12,1000,0.82
1997-12-30,2.16,2.16,2.16,2.16,2000,0.83
1997-12-31,2.12,2.12,2.0,2.0,10800,0.77
1998-01-02,2.0,2.0,2.0,2.0,0,0.77
1998-01-05,2.0,2.0,2.0,2.0,0,0.77
1998-01-06,2.5,2.75,2.47,2.75,15600,1.06
1998-01-07,2.5,2.62,2.5,2.62,3200,1.01
1998-01-08,2.62,2.88,2.62,2.88,27200,1.11
1998-01-09,2.78,2.78,2.78,2.78,2200,1.07
1998-01-12,2.75,2.75,2.12,2.12,34400,0.82
1998-01-13,2.12,2.12,2.12,2.12,200,0.82
1998-01-14,2.12,2.12,2.12,2.12,0,0.82
1998-01-15,2.12,2.12,2.0,2.0,21800,0.77
1998-01-16,2.12,2.25,2.03,2.25,47400,0.87
1998-01-20,2.25,2.25,2.19,2.19,2000,0.85
1998-01-21,2.19,2.19,2.19,2.19,0,0.85
1998-01-22,2.0,2.19,2.0,2.12,20400,0.82
1998-01-23,2.12,2.12,2.12,2.12,4400,0.82
1998-01-26,2.06,2.06,2.06,2.06,200,0.8
