Date,Open,High,Low,Close,Volume,Adj Close
1996-09-25,20.0,20.0,19.5,19.62,736600,5.37
1996-09-26,19.62,19.62,19.12,19.25,86400,5.27
1996-09-27,19.25,19.5,19.25,19.5,57500,5.34
1996-09-30,19.62,19.62,19.38,19.38,17400,5.3
1996-10-01,19.5,19.5,19.38,19.5,28700,5.34
1996-10-02,19.38,19.5,19.38,19.5,12300,5.34
1996-10-03,19.5,19.62,19.5,19.5,47500,5.34
1996-10-04,19.5,19.62,19.5,19.62,5600,5.37
1996-10-07,19.62,19.75,19.5,19.62,19800,5.37
1996-10-08,19.62,19.62,19.5,19.5,12600,5.34
1996-10-09,19.75,20.25,19.75,19.88,64700,5.44
1996-10-10,20.0,20.0,19.75,19.75,15500,5.4
1996-10-11,20.0,20.0,19.62,19.62,15400,5.37
1996-10-14,19.75,19.75,19.62,19.75,33000,5.4
1996-10-15,19.88,20.0,19.75,20.0,25600,5.47
1996-10-16,19.88,19.88,19.62,19.62,9900,5.37
1996-10-17,19.62,19.75,19.12,19.62,79800,5.37
1996-10-18,19.62,19.62,19.5,19.62,13400,5.37
1996-10-21,19.5,19.62,19.5,19.5,5600,5.34
1996-10-22,19.62,19.62,19.0,19.0,18900,5.2
1996-10-23,18.88,18.88,18.12,18.12,35200,4.96
1996-10-24,18.25,18.75,18.25,18.5,22000,5.06
1996-10-25,18.62,18.88,18.62,18.75,14200,5.13
1996-10-28,18.75,18.75,18.25,18.25,19200,4.99
1996-10-29,18.25,19.0,18.12,18.62,24500,5.1
1996-10-30,18.75,19.12,18.5,18.5,22000,5.06
1996-10-31,18.5,18.5,18.0,18.25,21300,4.99
1996-11-01,18.12,18.38,17.88,18.0,13100,4.93
1996-11-04,18.0,18.38,18.0,18.12,20300,4.96
1996-11-05,18.25,18.75,18.25,18.75,19700,5.13
1996-11-06,19.0,19.25,18.75,18.88,20600,5.16
1996-11-07,19.0,19.0,18.88,18.88,10600,5.16
1996-11-08,18.88,18.88,18.62,18.62,2500,5.1
1996-11-11,18.75,19.0,18.75,19.0,6000,5.2
1996-11-12,19.38,19.38,19.12,19.12,23100,5.23
1996-11-13,19.25,19.25,18.88,18.88,26400,5.16
1996-11-14,19.38,19.5,19.0,19.0,45200,5.2
1996-11-15,18.88,19.0,18.75,18.75,29300,5.13
1996-11-18,18.88,19.25,18.88,19.25,20800,5.27
1996-11-19,19.38,19.62,19.12,19.12,34300,5.23
1996-11-20,19.0,19.0,18.75,18.75,27400,5.13
1996-11-21,18.88,19.38,18.62,18.62,37800,5.1
1996-11-22,18.62,19.0,18.38,18.75,51600,5.13
1996-11-25,18.75,18.88,18.62,18.75,31400,5.13
1996-11-26,18.75,19.0,18.62,18.62,29200,5.1
1996-11-27,18.62,18.62,18.12,18.62,21700,5.1
1996-11-29,18.62,18.62,18.62,18.62,3300,5.1
1996-12-02,18.62,18.75,18.5,18.5,21300,5.06
1996-12-03,18.75,18.75,18.0,18.0,25000,4.93
1996-12-04,18.12,18.25,18.0,18.25,8200,4.99
1996-12-05,18.25,18.5,18.0,18.12,19800,4.96
1996-12-06,18.0,18.0,17.75,18.0,26100,4.93
1996-12-09,18.25,18.25,18.25,18.25,10700,4.99
1996-12-10,18.38,18.5,18.25,18.38,22600,5.03
1996-12-11,18.38,18.38,18.12,18.25,17200,4.99
