Date,Open,High,Low,Close,Volume,Adj Close
2007-03-06,8.71,8.71,8.0,8.27,1700,496.3
2007-03-07,8.26,8.47,8.02,8.35,1300,501.1
2007-03-08,8.3,8.49,7.77,8.0,1100,480.1
2007-03-09,8.1,8.1,7.45,7.68,1500,460.89
2007-03-12,7.74,8.24,7.68,8.02,1000,481.3
2007-03-13,7.9,8.28,7.8,7.9,400,474.09
2007-03-14,7.84,8.25,7.79,7.95,300,477.1
2007-03-15,7.85,7.85,7.5,7.6,400,456.09
2007-03-16,7.75,7.76,7.4,7.6,200,456.09
2007-03-19,7.54,7.55,7.3,7.3,200,438.09
2007-03-20,7.35,7.57,7.15,7.25,600,435.09
2007-03-21,7.49,7.49,7.1,7.13,200,427.89
2007-03-22,7.63,7.63,7.06,7.26,400,435.69
2007-03-23,7.3,7.43,7.03,7.19,200,431.49
2007-03-26,7.46,7.46,7.0,7.1,100,426.09
2007-03-27,7.15,7.15,6.2,6.46,1900,387.68
2007-03-28,6.45,6.9,6.45,6.45,500,387.08
2007-03-29,6.89,6.94,6.64,6.9,1000,414.08
2007-03-30,6.9,6.9,6.61,6.79,300,407.48
2007-04-02,6.85,7.03,6.67,6.67,900,400.28
2007-04-03,6.9,7.01,6.8,7.01,100,420.68
2007-04-04,7.0,7.0,6.66,6.87,400,412.28
2007-04-05,6.9,7.09,6.9,6.97,100,418.28
2007-04-09,7.03,7.09,6.98,6.98,100,418.88
2007-04-10,6.97,6.98,6.7,6.78,200,406.88
2007-04-11,7.2,7.2,6.79,6.94,200,416.48
2007-04-12,7.03,7.03,6.77,6.77,300,406.28
2007-04-13,7.03,7.03,6.55,6.55,400,393.08
2007-04-16,6.55,7.0,6.55,6.99,200,419.48
2007-04-17,7.0,7.0,6.62,6.98,0,418.88
2007-04-18,6.78,6.8,6.63,6.65,300,399.08
2007-04-19,6.71,6.89,6.56,6.56,100,393.68
2007-04-20,6.97,6.97,6.47,6.51,100,390.68
2007-04-23,6.5,6.89,6.5,6.6,100,396.08
2007-04-24,6.79,6.88,6.56,6.71,100,402.68
2007-04-25,6.6,6.6,6.33,6.5,300,390.08
2007-04-26,6.6,6.97,6.6,6.91,300,414.68
2007-04-27,6.91,7.7,6.9,7.45,1300,447.09
2007-04-30,7.78,7.98,7.0,7.2,500,432.09
2007-05-01,7.96,7.96,7.32,7.74,600,464.49
2007-05-02,7.85,7.85,7.25,7.85,600,471.09
2007-05-03,8.0,8.3,8.0,8.2,500,492.1
2007-05-04,8.15,8.94,8.0,8.71,800,522.7
2007-05-07,8.7,8.92,8.5,8.75,300,525.1
2007-05-08,8.7,8.75,8.39,8.5,100,510.1
2007-05-09,8.28,8.4,7.91,7.95,200,477.1
2007-05-10,8.0,8.12,7.52,7.66,400,459.69
2007-05-11,7.7,7.95,7.7,7.72,100,463.29
2007-05-14,7.78,8.05,7.77,7.85,200,471.09
2007-05-15,7.8,8.45,7.55,7.71,500,462.69
2007-05-16,7.8,8.05,7.5,7.7,100,462.09
2007-05-17,7.72,7.8,7.6,7.68,200,460.89
2007-05-18,7.88,7.98,7.76,7.94,100,476.5
2007-05-21,8.15,8.15,7.7,7.7,100,462.09
2007-05-22,7.91,7.95,7.85,7.85,0,471.09
2007-05-23,7.8,7.97,7.77,7.8,200,468.09
2007-05-24,7.92,8.0,7.76,7.76,100,465.69
2007-05-25,7.94,7.95,7.83,7.83,0,469.89
2007-05-29,7.9,7.99,7.61,7.96,200,477.7
2007-05-30,7.75,7.75,7.62,7.68,100,460.89
2007-05-31,7.8,7.94,7.71,7.88,100,472.89
2007-06-01,7.99,7.99,7.76,7.76,0,465.69
2007-06-04,7.98,7.98,7.75,7.75,0,465.09
2007-06-05,7.75,7.75,7.57,7.6,0,456.09
2007-06-06,7.6,7.6,7.57,7.57,0,454.29
2007-06-07,7.54,7.54,7.25,7.49,100,449.49
2007-06-08,7.29,7.75,7.29,7.75,100,465.09
2007-06-11,7.67,8.01,7.4,7.92,100,475.3
2007-06-12,7.92,7.92,7.73,7.73,0,463.89
2007-06-13,7.87,7.9,7.74,7.74,0,464.49
2007-06-14,7.65,7.71,7.65,7.65,100,459.09
2007-06-15,7.52,7.52,7.11,7.15,200,429.09
2007-06-18,7.33,7.33,7.15,7.31,100,438.69
2007-06-19,7.49,7.92,7.16,7.19,100,431.49
2007-06-20,7.2,7.25,7.16,7.16,100,429.69
2007-06-21,7.2,7.2,7.11,7.11,100,426.69
2007-06-22,7.15,7.15,6.81,6.9,300,414.08
2007-06-25,6.81,6.82,6.76,6.76,0,405.68
2007-06-26,6.7,6.94,6.7,6.8,100,408.08
2007-06-27,6.71,6.71,6.56,6.66,100,399.68
2007-06-28,6.68,6.75,6.46,6.46,1900,387.68
2007-06-29,6.58,6.58,6.3,6.4,300,384.08
