Date,Open,High,Low,Close,Volume,Adj Close
2014-03-21,8.32,8.47,7.2,7.25,637800,7.25
2014-03-24,7.4,7.5,6.75,6.76,112200,6.76
2014-03-25,7.24,7.29,7.0,7.13,94300,7.13
2014-03-26,7.15,7.24,6.8,6.93,56300,6.93
2014-03-27,7.24,7.24,6.75,6.75,70800,6.75
2014-03-28,6.77,7.05,6.65,6.92,65700,6.92
2014-03-31,6.99,7.05,6.8,6.84,21900,6.84
2014-04-01,6.79,6.85,6.51,6.75,80800,6.75
2014-04-02,6.75,7.0,6.75,7.0,42000,7.0
2014-04-03,7.06,7.09,6.81,6.99,40800,6.99
2014-04-04,6.92,6.98,6.8,6.9,16100,6.9
2014-04-07,7.15,7.15,6.8,6.89,16900,6.89
2014-04-08,6.78,7.04,6.78,6.99,19000,6.99
2014-04-09,6.89,7.15,6.89,7.14,58000,7.14
2014-04-10,7.12,7.13,6.78,7.05,23800,7.05
2014-04-11,6.97,7.15,6.97,7.15,18400,7.15
2014-04-14,7.13,7.15,6.97,7.03,11100,7.03
2014-04-15,6.94,6.99,6.8,6.84,50500,6.84
2014-04-16,6.83,7.04,6.65,6.76,43300,6.76
2014-04-17,6.83,7.02,6.75,7.0,28000,7.0
2014-04-21,6.84,6.94,6.8,6.93,20700,6.93
2014-04-22,6.86,6.88,6.8,6.87,14500,6.87
2014-04-23,6.87,6.99,6.87,6.99,11300,6.99
2014-04-24,6.99,6.99,6.85,6.96,13100,6.96
