Date,Open,High,Low,Close,Volume,Adj Close
2010-05-18,2.05,5.0,2.05,2.5,13000,2.5
2010-05-19,2.35,2.35,2.35,2.35,800,2.35
2010-05-20,2.75,2.75,1.7,1.75,15200,1.75
2010-05-21,1.75,1.8,1.55,1.7,5100,1.7
2010-05-24,1.7,1.7,1.6,1.6,1500,1.6
2010-05-25,1.45,1.5,1.06,1.5,19300,1.5
2010-05-26,1.5,1.5,1.5,1.5,6300,1.5
2010-05-27,1.5,2.0,1.5,2.0,24000,2.0
2010-05-28,2.2,2.5,2.2,2.25,500,2.25
2010-06-01,2.25,2.25,2.25,2.25,0,2.25
2010-06-02,2.25,2.25,2.25,2.25,0,2.25
2010-06-03,1.81,2.0,1.8,2.0,6200,2.0
2010-06-04,2.0,2.0,1.31,1.99,4300,1.99
2010-06-07,1.99,1.99,1.99,1.99,0,1.99
2010-06-08,1.5,1.99,1.34,1.87,1200,1.87
2010-06-09,1.39,1.5,1.39,1.5,3400,1.5
2010-06-10,1.5,1.6,1.49,1.6,2300,1.6
2010-06-11,1.5,1.6,1.5,1.5,11700,1.5
2010-06-14,1.55,1.55,1.5,1.51,2600,1.51
2010-06-15,1.59,1.6,1.5,1.6,7400,1.6
2010-06-16,1.6,1.6,1.6,1.6,0,1.6
2010-06-17,1.5,1.5,1.49,1.49,1200,1.49
2010-06-18,1.5,1.88,1.46,1.88,2800,1.88
2010-06-21,1.52,1.8,1.52,1.8,900,1.8
2010-06-22,1.87,1.87,1.87,1.87,300,1.87
2010-06-23,1.8,1.8,1.78,1.78,4100,1.78
2010-06-24,1.75,1.75,1.52,1.52,3100,1.52
2010-06-25,1.52,1.52,1.52,1.52,1000,1.52
2010-06-28,1.5,1.99,1.5,1.9,1200,1.9
2010-06-29,1.53,1.9,1.53,1.9,1500,1.9
2010-06-30,1.75,1.75,1.53,1.53,1700,1.53
2010-07-01,1.53,1.53,1.53,1.53,300,1.53
2010-07-02,1.53,1.84,1.53,1.84,1100,1.84
2010-07-06,1.84,1.84,1.84,1.84,0,1.84
2010-07-07,1.55,1.75,1.55,1.75,1900,1.75
2010-07-08,1.75,1.75,1.75,1.75,0,1.75
2010-07-09,1.51,1.51,1.51,1.51,1000,1.51
2010-07-12,1.51,1.81,1.51,1.75,4500,1.75
2010-07-13,1.29,1.75,1.29,1.75,7100,1.75
2010-07-14,1.51,1.51,1.51,1.51,1000,1.51
2010-07-15,1.51,1.71,1.5,1.71,2100,1.71
2010-07-16,1.52,1.69,1.52,1.6,4900,1.6
2010-07-19,1.55,1.65,1.55,1.65,1500,1.65
2010-07-20,1.65,1.65,1.65,1.65,0,1.65
2010-07-21,1.55,1.55,1.55,1.55,12500,1.55
2010-07-22,1.45,1.88,1.45,1.6,3000,1.6
2010-07-23,1.45,1.7,1.45,1.6,4400,1.6
2010-07-26,1.55,1.6,1.45,1.45,8900,1.45
2010-07-27,1.6,1.6,1.55,1.6,2600,1.6
2010-07-28,1.6,1.6,1.59,1.6,1400,1.6
2010-07-29,1.6,1.6,1.6,1.6,800,1.6
2010-07-30,1.6,1.7,1.6,1.7,1800,1.7
2010-08-02,1.65,1.7,1.65,1.7,1400,1.7
2010-08-03,1.71,2.23,1.71,2.0,26500,2.0
2010-08-04,2.05,2.1,2.0,2.0,10000,2.0
2010-08-05,2.0,2.12,2.0,2.1,6500,2.1
2010-08-06,2.0,2.0,2.0,2.0,500,2.0
2010-08-09,2.0,2.0,2.0,2.0,1000,2.0
2010-08-10,2.0,2.21,2.0,2.15,3700,2.15
2010-08-11,2.1,2.15,2.0,2.1,5000,2.1
2010-08-12,2.1,2.1,2.0,2.0,3900,2.0
2010-08-13,2.0,2.0,2.0,2.0,7000,2.0
2010-08-16,2.0,2.0,2.0,2.0,3900,2.0
2010-08-17,2.0,2.0,1.78,1.8,26900,1.8
2010-08-18,1.8,1.8,1.61,1.7,5300,1.7
2010-08-19,1.65,1.65,1.6,1.6,6700,1.6
2010-08-20,1.54,1.54,1.5,1.5,10100,1.5
2010-08-23,1.5,1.5,1.4,1.5,7700,1.5
2010-08-24,1.5,1.5,1.5,1.5,0,1.5
2010-08-25,1.41,1.41,1.41,1.41,1000,1.41
2010-08-26,1.2,1.21,1.2,1.21,4100,1.21
2010-08-27,1.27,1.4,1.21,1.4,5200,1.4
2010-08-30,1.39,1.39,1.39,1.39,300,1.39
2010-08-31,1.26,1.26,1.21,1.21,1500,1.21
2010-09-01,1.21,1.21,1.19,1.2,6800,1.2
2010-09-02,1.19,1.19,1.19,1.19,6300,1.19
2010-09-03,1.19,1.2,1.15,1.2,10000,1.2
2010-09-07,1.2,1.2,1.2,1.2,0,1.2
2010-09-08,1.15,1.2,1.15,1.2,2500,1.2
2010-09-09,1.2,1.4,1.2,1.4,1300,1.4
2010-09-10,1.48,1.5,1.4,1.4,14700,1.4
2010-09-13,1.4,1.5,1.4,1.5,27100,1.5
2010-09-14,1.45,1.45,1.39,1.4,17400,1.4
2010-09-15,1.4,1.5,1.4,1.5,31200,1.5
2010-09-16,1.5,1.5,1.5,1.5,1100,1.5
2010-09-17,1.45,1.5,1.45,1.5,2000,1.5
2010-09-20,1.5,1.5,1.5,1.5,6100,1.5
2010-09-21,1.5,1.58,1.5,1.58,1100,1.58
2010-09-22,1.5,1.5,1.5,1.5,1000,1.5
2010-09-23,1.5,1.55,1.5,1.5,4000,1.5
2010-09-24,1.5,1.58,1.5,1.58,3700,1.58
2010-09-27,1.5,1.5,1.5,1.5,1000,1.5
2010-09-28,1.5,1.5,1.5,1.5,1300,1.5
2010-09-29,1.5,1.65,1.5,1.65,18600,1.65
2010-09-30,1.65,1.65,1.52,1.52,3900,1.52
2010-10-01,1.6,1.65,1.6,1.64,13000,1.64
2010-10-04,1.64,1.64,1.5,1.5,9700,1.5
2010-10-05,1.5,1.6,1.5,1.6,7500,1.6
2010-10-06,1.55,1.55,1.55,1.55,1500,1.55
2010-10-07,1.55,1.55,1.55,1.55,4800,1.55
2010-10-08,1.51,1.51,1.5,1.5,12100,1.5
2010-10-11,1.45,1.5,1.4,1.5,11000,1.5
2010-10-12,1.42,1.42,1.4,1.4,6500,1.4
2010-10-13,1.4,1.4,1.38,1.4,15300,1.4
2010-10-14,1.4,1.42,1.39,1.42,12500,1.42
2010-10-15,1.42,1.42,1.42,1.42,0,1.42
2010-10-18,1.4,1.4,1.25,1.4,3400,1.4
2010-10-19,1.4,1.4,1.3,1.4,2700,1.4
2010-10-20,1.39,1.4,1.39,1.4,15000,1.4
2010-10-21,1.4,1.4,1.4,1.4,2500,1.4
2010-10-22,1.4,1.4,1.4,1.4,2000,1.4
2010-10-25,1.4,1.4,1.4,1.4,1000,1.4
2010-10-26,1.4,1.41,1.35,1.35,7700,1.35
2010-10-27,1.35,1.42,1.35,1.42,9000,1.42
2010-10-28,1.42,1.47,1.4,1.47,12300,1.47
2010-10-29,1.4,1.4,1.4,1.4,6000,1.4
2010-11-01,1.4,1.45,1.4,1.45,2500,1.45
2010-11-02,1.45,1.75,1.45,1.75,54400,1.75
2010-11-03,1.7,1.75,1.7,1.75,21500,1.75
2010-11-04,1.75,1.85,1.75,1.85,17500,1.85
2010-11-05,1.85,2.0,1.85,2.0,36900,2.0
2010-11-08,2.05,2.15,2.05,2.15,26000,2.15
2010-11-09,2.15,2.5,2.15,2.5,20100,2.5
2010-11-10,2.25,2.3,2.25,2.3,2900,2.3
2010-11-11,2.01,2.2,1.99,2.15,26000,2.15
2010-11-12,2.15,2.25,2.15,2.2,33800,2.2
