Date,Open,High,Low,Close,Volume,Adj Close
1992-03-19,9.25,9.25,9.12,9.12,200,2.37
1992-03-20,9.12,9.12,9.12,9.12,0,2.37
1992-03-23,9.0,9.0,9.0,9.0,200,2.33
1992-03-24,9.0,9.25,8.88,9.0,14000,2.33
1992-03-25,8.88,8.88,8.88,8.88,200,2.3
1992-03-26,8.75,8.75,8.75,8.75,0,2.29
1992-03-27,8.75,8.75,8.75,8.75,0,2.29
1992-03-30,8.88,8.88,8.88,8.88,200,2.32
1992-03-31,8.75,8.88,8.75,8.88,1200,2.32
1992-04-01,8.88,8.88,8.88,8.88,0,2.32
1992-04-02,8.88,8.88,8.75,8.75,600,2.29
1992-04-03,8.75,8.88,8.75,8.88,400,2.32
1992-04-06,8.88,8.88,8.88,8.88,0,2.32
1992-04-07,8.75,8.75,8.75,8.75,800,2.29
1992-04-08,8.62,8.62,8.62,8.62,4800,2.26
1992-04-09,8.75,8.75,8.75,8.75,200,2.29
1992-04-10,8.62,8.62,8.5,8.62,1600,2.26
1992-04-13,8.5,8.5,8.5,8.5,600,2.22
1992-04-14,8.38,8.38,8.25,8.25,2400,2.16
1992-04-15,8.38,8.5,8.38,8.5,1400,2.22
1992-04-16,8.62,8.75,8.62,8.75,600,2.29
1992-04-20,8.5,8.5,8.5,8.5,1600,2.22
1992-04-21,8.38,8.75,8.38,8.75,1800,2.29
1992-04-22,8.75,8.75,8.75,8.75,0,2.29
1992-04-23,8.62,8.75,8.62,8.75,400,2.29
1992-04-24,8.88,9.0,8.88,9.0,9600,2.35
1992-04-27,9.0,9.0,8.75,9.0,3000,2.35
1992-04-28,9.0,9.0,9.0,9.0,0,2.35
1992-04-29,9.0,9.12,9.0,9.12,16400,2.39
1992-04-30,9.38,9.62,9.38,9.62,10200,2.52
1992-05-01,9.88,10.0,9.75,9.88,10200,2.58
1992-05-04,10.12,10.38,10.12,10.38,14800,2.71
1992-05-05,10.5,10.5,10.12,10.12,10600,2.65
1992-05-06,10.38,10.5,10.0,10.12,19000,2.65
1992-05-07,10.25,10.25,10.0,10.12,2600,2.65
1992-05-08,10.0,10.0,10.0,10.0,200,2.62
1992-05-11,10.12,10.12,10.0,10.0,600,2.62
1992-05-12,10.25,10.38,10.12,10.12,3000,2.65
1992-05-13,10.0,10.0,9.88,10.0,1800,2.62
1992-05-14,9.88,9.88,9.88,9.88,200,2.58
1992-05-15,9.88,9.88,9.88,9.88,0,2.58
1992-05-18,10.0,10.0,10.0,10.0,200,2.62
1992-05-19,9.75,9.75,9.75,9.75,400,2.55
1992-05-20,9.75,9.75,9.75,9.75,0,2.55
1992-05-21,9.5,9.5,9.5,9.5,1000,2.49
1992-05-22,9.5,9.5,9.5,9.5,0,2.49
1992-05-26,9.25,9.25,9.25,9.25,800,2.42
1992-05-27,9.12,9.12,9.12,9.12,2000,2.39
1992-05-28,9.25,9.25,9.25,9.25,400,2.42
1992-05-29,9.25,9.25,9.25,9.25,1000,2.42
1992-06-01,9.25,9.25,9.25,9.25,600,2.42
1992-06-02,9.25,9.25,9.25,9.25,400,2.42
1992-06-03,9.12,9.12,9.12,9.12,2000,2.39
1992-06-04,9.25,9.25,9.12,9.12,1600,2.39
1992-06-05,9.25,9.25,9.25,9.25,600,2.42
1992-06-08,9.12,9.25,9.12,9.25,2200,2.42
1992-06-09,9.12,9.25,9.12,9.12,800,2.39
1992-06-10,9.12,9.12,9.12,9.12,800,2.39
1992-06-11,9.12,9.12,9.12,9.12,200,2.39
1992-06-12,9.25,9.25,9.25,9.25,200,2.42
1992-06-15,9.25,9.25,9.25,9.25,200,2.42
1992-06-16,9.25,9.25,9.25,9.25,0,2.42
1992-06-17,9.12,9.12,9.12,9.12,1800,2.39
1992-06-18,9.12,9.12,9.12,9.12,400,2.39
1992-06-19,9.12,9.12,9.12,9.12,600,2.39
1992-06-22,9.12,9.12,9.12,9.12,2000,2.39
1992-06-23,9.12,9.25,9.12,9.25,1200,2.42
1992-06-24,9.25,9.25,9.25,9.25,0,2.42
1992-06-25,9.12,9.12,9.12,9.12,0,2.41
1992-06-26,9.0,9.0,9.0,9.0,600,2.37
1992-06-29,9.0,9.0,9.0,9.0,0,2.37
1992-06-30,9.0,9.0,9.0,9.0,600,2.37
1992-07-01,8.75,8.75,8.75,8.75,3800,2.31
1992-07-02,8.75,9.0,8.75,9.0,1600,2.37
1992-07-06,9.12,9.25,9.12,9.25,600,2.44
1992-07-07,9.38,9.38,9.25,9.25,1400,2.44
1992-07-08,9.12,9.25,9.12,9.25,800,2.44
1992-07-09,9.25,9.25,9.0,9.0,2200,2.37
1992-07-10,9.12,9.12,9.12,9.12,1400,2.41
1992-07-13,9.25,9.25,9.25,9.25,1000,2.44
1992-07-14,9.25,9.25,9.25,9.25,0,2.44
1992-07-15,9.0,9.88,9.0,9.88,9800,2.6
1992-07-16,9.75,10.0,9.62,10.0,3200,2.64
1992-07-17,10.0,10.0,10.0,10.0,400,2.64
1992-07-20,10.0,10.0,9.88,9.88,2200,2.6
1992-07-21,9.75,9.75,9.62,9.62,1200,2.54
1992-07-22,9.62,9.62,9.62,9.62,0,2.54
1992-07-23,9.75,10.12,9.75,10.0,13800,2.64
1992-07-24,10.0,10.12,9.75,10.12,33400,2.67
1992-07-27,10.12,10.25,10.0,10.12,6800,2.67
1992-07-28,10.0,10.12,10.0,10.12,1200,2.67
1992-07-29,10.25,10.25,10.0,10.0,1200,2.64
1992-07-30,10.12,10.25,10.12,10.25,600,2.7
1992-07-31,10.25,10.25,10.12,10.12,1600,2.67
1992-08-03,10.0,10.0,10.0,10.0,1000,2.64
1992-08-04,10.12,10.25,10.12,10.25,3600,2.7
1992-08-05,10.25,10.25,10.12,10.12,23200,2.67
1992-08-06,10.25,10.38,10.25,10.38,7600,2.74
1992-08-07,10.38,10.38,10.25,10.25,2200,2.7
1992-08-10,10.25,10.38,10.25,10.38,12000,2.74
1992-08-11,10.38,10.38,10.38,10.38,0,2.74
1992-08-12,10.38,10.38,10.38,10.38,0,2.74
1992-08-13,10.38,10.38,10.38,10.38,0,2.74
1992-08-14,10.38,10.38,10.38,10.38,0,2.74
1992-08-17,10.25,10.25,10.25,10.25,1600,2.7
1992-08-18,10.25,10.25,10.25,10.25,0,2.7
1992-08-19,10.25,10.25,10.25,10.25,7000,2.7
1992-08-20,10.25,10.38,10.25,10.38,2000,2.74
1992-08-21,10.38,10.38,10.38,10.38,0,2.74
1992-08-24,10.5,10.62,10.5,10.62,4200,2.8
1992-08-25,10.38,10.38,10.38,10.38,1200,2.74
1992-08-26,10.38,10.38,10.38,10.38,0,2.74
1992-08-27,10.38,10.38,10.38,10.38,0,2.74
1992-08-28,10.25,10.25,10.25,10.25,400,2.7
1992-08-31,10.38,10.38,10.38,10.38,600,2.74
1992-09-01,10.38,10.38,10.38,10.38,0,2.74
1992-09-02,10.38,10.38,10.38,10.38,0,2.74
1992-09-03,10.38,10.38,10.38,10.38,0,2.74
1992-09-04,10.38,10.38,10.38,10.38,0,2.74
1992-09-08,10.38,10.38,10.38,10.38,0,2.74
1992-09-09,10.38,10.38,10.38,10.38,0,2.74
1992-09-10,10.0,10.0,9.88,9.88,2000,2.6
1992-09-11,9.88,9.88,9.88,9.88,0,2.6
1992-09-14,9.88,9.88,9.88,9.88,0,2.6
1992-09-15,9.88,9.88,9.88,9.88,0,2.6
1992-09-16,9.88,9.88,9.88,9.88,1200,2.6
1992-09-17,9.75,9.88,9.62,9.62,1600,2.54
1992-09-18,9.75,9.75,9.75,9.75,1000,2.57
1992-09-21,9.75,9.75,9.75,9.75,1000,2.57
1992-09-22,9.75,10.38,9.75,10.38,11600,2.74
